 " take a number , fill out a form , and wait your turn . " 	Translation	Positive	Negative	EmotionRationale
starring kati outinen , kari v ? ? n ? nen , sakari kuosmanen , elina salo ; written & directed by aki kaurism ? ki ; cinematography by timo salminen 	starring kati outinen , kari v ?<br> ?<br> n ?<br> nen , sakari kuosmanen , elina salo ; written & directed by aki kaurism ?<br> ki ; cinematography by timo salminen	1	-1	 starring[0] kati[0] outinen[0] kari[0] v[0] [[Sentence=-1,1=word max, 1-5]] n[0] [[Sentence=-1,1=word max, 1-5]] nen[0] sakari[0] kuosmanen[0] elina[0] salo[0] written[0] &[0] directed[0] by[0] aki[0] kaurism[0] [[Sentence=-1,1=word max, 1-5]] ki[0] cinematography[0] by[0] timo[0] salminen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it might be possible to call drifting clouds a satire or a black comedy , but that would imply a sense of anger , of vitriol , of energy ; drifting clouds is what you get when the rage and vitality are gone . 	it might be possible to call drifting clouds a satire or a black comedy , but that would imply a sense of anger , of vitriol , of energy ; drifting clouds is what you get when the rage and vitality are gone .	1	-4	 it[0] might[0] be[0] possible[0] to[0] call[0] drifting[0] clouds[0] a[0] satire[0] or[0] a[0] black[0] comedy[0] but[0] that[0] would[0] imply[0] a[0] sense[0] of[0] anger[-3] of[0] vitriol[0] of[0] energy[0] drifting[0] clouds[0] is[0] what[0] you[0] get[0] when[0] the[0] rage[-3] and[0] vitality[0] are[0] gone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is the sad , slow story of lauri and ilona , a married couple caught between the wheels of capitalism as it grinds inexorably onward . 	it is the sad , slow story of lauri and ilona , a married couple caught between the wheels of capitalism as it grinds inexorably onward .	1	-4	 it[0] is[0] the[0] sad[-3] slow[0] story[0] of[0] lauri[0] and[0] ilona[0] a[0] married[0] couple[0] caught[0] between[0] the[0] wheels[0] of[0] capitalism[0] as[0] it[0] grinds[0] inexorably[0] onward[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he loses his job as a tram driver , because everyone drives cars nowadays . 	he loses his job as a tram driver , because everyone drives cars nowadays .	1	-2	 he[0] loses[-1] his[0] job[0] as[0] a[0] tram[0] driver[0] because[0] everyone[0] drives[0] cars[0] nowadays[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
within a couple of months , she loses her position as a head waiter , when her restaurant is bought out by a chain and the entire staff replaced . 	within a couple of months , she loses her position as a head waiter , when her restaurant is bought out by a chain and the entire staff replaced .	1	-2	 within[0] a[0] couple[0] of[0] months[0] she[0] loses[-1] her[0] position[0] as[0] a[0] head[0] waiter[0] when[0] her[0] restaurant[0] is[0] bought[0] out[0] by[0] a[0] chain[0] and[0] the[0] entire[0] staff[0] replaced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a conversation early in the film reveals a lot about their situation . 	a conversation early in the film reveals a lot about their situation .	1	-1	 a[0] conversation[0] early[0] in[0] the[0] film[0] reveals[0] a[0] lot[0] about[0] their[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lauri has surprised ilona by buying her a tv , which she greets with little enthusiasm . 	lauri has surprised ilona by buying her a tv , which she greets with little enthusiasm .	3	-1	 lauri[0] has[0] surprised[0] ilona[0] by[0] buying[0] her[0] a[0] tv[0] which[0] she[0] greets[0] with[0] little[0] enthusiasm[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she notes that they haven't finished paying for the bookshelves or the couch yet . 	she notes that they haven't finished paying for the bookshelves or the couch yet .	1	-1	 she[0] notes[0] that[0] they[0] haven't[0] finished[0] paying[0] for[0] the[0] bookshelves[0] or[0] the[0] couch[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he says that in four years the payments will be done and then they can buy some books for the shelves . 	he says that in four years the payments will be done and then they can buy some books for the shelves .	1	-1	 he[0] says[0] that[0] in[0] four[0] years[0] the[0] payments[0] will[0] be[0] done[0] and[0] then[0] they[0] can[0] buy[0] some[0] books[0] for[0] the[0] shelves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it would pass as deadpan humour if it wasn't spoken with such resigned weariness . 	it would pass as deadpan humour if it wasn't spoken with such resigned weariness .	3	-2	 it[0] would[0] pass[0] as[0] deadpan[0] humour[2] if[0] it[0] wasn't[0] spoken[0] with[0] such[0] resigned[-1] weariness[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
