you've probably heard the one about the priest and the rabbi , but never with the same dosage of featherweight charm that is sprinkled over `keeping the faith' . 	Translation	Positive	Negative	EmotionRationale
it's a fluffy comedy , thoroughly glazed with a sense of innocuous innocence and good cheer , regarding two moral topics -- love and religion -- and how a romantic triangle causes the two to collide head-on . 	it's a fluffy comedy , thoroughly glazed with a sense of innocuous innocence and good cheer , regarding two moral topics - love and religion - and how a romantic triangle causes the two to collide head-on .	4	-2	 it's[0] a[0] fluffy[0] comedy[0] thoroughly[0] glazed[0] with[0] a[0] sense[0] of[0] innocuous[0] innocence[1] and[0] good[1] cheer[1] regarding[0] two[0] moral[0] topics[0] love[2] and[0] religion[0] and[0] how[0] a[0] romantic[3] triangle[0] causes[0] the[0] two[0] to[0] collide[-1] head[0] on[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as youngsters , brian finn , jacob schramm and anna reilly were an inseparable trio . 	as youngsters , brian fin , jacob schram and anna reilly were an inseparable trio .	1	-1	 as[0] youngsters[0] brian[0] finn/fin[0] jacob[0] schramm/schram[0] and[0] anna[0] reilly[0] were[0] an[0] inseparable[0] trio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while their friendship progressed , anna always had the compassion to shower them both with the same love and support , so neither would feel excluded . 	while their friendship progressed , anna always had the compassion to shower them both with the same love and support , so neither would feel excluded .	3	-1	 while[0] their[0] friendship[1] progressed[0] anna[0] always[0] had[0] the[0] compassion[1] to[0] shower[0] them[0] both[0] with[0] the[0] same[0] love[2] and[0] support[1] so[0] neither[0] would[0] feel[0] excluded[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but tragedy soon struck , as anna was forced to move away . 	but tragedy soon struck , as anna was forced to move away .	1	-3	 but[0] tragedy[-2] soon[0] struck[-1] as[0] anna[0] was[0] forced[0] to[0] move[0] away[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now adults , brian ( edward norton ) and jacob ( ben stiller ) hold similar but contrastive jobs . 	now adults , brian ( edward norton ) and jacob ( ben stiller ) hold similar but contrastive jobs .	1	-1	 now[0] adults[0] brian[0] edward[0] norton[0] and[0] jacob[0] ben[0] stiller[0] hold[0] similar[0] but[0] contrastive[0] jobs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the likable and kind-hearted father brian is a catholic priest , while the spry and outgoing jacob acts as a jewish rabbi . 	the likable and kind-hearted father brian is a catholic priest , while the spry and outgoing jacob acts as a jewish rabbi .	2	-1	 the[0] likable[0] and[0] kind[1] hearted[0] father[0] brian[0] is[0] a[0] catholic[0] priest[0] while[0] the[0] spry[0] and[0] outgoing[0] jacob[0] acts[0] as[0] a[0] jewish[0] rabbi[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the basketball court , they refer to themselves as  the god squad' . 	on the basketball court , they refer to themselves as  the god squad' .	1	-1	 on[0] the[0] basketball[0] court[0] they[0] refer[0] to[0] themselves[0] as[0] the[0] god[0] squad'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the relationship field , brian abides by his catholic principle of celibacy , but jacob has reached the point where finding a jewish bride is practically mandatory . 	in the relationship field , brian abides by his catholic principle of celibacy , but jacob has reached the point where finding a jewish bride is practically mandatory .	1	-1	 in[0] the[0] relationship[0] field[0] brian[0] abides[0] by[0] his[0] catholic[0] principle[0] of[0] celibacy[0] but[0] jacob[0] has[0] reached[0] the[0] point[0] where[0] finding[0] a[0] jewish[0] bride[0] is[0] practically[0] mandatory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything changes when anna ( jenna elfman ) returns to new york to visit her childhood chums . 	everything changes when anna ( jenna elfman ) returns to new york to visit her childhood chums .	1	-1	 everything[0] changes[0] when[0] anna[0] jenna[0] elfman[0] returns[0] to[0] new[0] york[0] to[0] visit[0] her[0] childhood[0] chums[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now a workaholic , she devotes endless hours per week to her business , but does find spare time to reminisce with brian and jacob - both ecstatic about seeing their elementary school sweetheart once again . 	now a workaholic , she devotes endless hours per week to her business , but does find spare time to reminisce with brian and jacob - both ecstatic about seeing their elementary school sweetheart once again .	4	-1	 now[0] a[0] workaholic[0] she[0] devotes[2] endless[0] hours[0] per[0] week[0] to[0] her[0] business[0] but[0] does[0] find[0] spare[0] time[0] to[0] reminisce[0] with[0] brian[0] and[0] jacob[0] both[0] ecstatic[3] about[0] seeing[0] their[0] elementary[0] school[0] sweetheart[3] once[0] again[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
with these oddball ingredients tossed into one cocktail , there's bound to be some awkward romance between our three central characters . 	with these oddball ingredients tossed into one cocktail , there's bound to be some awkward romance between our three central characters .	4	-1	 with[0] these[0] oddball[0] ingredients[0] tossed[0] into[0] one[0] cocktail[0] there's[0] bound[0] to[0] be[0] some[0] awkward[-1][--1 LastWordBoosterStrength] romance[3] between[0] our[0] three[0] central[0] characters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
predicting the outcome is not entirely difficult , but  keeping the faith' is open , entertaining and refreshingly relaxed as it travels en route from point a to point b . 	predicting the outcome is not entirely difficult , but  keeping the faith' is open , entertaining and refreshingly relaxed as it travels en route from point a to point b .	3	-1	 predicting[0] the[0] outcome[0] is[0] not[0] entirely[0] difficult[-1][NegatedDueToPreviousWord] but[0] keeping[0] the[0] faith'[1] is[0] open[0] entertaining[0] and[0] refreshingly[0] relaxed[2] as[0] it[0] travels[0] en[0] route[0] from[0] point[0] a[0] to[0] point[0] b[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
edward norton has emerged as one of the finest , most flexibly versatile actors in hollywood - a success story sparked by his critically lauded debut in the 1996 thriller  primal fear' . 	edward norton has emerged as one of the finest , most flexibly versatile actors in hollywood - a success story sparked by his critically lauded debut in the 1996 thriller  primal fear' .	3	-2	 edward[0] norton[0] has[0] emerged[0] as[0] one[0] of[0] the[0] finest[0] most[0] flexibly[0] versatile[0] actors[0] in[0] hollywood[0] a[0] success[2] story[0] sparked[0] by[0] his[0] critically[-1] lauded[0] debut[0] in[0] the[0] 1996[0] thriller[1] primal[0] fear'[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
