review- peter jackson's the frighteners has received some notice for setting the record for most computer effects ever in a movie , and still coming in at the extremely cheap $30 million price tag . 	Translation	Positive	Negative	EmotionRationale
but for those who were dismayed by this year's blockbusters like twister and independence day , the frighteners has much more to offer than special effects . 	but for those who were dismayed by this year's blockbusters like twister and independence day , the frighteners has much more to offer than special effects .	2	-4	 but[0] for[0] those[0] who[0] were[0] dismayed[-2] by[0] this[0] year's[0] blockbusters[-1] like[1] twister[0] and[0] independence[0] day[0] the[0] frighteners[-3] has[0] much[0] more[0] to[0] offer[0] than[0] special[1] effects[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and for those worried wether or not peter jackson would compromise to hollywood you can rest easily . 	and for those worried wether or not peter jackson would compromise to hollywood you can rest easily .	1	-4	 and[0] for[0] those[0] worried[-3] wether[0] or[0] not[0] peter[0] jackson[0] would[0] compromise[0] to[0] hollywood[0] you[0] can[0] rest[0] easily[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the frighteners is as far removed from hollywood as a high-profile movie can get . 	the frighteners is as far removed from hollywood as a high-profile movie can get .	1	-4	 the[0] frighteners[-3] is[0] as[0] far[0] removed[0] from[0] hollywood[0] as[0] a[0] high[0] profile[0] movie[0] can[0] get[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
michael j . fox stars as frank bannister , a con artist who can speak to ghosts . 	michael j .<br> fox stars as frank bannister , a con artist who can speak to ghosts .	1	-1	 michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] fox[0] stars[0] as[0] frank[0] bannister[0] a[0] con[0] artist[0] who[0] can[0] speak[0] to[0] ghosts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he uses this ability to set up a scam in a small town where his ghost buddies scare the hell out of people , then he comes and pretends to get rid of them . 	he uses this ability to set up a scam in a small town where his ghost buddies scare the hell out of people , then he comes and pretends to get rid of them .	1	-4	 he[0] uses[0] this[0] ability[0] to[0] set[0] up[0] a[0] scam[0] in[0] a[0] small[0] town[0] where[0] his[0] ghost[0] buddies[0] scare[-3] the[0] hell[-1] out[0] of[0] people[0] then[0] he[0] comes[0] and[0] pretends[0] to[0] get[0] rid[-1] of[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is how he has made a living ever since his wife died in a car crash 5 years ago . 	this is how he has made a living ever since his wife died in a car crash 5 years ago .	1	-1	 this[0] is[0] how[0] he[0] has[0] made[0] a[0] living[0] ever[0] since[0] his[0] wife[0] died[0] in[0] a[0] car[0] crash[0] 5[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frank's latest customers are a young couple , played by trini alvarado and peter dobson . 	frank's latest customers are a young couple , played by trini alvarado and peter dobson .	1	-1	 frank's[0] latest[0] customers[0] are[0] a[0] young[0] couple[0] played[0] by[0] trini[0] alvarado[0] and[0] peter[0] dobson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when dobson ends up dead , alvarado starts to take an interest in fox . 	when dobson ends up dead , alvarado starts to take an interest in fox .	2	-3	 when[0] dobson[0] ends[0] up[0] dead[-2] alvarado[0] starts[0] to[0] take[0] an[0] interest[1] in[0] fox[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but dobson's spirit is still around as he refuses to beleive he's dead . 	but dobson's spirit is still around as he refuses to beleive he's dead .	1	-3	 but[0] dobson's[0] spirit[0] is[0] still[0] around[0] as[0] he[0] refuses[-1] to[0] beleive[0] he's[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this leads to a very awkward and amusing dinner date between fox and alvarado , with dobson tagging along as a ghost . 	this leads to a very awkward and amusing dinner date between fox and alvarado , with dobson tagging along as a ghost .	2	-3	 this[0] leads[0] to[0] a[0] very[0] awkward[-1][-1 LastWordBoosterStrength] and[0] amusing[1] dinner[0] date[0] between[0] fox[0] and[0] alvarado[0] with[0] dobson[0] tagging[0] along[0] as[0] a[0] ghost[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
things start getting complicated for fox when he is accused for a series of murders taking place in the town . 	things start getting complicated for fox when he is accused for a series of murders taking place in the town .	1	-4	 things[0] start[0] getting[0] complicated[-1] for[0] fox[0] when[0] he[0] is[0] accused[-1] for[0] a[0] series[0] of[0] murders[-3] taking[0] place[0] in[0] the[0] town[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fox sees someone named the soul collector crushing the heart of the victims , but noone else can see that . 	fox sees someone named the soul collector crushing the heart of the victims , but none else can see that .	1	-3	 fox[0] sees[0] someone[0] named[0] the[0] soul[0] collector[0] crushing[-1] the[0] heart[0] of[0] the[0] victims[-2] but[0] noone/none[0] else[0] can[0] see[0] that[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so when fox shows up to try and save each victim , naturally people suspect he is the killer . 	so when fox shows up to try and save each victim , naturally people suspect he is the killer .	2	-3	 so[0] when[0] fox[0] shows[0] up[0] to[0] try[0] and[0] save[1] each[0] victim[-2] naturally[0] people[0] suspect[-1] he[0] is[0] the[0] killer[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
