the uncompromising nudity bared throughout petrice chereau's intimacy has already garnered much notoriety , but it's in the naked faces of fearless actors mark rylance ( angels & insects ) and kerry fox ( welcome to sarajevo ) that the tender ache of emotional resonance is discovered . 	Translation	Positive	Negative	EmotionRationale
with sharp , intelligent eyes that reflect experience and maturity , rylance and fox are refreshingly detached from the false glamour of hollywood idols . 	with sharp , intelligent eyes that reflect experience and maturity , rylance and fox are refreshingly detached from the false glamour of hollywood idols .	2	-1	 with[0] sharp[0] intelligent[1] eyes[0] that[0] reflect[0] experience[0] and[0] maturity[0] rylance[0] and[0] fox[0] are[0] refreshingly[0] detached[0] from[0] the[0] false[0] glamour[1] of[0] hollywood[0] idols[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their sex scenes together are bracing in their raw honesty , in the acceptance of flesh and messiness . 	their sex scenes together are bracing in their raw honesty , in the acceptance of flesh and messiness .	2	-1	 their[0] sex[0] scenes[0] together[0] are[0] bracing[0] in[0] their[0] raw[0] honesty[1] in[0] the[0] acceptance[0] of[0] flesh[0] and[0] messiness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
less apparent , but no less remarkable , are the astute observations of behavior revealed through those carnal beats of haste and hesitance , often without a single line of dialogue . 	less apparent , but no less remarkable , are the astute observations of behavior revealed through those carnal beats of haste and hesitance , often without a single line of dialogue .	1	-1	 less[0] apparent[0] but[0] no[0] less[0] remarkable[0] are[0] the[0] astute[0] observations[0] of[0] behavior[0] revealed[0] through[0] those[0] carnal[0] beats[0] of[0] haste[0] and[0] hesitance[0] often[0] without[0] a[0] single[0] line[0] of[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not aiming for the spiritual poetry of in the realm of the senses or the philosophical transgressions of crash , chereau keeps his sexual odyssey firmly grounded in terms of straightforward character development . 	not aiming for the spiritual poetry of in the realm of the senses or the philosophical transgressions of crash , chereau keeps his sexual odyssey firmly grounded in terms of straightforward character development .	1	-2	 not[0] aiming[0] for[0] the[0] spiritual[0] poetry[0] of[0] in[0] the[0] realm[0] of[0] the[0] senses[0] or[0] the[0] philosophical[0] transgressions[-1] of[0] crash[0] chereau[0] keeps[0] his[0] sexual[0] odyssey[0] firmly[0] grounded[0] in[0] terms[0] of[0] straightforward[0] character[0] development[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that may be the very reason why intimacy seems unerringly impressive but never particularly significant on more than a tactile , sensory level . 	that may be the very reason why intimacy seems unerringly impressive but never particularly significant on more than a tactile , sensory level .	2	-1	 that[0] may[0] be[0] the[0] very[0] reason[0] why[0] intimacy[0] seems[0] unerringly[0] impressive[1] but[0] never[0] particularly[0] significant[0] on[0] more[0] than[0] a[0] tactile[0] sensory[0] level[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the themes of human isolation are barren and obvious , a science project devoid of any especially groundbreaking hypothesis . 	the themes of human isolation are barren and obvious , a science project devoid of any especially groundbreaking hypothesis .	1	-2	 the[0] themes[0] of[0] human[0] isolation[-1] are[0] barren[-1] and[0] obvious[0] a[0] science[0] project[0] devoid[-1] of[0] any[0] especially[0] groundbreaking[0] hypothesis[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
intimacy does manage to stand out from lesser portraits of " human interconnectedness " and pinter-esque rummages through psychological dirty drawers ( okay , kill me ) . 	intimacy does manage to stand out from lesser portraits of " human interconnectedness " and pinter-esque rummages through psychological dirty drawers ( okay , kill me ) .	1	-2	 intimacy[0] does[0] manage[0] to[0] stand[0] out[0] from[0] lesser[0] portraits[0] of[0] human[0] interconnectedness[0] and[0] pinter[0] esque[0] rummages[0] through[0] psychological[0] dirty[-1] drawers[0] okay[0] kill[-1] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shallow though it might sound , it's amazing how much is filled in through an inspired cast , perceptive camerawork , and imaginative ways of treating the love scene . 	shallow though it might sound , it's amazing how much is filled in through an inspired cast , perceptive camerawork , and imaginative ways of treating the love scene .	3	-2	 shallow[-1] though[0] it[0] might[0] sound[0] it's[0] amazing[2] how[0] much[0] is[0] filled[0] in[0] through[0] an[0] inspired[2] cast[0] perceptive[0] camerawork[0] and[0] imaginative[1] ways[0] of[0] treating[0] the[0] love[2] scene[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
those ingredients are too assured and confident to merely dismiss as icing on the cake , especially since they are the substance of the cake itself . 	those ingredients are too assured and confident to merely dismiss as icing on the cake , especially since they are the substance of the cake itself .	2	-2	 those[0] ingredients[0] are[0] too[0] assured[0] and[0] confident[1] to[0] merely[0] dismiss[-1] as[0] icing[0] on[0] the[0] cake[0] especially[0] since[0] they[0] are[0] the[0] substance[0] of[0] the[0] cake[0] itself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
adapted from a pair of short stories by british novelist hanif kureishi , intimacy weaves desperate lovemaking between two strangers in london . 	adapted from a pair of short stories by british novelist hanif kureishi , intimacy weaves desperate lovemaking between two strangers in london .	4	-3	 adapted[0] from[0] a[0] pair[0] of[0] short[0] stories[0] by[0] british[0] novelist[0] hanif[0] kureishi[0] intimacy[0] weaves[0] desperate[-2] lovemaking[3] between[0] two[0] strangers[0] in[0] london[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
every wednesday , jay ( rylance ) and claire ( fox ) meet in his cluttered , dank apartment for an hour or two of sexual release from their uninspired lives . 	every wednesday , jay ( rylance ) and claire ( fox ) meet in his cluttered , dank apartment for an hour or two of sexual release from their uninspired lives .	1	-2	 every[0] wednesday[0] jay[0] rylance[0] and[0] claire[0] fox[0] meet[0] in[0] his[0] cluttered[-1] dank[0] apartment[0] for[0] an[0] hour[0] or[0] two[0] of[0] sexual[0] release[0] from[0] their[0] uninspired[0] lives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's been head bartender at a posh restaurant for over six years . 	he's been head bartender at a posh restaurant for over six years .	1	-1	 he's[0] been[0] head[0] bartender[0] at[0] a[0] posh[0] restaurant[0] for[0] over[0] six[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's a mystery to him but her glum workaday appearance reveals a similar dissatisfaction . 	she's a mystery to him but her glum workaday appearance reveals a similar dissatisfaction .	1	-3	 she's[0] a[0] mystery[0] to[0] him[0] but[0] her[0] glum[-2] workaday[0] appearance[0] reveals[0] a[0] similar[0] dissatisfaction[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they're both married , but his relationship has curdled into an embittered separation . 	they're both married , but his relationship has curdled into an embittered separation .	1	-1	 they're[0] both[0] married[0] but[0] his[0] relationship[0] has[0] curdled[0] into[0] an[0] embittered[0] separation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
