in " the sweet hereafter , " writer/director atom egoyan takes us beyond the tragedy of death into the tragedy of living . 	Translation	Positive	Negative	EmotionRationale
he shows us how it isn't dying that hurts , but rather the pain of living in the hereafter of death , and dealing with the loss and grief that it brings . 	he shows us how it isn't dying that hurts , but rather the pain of living in the hereafter of death , and dealing with the loss and grief that it brings .	2	-4	 he[0] shows[0] us[0] how[0] it[0] isn't[0] dying[-1][NegatedDueToPreviousWord] that[0] hurts[-2] but[0] rather[0] the[0] pain[-3] of[0] living[0] in[0] the[0] hereafter[0] of[0] death[-2] and[0] dealing[0] with[0] the[0] loss[-2] and[0] grief[-3] that[0] it[0] brings[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on a cold winter day in a small , isolated town in british columbia , a school bus full of children slides off the highway and onto a frozen lake , where it cracks through the ice and sinks . 	on a cold winter day in a small , isolated town in british columbia , a school bus full of children slides off the highway and onto a frozen lake , where it cracks through the ice and sinks .	1	-2	 on[0] a[0] cold[-1] winter[0] day[0] in[0] a[0] small[0] isolated[-1] town[0] in[0] british[0] columbia[0] a[0] school[0] bus[0] full[0] of[0] children[0] slides[0] off[0] the[0] highway[0] and[0] onto[0] a[0] frozen[0] lake[0] where[0] it[0] cracks[0] through[0] the[0] ice[0] and[0] sinks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fourteen children die , and numerous others are hurt . 	fourteen children die , and numerous others are hurt .	1	-3	 fourteen[0] children[0] die[0] and[0] numerous[0] others[0] are[0] hurt[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for the residents of this small town , all of whose children were on that bus , it is an earth-shattering event that resolutely alters their lives . 	for the residents of this small town , all of whose children were on that bus , it is an earth-shattering event that resolutely alters their lives .	1	-1	 for[0] the[0] residents[0] of[0] this[0] small[0] town[0] all[0] of[0] whose[0] children[0] were[0] on[0] that[0] bus[0] it[0] is[0] an[0] earth[0] shattering[0] event[0] that[0] resolutely[0] alters[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have always relied on each other in the past to deal with heartache and pain , but it seems that this tragedy is more than they can handle . 	they have always relied on each other in the past to deal with heartache and pain , but it seems that this tragedy is more than they can handle .	1	-4	 they[0] have[0] always[0] relied[0] on[0] each[0] other[0] in[0] the[0] past[0] to[0] deal[0] with[0] heartache[0] and[0] pain[-3] but[0] it[0] seems[0] that[0] this[0] tragedy[-2] is[0] more[0] than[0] they[0] can[0] handle[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alberta and risa walker , who own a local motel and lost their child in the accident , hire an attorney named mitchell stephens ( ian holm ) to bring a lawsuit against someone , anyone for responsibility . 	alberta and risa walker , who own a local motel and lost their child in the accident , hire an attorney named mitchell stephens ( ian holm ) to bring a lawsuit against someone , anyone for responsibility .	1	-2	 alberta[0] and[0] risa[0] walker[0] who[0] own[0] a[0] local[0] motel[0] and[0] lost[0] their[0] child[0] in[0] the[0] accident[-1] hire[0] an[0] attorney[0] named[0] mitchell[0] stephens[0] ian[0] holm[0] to[0] bring[0] a[0] lawsuit[-1] against[-1] someone[0] anyone[0] for[0] responsibility[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the bus driver , dolores driscoll ( gabrielle rose ) , is a kindly woman who loved the children and , although she lives with a burden of guilt , is not held responsible for the accident . 	the bus driver , dolores driscoll ( gabrielle rose ) , is a kindly woman who loved the children and , although she lives with a burden of guilt , is not held responsible for the accident .	4	-4	 the[0] bus[0] driver[0] dolores[0] driscoll[0] gabrielle[0] rose[0] is[0] a[0] kindly[1] woman[0] who[0] loved[3] the[0] children[0] and[0] although[0] she[0] lives[0] with[0] a[0] burden[-1] of[0] guilt[-3] is[0] not[0] held[0] responsible[0] for[0] the[0] accident[-1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the bus seems to have simply slipped on some ice , and there was nothing should could do to prevent it . 	the bus seems to have simply slipped on some ice , and there was nothing should could do to prevent it .	1	-1	 the[0] bus[0] seems[0] to[0] have[0] simply[0] slipped[0] on[0] some[0] ice[0] and[0] there[0] was[0] nothing[0] should[0] could[0] do[0] to[0] prevent[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , according to stephens , there are no " accidents " in life , and someone will pay for this tragedy , whether that be the manufacturer of the bus or the guardrail the bus broke through . 	however , according to stephens , there are no " accidents " in life , and someone will pay for this tragedy , whether that be the manufacturer of the bus or the guardrail the bus broke through .	1	-3	 however[0] according[0] to[0] stephens[0] there[0] are[0] no[0] accidents[-1] in[0] life[0] and[0] someone[0] will[0] pay[0] for[0] this[0] tragedy[-2] whether[0] that[0] be[0] the[0] manufacturer[0] of[0] the[0] bus[0] or[0] the[0] guardrail[0] the[0] bus[0] broke[-1] through[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he goes through the town , approaching the parents who have lost children , asking them to join the class action suit and find vent for their anger . 	he goes through the town , approaching the parents who have lost children , asking them to join the class action suit and find vent for their anger .	1	-4	 he[0] goes[0] through[0] the[0] town[0] approaching[0] the[0] parents[0] who[0] have[0] lost[0] children[0] asking[0] them[0] to[0] join[0] the[0] class[0] action[0] suit[0] and[0] find[0] vent[0] for[0] their[0] anger[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
