`run lola run' , a german import that gained a stellar reputation at the sundance film festival , is a dazzling and kinetic film that deals with the subjects of fate and chance . 	Translation	Positive	Negative	EmotionRationale
for a berserk and retroactive 81 minutes of non-stop movement , we follow a fiery-haired heroine named lola ( franka potente ) as she sprints to save her boyfriend from the clutches of drug dealers . 	for a berserk and retroactive 81 minutes of non-stop movement , we follow a fiery-haired heroine named lola ( franka potente ) as she sprints to save her boyfriend from the clutches of drug dealers .	3	-2	 for[0] a[0] berserk[-1] and[0] retroactive[0] 81[0] minutes[0] of[0] non[0] stop[0] movement[0] we[0] follow[0] a[0] fiery[-1] haired[0] heroine[2] named[0] lola[0] franka[0] potente[0] as[0] she[0] sprints[0] to[0] save[1] her[0] boyfriend[0] from[0] the[0] clutches[0] of[0] drug[0] dealers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
lola has roughly twenty minutes to somehow retrieve 100 , 000 marks in time to save manni ( moritz bleibtreu ) from being killed by the dealer . 	lola has roughly twenty minutes to somehow retrieve 100 , 00 marks in time to save manni ( moritz bleibtreu ) from being killed by the dealer .	2	-4	 lola[0] has[0] roughly[-1] twenty[0] minutes[0] to[0] somehow[0] retrieve[0] 100[0] 000/00[0] marks[0] in[0] time[0] to[0] save[1] manni[0] moritz[0] bleibtreu[0] from[0] being[0] killed[-3] by[0] the[0] dealer[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but , in something of a pseudo-  groundhog day' approach , director tom tykwer gives lola three separate chances to best navigate her way toward the goal . 	but , in something of a pseudo-  groundhog day' approach , director tom tykwer gives lola three separate chances to best navigate her way toward the goal .	2	-1	 but[0] in[0] something[0] of[0] a[0] pseudo[0] groundhog[0] day'[0] approach[0] director[0] tom[0] tykwer[0] gives[0] lola[0] three[0] separate[0] chances[0] to[0] best[1] navigate[0] her[0] way[0] toward[0] the[0] goal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in these trio of episodes , we gradually learn the unique effects of fate , for even if tiny changes are made in lola's journey , the future can be seriously altered . 	in these trio of episodes , we gradually learn the unique effects of fate , for even if tiny changes are made in lola's journey , the future can be seriously altered .	1	-1	 in[0] these[0] trio[0] of[0] episodes[0] we[0] gradually[0] learn[0] the[0] unique[0] effects[0] of[0] fate[0] for[0] even[0] if[0] tiny[0] changes[0] are[0] made[0] in[0] lola's[0] journey[0] the[0] future[0] can[0] be[0] seriously[0] altered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 run lola run' is an experience like  fight club' or  the matrix' , in that each film takes you through a super-charged wormhole of bending reality in surreal and exciting ways . 	 run lola run' is an experience like  fight club' or  the matrix' , in that each film takes you through a super-charged wormhole of bending reality in surreal and exciting ways .	3	-3	 run[0] lola[0] run'[0] is[0] an[0] experience[0] like[1] fight[-2] club'[0] or[0] the[0] matrix'[0] in[0] that[0] each[0] film[0] takes[0] you[0] through[0] a[0] super[2] charged[-1] wormhole[0] of[0] bending[0] reality[0] in[0] surreal[0] and[0] exciting[2] ways[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in addition , all three movies have a visual style that separates them from the rest of the pack . 	in addition , all three movies have a visual style that separates them from the rest of the pack .	1	-1	 in[0] addition[0] all[0] three[0] movies[0] have[0] a[0] visual[0] style[0] that[0] separates[0] them[0] from[0] the[0] rest[0] of[0] the[0] pack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 lola' is no exception , with stylish quick-flash camera work and cinematography that serves as scintillating eye candy from the get-go . 	 lola' is no exception , with stylish quick-flash camera work and cinematography that serves as scintillating eye candy from the get-go .	1	-1	 lola'[0] is[0] no[0] exception[0] with[0] stylish[0] quick[0] flash[0] camera[0] work[0] and[0] cinematography[0] that[0] serves[0] as[0] scintillating[0] eye[0] candy[0] from[0] the[0] get[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tykwer's world is a landscape of mood and color , with brilliant shades of red and pink ( including lola's fiery hair ) used as effective symbolism throughout . 	tykwer's world is a landscape of mood and color , with brilliant shades of red and pink ( including lola's fiery hair ) used as effective symbolism throughout .	2	-2	 tykwer's[0] world[0] is[0] a[0] landscape[0] of[0] mood[0] and[0] color[0] with[0] brilliant[1] shades[0] of[0] red[0] and[0] pink[0] including[0] lola's[0] fiery[-1] hair[0] used[0] as[0] effective[0] symbolism[0] throughout[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with it's visual style and mind-blowing pace ,  run lola run' is one of the more invigorating movies of the year . 	with it's visual style and mind-blowing pace ,  run lola run' is one of the more invigorating movies of the year .	2	-1	 with[0] it's[0] visual[0] style[0] and[0] mind[0] blowing[0] pace[0] run[0] lola[0] run'[0] is[0] one[0] of[0] the[0] more[0] invigorating[1] movies[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even more so when considering the fact it's all stuffed rather nonchalantly into an 81-minute time period . 	even more so when considering the fact it's all stuffed rather nonchalantly into an 81-minute time period .	1	-1	 even[0] more[0] so[0] when[0] considering[0] the[0] fact[0] it's[0] all[0] stuffed[0] rather[0] nonchalantly[0] into[0] an[0] 81[0] minute[0] time[0] period[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
