seen september 5 , 1998 at 10 p . m . at the sony nickelodeon theaters ( boston , ma ) , theater #2 , with matt perreault for free using my sony/loews critic's pass . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * 1/2 : okay seats , sound , and picture] 	[theater rating : * * 1/2 : okay seats , sound , and picture]	1	-1	 [theater[0] rating[0] 1/2[0] okay[0] seats[0] sound[0] and[0] picture][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
modern society is now inundated with more sex and sexuality than it ever has been before , from teenage sitcoms to nc-17-rated films about fetishes . 	modern society is now inundated with more sex and sexuality than it ever has been before , from teenage sitcoms to nc-17-rated films about fetishes .	1	-2	 modern[0] society[0] is[0] now[0] inundated[-1] with[0] more[0] sex[0] and[0] sexuality[0] than[0] it[0] ever[0] has[0] been[0] before[0] from[0] teenage[0] sitcoms[0] to[0] nc[0] -17[0] rated[0] films[0] about[0] fetishes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the biggest debate of the subject is whether or not it affects reality or just reflects it . 	the biggest debate of the subject is whether or not it affects reality or just reflects it .	1	-1	 the[0] biggest[0] debate[0] of[0] the[0] subject[0] is[0] whether[0] or[0] not[0] it[0] affects[0] reality[0] or[0] just[0] reflects[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " your friends and neighbors " takes a different approach as it's a film that revolves almost entirely around sex and how can be used for both pain and pleasure even within a small circle of friends . 	 " your friends and neighbors " takes a different approach as it's a film that revolves almost entirely around sex and how can be used for both pain and pleasure even within a small circle of friends .	3	-4	 your[0] friends[1] and[0] neighbors[0] takes[0] a[0] different[0] approach[0] as[0] it's[0] a[0] film[0] that[0] revolves[0] almost[0] entirely[0] around[0] sex[0] and[0] how[0] can[0] be[0] used[0] for[0] both[0] pain[-3] and[0] pleasure[2] even[0] within[0] a[0] small[0] circle[0] of[0] friends[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one of the most important aspects of the film that most be noted and analyzed before the film can really be dissected as a whole is writer/director neil labute's basic setup and some of the unique methods he employs to tell the story . 	one of the most important aspects of the film that most be noted and analyzed before the film can really be dissected as a whole is writer/director neil labute's basic setup and some of the unique methods he employs to tell the story .	1	-1	 one[0] of[0] the[0] most[0] important[0] aspects[0] of[0] the[0] film[0] that[0] most[0] be[0] noted[0] and[0] analyzed[0] before[0] the[0] film[0] can[0] really[0] be[0] dissected[0] as[0] a[0] whole[0] is[0] writer/director[0] neil[0] labute's[0] basic[0] setup[0] and[0] some[0] of[0] the[0] unique[0] methods[0] he[0] employs[0] to[0] tell[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
firstly , and most importantly is the fact the script tells a rather complex , detailed story of lust , betrayal , arrogance , hypocrisy , greed , and just plain stupidity between six different characters ( three men , three women ) , without hardly any supporting characters , ( a few have a line or two ) , mostly extras . 	firstly , and most importantly is the fact the script tells a rather complex , detailed story of lust , betrayal , arrogance , hypocrisy , greed , and just plain stupidity between six different characters ( three men , three women ) , without hardly any supporting characters , ( a few have a line or two ) , mostly extras .	2	-4	 firstly[0] and[0] most[0] importantly[0] is[0] the[0] fact[0] the[0] script[0] tells[0] a[0] rather[0] complex[0] detailed[0] story[0] of[0] lust[0] betrayal[-2] arrogance[-2][-1 MultiplePositiveWords] hypocrisy[-1] greed[-2] and[0] just[0] plain[0] stupidity[-1] between[0] six[0] different[0] characters[0] three[0] men[0] three[0] women[0] without[0] hardly[0] any[0] supporting[1] characters[0] a[0] few[0] have[0] a[0] line[0] or[0] two[0] mostly[0] extras[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
everything they do will somehow affect another character and ultimately come full-circle back to themselves , whether it be positive or negative . 	everything they do will somehow affect another character and ultimately come full-circle back to themselves , whether it be positive or negative .	3	-2	 everything[0] they[0] do[0] will[0] somehow[0] affect[0] another[0] character[0] and[0] ultimately[0] come[0] full[0] circle[0] back[0] to[0] themselves[0] whether[0] it[0] be[0] positive[2] or[0] negative[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but to just state this is arbitrary , and explaining and criticizing the process is difficult . 	but to just state this is arbitrary , and explaining and criticizing the process is difficult .	1	-2	 but[0] to[0] just[0] state[0] this[0] is[0] arbitrary[-1] and[0] explaining[0] and[0] criticizing[-1] the[0] process[0] is[0] difficult[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
labute's ability to tell his story through a few characters is a remarkable feat , but what's specifically impressive is the fact the characters' names are never revealed until the end credits roll . 	labute's ability to tell his story through a few characters is a remarkable feat , but what's specifically impressive is the fact the characters' names are never revealed until the end credits roll .	2	-1	 labute's[0] ability[0] to[0] tell[0] his[0] story[0] through[0] a[0] few[0] characters[0] is[0] a[0] remarkable[0] feat[0] but[0] what's[0] specifically[0] impressive[1] is[0] the[0] fact[0] the[0] characters'[0] names[0] are[0] never[0] revealed[0] until[0] the[0] end[0] credits[0] roll[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the sake of this review , i will describe the characters and refer to them as their main characteristic . 	for the sake of this review , i will describe the characters and refer to them as their main characteristic .	1	-1	 for[0] the[0] sake[0] of[0] this[0] review[0] i[0] will[0] describe[0] the[0] characters[0] and[0] refer[0] to[0] them[0] as[0] their[0] main[0] characteristic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another interesting accomplishment is the fact every scene takes place inside with limited focus . 	another interesting accomplishment is the fact every scene takes place inside with limited focus .	2	-1	 another[0] interesting[1] accomplishment[1] is[0] the[0] fact[0] every[0] scene[0] takes[0] place[0] inside[0] with[0] limited[0] focus[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we're always able to tell where the characters are ( someone's home , the gym , a restaurant , hotel room , etc . ) , but what the city they live in , what year it is , what the society is like , etc . is relatively unknown . 	we're always able to tell where the characters are ( someone's home , the gym , a restaurant , hotel room , etc .<br> ) , but what the city they live in , what year it is , what the society is like , etc .<br> is relatively unknown .	2	-1	 we're[0] always[0] able[0] to[0] tell[0] where[0] the[0] characters[0] are[0] someone's[0] home[0] the[0] gym[0] a[0] restaurant[0] hotel[0] room[0] etc[0] [[Sentence=-1,1=word max, 1-5]] but[0] what[0] the[0] city[0] they[0] live[0] in[0] what[0] year[0] it[0] is[0] what[0] the[0] society[0] is[0] like[1] etc[0] [[Sentence=-1,2=word max, 1-5]] is[0] relatively[0] unknown[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the film is a complete character study with the tight , intense drama of the theater . 	the film is a complete character study with the tight , intense drama of the theater .	1	-1	 the[0] film[0] is[0] a[0] complete[0] character[0] study[0] with[0] the[0] tight[0] intense[0] drama[0] of[0] the[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one plot dominates the story , which makes the first act a bit tedious for its lack of background . 	no one plot dominates the story , which makes the first act a bit tedious for its lack of background .	1	-3	 no[0] one[0] plot[0] dominates[-1] the[0] story[0] which[0] makes[0] the[0] first[0] act[0] a[0] bit[0] tedious[-2] for[0] its[0] lack[-1] of[0] background[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we're simply dropped in on the characters' lives and are expected to figure out the rest . 	we're simply dropped in on the characters' lives and are expected to figure out the rest .	1	-1	 we're[0] simply[0] dropped[0] in[0] on[0] the[0] characters'[0] lives[0] and[0] are[0] expected[0] to[0] figure[0] out[0] the[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are a group of middle-class white people who are all successful at what they do , but they're only concern right now seems to be their sex lives . 	the characters are a group of middle-class white people who are all successful at what they do , but they're only concern right now seems to be their sex lives .	3	-2	 the[0] characters[0] are[0] a[0] group[0] of[0] middle[0] class[0] white[0] people[0] who[0] are[0] all[0] successful[2] at[0] what[0] they[0] do[0] but[0] they're[0] only[0] concern[-1] right[0] now[0] seems[0] to[0] be[0] their[0] sex[0] lives[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first there's barry ( eckhart ) and mary ( brenneman ) , a married couple who are going through a dry spell not unlike many other couples in other situations who don't know what they're problem is . 	first there's barry ( eckhart ) and mary ( brenneman ) , a married couple who are going through a dry spell not unlike many other couples in other situations who don't know what they're problem is .	1	-2	 first[0] there's[0] barry[0] eckhart[0] and[0] mary[0] brenneman[0] a[0] married[0] couple[0] who[0] are[0] going[0] through[0] a[0] dry[0] spell[0] not[0] unlike[0] many[0] other[0] couples[0] in[0] other[0] situations[0] who[0] don't[0] know[0] what[0] they're[0] problem[-1] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
barry is kind of a dorky businessman who loves his wife , and the sex they have , but doesn't have a lot of ambition - he just follows everyone else . 	barry is kind of a dorky businessman who loves his wife , and the sex they have , but doesn't have a lot of ambition - he just follows everyone else .	3	-3	 barry[0] is[0] kind[1] of[0] a[0] dorky[-2] businessman[0] who[0] loves[2] his[0] wife[0] and[0] the[0] sex[0] they[0] have[0] but[0] doesn't[0] have[0] a[0] lot[0] of[0] ambition[0] he[0] just[0] follows[0] everyone[0] else[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
mary is a writer of some sort , but lacks aggression and emotion like her husband and is the meekness character , but ironically , doesn't hesitate to commit adultery just to feel something . 	mary is a writer of some sort , but lacks aggression and emotion like her husband and is the meekness character , but ironically , doesn't hesitate to commit adultery just to feel something .	2	-3	 mary[0] is[0] a[0] writer[0] of[0] some[0] sort[0] but[0] lacks[0] aggression[-2] and[0] emotion[0] like[1] her[0] husband[0] and[0] is[0] the[0] meekness[-1] character[0] but[0] ironically[-1] doesn't[0] hesitate[0] to[0] commit[0] adultery[-2] just[0] to[0] feel[0] something[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
labute's script does a good job in characterizing mary and barry as individuals , but is very light on chemistry and connection between the two . 	labute's script does a good job in characterizing mary and barry as individuals , but is very light on chemistry and connection between the two .	2	-1	 labute's[0] script[0] does[0] a[0] good[1] job[0] in[0] characterizing[0] mary[0] and[0] barry[0] as[0] individuals[0] but[0] is[0] very[0] light[0] on[0] chemistry[0] and[0] connection[0] between[0] the[0] two[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
obviously , this is the theme , which is enhanced by the actors' good performances , but at the same time seems just a bit hollow . 	obviously , this is the theme , which is enhanced by the actors' good performances , but at the same time seems just a bit hollow .	2	-2	 obviously[0] this[0] is[0] the[0] theme[0] which[0] is[0] enhanced[0] by[0] the[0] actors'[0] good[1] performances[0] but[0] at[0] the[0] same[0] time[0] seems[0] just[0] a[0] bit[0] hollow[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
