this christmas , little ralphie parker ( peter billingsley ) wants nothing more than a red ryder bb gun under the tree . 	Translation	Positive	Negative	EmotionRationale
although cautioned by many that he will ? shoot his eye out' , ralphie remains optimistic , conjuring up a detailed scheme to get on the good side of his parents and teachers . 	although cautioned by many that he will ?<br> shoot his eye out' , ralphie remains optimistic , conjuring up a detailed scheme to get on the good side of his parents and teachers .	2	-2	 although[0] cautioned[0] by[0] many[0] that[0] he[0] will[0] [[Sentence=-1,1=word max, 1-5]] shoot[-1] his[0] eye[0] out'[0] ralphie[0] remains[0] optimistic[1] conjuring[0] up[0] a[0] detailed[0] scheme[0] to[0] get[0] on[0] the[0] good[1] side[0] of[0] his[0] parents[0] and[0] teachers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it could be possible that no one has ever wanted anything with more passion than ralphie wants this bb gun , and the story of his eternal struggle is a charming one . 	it could be possible that no one has ever wanted anything with more passion than ralphie wants this bb gun , and the story of his eternal struggle is a charming one .	3	-2	 it[0] could[0] be[0] possible[0] that[0] no[0] one[0] has[0] ever[0] wanted[0] anything[0] with[0] more[0] passion[2] than[0] ralphie[0] wants[0] this[0] bb[0] gun[-1] and[0] the[0] story[0] of[0] his[0] eternal[0] struggle[-1] is[0] a[0] charming[1] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 a christmas story' is a favorite among many during the holiday season , and boy , it is certainly easy to see why . 	 a christmas story' is a favorite among many during the holiday season , and boy , it is certainly easy to see why .	2	-1	 a[0] christmas[0] story'[0] is[0] a[0] favorite[1] among[0] many[0] during[0] the[0] holiday[0] season[0] and[0] boy[0] it[0] is[0] certainly[0] easy[0] to[0] see[0] why[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ralphie's endless desire for the bb gun may transport you back to your childhood , when you were craving a certain gift for christmas and the anxiety was almost indescribable . 	ralphie's endless desire for the bb gun may transport you back to your childhood , when you were craving a certain gift for christmas and the anxiety was almost indescribable .	1	-3	 ralphie's[0] endless[0] desire[0] for[0] the[0] bb[0] gun[-1] may[0] transport[0] you[0] back[0] to[0] your[0] childhood[0] when[0] you[0] were[0] craving[0] a[0] certain[0] gift[0] for[0] christmas[0] and[0] the[0] anxiety[-2] was[0] almost[0] indescribable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
evoking pleasant childhood memories is only one of the many things  a christmas story' does so well . 	evoking pleasant childhood memories is only one of the many things  a christmas story' does so well .	3	-1	 evoking[0] pleasant[2] childhood[0] memories[0] is[0] only[0] one[0] of[0] the[0] many[0] things[0] a[0] christmas[0] story'[0] does[0] so[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
here are a few features that make this film such a charming little package for everybody during the holiday season : 	here are a few features that make this film such a charming little package for everybody during the holiday season :	2	-1	 here[0] are[0] a[0] few[0] features[0] that[0] make[0] this[0] film[0] such[0] a[0] charming[1] little[0] package[0] for[0] everybody[0] during[0] the[0] holiday[0] season[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1 ) period detail . 	1 ) period detail .	1	-1	 1[0] period[0] detail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is based on the memoirs of late humorist jean shepard , who shares his experiences as a young boy living in the 1940's with loving detail . 	this film is based on the memoirs of late humorist jean shepard , who shares his experiences as a young boy living in the 1940's with loving detail .	4	-1	 this[0] film[0] is[0] based[0] on[0] the[0] memoirs[0] of[0] late[0] humorist[2] jean[0] shepard[0] who[0] shares[0] his[0] experiences[0] as[0] a[0] young[0] boy[0] living[0] in[0] the[0] 1940's[0] with[0] loving[3] detail[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
shepard narrates from a first person point-of-view , divulging his various adventures one snowy december , in which visions of taking aim with his new bb gun replaced that of sugarplums dancing in his head . 	shepard narrates from a first person point-of-view , divulging his various adventures one snowy december , in which visions of taking aim with his new bb gun replaced that of sugarplums dancing in his head .	1	-2	 shepard[0] narrates[0] from[0] a[0] first[0] person[0] point[0] of[0] view[0] divulging[0] his[0] various[0] adventures[0] one[0] snowy[0] december[0] in[0] which[0] visions[0] of[0] taking[0] aim[0] with[0] his[0] new[0] bb[0] gun[-1] replaced[0] that[0] of[0] sugarplums[0] dancing[0] in[0] his[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shepard's first-hand commentary of several situations is not only downright hilarious , but also witty and warm , with various metaphorical meanings that ring perfectly with the essence of comic timing . 	shepard's first-hand commentary of several situations is not only downright hilarious , but also witty and warm , with various metaphorical meanings that ring perfectly with the essence of comic timing .	3	-1	 shepard's[0] first[0] hand[0] commentary[0] of[0] several[0] situations[0] is[0] not[0] only[0] downright[0] hilarious[2] but[0] also[0] witty[0] and[0] warm[0] with[0] various[0] metaphorical[0] meanings[0] that[0] ring[0] perfectly[1] with[0] the[0] essence[0] of[0] comic[0] timing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
