the long kiss goodnight ( r ) meryl streep tried it and failed . 	Translation	Positive	Negative	EmotionRationale
even pamela anderson lee made an attempt but fell flat on her well-bared assets . 	even pamela anderson lee made an attempt but fell flat on her well-bared assets .	1	-1	 even[0] pamela[0] anderson[0] lee[0] made[0] an[0] attempt[0] but[0] fell[0] flat[0] on[0] her[0] well[0] bared[0] assets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , geena davis could very well become the first bankable american female action star with the long kiss goodnight , a preposterous but incredibly fun action thriller directed by her husband , renny harlin . 	however , geena davis could very well become the first bankable american female action star with the long kiss goodnight , a preposterous but incredibly fun action thriller directed by her husband , renny harlin .	4	-2	 however[0] geena[0] davis[0] could[0] very[0] well[0] become[0] the[0] first[0] bankable[0] american[0] female[0] action[0] star[0] with[0] the[0] long[0] kiss[2] goodnight[0] a[0] preposterous[-1] but[0] incredibly[0] fun[1][2 LastWordBoosterStrength] action[0] thriller[1] directed[0] by[0] her[0] husband[0] renny[0] harlin[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
davis plays samantha caine , a mousy suburban school teacher and mother whose memories only go back eight years . 	davis plays samantha caine , a mousy suburban school teacher and mother whose memories only go back eight years .	2	-1	 davis[0] plays[1] samantha[0] caine[0] a[0] mousy[0] suburban[0] school[0] teacher[0] and[0] mother[0] whose[0] memories[0] only[0] go[0] back[0] eight[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with the help of ethically questionable private detective mitch hennessey ( samuel l . jackson ) , she slowly remembers--and reclaims--her past as charly baltimore , tough-as-nails cia operative . 	with the help of ethically questionable private detective mitch hennessey ( samuel l .<br> jackson ) , she slowly remembers-and reclaims-her past as charly baltimore , tough-as-nails cia operative .	1	-2	 with[0] the[0] help[0] of[0] ethically[0] questionable[-1] private[0] detective[0] mitch[0] hennessey[0] samuel[0] l[0] [[Sentence=-2,1=word max, 1-5]] jackson[0] she[0] slowly[0] remembers[0] and[0] reclaims[0] her[0] past[0] as[0] charly[0] baltimore[0] tough[-1] as[0] nails[0] cia[0] operative[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
needless to say , with the reappearance of samantha/charly comes the appearance of an assortment of no-goodniks out to erase more than her memory . 	needless to say , with the reappearance of samantha/charly comes the appearance of an assortment of no-goodniks out to erase more than her memory .	1	-2	 needless[0] to[0] say[0] with[0] the[0] reappearance[0] of[0] samantha/charly[0] comes[0] the[0] appearance[0] of[0] an[0] assortment[0] of[0] no[0] goodniks[0] out[0] to[0] erase[-1] more[0] than[0] her[0] memory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shane black netted a cool  4 mil for his script ; i'm not so sure if his prose is truly deserving of such a hefty price tag , but for what it's worth , it delivers the goods . 	shane black netted a cool  4 mil for his script ; i'm not so sure if his prose is truly deserving of such a hefty price tag , but for what it's worth , it delivers the goods .	2	-1	 shane[0] black[0] netted[0] a[0] cool[1] 4[0] mil[0] for[0] his[0] script[0] i'm[0] not[0] so[0] sure[0] if[0] his[0] prose[0] is[0] truly[1] deserving[0] of[0] such[0] a[0] hefty[0] price[0] tag[0] but[0] for[0] what[0] it's[0] worth[0] it[0] delivers[0] the[0] goods[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like black's previous work , such as lethal weapon and the last boy scout , the script juggles some impressive action scenes with funny , quirky dialogue . 	like black's previous work , such as lethal weapon and the last boy scout , the script juggles some impressive action scenes with funny , quirky dialogue .	2	-2	 like[1] black's[0] previous[0] work[0] such[0] as[0] lethal[0] weapon[-1] and[0] the[0] last[0] boy[0] scout[0] the[0] script[0] juggles[0] some[0] impressive[1][-1 LastWordBoosterStrength] action[0] scenes[0] with[0] funny[1] quirky[0] dialogue[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the humor especially works well in this case , for the story is so preposterous that the laughs help to keep things from taking things too seriously . 	the humor especially works well in this case , for the story is so preposterous that the laughs help to keep things from taking things too seriously .	3	-2	 the[0] humor[2] especially[0] works[0] well[0] in[0] this[0] case[0] for[0] the[0] story[0] is[0] so[0] preposterous[-1] that[0] the[0] laughs[1] help[0] to[0] keep[0] things[0] from[0] taking[0] things[0] too[0] seriously[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but there's no argument that the more unbelievable sequences are original and entertaining as hell : who can resist the sight of davis tossing her daughter from a hole in her house into the nearby treehouse or chasing after a car . . . 	but there's no argument that the more unbelievable sequences are original and entertaining as hell : who can resist the sight of davis tossing her daughter from a hole in her house into the nearby treehouse or chasing after a car .<br> .<br> .	1	-2	 but[0] there's[0] no[0] argument[-1] that[0] the[0] more[0] unbelievable[-1] sequences[0] are[0] original[0] and[0] entertaining[0] as[0] hell[-1] who[0] can[0] resist[0] the[0] sight[0] of[0] davis[0] tossing[0] her[0] daughter[0] from[0] a[0] hole[0] in[0] her[0] house[0] into[0] the[0] nearby[0] treehouse[0] or[0] chasing[0] after[0] a[0] car[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while ice skating ? 	while ice skating ?	1	-1	 while[0] ice[0] skating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackson and davis make a good team . 	jackson and davis make a good team .	2	-1	 jackson[0] and[0] davis[0] make[0] a[0] good[1] team[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jackson is funny as ever as ever ; in fact , his spirited line deliveries , especially when he first appears , are more than reminiscent of his work as jules in pulp fiction . 	jackson is funny as ever as ever ; in fact , his spirited line deliveries , especially when he first appears , are more than reminiscent of his work as jules in pulp fiction .	2	-1	 jackson[0] is[0] funny[1] as[0] ever[0] as[0] ever[0] in[0] fact[0] his[0] spirited[0] line[0] deliveries[0] especially[0] when[0] he[0] first[0] appears[0] are[0] more[0] than[0] reminiscent[0] of[0] his[0] work[0] as[0] jules[0] in[0] pulp[0] fiction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
