roberto benigni is a clown in the tradition of chaplin and keaton . 	Translation	Positive	Negative	EmotionRationale
this italian film star , best known in the united states for the poorly received son of the pink panther , has done the near impossible by creating a comic fable about the holocaust . 	this italian film star , best known in the united states for the poorly received son of the pink panther , has done the near impossible by creating a comic fable about the holocaust .	2	-2	 this[0] italian[0] film[0] star[0] best[1] known[0] in[0] the[0] united[0] states[0] for[0] the[0] poorly[-1] received[0] son[0] of[0] the[0] pink[0] panther[0] has[0] done[0] the[0] near[0] impossible[0] by[0] creating[0] a[0] comic[0] fable[0] about[0] the[0] holocaust[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but benigni's life is beautiful ( la vita e bella ) is not so much a story of the holocaust as it uses that monstrous outrage against humanity as a backdrop to tell a story of familial love , devotion and sacrifice . 	but benigni's life is beautiful ( la vita e bella ) is not so much a story of the holocaust as it uses that monstrous outrage against humanity as a backdrop to tell a story of familial love , devotion and sacrifice .	4	-4	 but[0] benigni's[1] life[0] is[0] beautiful[2] la[0] vita[0] e[0] bella[0] is[0] not[0] so[0] much[0] a[0] story[0] of[0] the[0] holocaust[0] as[0] it[0] uses[0] that[0] monstrous[-2] outrage[-2][-1 MultiplePositiveWords] against[-1] humanity[0] as[0] a[0] backdrop[0] to[0] tell[0] a[0] story[0] of[0] familial[0] love[2] devotion[2][+1 MultiplePositiveWords] and[0] sacrifice[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the movie starts out as a typical slapstick farce with benigni's guido arriving in the small tuscan town of arezzo in 1938 to fulfill his dream of owning a bookstore . 	the movie starts out as a typical slapstick farce with benigni's guido arriving in the small tuscan town of arezo in 1938 to fulfil his dream of owning a bookstore .	2	-2	 the[0] movie[0] starts[0] out[0] as[0] a[0] typical[0] slapstick[-1] farce[-1] with[0] benigni's[1] guido[0] arriving[0] in[0] the[0] small[0] tuscan[0] town[0] of[0] arezzo/arezo[0] in[0] 1938[0] to[0] fulfill/fulfil[0] his[0] dream[0] of[0] owning[0] a[0] bookstore[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like many of the slapstick clowns who preceded him , most notably the almost-forgotten harry langdon , benigni's guido has a childlike innocence . 	like many of the slapstick clowns who preceded him , most notably the almost-forgotten harry langdon , benigni's guido has a childlike innocence .	2	-2	 like[1] many[0] of[0] the[0] slapstick[-1] clowns[0] who[0] preceded[0] him[0] most[0] notably[0] the[0] almost[0] forgotten[0] harry[0] langdon[0] benigni's[1] guido[0] has[0] a[0] childlike[0] innocence[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he ignores the growing anti-semitism of the fascist government . 	he ignores the growing anti-semitism of the fascist government .	1	-2	 he[0] ignores[0] the[0] growing[0] anti[0] semitism[0] of[0] the[0] fascist[-1] government[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , guido ardently falls in love and persues dora , a local school teacher who already is engaged to a local fascist official . 	instead , guido ardently falls in love and persues dora , a local school teacher who already is engaged to a local fascist official .	3	-2	 instead[0] guido[0] ardently[0] falls[0] in[0] love[2] and[0] persues[0] dora[0] a[0] local[0] school[0] teacher[0] who[0] already[0] is[0] engaged[0] to[0] a[0] local[0] fascist[-1] official[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in benigni's tightly wound script this is the same fascist official with whom guido had an earlier unfortunate - yet slapstick - encounter . 	in benigni's tightly wound script this is the same fascist official with whom guido had an earlier unfortunate - yet slapstick - encounter .	2	-2	 in[0] benigni's[1] tightly[0] wound[-1] script[0] this[0] is[0] the[0] same[0] fascist[-1] official[0] with[0] whom[0] guido[0] had[0] an[0] earlier[0] unfortunate[-1] yet[0] slapstick[-1] encounter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
guido wins dora . 	guido wins dora .	1	-1	 guido[0] wins[0] dora[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they marry . 	they marry .	1	-1	 they[0] marry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fast forward about five years . 	fast forward about five years .	1	-1	 fast[0] forward[0] about[0] five[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guido , dora , and their 5-year-old son , giosue ? ( giorgio cantarini ) are a happy family . 	guido , dora , and their 5-year-old son , giosue ?<br> ( giorgio cantarini ) are a happy family .	2	-1	 guido[0] dora[0] and[0] their[0] 5[0] year[0] old[0] son[0] giosue[0] [[Sentence=-1,1=word max, 1-5]] giorgio[0] cantarini[0] are[0] a[0] happy[1] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
guido has finally fulfilled his dream of opening a bookstore . 	guido has finally fulfilled his dream of opening a bookstore .	1	-1	 guido[0] has[0] finally[0] fulfilled[0] his[0] dream[0] of[0] opening[0] a[0] bookstore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but racial and anti-semitic tensions are on the rise in italy , and guido has determined to do his best to shield his son from these harsh realities . 	but racial and anti-semitic tensions are on the rise in italy , and guido has determined to do his best to shield his son from these harsh realities .	2	-3	 but[0] racial[0] and[0] anti[0] semitic[0] tensions[-2] are[0] on[0] the[0] rise[0] in[0] italy[0] and[0] guido[0] has[0] determined[0] to[0] do[0] his[0] best[1] to[0] shield[0] his[0] son[0] from[0] these[0] harsh[-1] realities[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the task becomes even the more difficult when the family is deported to a concentration camp . 	the task becomes even the more difficult when the family is deported to a concentration camp .	1	-2	 the[0] task[0] becomes[0] even[0] the[0] more[0] difficult[-1] when[0] the[0] family[0] is[0] deported[0] to[0] a[0] concentration[0] camp[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , guido must use all his skill and imagination not only to shield his son , but to keep him from being exterminated . 	here , guido must use all his skill and imagination not only to shield his son , but to keep him from being exterminated .	1	-2	 here[0] guido[0] must[0] use[0] all[0] his[0] skill[0] and[0] imagination[0] not[0] only[0] to[0] shield[0] his[0] son[0] but[0] to[0] keep[0] him[0] from[0] being[0] exterminated[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
