felix ( sami bouajila , " the siege " ) lives a contented life with his boyfriend daniel ( pierre-loup rajot ) in the little town of dieppe in northern france . 	Translation	Positive	Negative	EmotionRationale
when he is laid off from his job , after discovering the address of the father who abandoned him before he was born , he decides to journey to marseilles , in the south , to find the man he never met in " the adventures of felix . " 	when he is laid off from his job , after discovering the address of the father who abandoned him before he was born , he decides to journey to marseilles , in the south , to find the man he never met in " the adventures of felix .<br> "	1	-2	 when[0] he[0] is[0] laid[0] off[0] from[0] his[0] job[0] after[0] discovering[0] the[0] address[0] of[0] the[0] father[0] who[0] abandoned[-1] him[0] before[0] he[0] was[0] born[0] he[0] decides[0] to[0] journey[0] to[0] marseilles[0] in[0] the[0] south[0] to[0] find[0] the[0] man[0] he[0] never[0] met[0] in[0] the[0] adventures[0] of[0] felix[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
writers/directors olivier ducastel and jacques martineau made their debut with the musical comedy " jeanne and the perfect guy , " embracing that typically american genre . 	writers/directors olivier ducastel and jacques martineau made their debut with the musical comedy " jeanne and the perfect guy , " embracing that typically american genre .	2	-1	 writers/directors[0] olivier[0] ducastel[0] and[0] jacques[0] martineau[0] made[0] their[0] debut[0] with[0] the[0] musical[0] comedy[0] jeanne[0] and[0] the[0] perfect[1] guy[0] embracing[0] that[0] typically[0] american[0] genre[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their second effort , " the adventures of felix , " once again borrows from america with a tale of a young man who hits the road to find himself . 	their second effort , " the adventures of felix , " once again borrows from america with a tale of a young man who hits the road to find himself .	1	-1	 their[0] second[0] effort[0] the[0] adventures[0] of[0] felix[0] once[0] again[0] borrows[0] from[0] america[0] with[0] a[0] tale[0] of[0] a[0] young[0] man[0] who[0] hits[0] the[0] road[0] to[0] find[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
felix is happy with his life in dieppe , but when the ferry company he works for falls prey to the economics of the chunnel , he is out of a job and at loose ends . 	felix is happy with his life in dieppe , but when the ferry company he works for falls prey to the economics of the chunnel , he is out of a job and at loose ends .	2	-1	 felix[0] is[0] happy[1] with[0] his[0] life[0] in[0] dieppe[0] but[0] when[0] the[0] ferry[0] company[0] he[0] works[0] for[0] falls[0] prey[0] to[0] the[0] economics[0] of[0] the[0] chunnel[0] he[0] is[0] out[0] of[0] a[0] job[0] and[0] at[0] loose[0] ends[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when he goes through his late mother's papers he learns that the father he never knew is living in marseilles , hundreds of miles away . 	when he goes through his late mother's papers he learns that the father he never knew is living in marseilles , hundreds of miles away .	1	-1	 when[0] he[0] goes[0] through[0] his[0] late[0] mother's[0] papers[0] he[0] learns[0] that[0] the[0] father[0] he[0] never[0] knew[0] is[0] living[0] in[0] marseilles[0] hundreds[0] of[0] miles[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
felix makes the snap decision to journey to the south , puts together a supply of " cocktails " for his hiv virus , kisses daniel goodbye and heads off on foot . 	felix makes the snap decision to journey to the south , puts together a supply of " cocktails " for his hiv virus , kisses daniel goodbye and heads off on foot .	3	-1	 felix[0] makes[0] the[0] snap[0] decision[0] to[0] journey[0] to[0] the[0] south[0] puts[0] together[0] a[0] supply[0] of[0] cocktails[0] for[0] his[0] hiv[0] virus[0] kisses[2] daniel[0] goodbye[0] and[0] heads[0] off[0] on[0] foot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he refuses to use trains and wants to avoid big cities as he hitchhikes across france to find his destiny . 	he refuses to use trains and wants to avoid big cities as he hitchikes across france to find his destiny .	1	-2	 he[0] refuses[-1] to[0] use[0] trains[0] and[0] wants[0] to[0] avoid[-1] big[0] cities[0] as[0] he[0] hitchhikes/hitchikes[0] across[0] france[0] to[0] find[0] his[0] destiny[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way , a series of chance encounters with various strangers teaches felix that family is not always made up of blood relations . 	along the way , a series of chance encounters with various strangers teaches felix that family is not always made up of blood relations .	1	-1	 along[0] the[0] way[0] a[0] series[0] of[0] chance[0] encounters[0] with[0] various[0] strangers[0] teaches[0] felix[0] that[0] family[0] is[0] not[0] always[0] made[0] up[0] of[0] blood[0] relations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the road , he witnesses a race-related mugging that turns into murder and , frightened for his own safety , runs away without telling the police . 	on the road , he witnesses a race-related mugging that turns into murder and , frightened for his own safety , runs away without telling the police .	2	-4	 on[0] the[0] road[0] he[0] witnesses[0] a[0] race[0] related[0] mugging[0] that[0] turns[0] into[0] murder[-3] and[0] frightened[-3] for[0] his[0] own[0] safety[1] runs[0] away[0] without[0] telling[0] the[0] police[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
following this harrowing experience , he has his first chance meeting that begins the unconscious construction of his ideal family . 	following this harrowing experience , he has his first chance meeting that begins the unconscious construction of his ideal family .	1	-1	 following[0] this[0] harrowing[0] experience[0] he[0] has[0] his[0] first[0] chance[0] meeting[0] that[0] begins[0] the[0] unconscious[0] construction[0] of[0] his[0] ideal[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his journey brings him to rouen , and the film's first title section , " my little brother , " where he meets jules , a young art student who becomes smitten with felix . 	his journey brings him to rouen , and the film's first title section , " my little brother , " where he meets jules , a young art student who becomes smitten with felix .	1	-1	 his[0] journey[0] brings[0] him[0] to[0] rouen[0] and[0] the[0] film's[0] first[0] title[0] section[0] my[0] little[0] brother[0] where[0] he[0] meets[0] jules[0] a[0] young[0] art[0] student[0] who[0] becomes[0] smitten[0] with[0] felix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they steal a car and develop a chaste , brotherly affection before felix must move on . 	they steal a car and develop a chaste , brotherly affection before felix must move on .	3	-3	 they[0] steal[-2] a[0] car[0] and[0] develop[0] a[0] chaste[0] brotherly[0] affection[2] before[0] felix[0] must[0] move[0] on[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he next meets elderly mathilde ( patachou ) , in the chapter titled " my grandmother , " and soon learns that she , too , has a fondness for the same tv soap opera that felix has grown addicted to . 	he next meets elderly mathilde ( patachou ) , in the chapter titled " my grandmother , " and soon learns that she , too , has a fondness for the same tv soap opera that felix has grown addicted to .	3	-2	 he[0] next[0] meets[0] elderly[0] mathilde[0] patachou[0] in[0] the[0] chapter[0] titled[0] my[0] grandmother[0] and[0] soon[0] learns[0] that[0] she[0] too[0] has[0] a[0] fondness[2] for[0] the[0] same[0] tv[0] soap[0] opera[0] that[0] felix[0] has[0] grown[0] addicted[-1] to[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she wants him to stay with her , but he must continue on his way to find his father . 	she wants him to stay with her , but he must continue on his way to find his father .	1	-1	 she[0] wants[0] him[0] to[0] stay[0] with[0] her[0] but[0] he[0] must[0] continue[0] on[0] his[0] way[0] to[0] find[0] his[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the weakest chapter of felix's road trip , titled " my cousin , " he meets a railroad worker ( philippe garziano ) and has a brief sexual encounter before heading off , once again , toward marseilles . 	in the weakest chapter of felix's road trip , titled " my cousin , " he meets a railroad worker ( philippe garziano ) and has a brief sexual encounter before heading off , once again , toward marseilles .	1	-2	 in[0] the[0] weakest[-1] chapter[0] of[0] felix's[0] road[0] trip[0] titled[0] my[0] cousin[0] he[0] meets[0] a[0] railroad[0] worker[0] philippe[0] garziano[0] and[0] has[0] a[0] brief[0] sexual[0] encounter[0] before[0] heading[0] off[0] once[0] again[0] toward[0] marseilles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he next helps a stranded lady motorist , isabelle ( ariane ascaride ) , and shags a ride with her and her three kids ( each with a different daddy ) in the sequence titled " my sister . " 	he next helps a stranded lady motorist , isabelle ( ariane ascaride ) , and shags a ride with her and her three kids ( each with a different daddy ) in the sequence titled " my sister .<br> "	1	-1	 he[0] next[0] helps[0] a[0] stranded[0] lady[0] motorist[0] isabelle[0] ariane[0] ascaride[0] and[0] shags[0] a[0] ride[0] with[0] her[0] and[0] her[0] three[0] kids[0] each[0] with[0] a[0] different[0] daddy[0] in[0] the[0] sequence[0] titled[0] my[0] sister[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is torn by the inner turmoil of not going to the police about the murder he witnessed and isabelle comforts him just as a sister would . 	he is torn by the inner turmoil of not going to the police about the murder he witnessed and isabelle comforts him just as a sister would .	2	-4	 he[0] is[0] torn[0] by[0] the[0] inner[0] turmoil[-2] of[0] not[0] going[0] to[0] the[0] police[0] about[0] the[0] murder[-3] he[0] witnessed[0] and[0] isabelle[0] comforts[1] him[0] just[0] as[0] a[0] sister[0] would[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on the final leg of the journey titled " my father , " he meets an older man , a fisherman ( maurice benichou ) , who enlightens him about the real facts of life and family while they fly felix's kite , just like a father and son . 	on the final leg of the journey titled " my father , " he meets an older man , a fisherman ( maurice benichou ) , who enlightens him about the real facts of life and family while they fly felix's kite , just like a father and son .	1	-1	 on[0] the[0] final[0] leg[0] of[0] the[0] journey[0] titled[0] my[0] father[0] he[0] meets[0] an[0] older[0] man[0] a[0] fisherman[0] maurice[0] benichou[0] who[0] enlightens[0] him[0] about[0] the[0] real[0] facts[0] of[0] life[0] and[0] family[0] while[0] they[0] fly[0] felix's[0] kite[0] just[0] like[1][-1 LastWordBoosterStrength] a[0] father[0] and[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the adventures of felix " has a number of things going for it as we follow felix on his journey of discovery . 	 " the adventures of felix " has a number of things going for it as we follow felix on his journey of discovery .	1	-1	 the[0] adventures[0] of[0] felix[0] has[0] a[0] number[0] of[0] things[0] going[0] for[0] it[0] as[0] we[0] follow[0] felix[0] on[0] his[0] journey[0] of[0] discovery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first and foremost is the charming performance by sami bouajila as felix . 	first and foremost is the charming performance by sami bouajila as felix .	2	-1	 first[0] and[0] foremost[0] is[0] the[0] charming[1] performance[0] by[0] sami[0] bouajila[0] as[0] felix[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is a likable guy , fighting his hiv with his doses of " cocktails , " and lights up the screen as he makes the long walk , often with dance and song , to find his father and himself . 	he is a likable guy , fighting his hiv with his doses of " cocktails , " and lights up the screen as he makes the long walk , often with dance and song , to find his father and himself .	1	-3	 he[0] is[0] a[0] likable[0] guy[0] fighting[-2] his[0] hiv[0] with[0] his[0] doses[0] of[0] cocktails[0] and[0] lights[0] up[0] the[0] screen[0] as[0] he[0] makes[0] the[0] long[0] walk[0] often[0] with[0] dance[0] and[0] song[0] to[0] find[0] his[0] father[0] and[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as he encounters each member of his new family , promising each that he will send a postcard when he arrives at his final destination , he grows a little bit more spiritually and emotionally . 	as he encounters each member of his new family , promising each that he will send a postcard when he arrives at his final destination , he grows a little bit more spiritually and emotionally .	2	-1	 as[0] he[0] encounters[0] each[0] member[0] of[0] his[0] new[0] family[0] promising[1] each[0] that[0] he[0] will[0] send[0] a[0] postcard[0] when[0] he[0] arrives[0] at[0] his[0] final[0] destination[0] he[0] grows[0] a[0] little[0] bit[0] more[0] spiritually[0] and[0] emotionally[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bouajila does a terrific job holding center stage on the screen . 	bouajila does a terrific job holding center stage on the screen .	4	-1	 bouajila[0] does[0] a[0] terrific[3] job[0] holding[0] center[0] stage[0] on[0] the[0] screen[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the cast of characters making up felix's new-found family are nearly as charming as the star , each in their own way . 	the cast of characters making up felix's new-found family are nearly as charming as the star , each in their own way .	2	-1	 the[0] cast[0] of[0] characters[0] making[0] up[0] felix's[0] new[0] found[0] family[0] are[0] nearly[0] as[0] charming[1] as[0] the[0] star[0] each[0] in[0] their[0] own[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
patachou , especially , is wonderful as the grandma character and a kindred spirit to felix . 	patachou , especially , is wonderful as the grandma character and a kindred spirit to felix .	3	-1	 patachou[0] especially[0] is[0] wonderful[2] as[0] the[0] grandma[0] character[0] and[0] a[0] kindred[0] spirit[0] to[0] felix[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ariane ascaride , along with her kids , gives a perf that really makes you think of her as the sister that the young man never had . 	ariane ascaride , along with her kids , gives a perf that really makes you think of her as the sister that the young man never had .	1	-1	 ariane[0] ascaride[0] along[0] with[0] her[0] kids[0] gives[0] a[0] perf[0] that[0] really[0] makes[0] you[0] think[0] of[0] her[0] as[0] the[0] sister[0] that[0] the[0] young[0] man[0] never[0] had[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only the " cousin " chapter lacks the emotional depth of the rest and feels like a perfunctory addition to felix's " family . " 	only the " cousin " chapter lacks the emotional depth of the rest and feels like a perfunctory addition to felix's " family .<br> "	2	-2	 only[0] the[0] cousin[0] chapter[0] lacks[0] the[0] emotional[-1] depth[0] of[0] the[0] rest[0] and[0] feels[0] like[1] a[0] perfunctory[0] addition[0] to[0] felix's[0] family[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the adventures of felix " does not reinvent the road movie , but it does provide a charismatic telling of a young man's journey to find himself and , to his surprise , his discovery is dramatically different than he expected at the beginning . 	 " the adventures of felix " does not reinvent the road movie , but it does provide a charismatic telling of a young man's journey to find himself and , to his surprise , his discovery is dramatically different than he expected at the beginning .	1	-1	 the[0] adventures[0] of[0] felix[0] does[0] not[0] reinvent[0] the[0] road[0] movie[0] but[0] it[0] does[0] provide[0] a[0] charismatic[0] telling[0] of[0] a[0] young[0] man's[0] journey[0] to[0] find[0] himself[0] and[0] to[0] his[0] surprise[0] his[0] discovery[0] is[0] dramatically[0] different[0] than[0] he[0] expected[0] at[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it helps that cinematographer matthieu poirot-delpech's crisp lensing compliments the story perfectly as felix moves across the french countryside . 	it helps that cinematographer matthieu poirot-delpech's crisp lensing compliments the story perfectly as felix moves across the french countryside .	2	-1	 it[0] helps[0] that[0] cinematographer[0] matthieu[0] poirot[0] delpech's[0] crisp[0] lensing[0] compliments[1] the[0] story[0] perfectly[1] as[0] felix[0] moves[0] across[0] the[0] french[0] countryside[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i give it a b  . 	i give it a b  .	1	-1	 i[0] give[0] it[0] a[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
