imagine this scenario : you and any of your family members are scudding through one of those long , excruciating cross-country car trips , far from the city and into the deserted rural routes . 	Translation	Positive	Negative	EmotionRationale
so far , the trip is idyllic when , abruptly , your car malfunctions and you are stranded in the middle of nowhere . 	so far , the trip is idyllic when , abruptly , your car malfunctions and you are stranded in the middle of nowhere .	1	-1	 so[0] far[0] the[0] trip[0] is[0] idyllic[0] when[0] abruptly[0] your[0] car[0] malfunctions[0] and[0] you[0] are[0] stranded[0] in[0] the[0] middle[0] of[0] nowhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not an easy situation , but a perfectly plausible one , the panorama in which breakdown musters it's throbbing suspense and skillfully executed tautness . 	it is not an easy situation , but a perfectly plausible one , the panorama in which breakdown musters it's throbbing suspense and skilfully executed tautness .	2	-2	 it[0] is[0] not[0] an[0] easy[0] situation[0] but[0] a[0] perfectly[1] plausible[0] one[0] the[0] panorama[0] in[0] which[0] breakdown[-1] musters[0] it's[0] throbbing[0] suspense[0] and[0] skillfully/skilfully[0] executed[-1] tautness[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is not easy to cobble a distinct and gripping thriller nowadays , but breakdown doesn't bungle into rudimentary plot holes or cliches and it derives a masterful , titillating climax that by it's finale , engrosses a viewer with total absorption . 	it is not easy to cobble a distinct and gripping thriller nowadays , but breakdown doesn't bungle into rudimentary plot holes or cliches and it derives a masterful , titillating climax that by it's finale , engrosses a viewer with total absorption .	2	-2	 it[0] is[0] not[0] easy[0] to[0] cobble[0] a[0] distinct[0] and[0] gripping[0] thriller[1] nowadays[0] but[0] breakdown[-1] doesn't[0] bungle[-1] into[0] rudimentary[0] plot[0] holes[0] or[0] cliches[0] and[0] it[0] derives[0] a[0] masterful[0] titillating[0] climax[0] that[0] by[0] it's[0] finale[0] engrosses[0] a[0] viewer[0] with[0] total[0] absorption[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is somewhat reminiscent of 1988's the vanishing . 	the plot is somewhat reminiscent of 1988's the vanishing .	1	-2	 the[0] plot[0] is[0] somewhat[0] reminiscent[0] of[0] 1988's[0] the[0] vanishing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kurt russell and kathleen quinlan respectively play jeff and amy taylor , a massachusetts couple en route to california for a brand new job . 	kurt russell and kathleen quinlan respectively play jeff and amy taylor , a massachusetts couple en route to california for a brand new job .	3	-1	 kurt[0] russell[0] and[0] kathleen[0] quinlan[0] respectively[2] play[0] jeff[0] and[0] amy[0] taylor[0] a[0] massachusetts[0] couple[0] en[0] route[0] to[0] california[0] for[0] a[0] brand[0] new[0] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when they stop for gas somewhere in the arid southwest , jeff is confronted by a pugnacious driver , who later , will be an important player in the plot department . 	when they stop for gas somewhere in the arid southwest , jeff is confronted by a pugnacious driver , who later , will be an important player in the plot department .	1	-3	 when[0] they[0] stop[0] for[0] gas[0] somewhere[0] in[0] the[0] arid[0] southwest[0] jeff[0] is[0] confronted[-2] by[0] a[0] pugnacious[0] driver[0] who[0] later[0] will[0] be[0] an[0] important[0] player[0] in[0] the[0] plot[0] department[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
minutes later after that , their brand new , strikingly red , jeep grand cherokee unexpectedly stops . 	minutes later after that , their brand new , strikingly red , jeep grand cherokee unexpectedly stops .	2	-2	 minutes[0] later[0] after[0] that[0] their[0] brand[0] new[0] strikingly[0] red[0] jeep[0] grand[1] cherokee[0] unexpectedly[-1] stops[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jeff cannot detect the car's problem , so he allows amy to take a ride with red ( j . 	jeff cannot detect the car's problem , so he allows amy to take a ride with red ( j .	1	-2	 jeff[0] cannot[0] detect[0] the[0] car's[0] problem[-1] so[0] he[0] allows[0] amy[0] to[0] take[0] a[0] ride[0] with[0] red[0] j[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
t walsh ) , a heedful truck driver who will convey her to the nearest town , where jeff will meet her at a local diner . 	t walsh ) , a heedful truck driver who will convey her to the nearest town , where jeff will meet her at a local diner .	1	-1	 t[0] walsh[0] a[0] heedful[0] truck[0] driver[0] who[0] will[0] convey[0] her[0] to[0] the[0] nearest[0] town[0] where[0] jeff[0] will[0] meet[0] her[0] at[0] a[0] local[0] diner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is facile for the film to turn into a pseudo-suspenser , but instead it opts for maximum fervor . 	it is facile for the film to turn into a pseudo-suspenser , but instead it opts for maximum fervor .	1	-1	 it[0] is[0] facile[0] for[0] the[0] film[0] to[0] turn[0] into[0] a[0] pseudo[0] suspenser[0] but[0] instead[0] it[0] opts[0] for[0] maximum[0] fervor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
