capsule : this is a 1950s or 1960s style heist film , set in the present . 	Translation	Positive	Negative	EmotionRationale
robert deniro stars as a risk-adverse safecracker who wants to retire form crime but takes one last job at the request of a personal friend ( played by marlon brando ) . 	robert deniro stars as a risk-adverse safecracker who wants to retire form crime but takes one last job at the request of a personal friend ( played by marlon brando ) .	2	-2	 robert[0] deniro[0] stars[0] as[0] a[0] risk[-1] adverse[-1] safecracker[1] who[0] wants[0] to[0] retire[-1] form[0] crime[-1] but[0] takes[0] one[0] last[0] job[0] at[0] the[0] request[0] of[0] a[0] personal[0] friend[1] played[0] by[0] marlon[0] brando[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
edward norton plays a hotshot young sharpster who is also in on the crime . 	edward norton plays a hotshot young sharpster who is also in on the crime .	2	-2	 edward[0] norton[0] plays[1] a[0] hotshot[0] young[0] sharpster[0] who[0] is[0] also[0] in[0] on[0] the[0] crime[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is mostly straightforward suspense with little nonsense . 	the plot is mostly straightforward suspense with little nonsense .	1	-2	 the[0] plot[0] is[0] mostly[0] straightforward[0] suspense[0] with[0] little[0] nonsense[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ,  2 ( -4 to  4 ) 	 ,  2 ( -4 to  4 )	1	-1	 2[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am sure i must have seen almost the identical plot before . 	i am sure i must have seen almost the identical plot before .	1	-1	 i[0] am[0] sure[0] i[0] must[0] have[0] seen[0] almost[0] the[0] identical[0] plot[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a heist film made for an adult audience who probably wanted a crime film like they had seen in theaters when they were teens . 	this is a heist film made for an adult audience who probably wanted a crime film like they had seen in theaters when they were teens .	2	-2	 this[0] is[0] a[0] heist[0] film[0] made[0] for[0] an[0] adult[0] audience[0] who[0] probably[0] wanted[0] a[0] crime[-1] film[0] like[1] they[0] had[0] seen[0] in[0] theaters[0] when[0] they[0] were[0] teens[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are no superhuman acrobats taking nosedives off of buildings like in entrapment . 	there are no superhuman acrobats taking nosedives off of buildings like in entrapment .	2	-1	 there[0] are[0] no[0] superhuman[0] acrobats[0] taking[0] nosedives[0] off[0] of[0] buildings[0] like[1] in[0] entrapment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is no rock score . 	there is no rock score .	2	-1	 there[0] is[0] no[0] rock[1] score[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are no ballet- like martial arts . 	there are no ballet- like martial arts .	2	-1	 there[0] are[0] no[0] ballet[0] like[1] martial[0] arts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is just a basic heist film with a decent and distinctly credible and un-flashy script . 	this is just a basic heist film with a decent and distinctly credible and un-flashy script .	1	-1	 this[0] is[0] just[0] a[0] basic[0] heist[0] film[0] with[0] a[0] decent[0] and[0] distinctly[0] credible[0] and[0] un[0] flashy[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
