since their film debut in 1984 with the tightly wrought texas thriller " blood simple , " joel and ethan coen have been one of the most eclectic , original , and downright fascinating creative teams in modern hollywood . 	Translation	Positive	Negative	EmotionRationale
their films are highly stylized , deeply embedded in a particular time and place , and their characters are more often than not everyday people who get caught up in highly unusual circumstances . 	their films are highly stylized , deeply embedded in a particular time and place , and their characters are more often than not everyday people who get caught up in highly unusual circumstances .	1	-1	 their[0] films[0] are[0] highly[0] stylized[0] deeply[0] embedded[0] in[0] a[0] particular[0] time[0] and[0] place[0] and[0] their[0] characters[0] are[0] more[0] often[0] than[0] not[0] everyday[0] people[0] who[0] get[0] caught[0] up[0] in[0] highly[0] unusual[0] circumstances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in " the big lebowski , " their first cinematic offering since the multiple academy award-winning " fargo , " the action takes place in los angeles during the gulf war , and the hero of the story is jeff lebowski , aka the dude . 	in " the big lebowski , " their first cinematic offering since the multiple academy award-winning " fargo , " the action takes place in los angeles during the gulf war , and the hero of the story is jeff lebowski , aka the dude .	3	-3	 in[0] the[0] big[0] lebowski[0] their[0] first[0] cinematic[0] offering[0] since[0] the[0] multiple[0] academy[0] award[0] winning[1] fargo[0] the[0] action[0] takes[0] place[0] in[0] los[0] angeles[0] during[0] the[0] gulf[0] war[-2] and[0] the[0] hero[2] of[0] the[0] story[0] is[0] jeff[0] lebowski[0] aka[0] the[0] dude[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the dude is played by jeff bridges -- one of hollywood's most underrated actors -- in the best stoned performance since sean penn stumbled through the halls of ridgemont high . 	the dude is played by jeff bridges - one of hollywood's most underrated actors - in the best stoned performance since sean pen stumbled through the halls of ridgemont high .	2	-1	 the[0] dude[0] is[0] played[0] by[0] jeff[0] bridges[0] one[0] of[0] hollywood's[0] most[0] underrated[0] actors[0] in[0] the[0] best[1] stoned[0] performance[0] since[0] sean[0] penn/pen[0] stumbled[0] through[0] the[0] halls[0] of[0] ridgemont[0] high[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dude is a simple man who has never quite made it out of the sixties . 	the dude is a simple man who has never quite made it out of the sixties .	1	-1	 the[0] dude[0] is[0] a[0] simple[0] man[0] who[0] has[0] never[0] quite[0] made[0] it[0] out[0] of[0] the[0] sixties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has shaggy , shoulder-length hair , a grizzled goatee badly in need of a trim , and he wears mostly stained tee-shirts , long shorts , and gellies without socks . 	he has shaggy , shoulder-length hair , a grizled goatee badly in need of a trim , and he wears mostly stained tee-shirts , long shorts , and gellies without socks .	1	-2	 he[0] has[0] shaggy[-1] shoulder[0] length[0] hair[0] a[0] grizzled/grizled[0] goatee[0] badly[-1] in[0] need[0] of[0] a[0] trim[0] and[0] he[0] wears[0] mostly[0] stained[-1] tee[0] shirts[0] long[0] shorts[0] and[0] gellies[0] without[0] socks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he smokes a lot of pot , drinks a lot of white russians , and is more than content to spend the majority of his time bowling with his two buddies , a slightly psychotic vietnam vet named walter sobchak ( john goodman ) and donny ( steve buscemi ) , one of those guys who always wants to be part of the conversation , but never quite makes it in . 	he smokes a lot of pot , drinks a lot of white russians , and is more than content to spend the majority of his time bowling with his two buddies , a slightly psychotic vietnam vet named walter sobchak ( john goodman ) and donny ( steve buscemi ) , one of those guys who always wants to be part of the conversation , but never quite makes it in .	1	-1	 he[0] smokes[0] a[0] lot[0] of[0] pot[0] drinks[0] a[0] lot[0] of[0] white[0] russians[0] and[0] is[0] more[0] than[0] content[0] to[0] spend[0] the[0] majority[0] of[0] his[0] time[0] bowling[0] with[0] his[0] two[0] buddies[0] a[0] slightly[0] psychotic[0] vietnam[0] vet[0] named[0] walter[0] sobchak[0] john[0] goodman[0] and[0] donny[0] steve[0] buscemi[0] one[0] of[0] those[0] guys[0] who[0] always[0] wants[0] to[0] be[0] part[0] of[0] the[0] conversation[0] but[0] never[0] quite[0] makes[0] it[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day , the dude is confused with another jeff lebowski ( david huddleston ) , this one being a millionaire philanthropist whose trophy wife , bunny ( tara reid ) , owes a lot of people a lot of money . 	one day , the dude is confused with another jeff lebowski ( david huddleston ) , this one being a millionaire philanthropist whose trophy wife , bunny ( tara reid ) , owes a lot of people a lot of money .	1	-2	 one[0] day[0] the[0] dude[0] is[0] confused[-1] with[0] another[0] jeff[0] lebowski[0] david[0] huddleston[0] this[0] one[0] being[0] a[0] millionaire[0] philanthropist[0] whose[0] trophy[0] wife[0] bunny[0] tara[0] reid[0] owes[0] a[0] lot[0] of[0] people[0] a[0] lot[0] of[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main plot and all its accompanying side-plots and coenesque diatribes are far too complicated to get into here . 	the main plot and all its accompanying side-plots and coenesque diatribes are far too complicated to get into here .	1	-2	 the[0] main[0] plot[0] and[0] all[0] its[0] accompanying[0] side[0] plots[0] and[0] coenesque[0] diatribes[0] are[0] far[0] too[0] complicated[-1] to[0] get[0] into[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suffice to say that the dude becomes deeply involved with the big lebowski when bunny is kidnaped and the dude is asked to be a courier for the ransom money . 	suffice to say that the dude becomes deeply involved with the big lebowski when bunny is kidnaped and the dude is asked to be a courier for the ransom money .	1	-1	 suffice[0] to[0] say[0] that[0] the[0] dude[0] becomes[0] deeply[0] involved[0] with[0] the[0] big[0] lebowski[0] when[0] bunny[0] is[0] kidnaped[0] and[0] the[0] dude[0] is[0] asked[0] to[0] be[0] a[0] courier[0] for[0] the[0] ransom[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time all is said and done , walter has become deeply involved , as has the big lebowski's daughter , maude ( julianne moore ) , a feminist performance artist , a pornographer named jackie treehorn ( ben gazzara ) , and a group of german nihilists led by peter stormare , who was so great as the silent but deadly kidnaper in " fargo . " 	by the time all is said and done , walter has become deeply involved , as has the big lebowski's daughter , maude ( julianne more ) , a feminist performance artist , a pornographer named jackie treehorn ( ben gazara ) , and a group of german nihilists led by peter stormare , who was so great as the silent but deadly kidnaper in " fargo .<br> "	3	-2	 by[0] the[0] time[0] all[0] is[0] said[0] and[0] done[0] walter[0] has[0] become[0] deeply[0] involved[0] as[0] has[0] the[0] big[0] lebowski's[0] daughter[0] maude[0] julianne[0] moore/more[0] a[0] feminist[0] performance[0] artist[0] a[0] pornographer[0] named[0] jackie[0] treehorn[0] ben[0] gazzara/gazara[0] and[0] a[0] group[0] of[0] german[-1] nihilists[0] led[0] by[0] peter[0] stormare[0] who[0] was[0] so[0] great[2] as[0] the[0] silent[0] but[0] deadly[-1] kidnaper[0] in[0] fargo[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
