casting " doogie howser " star neil patrick harris as mind-reading military intelligence is only one of the guilty pleasures of " starship troopers , " a hugely entertaining , mega-budgeted sci-fi yarn directed by paul verhoeven , who's making quite a recovery from his 1995 g-string epic " showgirls . " 	Translation	Positive	Negative	EmotionRationale
sure , " starship troopers " qualifies as cinematic junk food , but that's forgivable when the junk food is this tasty . 	sure , " starship troopers " qualifies as cinematic junk food , but that's forgivable when the junk food is this tasty .	2	-2	 sure[0] starship[0] troopers[0] qualifies[0] as[0] cinematic[0] junk[-1] food[0] but[0] that's[0] forgivable[1] when[0] the[0] junk[-1] food[0] is[0] this[0] tasty[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everyone needs a high-calorie change-of-pace from fall's onslaught of costume dramas and other assorted oscar bait , and " troopers " does the job admirably despite its flaws . 	everyone needs a high-calorie change-of-pace from fall's onslaught of costume dramas and other assorted oscar bait , and " troopers " does the job admirably despite its flaws .	3	-2	 everyone[0] needs[0] a[0] high[0] calorie[0] change[0] of[0] pace[0] from[0] fall's[0] onslaught[0] of[0] costume[0] dramas[0] and[0] other[0] assorted[0] oscar[0] bait[-1] and[0] troopers[0] does[0] the[0] job[0] admirably[2] despite[0] its[0] flaws[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for its first hour , " starship troopers " plays like a cheeky futuristic hybrid of " saved by the bell " and " g . i . 	for its first hour , " starship troopers " plays like a cheeky futuristic hybrid of " saved by the bell " and " grin� .<br> i .	2	-1	 for[0] its[0] first[0] hour[0] starship[0] troopers[0] plays[1] like[1] a[0] cheeky[0] futuristic[0] hybrid[0] of[0] saved[1] by[0] the[0] bell[0] and[0] g[0] [[Sentence=-1,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
jane . " 	jane .<br> "	1	-1	 jane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the distant years ahead , high school grad johnny rico ( casper van dien ) signs up for federal service along with his girlfriend carmen ( denise richards ) ; he gets accepted into the mobile infantry but she wants to travel to the fleet academy to become a starship pilot , so the couple is broken up . 	in the distant years ahead , high school grad johnny rico ( casper van dien ) signs up for federal service along with his girlfriend carmen ( denise richards ) ; he gets accepted into the mobile infantry but she wants to travel to the fleet academy to become a starship pilot , so the couple is broken up .	1	-2	 in[0] the[0] distant[0] years[0] ahead[0] high[0] school[0] grad[0] johnny[0] rico[0] casper[0] van[0] dien[0] signs[0] up[0] for[0] federal[0] service[0] along[0] with[0] his[0] girlfriend[0] carmen[0] denise[0] richards[0] he[0] gets[0] accepted[0] into[0] the[0] mobile[0] infantry[0] but[0] she[0] wants[0] to[0] travel[0] to[0] the[0] fleet[-1] academy[0] to[0] become[0] a[0] starship[0] pilot[0] so[0] the[0] couple[0] is[0] broken[-1] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but there's temptation awaiting both of them -- johnny's is in the form of an old friend ( dina meyer ) also in the infantry and still harboring a secret crush , while carmen attracts the eye of her flirtatious instructor ( patrick muldoon ) . 	but there's temptation awaiting both of them - johnny's is in the form of an old friend ( dina meyer ) also in the infantry and still harboring a secret crush , while carmen attracts the eye of her flirtatious instructor ( patrick muldoon ) .	2	-2	 but[0] there's[0] temptation[-1] awaiting[0] both[0] of[0] them[0] johnny's[0] is[0] in[0] the[0] form[0] of[0] an[0] old[0] friend[1] dina[0] meyer[0] also[0] in[0] the[0] infantry[0] and[0] still[0] harboring[0] a[0] secret[0] crush[-1] while[0] carmen[0] attracts[1] the[0] eye[0] of[0] her[0] flirtatious[1] instructor[0] patrick[0] muldoon[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
personal rivalry and sexual jealousy carry over into the final 65 minutes , when an impending alien menace begins making good on its threatening presence and obliterates part of south america , killing johnny's parents and destroying his home . 	personal rivalry and sexual jealousy carry over into the final 65 minutes , when an impending alien menace begins making good on its threatening presence and obliterates part of south america , killing johnny's parents and destroying his home .	2	-3	 personal[0] rivalry[-1] and[0] sexual[0] jealousy[-2] carry[0] over[0] into[0] the[0] final[0] 65[0] minutes[0] when[0] an[0] impending[0] alien[-1] menace[-2] begins[0] making[0] good[1] on[0] its[0] threatening[-2] presence[0] and[0] obliterates[-1] part[0] of[0] south[0] america[0] killing[-1] johnny's[0] parents[0] and[0] destroying[-2] his[0] home[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
our weakening , lovesick protagonist is given new reasons to stick around the mobile infantry , and is dispatched with a group of fellow fighters to the aliens' home planet , where he will head up a ground assault to end the threat for good . 	our weakening , lovesick protagonist is given new reasons to stick around the mobile infantry , and is dispatched with a group of fellow fighters to the aliens' home planet , where he will head up a ground assault to end the threat for good .	2	-3	 our[0] weakening[-1] lovesick[0] protagonist[0] is[0] given[0] new[0] reasons[0] to[0] stick[0] around[0] the[0] mobile[0] infantry[0] and[0] is[0] dispatched[0] with[0] a[0] group[0] of[0] fellow[0] fighters[-2] to[0] the[0] aliens'[0] home[0] planet[0] where[0] he[0] will[0] head[0] up[0] a[0] ground[0] assault[-2] to[0] end[0] the[0] threat[-2] for[0] good[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the enemy is far smarter , more diabolical and numerous than the good guys give them credit for , and after an initial walloping , they must re-examine their strategy . 	but the enemy is far smarter , more diabolical and numerous than the good guys give them credit for , and after an initial walloping , they must re-examine their strategy .	2	-2	 but[0] the[0] enemy[-1] is[0] far[0] smarter[1] more[0] diabolical[-1] and[0] numerous[0] than[0] the[0] good[1] guys[0] give[0] them[0] credit[0] for[0] and[0] after[0] an[0] initial[0] walloping[0] they[0] must[0] re[0] examine[0] their[0] strategy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the exposition -- played like a futuristic soap opera -- is silly , but aware of its own ridiculousness enough to merit more smiles than groans . 	the exposition - played like a futuristic soap opera - is silly , but aware of its own ridiculousness enough to merit more smiles than groans .	3	-3	 the[0] exposition[0] played[0] like[1] a[0] futuristic[0] soap[0] opera[0] is[0] silly[-1] but[0] aware[0] of[0] its[0] own[0] ridiculousness[-2] enough[0] to[0] merit[1] more[0] smiles[2] than[0] groans[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
