the premise is simple , if not bizarre . 	Translation	Positive	Negative	EmotionRationale
a mad scientist ( trace beaulieu as dr . clayton forrester ) launches an average-joe ( michael j . nelson as mike nelson ) into space where he forces his subject to watch the most horrendous movies ever made . 	a mad scientist ( trace beaulieu as dr .<br> clayton forester ) launches an average-joe ( michael j .<br> nelson as mike nelson ) into space where he forces his subject to watch the most horrendous movies ever made .	1	-4	 a[0] mad[-1] scientist[0] trace[0] beaulieu[0] as[0] dr[0] [[Sentence=-2,1=word max, 1-5]] clayton[0] forrester/forester[0] launches[0] an[0] average[0] joe[0] michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] nelson[0] as[0] mike[0] nelson[0] into[0] space[0] where[0] he[0] forces[0] his[0] subject[0] to[0] watch[0] the[0] most[0] horrendous[-3] movies[0] ever[0] made[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's torturous , it's maniacal , and it's just plain fun . 	it's torturous , it's maniacal , and it's just plain fun .	2	-3	 it's[0] torturous[-1] it's[0] maniacal[-2] and[0] it's[0] just[0] plain[0] fun[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
based on the cult-favorite cable television series , mystery science theater 3000 : the movie isn't torturous , but as for being maniacal and just plain fun , it foots the bill quite nicely . 	based on the cult-favorite cable television series , mystery science theater 300 : the movie isn't torturous , but as for being maniacal and just plain fun , it foots the bill quite nicely .	2	-3	 based[0] on[0] the[0] cult[0] favorite[1] cable[0] television[0] series[0] mystery[0] science[0] theater[0] 3000/300[0] the[0] movie[0] isn't[0] torturous[-1][NegatedDueToPreviousWord] but[0] as[0] for[0] being[0] maniacal[-2] and[0] just[0] plain[0] fun[1] it[0] foots[0] the[0] bill[0] quite[0] nicely[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mike nelson , on a dog-bone shaped spacecraft , spends his days as any young man would dream - indulging in sarcasm and horseplay , and seeing quite a few movies . 	mike nelson , on a dog-bone shaped spacecraft , spends his days as any young man would dream - indulging in sarcasm and horseplay , and seeing quite a few movies .	1	-3	 mike[0] nelson[0] on[0] a[0] dog[0] bone[0] shaped[0] spacecraft[0] spends[0] his[0] days[0] as[0] any[0] young[0] man[0] would[0] dream[0] indulging[0] in[0] sarcasm[-2] and[0] horseplay[0] and[0] seeing[0] quite[0] a[0] few[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the catch is , these movies aren't the movies he chooses , but retched examples of film-making chosen specifically by dr . forrester in an attempt to break mike's will to live . 	the catch is , these movies aren't the movies he chooses , but retched examples of film-making chosen specifically by dr .<br> forester in an attempt to break mike's will to live .	1	-3	 the[0] catch[0] is[0] these[0] movies[0] aren't[0] the[0] movies[0] he[0] chooses[0] but[0] retched[-2] examples[0] of[0] film[0] making[0] chosen[0] specifically[0] by[0] dr[0] [[Sentence=-3,1=word max, 1-5]] forrester/forester[0] in[0] an[0] attempt[0] to[0] break[0] mike's[0] will[0] to[0] live[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . forrester is convinced that one too many b- movies is all it will take to ruin a man , but with a couple of wise-cracking puppet buddies ( tom servo , voiced by kevin murphy , and crow t . robot , voiced by beaulieu ) , the torture becomes somewhat of a honorary party for all that is wrong in the world of cheezy cinema . 	dr .<br> forester is convinced that one too many b- movies is all it will take to ruin a man , but with a couple of wise-cracking puppet buddies ( tom servo , voiced by kevin murphy , and crow t .<br> robot , voiced by beaulieu ) , the torture becomes somewhat of a honorary party for all that is wrong in the world of cheezy cinema .	1	-4	 dr[0] [[Sentence=-1,1=word max, 1-5]] forrester/forester[0] is[0] convinced[0] that[0] one[0] too[0] many[0] b[0] movies[0] is[0] all[0] it[0] will[0] take[0] to[0] ruin[-1] a[0] man[0] but[0] with[0] a[0] couple[0] of[0] wise[0] cracking[0] puppet[0] buddies[0] tom[0] servo[0] voiced[0] by[0] kevin[0] murphy[0] and[0] crow[0] t[0] [[Sentence=-2,1=word max, 1-5]] robot[0] voiced[0] by[0] beaulieu[0] the[0] torture[-3] becomes[0] somewhat[0] of[0] a[0] honorary[0] party[0] for[0] all[0] that[0] is[0] wrong[-1] in[0] the[0] world[0] of[0] cheezy[0] cinema[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the purpose behind mst3k is to exploit some of the worst films known ( even if by very few of us ) to man . 	the purpose behind mst3k is to exploit some of the worst films known ( even if by very few of us ) to man .	1	-3	 the[0] purpose[0] behind[0] mst3k[0] is[0] to[0] exploit[0] some[0] of[0] the[0] worst[-2] films[0] known[0] even[0] if[0] by[0] very[0] few[0] of[0] us[0] to[0] man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we watch as the silhouettes of mike , tom , and crow sit in a darkened theater poking fun at the movie going on before them . 	we watch as the silhouettes of mike , tom , and crow sit in a darkened theater poking fun at the movie going on before them .	2	-1	 we[0] watch[0] as[0] the[0] silhouettes[0] of[0] mike[0] tom[0] and[0] crow[0] sit[0] in[0] a[0] darkened[0] theater[0] poking[0] fun[1] at[0] the[0] movie[0] going[0] on[0] before[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in this case , it's the 1954 sci-fi film this island earth . 	in this case , it's the 1954 sci-fi film this island earth .	1	-1	 in[0] this[0] case[0] it's[0] the[0] 1954[0] sci[0] fi[0] film[0] this[0] island[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
