note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
milos forman's first film since the ill-fated valmont , columbia's the people vs . 	milos forman's first film since the ill-fated valmont , columbia's the people vs .	1	-2	 milos[0] forman's[0] first[0] film[0] since[0] the[0] ill[-1] fated[0] valmont[0] columbia's[0] the[0] people[0] vs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
larry flynt , is a vastly entertaining ( if not particularly enlightening ) biopic of hustler publisher and self-made millionaire larry flynt , who became an unlikely champion of freedom of speech rights in the united states in the late 1970s and early 1980s . 	larry flynt , is a vastly entertaining ( if not particularly enlightening ) biopic of hustler publisher and self-made millionaire larry flynt , who became an unlikely champion of freedom of speech rights in the united states in the late 1970s and early 1980s .	1	-2	 larry[0] flynt[0] is[0] a[0] vastly[0] entertaining[0] if[0] not[0] particularly[0] enlightening[0] biopic[0] of[0] hustler[-1] publisher[0] and[0] self[0] made[0] millionaire[0] larry[0] flynt[0] who[0] became[0] an[0] unlikely[0] champion[0] of[0] freedom[0] of[0] speech[0] rights[0] in[0] the[0] united[0] states[0] in[0] the[0] late[0] 1970s[0] and[0] early[0] 1980s[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film unweaves its tale in a chronological order : we open with young and dirt-poor larry flynt and his brother jimmy , peddling jars of water in true entrepreneurial spirit out in the rural outback of kentucky . 	the film unweaves its tale in a chronological order : we open with young and dirt-poor larry flynt and his brother jimmy , peddling jars of water in true entrepreneurial spirit out in the rural outback of kentucky .	2	-2	 the[0] film[0] unweaves[0] its[0] tale[0] in[0] a[0] chronological[0] order[0] we[0] open[0] with[0] young[0] and[0] dirt[-1] poor[-1] larry[0] flynt[0] and[0] his[0] brother[0] jimmy[0] peddling[0] jars[0] of[0] water[0] in[0] true[1] entrepreneurial[0] spirit[0] out[0] in[0] the[0] rural[0] outback[0] of[0] kentucky[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
cut to forward in time , where the two flynt brothers , now young men , are running the struggling hustler go-go clubs in cincinnati . 	cut to forward in time , where the two flynt brothers , now young men , are running the struggling hustler go-go clubs in cincinnati .	1	-2	 cut[0] to[0] forward[0] in[0] time[0] where[0] the[0] two[0] flynt[0] brothers[0] now[0] young[0] men[0] are[0] running[0] the[0] struggling[-1] hustler[-1] go[0] go[0] clubs[0] in[0] cincinnati[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the strip clubs are in a dire financial state , and in a last-ditch effort to salvage the operations , flynt decides to go to a print shop and churn out a promotional newsletter . 	the strip clubs are in a dire financial state , and in a last-ditch effort to salvage the operations , flynt decides to go to a print shop and churn out a promotional newsletter .	1	-2	 the[0] strip[0] clubs[0] are[0] in[0] a[0] dire[-1] financial[0] state[0] and[0] in[0] a[0] last[0] ditch[0] effort[0] to[0] salvage[0] the[0] operations[0] flynt[0] decides[0] to[0] go[0] to[0] a[0] print[0] shop[0] and[0] churn[0] out[0] a[0] promotional[0] newsletter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this evolved into the adult periodical _hustler_ magazine , creating larry flynt a vast financial empire , and the rest is history . 	this evolved into the adult periodical _hustler_ magazine , creating larry flynt a vast financial empire , and the rest is history .	1	-1	 this[0] evolved[0] into[0] the[0] adult[0] periodical[0] _hustler_[0] magazine[0] creating[0] larry[0] flynt[0] a[0] vast[0] financial[0] empire[0] and[0] the[0] rest[0] is[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what sets flynt apart from other publishers is his struggles against those who would have him cease publication of his adult material , and who railed and preached against him - flynt spent time in incarceration and was paralyzed by an assassination attempt - and his driven , single-minded insistence to buck the system and fight for his freedom of expression , regardless of personal cost . 	what sets flynt apart from other publishers is his struggles against those who would have him cease publication of his adult material , and who railed and preached against him - flynt spent time in incarceration and was paralyzed by an assassination attempt - and his driven , single-minded insistence to buck the system and fight for his freedom of expression , regardless of personal cost .	1	-3	 what[0] sets[0] flynt[0] apart[0] from[0] other[0] publishers[0] is[0] his[0] struggles[-1] against[-1] those[0] who[0] would[0] have[0] him[0] cease[0] publication[0] of[0] his[0] adult[0] material[0] and[0] who[0] railed[0] and[0] preached[0] against[-1] him[0] flynt[0] spent[0] time[0] in[0] incarceration[0] and[0] was[0] paralyzed[-1] by[0] an[0] assassination[-2] attempt[0] and[0] his[0] driven[0] single[0] minded[0] insistence[0] to[0] buck[0] the[0] system[0] and[0] fight[-2] for[0] his[0] freedom[0] of[0] expression[0] regardless[-1] of[0] personal[0] cost[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the people vs . 	the people vs .	1	-1	 the[0] people[0] vs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larry flynt also weaves in the bittersweet story of flynt's true love , althea leasure , whom he meets as a dancer in his club and later marries , and who devotedly stands alongside him throughout his trials and tribulations . 	larry flynt also weaves in the bittersweet story of flynt's true love , althea leasure , whom he meets as a dancer in his club and later marries , and who devotedly stands alongside him throughout his trials and tribulations .	3	-1	 larry[0] flynt[0] also[0] weaves[0] in[0] the[0] bittersweet[0] story[0] of[0] flynt's[0] true[1] love[2] althea[0] leasure[0] whom[0] he[0] meets[0] as[0] a[0] dancer[0] in[0] his[0] club[0] and[0] later[0] marries[0] and[0] who[0] devotedly[2] stands[0] alongside[0] him[0] throughout[0] his[0] trials[0] and[0] tribulations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
