 ( warning to those who have not seen seven : this review contains some spoiler information . ) 	Translation	Positive	Negative	EmotionRationale
seven is a powerful , fully-realized film on the level of the silence of the lambs . 	seven is a powerful , fully-realized film on the level of the silence of the lambs .	1	-1	 seven[0] is[0] a[0] powerful[0] fully[0] realized[0] film[0] on[0] the[0] level[0] of[0] the[0] silence[0] of[0] the[0] lambs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a disturbing film that accomplishes its biggest of goals--it occupies the viewers mind long after the closing credits have rolled . 	it is a disturbing film that accomplishes its biggest of goals-it occupies the viewers mind long after the closing credits have rolled .	2	-2	 it[0] is[0] a[0] disturbing[-1] film[0] that[0] accomplishes[1] its[0] biggest[0] of[0] goals[0] it[0] occupies[0] the[0] viewers[0] mind[0] long[0] after[0] the[0] closing[0] credits[0] have[0] rolled[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while this film is not for the squeamish , there is no denying that seven demands attention , for it is a film that transcends its genre in both style and substance . 	while this film is not for the squeamish , there is no denying that seven demands attention , for it is a film that transcends its genre in both style and substance .	1	-1	 while[0] this[0] film[0] is[0] not[0] for[0] the[0] squeamish[0] there[0] is[0] no[0] denying[0] that[0] seven[0] demands[0] attention[0] for[0] it[0] is[0] a[0] film[0] that[0] transcends[0] its[0] genre[0] in[0] both[0] style[0] and[0] substance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for starters , classifying seven as a " thriller " would not be an altogether complete classification of this film . 	for starters , classifying seven as a " thriller " would not be an altogether complete classification of this film .	2	-1	 for[0] starters[0] classifying[0] seven[0] as[0] a[0] thriller[1] would[0] not[0] be[0] an[0] altogether[0] complete[0] classification[0] of[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while i was genuinely thrilled throughout , i would rather call seven an " intense drama , " because that is what it delivers--meaningful scenes with a relentlessness that does not readily let up . 	while i was genuinely thrilled throughout , i would rather call seven an " intense drama , " because that is what it delivers-meaningful scenes with a relentlessness that does not readily let up .	4	-1	 while[0] i[0] was[0] genuinely[0] thrilled[3] throughout[0] i[0] would[0] rather[0] call[0] seven[0] an[0] intense[0] drama[0] because[0] that[0] is[0] what[0] it[0] delivers[0] meaningful[0] scenes[0] with[0] a[0] relentlessness[0] that[0] does[0] not[0] readily[0] let[0] up[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
part of director david finchers accomplishment is in style . 	part of director david finchers accomplishment is in style .	2	-1	 part[0] of[0] director[0] david[0] finchers[0] accomplishment[1] is[0] in[0] style[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he seems to have a knack for knowing exactly how the average person fears something as " simple " as a corpse . 	he seems to have a knack for knowing exactly how the average person fears something as " simple " as a corpse .	1	-3	 he[0] seems[0] to[0] have[0] a[0] knack[0] for[0] knowing[0] exactly[0] how[0] the[0] average[0] person[0] fears[-2] something[0] as[0] simple[0] as[0] a[0] corpse[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and visually , fincher shows us the remains of murder victims in all-too-realistic and graphic terms ( courtesy of rob bottin's always-grisly special effects ) . 	and visually , fincher shows us the remains of murder victims in all-too-realistic and graphic terms ( courtesy of rob bottin's always-grisly special effects ) .	2	-4	 and[0] visually[0] fincher[0] shows[0] us[0] the[0] remains[0] of[0] murder[-3] victims[-2][-1 MultiplePositiveWords] in[0] all[0] too[0] realistic[0] and[0] graphic[0] terms[0] courtesy[0] of[0] rob[0] bottin's[0] always[0] grisly[0] special[1] effects[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
throw in the appropriate but not-to-be-underestimated effects of lighting and a foreboding score and the result is a technical masterpiece of the murder scene . 	throw in the appropriate but not-to-be-underestimated effects of lighting and a foreboding score and the result is a technical masterpiece of the murder scene .	1	-4	 throw[0] in[0] the[0] appropriate[0] but[0] not[0] to[0] be[0] underestimated[0] effects[0] of[0] lighting[0] and[0] a[0] foreboding[-1] score[0] and[0] the[0] result[0] is[0] a[0] technical[0] masterpiece[0] of[0] the[0] murder[-3] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these scenes alone are quite impressive ; as fascinating as they are harrowing . 	these scenes alone are quite impressive ; as fascinating as they are harrowing .	2	-1	 these[0] scenes[0] alone[0] are[0] quite[0] impressive[1] as[0] fascinating[0] as[0] they[0] are[0] harrowing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
