gothic murder-mystery yarns are not a new conceit . 	Translation	Positive	Negative	EmotionRationale
in fact , they've been around in books and on film for many , many years . 	in fact , they've been around in books and on film for many , many years .	1	-1	 in[0] fact[0] they've[0] been[0] around[0] in[0] books[0] and[0] on[0] film[0] for[0] many[0] many[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
without the proper handling , they come off as old-fashioned , bland , and outdated . 	without the proper handling , they come off as old-fashioned , bland , and outdated .	1	-2	 without[0] the[0] proper[0] handling[0] they[0] come[0] off[0] as[0] old[0] fashioned[0] bland[-1] and[0] outdated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " the gift , " directed by sam raimi , is a tried-and-true effort that surprises very little , and includes everything from a wide array of suspects and red herrings , to mansions in the deep south with moss trees out front , to the eventual discovery of a waterlogged corpse found in a nearby pond . 	 " the gift , " directed by sam raimi , is a tried-and-true effort that surprises very little , and includes everything from a wide array of suspects and red herrings , to mansions in the deep south with moss trees out front , to the eventual discovery of a waterlogged corpse found in a nearby pond .	2	-1	 the[0] gift[0] directed[0] by[0] sam[0] raimi[0] is[0] a[0] tried[0] and[0] true[1] effort[0] that[0] surprises[0] very[0] little[0] and[0] includes[0] everything[0] from[0] a[0] wide[0] array[0] of[0] suspects[0] and[0] red[0] herrings[0] to[0] mansions[0] in[0] the[0] deep[0] south[0] with[0] moss[0] trees[0] out[0] front[0] to[0] the[0] eventual[0] discovery[0] of[0] a[0] waterlogged[0] corpse[0] found[0] in[0] a[0] nearby[0] pond[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's fairly obvious who the killer is ; in fact , i predicted who it would be before the movie began and was correct in my preliminary suspicions . 	it's fairly obvious who the killer is ; in fact , i predicted who it would be before the movie began and was correct in my preliminary suspicions .	1	-2	 it's[0] fairly[0] obvious[0] who[0] the[0] killer[-1] is[0] in[0] fact[0] i[0] predicted[0] who[0] it[0] would[0] be[0] before[0] the[0] movie[0] began[0] and[0] was[0] correct[0] in[0] my[0] preliminary[0] suspicions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film ultimately shouldn't work , but it does , thanks to a sparkling cast that fills each character with so many memorable nuances , the most fun to be had is in simply watching the people interact with each other . 	the film ultimately shouldn't work , but it does , thanks to a sparkling cast that fills each character with so many memorable nuances , the most fun to be had is in simply watching the people interact with each other .	2	-1	 the[0] film[0] ultimately[0] shouldn't[0] work[0] but[0] it[0] does[0] thanks[1] to[0] a[0] sparkling[0] cast[0] that[0] fills[0] each[0] character[0] with[0] so[0] many[0] memorable[0] nuances[0] the[0] most[0] fun[1] to[0] be[0] had[0] is[0] in[0] simply[0] watching[0] the[0] people[0] interact[0] with[0] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
annie wilson ( cate blanchett ) is a recently widowed mother of three sons who makes her living giving psychic readings to the residents of her backwater southern hometown . 	annie wilson ( cate blanchett ) is a recently widowed mother of three sons who makes her living giving psychic readings to the residents of her backwater southern hometown .	1	-1	 annie[0] wilson[0] cate[0] blanchett[0] is[0] a[0] recently[0] widowed[0] mother[0] of[0] three[0] sons[0] who[0] makes[0] her[0] living[0] giving[0] psychic[0] readings[0] to[0] the[0] residents[0] of[0] her[0] backwater[0] southern[0] hometown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of her mainstay clients include valerie barksdale ( hilary swank ) , who is severely abused by her husband donnie ( keanu reeves ) , and buddy cole ( giovanni ribisi ) , an unstable mechanic who is confused by the nightmares he's been having about a mysterious blue diamond that is somehow linked to his father . 	some of her mainstay clients include valerie barksdale ( hilary swank ) , who is severely abused by her husband donnie ( keanu reeves ) , and buddy cole ( giovanni ribisi ) , an unstable mechanic who is confused by the nightmares he's been having about a mysterious blue diamond that is somehow linked to his father .	1	-4	 some[0] of[0] her[0] mainstay[0] clients[0] include[0] valerie[0] barksdale[0] hilary[0] swank[0] who[0] is[0] severely[-1] abused[-3] by[0] her[0] husband[0] donnie[0] keanu[0] reeves[0] and[0] buddy[0] cole[0] giovanni[0] ribisi[0] an[0] unstable[-1] mechanic[0] who[0] is[0] confused[-1] by[0] the[0] nightmares[0] he's[0] been[0] having[0] about[0] a[0] mysterious[0] blue[0] diamond[0] that[0] is[0] somehow[0] linked[0] to[0] his[0] father[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for annie , she does not give the readings merely for money , but uses it as a way of seeking solace in finding the good in everyone's future . 	for annie , she does not give the readings merely for money , but uses it as a way of seeking solace in finding the good in everyone's future .	2	-1	 for[0] annie[0] she[0] does[0] not[0] give[0] the[0] readings[0] merely[0] for[0] money[0] but[0] uses[0] it[0] as[0] a[0] way[0] of[0] seeking[0] solace[0] in[0] finding[0] the[0] good[1] in[0] everyone's[0] future[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her late grandmother ( rosemary harris ) told her as a child that it was a gift she was given , and she should always remember that . 	her late grandmother ( rosemary harris ) told her as a child that it was a gift she was given , and she should always remember that .	1	-1	 her[0] late[0] grandmother[0] rosemary[0] harris[0] told[0] her[0] as[0] a[0] child[0] that[0] it[0] was[0] a[0] gift[0] she[0] was[0] given[0] and[0] she[0] should[0] always[0] remember[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when annie's eldest son is involved in a fight at school , she meets the nice-guy school principal , wayne collins ( greg kinnear ) , whom she finds herself attracted to . 	when annie's eldest son is involved in a fight at school , she meets the nice-guy school principal , wayne collins ( greg kinnear ) , whom she finds herself attracted to .	2	-3	 when[0] annie's[0] eldest[0] son[0] is[0] involved[0] in[0] a[0] fight[-2] at[0] school[0] she[0] meets[0] the[0] nice[1] guy[0] school[0] principal[0] wayne[0] collins[0] greg[0] kinnear[0] whom[0] she[0] finds[0] herself[0] attracted[1] to[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
