 " the fugitive " is probably one of the greatest thrillers ever made . 	Translation	Positive	Negative	EmotionRationale
it takes realistic , believable characters and tells an exciting story that's totally believable throughout . 	it takes realistic , believable characters and tells an exciting story that's totally believable throughout .	3	-1	 it[0] takes[0] realistic[0] believable[0] characters[0] and[0] tells[0] an[0] exciting[2] story[0] that's[0] totally[0] believable[0] throughout[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this isn't an over-the-top action flick for the sake of action , this is an intelligent adventure story with a real sense of mystery to it and it works perfectly . 	this isn't an over-the-top action flick for the sake of action , this is an intelligent adventure story with a real sense of mystery to it and it works perfectly .	2	-1	 this[0] isn't[0] an[0] over[0] the[0] top[0] action[0] flick[0] for[0] the[0] sake[0] of[0] action[0] this[0] is[0] an[0] intelligent[1] adventure[0] story[0] with[0] a[0] real[0] sense[0] of[0] mystery[0] to[0] it[0] and[0] it[0] works[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
harrison ford stars as dr . richard kimble , a man who is wrongly accused and convicted of murdering his wife . 	harrison ford stars as dr .<br> richard kimble , a man who is wrongly accused and convicted of murdering his wife .	1	-4	 harrison[0] ford[0] stars[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] richard[0] kimble[0] a[0] man[0] who[0] is[0] wrongly[-2] accused[-1] and[0] convicted[-1] of[0] murdering[-3] his[0] wife[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the entire premise of the story revolves around this murder , but is not told in a straightforward manner . 	the entire premise of the story revolves around this murder , but is not told in a straightforward manner .	1	-4	 the[0] entire[0] premise[0] of[0] the[0] story[0] revolves[0] around[0] this[0] murder[-3] but[0] is[0] not[0] told[0] in[0] a[0] straightforward[0] manner[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we constantly see flashbacks to the murder from kimble's perspective . 	we constantly see flashbacks to the murder from kimble's perspective .	1	-4	 we[0] constantly[0] see[0] flashbacks[0] to[0] the[0] murder[-3] from[0] kimble's[0] perspective[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hints are dropped from various times of the night kimble's wife , helen ( sela ward ) was murdered . 	hints are dropped from various times of the night kimble's wife , helen ( sela ward ) was murdered .	1	-4	 hints[0] are[0] dropped[0] from[0] various[0] times[0] of[0] the[0] night[0] kimble's[0] wife[0] helen[0] sela[0] ward[0] was[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we don't get to see who the killer is until much further into the story . 	we don't get to see who the killer is until much further into the story .	1	-2	 we[0] don't[0] get[0] to[0] see[0] who[0] the[0] killer[-1] is[0] until[0] much[0] further[0] into[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , we might even have a little doubt about kimble's innocence ourselves . 	in fact , we might even have a little doubt about kimble's innocence ourselves .	2	-2	 in[0] fact[0] we[0] might[0] even[0] have[0] a[0] little[0] doubt[-1] about[0] kimble's[0] innocence[1] ourselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film doesn't spend much time on the details of kimble's trial and conviction as it is not the point of the story . 	the film doesn't spend much time on the details of kimble's trial and conviction as it is not the point of the story .	1	-2	 the[0] film[0] doesn't[0] spend[0] much[0] time[0] on[0] the[0] details[0] of[0] kimble's[0] trial[0] and[0] conviction[-1] as[0] it[0] is[0] not[0] the[0] point[0] of[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the greatest action scenes ensues as we get a botched escape attempt by his fellow inmates which leads to a fantastic train wreck . 	one of the greatest action scenes ensues as we get a botched escape attempt by his fellow inmates which leads to a fantastic train wreck .	3	-2	 one[0] of[0] the[0] greatest[2] action[0] scenes[0] ensues[0] as[0] we[0] get[0] a[0] botched[0] escape[0] attempt[0] by[0] his[0] fellow[0] inmates[0] which[0] leads[0] to[0] a[0] fantastic[2] train[0] wreck[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but it does not at all seem gratuitous or formulated , it is actually suspenseful to watch . 	but it does not at all seem gratuitous or formulated , it is actually suspenseful to watch .	1	-2	 but[0] it[0] does[0] not[0] at[0] all[0] seem[0] gratuitous[-1] or[0] formulated[0] it[0] is[0] actually[0] suspenseful[0] to[0] watch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie is so incredible because it's able to take elements like these and make them wholly original and believable . 	this movie is so incredible because it's able to take elements like these and make them wholly original and believable .	2	-1	 this[0] movie[0] is[0] so[0] incredible[0] because[0] it's[0] able[0] to[0] take[0] elements[0] like[1] these[0] and[0] make[0] them[0] wholly[0] original[0] and[0] believable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tommy lee jones almost steals the show as deputy sam gerard , a u . s . marshall who is an expert in hunting fugitives . 	tommy lee jones almost steals the show as deputy sam gerard , a you .<br> s .<br> marshal who is an expert in hunting fugitives .	1	-3	 tommy[0] lee[0] jones[0] almost[0] steals[-2] the[0] show[0] as[0] deputy[0] sam[0] gerard[0] a[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshall/marshal[0] who[0] is[0] an[0] expert[0] in[0] hunting[0] fugitives[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
from the moment he appears we know a huge game of cat and mouse is about to occur . 	from the moment he appears we know a huge game of cat and mouse is about to occur .	1	-1	 from[0] the[0] moment[0] he[0] appears[0] we[0] know[0] a[0] huge[0] game[0] of[0] cat[0] and[0] mouse[0] is[0] about[0] to[0] occur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
