as fairy tales go , cinderella has to be one of the most famous . 	Translation	Positive	Negative	EmotionRationale
almost everyone knows it , well at least in north america . 	almost everyone knows it , well at least in north america .	1	-1	 almost[0] everyone[0] knows[0] it[0] well[0] at[0] least[0] in[0] north[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so it is natural that someone will try to make a movie out of it . 	so it is natural that someone will try to make a movie out of it .	1	-1	 so[0] it[0] is[0] natural[0] that[0] someone[0] will[0] try[0] to[0] make[0] a[0] movie[0] out[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has been done before with varying results . 	it has been done before with varying results .	1	-1	 it[0] has[0] been[0] done[0] before[0] with[0] varying[0] results[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this version of the story is both similar to the original and different at the same time . 	this version of the story is both similar to the original and different at the same time .	1	-1	 this[0] version[0] of[0] the[0] story[0] is[0] both[0] similar[0] to[0] the[0] original[0] and[0] different[0] at[0] the[0] same[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the basic story remains unchanged but , one thing that seems to vanish with this version , and that is all the fantastical elements of the story . 	the basic story remains unchanged but , one thing that seems to vanish with this version , and that is all the fantastical elements of the story .	1	-2	 the[0] basic[0] story[0] remains[0] unchanged[0] but[0] one[0] thing[0] that[0] seems[0] to[0] vanish[-1] with[0] this[0] version[0] and[0] that[0] is[0] all[0] the[0] fantastical[0] elements[0] of[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no fairy god mother or anything even remotely of that nature . 	there is no fairy god mother or anything even remotely of that nature .	1	-1	 there[0] is[0] no[0] fairy[0] god[0] mother[0] or[0] anything[0] even[0] remotely[0] of[0] that[0] nature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the fantastical elements are stripped away what is left is a realistic believable rendition of the cinderella story and an interesting love story at the least . 	after the fantastical elements are stripped away what is left is a realistic believable rendition of the cinderella story and an interesting love story at the least .	3	-1	 after[0] the[0] fantastical[0] elements[0] are[0] stripped[0] away[0] what[0] is[0] left[0] is[0] a[0] realistic[0] believable[0] rendition[0] of[0] the[0] cinderella[0] story[0] and[0] an[0] interesting[1] love[2] story[0] at[0] the[0] least[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
unlike in the fairy tale , the prince plays a much larger part than just that of the masked ball at the end . 	unlike in the fairy tale , the prince plays a much larger part than just that of the masked ball at the end .	2	-1	 unlike[0] in[0] the[0] fairy[0] tale[0] the[0] prince[0] plays[1] a[0] much[0] larger[0] part[0] than[0] just[0] that[0] of[0] the[0] masked[0] ball[0] at[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the ? prince' , who happens to be the crown prince to the throne of france , meets 'cinderella' , known as danielle , on a few occasions , most coincidentally and he becomes smitten with her . 	the ?<br> prince' , who happens to be the crown prince to the throne of france , meets 'cinderella' , known as danielle , on a few occasions , most coincidentally and he becomes smitten with her .	1	-1	 the[0] [[Sentence=-1,1=word max, 1-5]] prince'[0] who[0] happens[0] to[0] be[0] the[0] crown[0] prince[0] to[0] the[0] throne[0] of[0] france[0] meets[0] 'cinderella'[0] known[0] as[0] danielle[0] on[0] a[0] few[0] occasions[0] most[0] coincidentally[0] and[0] he[0] becomes[0] smitten[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although this seems to be a far cry from the traditional story it allows for the main plot to proceed with enough room for some imaginative story telling . . 	although this seems to be a far cry from the traditional story it allows for the main plot to proceed with enough room for some imaginative story telling .<br> .	1	-4	 although[0] this[0] seems[0] to[0] be[0] a[0] far[0] cry[-3] from[0] the[0] traditional[0] story[0] it[0] allows[0] for[0] the[0] main[0] plot[0] to[0] proceed[0] with[0] enough[0] room[0] for[0] some[0] imaginative[1][-1 LastWordBoosterStrength] story[0] telling[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story takes place in a renaissance setting ; in france , with leonardo da vinci providing some comic relief on more than one occasion . 	the story takes place in a renaissance setting ; in france , with leonardo da vinci providing some comic relief on more than one occasion .	2	-1	 the[0] story[0] takes[0] place[0] in[0] a[0] renaissance[0] setting[0] in[0] france[0] with[0] leonardo[0] da[0] vinci[0] providing[0] some[0] comic[0] relief[1] on[0] more[0] than[0] one[0] occasion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this addition of leonardo da vinci , was quite successful in that it added some color to the movie , since some of the roles are a bit stereotypical . 	this addition of leonardo da vinci , was quite successful in that it added some color to the movie , since some of the roles are a bit stereotypical .	3	-1	 this[0] addition[0] of[0] leonardo[0] da[0] vinci[0] was[0] quite[0] successful[2] in[0] that[0] it[0] added[0] some[0] color[0] to[0] the[0] movie[0] since[0] some[0] of[0] the[0] roles[0] are[0] a[0] bit[0] stereotypical[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for example the role that was scripted for the prince leaves a few things to be desired . 	for example the role that was scripted for the prince leaves a few things to be desired .	1	-1	 for[0] example[0] the[0] role[0] that[0] was[0] scripted[0] for[0] the[0] prince[0] leaves[0] a[0] few[0] things[0] to[0] be[0] desired[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance the character seems to be a bit too unstable and fickle , a crown prince should not be anything remotely like that . 	for instance the character seems to be a bit too unstable and fickle , a crown prince should not be anything remotely like that .	2	-2	 for[0] instance[0] the[0] character[0] seems[0] to[0] be[0] a[0] bit[0] too[0] unstable[-1] and[0] fickle[-1] a[0] crown[0] prince[0] should[0] not[0] be[0] anything[0] remotely[0] like[1] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
especially since he is portrayed to be in his mid twenties at the least and almost ready to take the throne . 	especially since he is portrayed to be in his mid twenties at the least and almost ready to take the throne .	1	-1	 especially[0] since[0] he[0] is[0] portrayed[0] to[0] be[0] in[0] his[0] mid[0] twenties[0] at[0] the[0] least[0] and[0] almost[0] ready[0] to[0] take[0] the[0] throne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters of danielle ( cinderella ) played by drew barrymore , and that of the evil step mother , played by anjelica huston , are well developed and well played by the two women . 	the characters of danielle ( cinderella ) played by drew barrymore , and that of the evil step mother , played by anjelica huston , are well developed and well played by the two women .	1	-3	 the[0] characters[0] of[0] danielle[0] cinderella[0] played[0] by[0] drew[0] barrymore[0] and[0] that[0] of[0] the[0] evil[-2] step[0] mother[0] played[0] by[0] anjelica[0] huston[0] are[0] well[0] developed[0] and[0] well[0] played[0] by[0] the[0] two[0] women[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although the part of danielle is a bit stretched it is not too unlikely and not totally unbelievable . 	although the part of danielle is a bit stretched it is not too unlikely and not totally unbelievable .	3	-1	 although[0] the[0] part[0] of[0] danielle[0] is[0] a[0] bit[0] stretched[0] it[0] is[0] not[0] too[0] unlikely[0] and[0] not[0] totally[0] unbelievable[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the nuances of the character are brought out well by drew barrymore and from watching the movie it seems like she had fun making the movie . 	the nuances of the character are brought out well by drew barrymore and from watching the movie it seems like she had fun making the movie .	2	-1	 the[0] nuances[0] of[0] the[0] character[0] are[0] brought[0] out[0] well[0] by[0] drew[0] barrymore[0] and[0] from[0] watching[0] the[0] movie[0] it[0] seems[0] like[1] she[0] had[0] fun[1] making[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a contrast the part of the evil step mother is clearly seen from the very beginning and is almost clique . 	as a contrast the part of the evil step mother is clearly seen from the very beginning and is almost clique .	1	-3	 as[0] a[0] contrast[0] the[0] part[0] of[0] the[0] evil[-2] step[0] mother[0] is[0] clearly[0] seen[0] from[0] the[0] very[0] beginning[0] and[0] is[0] almost[0] clique[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but , anjelica huston seems to add a certain flair to the role that makes it suit the movie nearly perfectly . 	but , anjelica huston seems to add a certain flair to the role that makes it suit the movie nearly perfectly .	2	-1	 but[0] anjelica[0] huston[0] seems[0] to[0] add[0] a[0] certain[0] flair[0] to[0] the[0] role[0] that[0] makes[0] it[0] suit[0] the[0] movie[0] nearly[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actual story is fairly predictable since it is after all the basic story of cinderella , but there are more than enough twists in how the story is told to make it interesting and enjoyable . 	the actual story is fairly predictable since it is after all the basic story of cinderella , but there are more than enough twists in how the story is told to make it interesting and enjoyable .	3	-1	 the[0] actual[0] story[0] is[0] fairly[0] predictable[0] since[0] it[0] is[0] after[0] all[0] the[0] basic[0] story[0] of[0] cinderella[0] but[0] there[0] are[0] more[0] than[0] enough[0] twists[0] in[0] how[0] the[0] story[0] is[0] told[0] to[0] make[0] it[0] interesting[1] and[0] enjoyable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting is of high caliber and seems deserved of praise . 	the acting is of high caliber and seems deserved of praise .	3	-1	 the[0] acting[0] is[0] of[0] high[0] caliber[0] and[0] seems[0] deserved[0] of[0] praise[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all in all this movie takes you back into history , into a seemingly magical fairy land . 	all in all this movie takes you back into history , into a seemingly magical fairy land .	1	-1	 all[0] in[0] all[0] this[0] movie[0] takes[0] you[0] back[0] into[0] history[0] into[0] a[0] seemingly[0] magical[0] fairy[0] land[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , don't get me wrong there is nothing but reality , it is just refreshing to watch a movie that is not based in a familiar setting with everyday familiar things happening . 	but , don't get me wrong there is nothing but reality , it is just refreshing to watch a movie that is not based in a familiar setting with everyday familiar things happening .	1	-2	 but[0] don't[0] get[0] me[0] wrong[-1] there[0] is[0] nothing[0] but[0] reality[0] it[0] is[0] just[0] refreshing[0] to[0] watch[0] a[0] movie[0] that[0] is[0] not[0] based[0] in[0] a[0] familiar[0] setting[0] with[0] everyday[0] familiar[0] things[0] happening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so although the story is basically familiar the world it is set in is not , and that adds a dimension to the film which in this humble reviewers opinion makes it worth seeing 	so although the story is basically familiar the world it is set in is not , and that adds a dimension to the film which in this humble reviewers opinion makes it worth seeing	1	-1	 so[0] although[0] the[0] story[0] is[0] basically[0] familiar[0] the[0] world[0] it[0] is[0] set[0] in[0] is[0] not[0] and[0] that[0] adds[0] a[0] dimension[0] to[0] the[0] film[0] which[0] in[0] this[0] humble[0] reviewers[0] opinion[0] makes[0] it[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
