slavery is bad . 	Translation	Positive	Negative	EmotionRationale
after hundreds of years , we've finally figured that one out . 	after hundreds of years , we've finally figured that one out .	1	-1	 after[0] hundreds[0] of[0] years[0] we've[0] finally[0] figured[0] that[0] one[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this almost universal belief is the both the strength and weakness of director steven spielberg's latest " serious " film . 	this almost universal belief is the both the strength and weakness of director steven spielberg's latest " serious " film .	1	-2	 this[0] almost[0] universal[0] belief[0] is[0] the[0] both[0] the[0] strength[0] and[0] weakness[-1] of[0] director[0] steven[0] spielberg's[0] latest[0] serious[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during the late 1830s , a portuguese slave ship carries a cargo of black men and women kidnapped from their home on africa's west coast to cuba to be sold into slavery . 	during the late 1830s , a portuguese slave ship carries a cargo of black men and women kidnapped from their home on africa's west coast to cuba to be sold into slavery .	1	-1	 during[0] the[0] late[0] 1830s[0] a[0] portuguese[0] slave[0] ship[0] carries[0] a[0] cargo[0] of[0] black[0] men[0] and[0] women[0] kidnapped[0] from[0] their[0] home[0] on[0] africa's[0] west[0] coast[0] to[0] cuba[0] to[0] be[0] sold[0] into[0] slavery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fifty-three of them are stuffed into the " la amistad " ( from a spanish word for " friendship " ) by their new spanish owners . 	fifty-three of them are stuffed into the " la amistad " ( from a spanish word for " friendship " ) by their new spanish owners .	2	-1	 fifty[0] three[0] of[0] them[0] are[0] stuffed[0] into[0] the[0] la[0] amistad[0] from[0] a[0] spanish[0] word[0] for[0] friendship[1] by[0] their[0] new[0] spanish[0] owners[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
freeing himself from his chains , senge pieh ( djimon hounsou ) , renamed cinque by his masters , leads a bloody revolt . 	freeing himself from his chains , senge pieh ( djimon hounsou ) , renamed cinque by his masters , leads a bloody revolt .	1	-2	 freeing[0] himself[0] from[0] his[0] chains[0] senge[0] pieh[0] djimon[0] hounsou[0] renamed[0] cinque[0] by[0] his[0] masters[0] leads[0] a[0] bloody[-1] revolt[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after killing most of the crew , the africans force the remaining sailors to return them to their home - or so they think . 	after killing most of the crew , the africans force the remaining sailors to return them to their home - or so they think .	1	-2	 after[0] killing[-1] most[0] of[0] the[0] crew[0] the[0] africans[0] force[-1] the[0] remaining[0] sailors[0] to[0] return[0] them[0] to[0] their[0] home[0] or[0] so[0] they[0] think[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead the ship heads up the coast to the united states . 	instead the ship heads up the coast to the united states .	1	-1	 instead[0] the[0] ship[0] heads[0] up[0] the[0] coast[0] to[0] the[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the amistad is boarded by an american naval ship and the revolutionaries are put on trial in connecticut for murder and piracy . 	the amistad is boarded by an american naval ship and the revolutionaries are put on trial in connecticut for murder and piracy .	1	-4	 the[0] amistad[0] is[0] boarded[0] by[0] an[0] american[0] naval[0] ship[0] and[0] the[0] revolutionaries[-1] are[0] put[0] on[0] trial[0] in[0] connecticut[0] for[0] murder[-3] and[0] piracy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the legal question becomes are they free men fighting justly for their freedom or are they property . 	the legal question becomes are they free men fighting justly for their freedom or are they property .	1	-3	 the[0] legal[0] question[0] becomes[0] are[0] they[0] free[0] men[0] fighting[-2] justly[0] for[0] their[0] freedom[0] or[0] are[0] they[0] property[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if they are property , who do they belong to ? 	if they are property , who do they belong to ?	1	-1	 if[0] they[0] are[0] property[0] who[0] do[0] they[0] belong[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their masters ? 	their masters ?	1	-1	 their[0] masters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the spanish government ? 	the spanish government ?	1	-1	 the[0] spanish[0] government[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
salvage rights of the officers who captured the ship ? 	salvage rights of the officers who captured the ship ?	1	-2	 salvage[0] rights[0] of[0] the[0] officers[0] who[0] captured[-1] the[0] ship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the us government ? 	the us government ?	1	-1	 the[0] us[0] government[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the defendants are pawns in several games . 	the defendants are pawns in several games .	1	-2	 the[0] defendants[-1] are[0] pawns[0] in[0] several[0] games[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
