contact is the 1997 movie i've seen the most - five times to be exact . 	Translation	Positive	Negative	EmotionRationale
four of those times were on the big screen , but even on a tv , it's a very impressive film . 	four of those times were on the big screen , but even on a tv , it's a very impressive film .	3	-1	 four[0] of[0] those[0] times[0] were[0] on[0] the[0] big[0] screen[0] but[0] even[0] on[0] a[0] tv[0] it's[0] a[0] very[0] impressive[1][1 LastWordBoosterStrength] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the same can't be said for films like independance day , but that's because contact is a rare example in sci-fi filmmaking where the story is treated more importantly than the special effects , and all of us know looking back that id4 didn't offer much outside of some one-time delightful eye candy . 	the same can't be said for films like independance day , but that's because contact is a rare example in sci-fi filmmaking where the story is treated more importantly than the special effects , and all of us know looking back that id4 didn't offer much outside of some one-time delightful eye candy .	3	-1	 the[0] same[0] can't[0] be[0] said[0] for[0] films[0] like[1] independance[0] day[0] but[0] that's[0] because[0] contact[0] is[0] a[0] rare[0] example[0] in[0] sci[0] fi[0] filmmaking[0] where[0] the[0] story[0] is[0] treated[0] more[0] importantly[0] than[0] the[0] special[1] effects[0] and[0] all[0] of[0] us[0] know[0] looking[0] back[0] that[0] id4[0] didn't[0] offer[0] much[0] outside[0] of[0] some[0] one[0] time[0] delightful[2] eye[0] candy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
contact's wonderfully presented story deals with ellie arroway ( jodie foster ) , a radio astronomer whose preference of study involves the outdated technique of " merely listening " to sounds out in space . 	contact's wonderfully presented story deals with ellie arroway ( jodie foster ) , a radio astronomer whose preference of study involves the outdated technique of " merely listening " to sounds out in space .	3	-1	 contact's[0] wonderfully[2] presented[0] story[0] deals[0] with[0] ellie[0] arroway[0] jodie[0] foster[0] a[0] radio[0] astronomer[0] whose[0] preference[0] of[0] study[0] involves[0] the[0] outdated[0] technique[0] of[0] merely[0] listening[0] to[0] sounds[0] out[0] in[0] space[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her interest in the field of astronomy developed at a very young age , encouraged by her loving father , ted ( david morse ) , who let ellie use a small ham radio to pick up on frequencies and communicate with people as far away as pensacola , fl ( that was , of course , before the days of internet chat rooms ) . 	her interest in the field of astronomy developed at a very young age , encouraged by her loving father , ted ( david morse ) , who let ellie use a small ham radio to pick up on frequencies and communicate with people as far away as pensacola , fl ( that was , of course , before the days of internet chat rooms ) .	4	-1	 her[0] interest[1] in[0] the[0] field[0] of[0] astronomy[0] developed[0] at[0] a[0] very[0] young[0] age[0] encouraged[1] by[0] her[0] loving[3] father[0] ted[0] david[0] morse[0] who[0] let[0] ellie[0] use[0] a[0] small[0] ham[0] radio[0] to[0] pick[0] up[0] on[0] frequencies[0] and[0] communicate[0] with[0] people[0] as[0] far[0] away[0] as[0] pensacola[0] fl[0] that[0] was[0] of[0] course[0] before[0] the[0] days[0] of[0] internet[0] chat[0] rooms[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
while everyone else uses modern technologies to aid them in the search for extra-terrestrial intelligence ( of which the program seti is an acronym for ) , ellie prefers to pop on a pair of headphones and see what she can pick up on , keeping the youthful magic and intrigue strongly alive . 	while everyone else uses modern technologies to aid them in the search for extra-terrestrial intelligence ( of which the program seti is an acronym for ) , ellie prefers to pop on a pair of headphones and see what she can pick up on , keeping the youthful magic and intrigue strongly alive .	1	-1	 while[0] everyone[0] else[0] uses[0] modern[0] technologies[0] to[0] aid[0] them[0] in[0] the[0] search[0] for[0] extra[0] terrestrial[0] intelligence[0] of[0] which[0] the[0] program[0] seti[0] is[0] an[0] acronym[0] for[0] ellie[0] prefers[0] to[0] pop[0] on[0] a[0] pair[0] of[0] headphones[0] and[0] see[0] what[0] she[0] can[0] pick[0] up[0] on[0] keeping[0] the[0] youthful[0] magic[0] and[0] intrigue[0] strongly[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ellie's strong scientific basis essentially makes her an atheist , a belief likely influenced by the death of her father while she was still quite young . 	ellie's strong scientific basis essentially makes her an atheist , a belief likely influenced by the death of her father while she was still quite young .	1	-3	 ellie's[0] strong[0] scientific[0] basis[0] essentially[0] makes[0] her[0] an[0] atheist[0] a[0] belief[0] likely[0] influenced[0] by[0] the[0] death[-2] of[0] her[0] father[0] while[0] she[0] was[0] still[0] quite[0] young[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in puerto rico , she meets palmer joss ( matthew mcconaughey ) , a writer examining the effects of technology on the world's overall happiness ; a one- time seminary student who describes himself as " a man of the cloth , without the cloth " . 	in puerto rico , she meets palmer joss ( matthew mcconaughey ) , a writer examining the effects of technology on the world's overall happiness ; a one- time seminary student who describes himself as " a man of the cloth , without the cloth " .	3	-1	 in[0] puerto[0] rico[0] she[0] meets[0] palmer[0] joss[0] matthew[0] mcconaughey[0] a[0] writer[0] examining[0] the[0] effects[0] of[0] technology[0] on[0] the[0] world's[0] overall[0] happiness[2] a[0] one[0] time[0] seminary[0] student[0] who[0] describes[0] himself[0] as[0] a[0] man[0] of[0] the[0] cloth[0] without[0] the[0] cloth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite the vast differences in opinion regarding a " supreme being " , ellie and palmer hit it off , and even take the time to sleep together . 	despite the vast differences in opinion regarding a " supreme being " , ellie and palmer hit it off , and even take the time to sleep together .	3	-1	 despite[0] the[0] vast[0] differences[0] in[0] opinion[0] regarding[0] a[0] supreme[2] being[0] ellie[0] and[0] palmer[0] hit[0] it[0] off[0] and[0] even[0] take[0] the[0] time[0] to[0] sleep[0] together[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a weak and hurried relationship , but director zemeckis needs it to add to the plot later on . 	it's a weak and hurried relationship , but director zemeckis needs it to add to the plot later on .	1	-2	 it's[0] a[0] weak[-1] and[0] hurried[0] relationship[0] but[0] director[0] zemeckis[0] needs[0] it[0] to[0] add[0] to[0] the[0] plot[0] later[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , dr . david drumlin ( tom skerritt ) , who has authority over seti but finds the program a frivolous waste of time and money , is ready to pull the plug on any and all seti funding . 	meanwhile , dr .<br> david drumlin ( tom skerritt ) , who has authority over seti but finds the program a frivolous waste of time and money , is ready to pull the plug on any and all seti funding .	1	-2	 meanwhile[0] dr[0] [[Sentence=-1,1=word max, 1-5]] david[0] drumlin[0] tom[0] skerritt[0] who[0] has[0] authority[0] over[0] seti[0] but[0] finds[0] the[0] program[0] a[0] frivolous[-1] waste[-1] of[0] time[0] and[0] money[0] is[0] ready[0] to[0] pull[0] the[0] plug[0] on[0] any[0] and[0] all[0] seti[0] funding[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this leaves the passionate ellie searching for new sponsors , eventually finding a setup in new mexico and leaving palmer with no explanation , and only a one night stand to remember . 	this leaves the passionate ellie searching for new sponsors , eventually finding a setup in new mexico and leaving palmer with no explanation , and only a one night stand to remember .	3	-1	 this[0] leaves[0] the[0] passionate[2] ellie[0] searching[0] for[0] new[0] sponsors[0] eventually[0] finding[0] a[0] setup[0] in[0] new[0] mexico[0] and[0] leaving[0] palmer[0] with[0] no[0] explanation[0] and[0] only[0] a[0] one[0] night[0] stand[0] to[0] remember[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is in this nm city where , several months later , ellie finally picks up on a strong signal from outer space , perhaps the most profound discovery in the history of science . 	it is in this nm city where , several months later , ellie finally picks up on a strong signal from outer space , perhaps the most profound discovery in the history of science .	1	-1	 it[0] is[0] in[0] this[0] nm[0] city[0] where[0] several[0] months[0] later[0] ellie[0] finally[0] picks[0] up[0] on[0] a[0] strong[0] signal[0] from[0] outer[0] space[0] perhaps[0] the[0] most[0] profound[0] discovery[0] in[0] the[0] history[0] of[0] science[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
