susan granger's review of " big eden " ( jour de fete ) 	Translation	Positive	Negative	EmotionRationale
it's utopia , this tiny town tucked away in the timberland of northwestern montana , where old codgers lounge on the porch of the general store to pass the time away and the local matchmakers ( nan martin , louise fletcher ) eagerly pair off the young people , regardless of sexual preference . 	it's utopia , this tiny town tucked away in the timberland of northwestern montana , where old codgers lounge on the porch of the general store to pass the time away and the local matchmakers ( nan martin , louise fletcher ) eagerly pair off the young people , regardless of sexual preference .	1	-2	 it's[0] utopia[0] this[0] tiny[0] town[0] tucked[0] away[0] in[0] the[0] timberland[0] of[0] northwestern[0] montana[0] where[0] old[0] codgers[0] lounge[0] on[0] the[0] porch[0] of[0] the[0] general[0] store[0] to[0] pass[0] the[0] time[0] away[0] and[0] the[0] local[0] matchmakers[0] nan[0] martin[0] louise[0] fletcher[0] eagerly[0] pair[0] off[0] the[0] young[0] people[0] regardless[-1] of[0] sexual[0] preference[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's nary a homophobe or bigot around , much to the surprise of henry hart ( arye gross ) , a successful but lonely manhattan artist who returns home to care for sam ( george coe ) , the ailing grandfather who raised him . 	there's nary a homophobe or bigot around , much to the surprise of henry hart ( arye gross ) , a successful but lonely manhattan artist who returns home to care for sam ( george coe ) , the ailing grandfather who raised him .	3	-3	 there's[0] nary[0] a[0] homophobe[0] or[0] bigot[-1] around[0] much[0] to[0] the[0] surprise[0] of[0] henry[0] hart[0] arye[0] gross[-1] a[0] successful[2] but[0] lonely[-1] manhattan[0] artist[0] who[0] returns[0] home[0] to[0] care[1] for[0] sam[0] george[0] coe[0] the[0] ailing[-2] grandfather[0] who[0] raised[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and with the simultaneous re-appearance of his best-friend from high-school and object of his unrequited love ( tim dekay ) , now divorced with two young sons , the fact of his homosexuality must be faced . 	and with the simultaneous re-appearance of his best-friend from high-school and object of his unrequited love ( tim dekay ) , now divorced with two young sons , the fact of his homosexuality must be faced .	3	-2	 and[0] with[0] the[0] simultaneous[0] re[0] appearance[0] of[0] his[0] best[1] friend[1] from[0] high[0] school[0] and[0] object[0] of[0] his[0] unrequited[0] love[2] tim[0] dekay[0] now[0] divorced[-1] with[0] two[0] young[0] sons[0] the[0] fact[0] of[0] his[0] homosexuality[0] must[0] be[0] faced[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to complete the triangle , there's the tall , taciturn native american ( eric schweig ) who owns the general store and lovingly yet secretly prepares gourmet meals for henry and sam . 	to complete the triangle , there's the tall , taciturn native american ( eric schweig ) who owns the general store and lovingly yet secretly prepares gourmet meals for henry and sam .	4	-1	 to[0] complete[0] the[0] triangle[0] there's[0] the[0] tall[0] taciturn[0] native[0] american[0] eric[0] schweig[0] who[0] owns[0] the[0] general[0] store[0] and[0] lovingly[3] yet[0] secretly[0] prepares[0] gourmet[0] meals[0] for[0] henry[0] and[0] sam[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this fable about home and family is a major debut for first-time film-maker thomas bezucha ( a former designer for coach and polo/ralph lauren ) who is meticulous about minding details , using ballads like " welcome to my world " and " achin' , breakin' heart " to set up the concept of our universal longing to find a place in which we can love and be loved . 	this fable about home and family is a major debut for first-time film-maker thomas bezucha ( a former designer for coach and polo/ralph lauren ) who is meticulous about minding details , using ballads like " welcome to my world " and " achin' , breakin' heart " to set up the concept of our universal longing to find a place in which we can love and be loved .	4	-3	 this[0] fable[0] about[0] home[0] and[0] family[0] is[0] a[0] major[0] debut[0] for[0] first[0] time[0] film[0] maker[0] thomas[0] bezucha[0] a[0] former[0] designer[0] for[0] coach[0] and[0] polo/ralph[0] lauren[0] who[0] is[0] meticulous[0] about[0] minding[0] details[0] using[0] ballads[0] like[1] welcome[1] to[0] my[0] world[0] and[0] achin'[0] breakin'[0] heart[0] to[0] set[0] up[0] the[0] concept[0] of[0] our[0] universal[0] longing[-2] to[0] find[0] a[0] place[0] in[0] which[0] we[0] can[0] love[2] and[0] be[0] loved[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
in the paradise of big eden , what you are doesn't matter as much as generosity of spirit , respect and kindness . 	in the paradise of big eden , what you are doesn't matter as much as generosity of spirit , respect and kindness .	4	-1	 in[0] the[0] paradise[3] of[0] big[0] eden[0] what[0] you[0] are[0] doesn't[0] matter[0] as[0] much[0] as[0] generosity[1] of[0] spirit[0] respect[2] and[0] kindness[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
sure , the plot's implausible but it's a good-natured fantasy so allowances should be made . 	sure , the plot's implausible but it's a good-natured fantasy so allowances should be made .	2	-1	 sure[0] the[0] plot's[0] implausible[0] but[0] it's[0] a[0] good[1] natured[0] fantasy[0] so[0] allowances[0] should[0] be[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and rob sweeney's photography of glacier national park is spectacular ! 	and rob sweeney's photography of glacier national park is spectacular !	1	-1	 and[0] rob[0] sweeney's[0] photography[0] of[0] glacier[0] national[0] park[0] is[0] spectacular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the granger movie gauge of 1 to 10 , " big eden " is a charming , quirky , off-beat 7 . 	on the granger movie gauge of 1 to 10 , " big eden " is a charming , quirky , off-beat 7 .	2	-1	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] big[0] eden[0] is[0] a[0] charming[1] quirky[0] off[0] beat[0] 7[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a heart-warming romantic comedy about a gay man who doesn't die of aids or wind up alone at the end . 	it's a heart-warming romantic comedy about a gay man who doesn't die of aids or wind up alone at the end .	4	-2	 it's[0] a[0] heart[0] warming[0] romantic[3] comedy[0] about[0] a[0] gay[-1] man[0] who[0] doesn't[0] die[0] of[0] aids[0] or[0] wind[0] up[0] alone[0] at[0] the[0] end[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
