i feel no hesitation in saying that " there's something about mary " is the best film that i will see all year . 	Translation	Positive	Negative	EmotionRationale
from the moment the credits started to roll at the end of the picture , there was no doubt in my mind that i had seen a masterpiece that will remain unsurpassed in the remaining months of 1998 . 	from the moment the credits started to roll at the end of the picture , there was no doubt in my mind that i had seen a masterpiece that will remain unsurpassed in the remaining months of 1998 .	1	-2	 from[0] the[0] moment[0] the[0] credits[0] started[0] to[0] roll[0] at[0] the[0] end[0] of[0] the[0] picture[0] there[0] was[0] no[0] doubt[-1] in[0] my[0] mind[0] that[0] i[0] had[0] seen[0] a[0] masterpiece[0] that[0] will[0] remain[0] unsurpassed[0] in[0] the[0] remaining[0] months[0] of[0] 1998[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is that good of a film . 	it is that good of a film .	2	-1	 it[0] is[0] that[0] good[1] of[0] a[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when gene siskel said this about " fargo " only a few months into '96 , i dismissed the notion as ridiculous . 	when gene siskel said this about " fargo " only a few months into '96 , i dismissed the notion as ridiculous .	1	-3	 when[0] gene[0] siskel[0] said[0] this[0] about[0] fargo[0] only[0] a[0] few[0] months[0] into[0] '96[0] i[0] dismissed[-1] the[0] notion[0] as[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how could you possibly know that a film is so great that nothing you could possibly see in the future could beat it ? 	how could you possibly know that a film is so great that nothing you could possibly see in the future could beat it ?	3	-1	 how[0] could[0] you[0] possibly[0] know[0] that[0] a[0] film[0] is[0] so[0] great[2] that[0] nothing[0] you[0] could[0] possibly[0] see[0] in[0] the[0] future[0] could[0] beat[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but after seeing the farrelly's hilarious and surprisingly heartfelt masterwork , i now know what siskel was talking about . 	but after seeing the farrelly's hilarious and surprisingly heartfelt masterwork , i now know what siskel was talking about .	3	-1	 but[0] after[0] seeing[0] the[0] farrelly's[0] hilarious[2] and[0] surprisingly[0] heartfelt[1] masterwork[0] i[0] now[0] know[0] what[0] siskel[0] was[0] talking[0] about[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
once in a ( very great ) while , a film comes along that is so daring , so brilliant and simply so enjoyable that at the end , you just want to stand up and cheer . 	once in a ( very great ) while , a film comes along that is so daring , so brilliant and simply so enjoyable that at the end , you just want to stand up and cheer .	4	-1	 once[0] in[0] a[0] very[0] great[2][1 LastWordBoosterStrength] while[0] a[0] film[0] comes[0] along[0] that[0] is[0] so[0] daring[0] so[0] brilliant[1] and[0] simply[0] so[0] enjoyable[2] that[0] at[0] the[0] end[0] you[0] just[0] want[0] to[0] stand[0] up[0] and[0] cheer[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and you know , at that instant , that you have just experienced something very special . 	and you know , at that instant , that you have just experienced something very special .	3	-1	 and[0] you[0] know[0] at[0] that[0] instant[0] that[0] you[0] have[0] just[0] experienced[0] something[0] very[0] special[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now for the shocker ; " mary " is the grossest and most disgusting film i have ever viewed ( " pink flamingos " obviously notwithstanding ) . 	now for the shocker ; " mary " is the grossest and most disgusting film i have ever viewed ( " pink flamingos " obviously notwithstanding ) .	1	-4	 now[0] for[0] the[0] shocker[-2] mary[0] is[0] the[0] grossest[-1] and[0] most[0] disgusting[-3] film[0] i[0] have[0] ever[0] viewed[0] pink[0] flamingos[0] obviously[0] notwithstanding[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie is so rude and , i guess , inappropriate in nature that i had a hard time sitting in a theater watching it with my parents ( luckily i had seen it before them , so i could warn the about what they were in for ) . 	the movie is so rude and , i guess , inappropriate in nature that i had a hard time sitting in a theater watching it with my parents ( luckily i had seen it before them , so i could warn the about what they were in for ) .	3	-3	 the[0] movie[0] is[0] so[0] rude[-2] and[0] i[0] guess[0] inappropriate[0] in[0] nature[0] that[0] i[0] had[0] a[0] hard[0] time[0] sitting[0] in[0] a[0] theater[0] watching[0] it[0] with[0] my[0] parents[0] luckily[2] i[0] had[0] seen[0] it[0] before[0] them[0] so[0] i[0] could[0] warn[0] the[0] about[0] what[0] they[0] were[0] in[0] for[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
forget " blazing saddles " , " animal house " and even the former king of gross-out comedy , " monty python's meaning of life " ; they were all only preludes to the farrelly's assault on the senses . 	forget " blazing saddles " , " animal house " and even the former king of gross-out comedy , " monty python's meaning of life " ; they were all only preludes to the farrelly's assault on the senses .	1	-3	 forget[0] blazing[0] saddles[0] animal[0] house[0] and[0] even[0] the[0] former[0] king[0] of[0] gross[-1] out[0] comedy[0] monty[0] python's[0] meaning[0] of[0] life[0] they[0] were[0] all[0] only[0] preludes[0] to[0] the[0] farrelly's[0] assault[-2] on[0] the[0] senses[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , this may even be the funniest film i've ever had the pleasure of seeing ( the only real contender is " monty python and the holy grail " ) , and most certainly the most hilarious to come out all decade . 	in fact , this may even be the funniest film i've ever had the pleasure of seeing ( the only real contender is " monty python and the holy grail " ) , and most certainly the most hilarious to come out all decade .	3	-1	 in[0] fact[0] this[0] may[0] even[0] be[0] the[0] funniest[1] film[0] i've[0] ever[0] had[0] the[0] pleasure[2] of[0] seeing[0] the[0] only[0] real[0] contender[0] is[0] monty[0] python[0] and[0] the[0] holy[0] grail[0] and[0] most[0] certainly[0] the[0] most[0] hilarious[2] to[0] come[0] out[0] all[0] decade[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but as funny as it is , something also has to be said about the overall sweetness of " mary " ; it has a huge heart . 	but as funny as it is , something also has to be said about the overall sweetness of " mary " ; it has a huge heart .	3	-1	 but[0] as[0] funny[1] as[0] it[0] is[0] something[0] also[0] has[0] to[0] be[0] said[0] about[0] the[0] overall[0] sweetness[2] of[0] mary[0] it[0] has[0] a[0] huge[0] heart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you see , the farrelly's are truly gifted filmmakers . 	you see , the farrelly's are truly gifted filmmakers .	2	-1	 you[0] see[0] the[0] farrelly's[0] are[0] truly[1] gifted[0] filmmakers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they don't just present you with a string of dick and fart jokes ( although there are plenty to go around ) . 	they don't just present you with a string of dick and fart jokes ( although there are plenty to go around ) .	2	-1	 they[0] don't[0] just[0] present[0] you[0] with[0] a[0] string[0] of[0] dick[0] and[0] fart[0] jokes[1] although[0] there[0] are[0] plenty[0] to[0] go[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they also , very wisely , add an unbelievable amount of charisma to the main characters and actually have them develop as the story progresses . 	they also , very wisely , add an unbelievable amount of charisma to the main characters and actually have them develop as the story progresses .	1	-2	 they[0] also[0] very[0] wisely[0] add[0] an[0] unbelievable[-1] amount[0] of[0] charisma[0] to[0] the[0] main[0] characters[0] and[0] actually[0] have[0] them[0] develop[0] as[0] the[0] story[0] progresses[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's funny , though . 	it's funny , though .	2	-1	 it's[0] funny[1] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you just look at an outline of the story , it seems kind of contrived and predictable . 	if you just look at an outline of the story , it seems kind of contrived and predictable .	2	-1	 if[0] you[0] just[0] look[0] at[0] an[0] outline[0] of[0] the[0] story[0] it[0] seems[0] kind[1] of[0] contrived[0] and[0] predictable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but believe me , it is anything but . 	but believe me , it is anything but .	1	-1	 but[0] believe[0] me[0] it[0] is[0] anything[0] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ben stiller plays ted , a very shy and clumsy teenage geek who lusts after the school babe , mary ( cameron diaz ) . 	ben stiller plays ted , a very shy and clumsy teenage geek who lusts after the school babe , mary ( cameron diaz ) .	2	-4	 ben[0] stiller[0] plays[1] ted[0] a[0] very[0] shy[-2][-1 LastWordBoosterStrength] and[0] clumsy[-1] teenage[0] geek[0] who[0] lusts[0] after[0] the[0] school[0] babe[0] mary[0] cameron[0] diaz[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after he sticks up for her retarded brother , warren ( w . 	after he sticks up for her retarded brother , warren ( w .	1	-2	 after[0] he[0] sticks[0] up[0] for[0] her[0] retarded[-1] brother[0] warren[0] w[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
early brown - the cameraman , believe it or not , from " scream " ) , his dreams come true when she invites him to the prom . 	early brown - the cameraman , believe it or not , from " scream " ) , his dreams come true when she invites him to the prom .	4	-1	 early[0] brown[0] the[0] cameraman[0] believe[0] it[0] or[0] not[0] from[0] scream[-3][NegatedDueToPreviousWord] his[0] dreams[0] come[0] true[1] when[0] she[0] invites[0] him[0] to[0] the[0] prom[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
