just look back two years ago at the coen brothers' comedic gem the big lebowski , change the actors , take away the bowling alley , add a record store , and you've got high fidelity ( or maybe the other way around since nick hornby's novel high fidelity came first ) . 	Translation	Positive	Negative	EmotionRationale
either way , it's been done before , a trio of losers cracking jokes and complaining about their failed romances , yet it remains consistently funny . 	either way , it's been done before , a trio of losers cracking jokes and complaining about their failed romances , yet it remains consistently funny .	4	-3	 either[0] way[0] it's[0] been[0] done[0] before[0] a[0] trio[0] of[0] losers[-2] cracking[0] jokes[1] and[0] complaining[-1] about[0] their[0] failed[-2] romances[3] yet[0] it[0] remains[0] consistently[0] funny[1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
why is this ? 	why is this ?	1	-1	 why[0] is[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe because you know your life is much better than this , you know these guys are more pathetic than you are , and you know its ok to laugh at them because they're fictional . 	maybe because you know your life is much better than this , you know these guys are more pathetic than you are , and you know its ok to laugh at them because they're fictional .	2	-3	 maybe[0] because[0] you[0] know[0] your[0] life[0] is[0] much[0] better[0] than[0] this[0] you[0] know[0] these[0] guys[0] are[0] more[0] pathetic[-2] than[0] you[0] are[0] and[0] you[0] know[0] its[0] ok[0] to[0] laugh[1] at[0] them[0] because[0] they're[0] fictional[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director stephen frears , possibly not intentionally , has created a movie that makes you feel good about yourself and even that ostensibly no good uncle who watches television twenty four hours a day . 	director stephen frears , possibly not intentionally , has created a movie that makes you feel good about yourself and even that ostensibly no good uncle who watches television twenty four hours a day .	2	-1	 director[0] stephen[0] frears[0] possibly[0] not[0] intentionally[0] has[0] created[0] a[0] movie[0] that[0] makes[0] you[0] feel[0] good[1] about[0] yourself[0] and[0] even[0] that[0] ostensibly[0] no[0] good[1] uncle[0] who[0] watches[0] television[0] twenty[0] four[0] hours[0] a[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when watching high fidelity , expect to laugh at someone else's pain , realize what you are laughing at , and then laugh again . 	when watching high fidelity , expect to laugh at someone else's pain , realize what you are laughing at , and then laugh again .	2	-4	 when[0] watching[0] high[0] fidelity[0] expect[0] to[0] laugh[1] at[0] someone[0] else's[0] pain[-3] realize[0] what[0] you[0] are[0] laughing[1] at[0] and[0] then[0] laugh[1] again[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i laughed at dick ( todd louiso ) , the shy , timorous , steve buscemi character of lebowski , who seems to know what he is talking about but either can't put it into words or is harshly rejected by his friends . 	i laughed at dick ( todd louiso ) , the shy , timorous , steve buscemi character of lebowski , who seems to know what he is talking about but either can't put it into words or is harshly rejected by his friends .	2	-3	 i[0] laughed[1] at[0] dick[0] todd[0] louiso[0] the[0] shy[-2] timorous[0] steve[0] buscemi[0] character[0] of[0] lebowski[0] who[0] seems[0] to[0] know[0] what[0] he[0] is[0] talking[0] about[0] but[0] either[0] can't[0] put[0] it[0] into[0] words[0] or[0] is[0] harshly[0] rejected[-1] by[0] his[0] friends[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i laughed at the john goodman character barry ( jack black ) , an exact replica of the comic bookstore owner on the simpsons , pudgy , egotistic , and obnoxious at the same time . 	i laughed at the john goodman character barry ( jack black ) , an exact replica of the comic bookstore owner on the simpsons , pudgy , egotistic , and obnoxious at the same time .	2	-3	 i[0] laughed[1] at[0] the[0] john[0] goodman[0] character[0] barry[0] jack[0] black[0] an[0] exact[0] replica[0] of[0] the[0] comic[0] bookstore[0] owner[0] on[0] the[0] simpsons[0] pudgy[0] egotistic[-2] and[0] obnoxious[-2] at[0] the[0] same[0] time[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and i laughed at rob ( john cusack ) , the jeff bridges type , whom the story revolves around . 	and i laughed at rob ( john cusack ) , the jeff bridges type , whom the story revolves around .	2	-1	 and[0] i[0] laughed[1] at[0] rob[0] john[0] cusack[0] the[0] jeff[0] bridges[0] type[0] whom[0] the[0] story[0] revolves[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rob is the character easiest to relate to , but he is nothing like you at all . 	rob is the character easiest to relate to , but he is nothing like you at all .	2	-1	 rob[0] is[0] the[0] character[0] easiest[0] to[0] relate[0] to[0] but[0] he[0] is[0] nothing[0] like[1] you[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he uncontrollably cheats and lies , then is unable to realize why he can not hold onto a woman . 	he uncontrollably cheats and lies , then is unable to realize why he can not hold onto a woman .	1	-3	 he[0] uncontrollably[-1] cheats[-2] and[0] lies[-2] then[0] is[0] unable[0] to[0] realize[0] why[0] he[0] can[0] not[0] hold[0] onto[0] a[0] woman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
