in this good natured , pleasent and easy going comedy , bill murray ( ghostbusters , 1984 ) plays grumpy weatherman phil conners , who , every year , is sent to punxsutawney , p . a , to report on groundhog day . 	Translation	Positive	Negative	EmotionRationale
the groundhog day ceremony involves a groundhog being lifted out of a box , and if he dosen't see a shadow , it will be an early spring . 	the groundhog day ceremony involves a groundhog being lifted out of a box , and if he dosen't see a shadow , it will be an early spring .	1	-1	 the[0] groundhog[0] day[0] ceremony[0] involves[0] a[0] groundhog[0] being[0] lifted[0] out[0] of[0] a[0] box[0] and[0] if[0] he[0] dosen't[0] see[0] a[0] shadow[0] it[0] will[0] be[0] an[0] early[0] spring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
phil really hates the ceremony , and not even his producer rita ( macdowell ) can change his mind . 	phil really hates the ceremony , and not even his producer rita ( macdowell ) can change his mind .	1	-5	 phil[0] really[0] hates[-3][-1 LastWordBoosterStrength] the[0] ceremony[0] and[0] not[0] even[0] his[0] producer[0] rita[0] macdowell[0] can[0] change[0] his[0] mind[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
however , fate has a cruel trick for phil , and he starts re-living groundhog day over , and over , and over , until he gradually likes it , and rita falls in love with him . 	however , fate has a cruel trick for phil , and he starts re-living groundhog day over , and over , and over , until he gradually likes it , and rita falls in love with him .	3	-4	 however[0] fate[0] has[0] a[0] cruel[-3] trick[-1] for[0] phil[0] and[0] he[0] starts[0] re[0] living[0] groundhog[0] day[0] over[0] and[0] over[0] and[0] over[0] until[0] he[0] gradually[0] likes[2] it[0] and[0] rita[0] falls[0] in[0] love[2] with[0] him[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
groundhog day is a well written , totatly unoffensive and funny comedy . 	groundhog day is a well written , totatly unoffensive and funny comedy .	2	-1	 groundhog[0] day[0] is[0] a[0] well[0] written[0] totatly[0] unoffensive[0] and[0] funny[1] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the screenwriters , director ramis and danny rubin , have written a funny , warm , but never overly senitmental comedy . 	the screenwriters , director ramis and danny rubin , have written a funny , warm , but never overly senitmental comedy .	2	-1	 the[0] screenwriters[0] director[0] ramis[0] and[0] danny[0] rubin[0] have[0] written[0] a[0] funny[1] warm[0] but[0] never[0] overly[0] senitmental[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although the idea of a day repeating over and over may sound tedious , there are enough good jokes to hold the audiences attention throughout the whole film . 	although the idea of a day repeating over and over may sound tedious , there are enough good jokes to hold the audiences attention throughout the whole film .	2	-3	 although[0] the[0] idea[0] of[0] a[0] day[0] repeating[0] over[0] and[0] over[0] may[0] sound[0] tedious[-2] there[0] are[0] enough[0] good[1] jokes[1] to[0] hold[0] the[0] audiences[0] attention[0] throughout[0] the[0] whole[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ramis's direction also helps , and although he dosen't try any flash director tricks , the film is directed well enough , and the jokes are set up well . 	ramis's direction also helps , and although he dosen't try any flash director tricks , the film is directed well enough , and the jokes are set up well .	2	-2	 ramis's[0] direction[0] also[0] helps[0] and[0] although[0] he[0] dosen't[0] try[0] any[0] flash[0] director[0] tricks[-1] the[0] film[0] is[0] directed[0] well[0] enough[0] and[0] the[0] jokes[1] are[0] set[0] up[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and the editing is also good , especially when it shows one part of the day over , and over again , such as when phil tries to have the perfect night with rita . 	and the editing is also good , especially when it shows one part of the day over , and over again , such as when phil tries to have the perfect night with rita .	2	-1	 and[0] the[0] editing[0] is[0] also[0] good[1] especially[0] when[0] it[0] shows[0] one[0] part[0] of[0] the[0] day[0] over[0] and[0] over[0] again[0] such[0] as[0] when[0] phil[0] tries[0] to[0] have[0] the[0] perfect[1] night[0] with[0] rita[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the performances are also excellent . 	the performances are also excellent .	4	-1	 the[0] performances[0] are[0] also[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
bill murray is great fun , and his transistion from cynical to happy is smooth , and delivers his lines in his usual smary style . 	bill murray is great fun , and his transistion from cynical to happy is smooth , and delivers his lines in his usual smary style .	3	-2	 bill[0] murray[0] is[0] great[2] fun[1] and[0] his[0] transistion[0] from[0] cynical[-1] to[0] happy[1] is[0] smooth[0] and[0] delivers[0] his[0] lines[0] in[0] his[0] usual[0] smary[0] style[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
andie macdowell is good as rita , although sometimes she is just a little bit too sweet in some parts of the film . 	andie macdowell is good as rita , although sometimes she is just a little bit too sweet in some parts of the film .	2	-1	 andie[0] macdowell[0] is[0] good[1] as[0] rita[0] although[0] sometimes[0] she[0] is[0] just[0] a[0] little[0] bit[0] too[0] sweet[1] in[0] some[0] parts[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is chemistry between the two leads , thankfully , otherwise the whole film would probably fall part . 	there is chemistry between the two leads , thankfully , otherwise the whole film would probably fall part .	2	-1	 there[0] is[0] chemistry[0] between[0] the[0] two[0] leads[0] thankfully[1] otherwise[0] the[0] whole[0] film[0] would[0] probably[0] fall[0] part[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
chris elliot , as the cameraman larry , is also funny , although you have to like his goofy style , otherwise you are really going to hate him throughout this film , and it will lower your enjoyment of the film overall . 	chris elliot , as the cameraman larry , is also funny , although you have to like his goofy style , otherwise you are really going to hate him throughout this film , and it will lower your enjoyment of the film overall .	3	-4	 chris[0] elliot[0] as[0] the[0] cameraman[0] larry[0] is[0] also[0] funny[1] although[0] you[0] have[0] to[0] like[1] his[0] goofy[0] style[0] otherwise[0] you[0] are[0] really[0] going[0] to[0] hate[-3] him[0] throughout[0] this[0] film[0] and[0] it[0] will[0] lower[0] your[0] enjoyment[2] of[0] the[0] film[0] overall[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the supporting cast aren't bad either , with stephen tobolowsky hillarous as phils old school mate ned ryanson , and even director ramis popping up as a neurologist . 	the supporting cast aren't bad either , with stephen tobolowsky hillarous as phils old school mate ned ryanson , and even director ramis popping up as a neurologist .	2	-1	 the[0] supporting[1] cast[0] aren't[0] bad[-1][NegatedDueToPreviousWord] either[0] with[0] stephen[0] tobolowsky[0] hillarous[0] as[0] phils[0] old[0] school[0] mate[1] ned[0] ryanson[0] and[0] even[0] director[0] ramis[0] popping[0] up[0] as[0] a[0] neurologist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , there is not one dud performance in this film , and even the groundhog gets a funny scene involving a car chase . 	in fact , there is not one dud performance in this film , and even the groundhog gets a funny scene involving a car chase .	2	-2	 in[0] fact[0] there[0] is[0] not[0] one[0] dud[0] performance[0] in[0] this[0] film[0] and[0] even[0] the[0] groundhog[0] gets[0] a[0] funny[1] scene[0] involving[0] a[0] car[0] chase[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
overall , there is really nothing wrong with groundhog day at all . 	overall , there is really nothing wrong with groundhog day at all .	1	-2	 overall[0] there[0] is[0] really[0] nothing[0] wrong[-1] with[0] groundhog[0] day[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it almost seems perfect . 	it almost seems perfect .	2	-1	 it[0] almost[0] seems[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the film can get a bit soppy sometimes , and some people may get irritated by the day repeating over , and over , and over , and over . 	however , the film can get a bit soppy sometimes , and some people may get irritated by the day repeating over , and over , and over , and over .	1	-3	 however[0] the[0] film[0] can[0] get[0] a[0] bit[0] soppy[0] sometimes[0] and[0] some[0] people[0] may[0] get[0] irritated[-2] by[0] the[0] day[0] repeating[0] over[0] and[0] over[0] and[0] over[0] and[0] over[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
