i can already feel the hate letters pouring in on this one , folks . 	Translation	Positive	Negative	EmotionRationale
i loved the wedding singer . 	i loved the wedding singer .	4	-1	 i[0] loved[3] the[0] wedding[0] singer[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but it gets worse . 	but it gets worse .	1	-3	 but[0] it[0] gets[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if i so much as mention titanic in the same sentence . 	if i so much as mention titanic in the same sentence .	1	-1	 if[0] i[0] so[0] much[0] as[0] mention[0] titanic[0] in[0] the[0] same[0] sentence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
hell , same paragraph as the wedding singer , i'm bound to be lynched . 	hell , same paragraph as the wedding singer , i'm bound to be lynched .	1	-2	 hell[-1] same[0] paragraph[0] as[0] the[0] wedding[0] singer[0] i'm[0] bound[0] to[0] be[0] lynched[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well lynch me then , because i thought adam sandler and drew barrymore had the most convincing chemistry in recent memory , with titanic as the only exception . 	well lynch me then , because i thought adam sandler and drew barrymore had the most convincing chemistry in recent memory , with titanic as the only exception .	1	-1	 well[0] lynch[0] me[0] then[0] because[0] i[0] thought[0] adam[0] sandler[0] and[0] drew[0] barrymore[0] had[0] the[0] most[0] convincing[0] chemistry[0] in[0] recent[0] memory[0] with[0] titanic[0] as[0] the[0] only[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right away , you're ready to discount my review , aren't you ? 	right away , you're ready to discount my review , aren't you ?	1	-1	 right[0] away[0] you're[0] ready[0] to[0] discount[0] my[0] review[0] aren't[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you're thinking that i can't possibly know what i'm talking about . 	you're thinking that i can't possibly know what i'm talking about .	1	-1	 you're[0] thinking[0] that[0] i[0] can't[0] possibly[0] know[0] what[0] i'm[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , this is adam sandler right ? ? ? 	after all , this is adam sandler right ?<br> ?<br> ?	1	-1	 after[0] all[0] this[0] is[0] adam[0] sandler[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , there's more . 	well , there's more .	1	-1	 well[0] there's[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
i actually got choked up , and more than once . 	i actually got choked up , and more than once .	1	-4	 i[0] actually[0] got[0] choked[-3] up[0] and[0] more[0] than[0] once[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yes , the man who brought us billy madison and happy gilmore was able to bring sincere tears to my eyes . 	yes , the man who brought us billy madison and happy gilmore was able to bring sincere tears to my eyes .	2	-4	 yes[0] the[0] man[0] who[0] brought[0] us[0] billy[0] madison[0] and[0] happy[1] gilmore[0] was[0] able[0] to[0] bring[0] sincere[0] tears[-3] to[0] my[0] eyes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
