after the average mouse hunt , the silly small soldiers and the entertaining antz , dreamworks try again with the children's film market with this stunning adaptation of the moses story . 	Translation	Positive	Negative	EmotionRationale
as the film warns us at the beginning , it's not the full story , and some liberties have been taken , but generally this the bible story we all know and love , featuring burning bushes , the plagues and the parting of the red sea . 	as the film warns us at the beginning , it's not the full story , and some liberties have been taken , but generally this the bible story we all know and love , featuring burning bushes , the plagues and the parting of the red sea .	3	-2	 as[0] the[0] film[0] warns[0] us[0] at[0] the[0] beginning[0] it's[0] not[0] the[0] full[0] story[0] and[0] some[0] liberties[0] have[0] been[0] taken[0] but[0] generally[0] this[0] the[0] bible[0] story[0] we[0] all[0] know[0] and[0] love[2] featuring[0] burning[-1] bushes[0] the[0] plagues[-1] and[0] the[0] parting[0] of[0] the[0] red[0] sea[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only thing missing is charlton heston . 	the only thing missing is charlton heston .	1	-1	 the[0] only[0] thing[0] missing[0] is[0] charlton[0] heston[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , we get val kilmer voicing moses , an hebrew who is placed in a river by his mother and rescued by the queen of egypt ( helen mirren . ) 	instead , we get val kilmer voicing moses , an hebrew who is placed in a river by his mother and rescued by the queen of egypt ( helen mirren .<br> )	1	-1	 instead[0] we[0] get[0] val[0] kilmer[0] voicing[0] moses[0] an[0] hebrew[0] who[0] is[0] placed[0] in[0] a[0] river[0] by[0] his[0] mother[0] and[0] rescued[0] by[0] the[0] queen[0] of[0] egypt[0] helen[0] mirren[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we flash forward several years to see moses and brother rameses ( fiennes ) all grown up . 	we flash forward several years to see moses and brother rameses ( fiennes ) all grown up .	1	-1	 we[0] flash[0] forward[0] several[0] years[0] to[0] see[0] moses[0] and[0] brother[0] rameses[0] fiennes[0] all[0] grown[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moses soon finds out from brother and sister miriam and aaron ( sandra bullock and jeff goldblum ) that he isn't really the son of the pharaoh seti ( patrick stewart ) and that it his destiny to free the hebrews from the egyptians tyrannical rule . 	moses soon finds out from brother and sister miriam and aron ( sandra bullock and jeff goldblum ) that he isn't really the son of the pharaoh seti ( patrick stewart ) and that it his destiny to free the hebrews from the egyptians tyrannical rule .	1	-1	 moses[0] soon[0] finds[0] out[0] from[0] brother[0] and[0] sister[0] miriam[0] and[0] aaron/aron[0] sandra[0] bullock[0] and[0] jeff[0] goldblum[0] that[0] he[0] isn't[0] really[0] the[0] son[0] of[0] the[0] pharaoh[0] seti[0] patrick[0] stewart[0] and[0] that[0] it[0] his[0] destiny[0] to[0] free[0] the[0] hebrews[0] from[0] the[0] egyptians[0] tyrannical[0] rule[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he soon sets about this , along with his wife tzipporah ( michelle pfeiffer . ) 	he soon sets about this , along with his wife tzipporah ( michelle pfeiffer .<br> )	1	-1	 he[0] soon[0] sets[0] about[0] this[0] along[0] with[0] his[0] wife[0] tzipporah[0] michelle[0] pfeiffer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rameses and his two wizard friends ( voiced by steve martin and martin short ) try to stop moses completing his task . 	rameses and his two wizard friends ( voiced by steve martin and martin short ) try to stop moses completing his task .	2	-1	 rameses[0] and[0] his[0] two[0] wizard[0] friends[1] voiced[0] by[0] steve[0] martin[0] and[0] martin[0] short[0] try[0] to[0] stop[0] moses[0] completing[0] his[0] task[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while the plot is familiar and somewhat exciting for adults , for children reared on aladdin and hercules , this film could be the most godawful thing they've ever seen . 	while the plot is familiar and somewhat exciting for adults , for children reared on aladdin and hercules , this film could be the most godawful thing they've ever seen .	3	-1	 while[0] the[0] plot[0] is[0] familiar[0] and[0] somewhat[0] exciting[2] for[0] adults[0] for[0] children[0] reared[0] on[0] aladdin[0] and[0] hercules[0] this[0] film[0] could[0] be[0] the[0] most[0] godawful[0] thing[0] they've[0] ever[0] seen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gone is the quick fire humour and standard , easy to follow plot . 	gone is the quick fire humour and standard , easy to follow plot .	3	-1	 gone[0] is[0] the[0] quick[0] fire[0] humour[2] and[0] standard[0] easy[0] to[0] follow[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , spectacularly , and to dreamworks credit , nearly every child in the audience was captivated by the story and events happening on screen . 	but , spectacularly , and to dreamworks credit , nearly every child in the audience was captivated by the story and events happening on screen .	1	-1	 but[0] spectacularly[0] and[0] to[0] dreamworks[0] credit[0] nearly[0] every[0] child[0] in[0] the[0] audience[0] was[0] captivated[0] by[0] the[0] story[0] and[0] events[0] happening[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
