lean , mean , escapist thrillers are a tough product to come by . 	Translation	Positive	Negative	EmotionRationale
most are unnecessarily complicated , and others have no sense of expediency -- the thrill-ride effect gets lost in the cumbersome plot . 	most are unnecessarily complicated , and others have no sense of expediency - the thrill-ride effect gets lost in the cumbersome plot .	4	-2	 most[0] are[0] unnecessarily[-1] complicated[-1] and[0] others[0] have[0] no[0] sense[0] of[0] expediency[0] the[0] thrill[3] ride[0] effect[0] gets[0] lost[0] in[0] the[0] cumbersome[-1] plot[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
perhaps the ultimate escapist thriller was the fugitive , which featured none of the flash-bang effects of today's market but rather a bread-and-butter , textbook example of what a clever script and good direction is all about . 	perhaps the ultimate escapist thriller was the fugitive , which featured none of the flash-bang effects of today's market but rather a bread-and-butter , textbook example of what a clever script and good direction is all about .	2	-2	 perhaps[0] the[0] ultimate[0] escapist[0] thriller[1] was[0] the[0] fugitive[-1] which[0] featured[0] none[0] of[0] the[0] flash[0] bang[0] effects[0] of[0] today's[0] market[0] but[0] rather[0] a[0] bread[0] and[0] butter[0] textbook[0] example[0] of[0] what[0] a[0] clever[0] script[0] and[0] good[1] direction[0] is[0] all[0] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the latest tony scott movie , enemy of the state , doesn't make it to that level . 	the latest tony scot movie , enemy of the state , doesn't make it to that level .	1	-2	 the[0] latest[0] tony[0] scott/scot[0] movie[0] enemy[-1] of[0] the[0] state[0] doesn't[0] make[0] it[0] to[0] that[0] level[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a true nineties product that runs like greased lightning through a maze of cell phones and laptop computers , without looking back . 	it's a true nineties product that runs like greased lightning through a maze of cell phones and laptop computers , without looking back .	2	-1	 it's[0] a[0] true[1] nineties[0] product[0] that[0] runs[0] like[1] greased[0] lightning[0] through[0] a[0] maze[0] of[0] cell[0] phones[0] and[0] laptop[0] computers[0] without[0] looking[0] back[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although director scott has made missteps in the past , such as the lame thriller the fan , he's generated a good deal of energy in pictures like crimson tide and top gun . 	although director scot has made missteps in the past , such as the lame thriller the fan , he's generated a good deal of energy in pictures like crimson tide and top gun .	2	-3	 although[0] director[0] scott/scot[0] has[0] made[0] missteps[0] in[0] the[0] past[0] such[0] as[0] the[0] lame[-2] thriller[1] the[0] fan[0] he's[0] generated[0] a[0] good[1] deal[0] of[0] energy[0] in[0] pictures[0] like[1] crimson[0] tide[0] and[0] top[0] gun[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that vibrant spirit is present here , shown in well-timed and carefully planned chase scenes that give the movie an aura of sheer speed . 	that vibrant spirit is present here , shown in well-timed and carefully planned chase scenes that give the movie an aura of sheer speed .	1	-2	 that[0] vibrant[0] spirit[0] is[0] present[0] here[0] shown[0] in[0] well[0] timed[0] and[0] carefully[0] planned[0] chase[-1] scenes[0] that[0] give[0] the[0] movie[0] an[0] aura[0] of[0] sheer[0] speed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enemy of the state also features an unprecedented use of amazing cinematography -- director of photography daniel mindel throws a staggering amount of different views , angles , lenses , and film stocks at the audience that goes a long way toward involving the audience in the movie . 	enemy of the state also features an unprecedented use of amazing cinematography - director of photography daniel mindel throws a staggering amount of different views , angles , lenses , and film stocks at the audience that goes a long way toward involving the audience in the movie .	3	-2	 enemy[-1] of[0] the[0] state[0] also[0] features[0] an[0] unprecedented[0] use[0] of[0] amazing[2] cinematography[0] director[0] of[0] photography[0] daniel[0] mindel[0] throws[0] a[0] staggering[0] amount[0] of[0] different[0] views[0] angles[0] lenses[0] and[0] film[0] stocks[0] at[0] the[0] audience[0] that[0] goes[0] a[0] long[0] way[0] toward[0] involving[0] the[0] audience[0] in[0] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
enemy is truly a visual experience , and that's only one of the reasons it's such a fun watch . 	enemy is truly a visual experience , and that's only one of the reasons it's such a fun watch .	2	-2	 enemy[-1] is[0] truly[1] a[0] visual[0] experience[0] and[0] that's[0] only[0] one[0] of[0] the[0] reasons[0] it's[0] such[0] a[0] fun[1] watch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie lights up with an aging senator visited by nsa deputy chief thomas reynolds ( jon voight ) . 	the movie lights up with an aging senator visited by nsa deputy chief thomas reynolds ( jon voight ) .	1	-1	 the[0] movie[0] lights[0] up[0] with[0] an[0] aging[0] senator[0] visited[0] by[0] nsa[0] deputy[0] chief[0] thomas[0] reynolds[0] jon[0] voight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reynolds wants a new communications act passed to allow the government free reign in the use of surveilance equipment , but the senator plans to bury the bill in committee . 	reynolds wants a new communications act passed to allow the government free reign in the use of surveilance equipment , but the senator plans to bury the bill in committee .	1	-3	 reynolds[0] wants[0] a[0] new[0] communications[0] act[0] passed[0] to[0] allow[0] the[0] government[0] free[0] reign[0] in[0] the[0] use[0] of[0] surveilance[0] equipment[0] but[0] the[0] senator[0] plans[0] to[0] bury[-2] the[0] bill[0] in[0] committee[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
reynolds has the senator offed , but not before the murder is caught on a naturalist's camera . 	reynolds has the senator offed , but not before the murder is caught on a naturalist's camera .	1	-4	 reynolds[0] has[0] the[0] senator[0] offed[0] but[0] not[0] before[0] the[0] murder[-3] is[0] caught[0] on[0] a[0] naturalist's[0] camera[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
by an extremist chain of events , the tape ends up in labor lawyer robert dean ( will smith ) 's posession , and it's not long before he's running from reynolds' cronies . 	by an extremist chain of events , the tape ends up in labor lawyer robert dean ( will smith ) 's posession , and it's not long before he's running from reynolds' cronies .	1	-1	 by[0] an[0] extremist[0] chain[0] of[0] events[0] the[0] tape[0] ends[0] up[0] in[0] labor[0] lawyer[0] robert[0] dean[0] will[0] smith[0] 's[0] posession[0] and[0] it's[0] not[0] long[0] before[0] he's[0] running[0] from[0] reynolds'[0] cronies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
