did claus von bulow try to kill his wife sunny in their newport mansion ? 	Translation	Positive	Negative	EmotionRationale
that is the question reversal of fortune asks you to consider as it opens in a hospital ward , with a comatose sunny von bulow . 	that is the question reversal of fortune asks you to consider as it opens in a hospital ward , with a comatose sunny von bulow .	2	-1	 that[0] is[0] the[0] question[0] reversal[0] of[0] fortune[0] asks[0] you[0] to[0] consider[0] as[0] it[0] opens[0] in[0] a[0] hospital[0] ward[0] with[0] a[0] comatose[0] sunny[1] von[0] bulow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is the main narrator of the film , in a narrative trick that was extraordinarily risky for schroeder . 	she is the main narrator of the film , in a narrative trick that was extraordinarily risky for schroeder .	1	-2	 she[0] is[0] the[0] main[0] narrator[0] of[0] the[0] film[0] in[0] a[0] narrative[0] trick[-1] that[0] was[0] extraordinarily[0] risky[-1] for[0] schroeder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dramatic trick works , as sunny von bulow narrates a compelling story of murder , sex , unhappiness , and a lawyer's moral dilemma as he takes a case he thinks he cannot win . 	the dramatic trick works , as sunny von bulow narrates a compelling story of murder , sex , unhappiness , and a lawyer's moral dilemma as he takes a case he thinks he cannot win .	2	-4	 the[0] dramatic[0] trick[-1] works[0] as[0] sunny[1] von[0] bulow[0] narrates[0] a[0] compelling[0] story[0] of[0] murder[-3] sex[0] unhappiness[-2] and[0] a[0] lawyer's[0] moral[0] dilemma[-1] as[0] he[0] takes[0] a[0] case[0] he[0] thinks[0] he[0] cannot[0] win[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
jeremy irons is claus von bulow , in what is his finest role , and one of the most devastingly evil performances in history . 	jeremy irons is claus von bulow , in what is his finest role , and one of the most devastingly evil performances in history .	1	-3	 jeremy[0] irons[0] is[0] claus[0] von[0] bulow[0] in[0] what[0] is[0] his[0] finest[0] role[0] and[0] one[0] of[0] the[0] most[0] devastingly[0] evil[-2] performances[0] in[0] history[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is as hated as any man alive , as cold as a cucumber . 	he is as hated as any man alive , as cold as a cucumber .	1	-4	 he[0] is[0] as[0] hated[-3] as[0] any[0] man[0] alive[0] as[0] cold[-1] as[0] a[0] cucumber[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his remorse for his wife's comatose condition is nonexistant , and it is no wonder that even his children have difficulty accepting his version of what happened during christmas , 1980 . 	his remorse for his wife's comatose condition is nonexistant , and it is no wonder that even his children have difficulty accepting his version of what happened during christmas , 1980 .	1	-3	 his[0] remorse[-2] for[0] his[0] wife's[0] comatose[0] condition[0] is[0] nonexistant[0] and[0] it[0] is[0] no[0] wonder[0] that[0] even[0] his[0] children[0] have[0] difficulty[-1] accepting[0] his[0] version[0] of[0] what[0] happened[0] during[0] christmas[0] 1980[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the background to the case is such . 	the background to the case is such .	1	-1	 the[0] background[0] to[0] the[0] case[0] is[0] such[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during christmas of 1979 , sunny von bulow fell into a deep coma from which she recovered and awoke . 	during christmas of 1979 , sunny von bulow fell into a deep coma from which she recovered and awoke .	2	-1	 during[0] christmas[0] of[0] 1979[0] sunny[1] von[0] bulow[0] fell[0] into[0] a[0] deep[0] coma[0] from[0] which[0] she[0] recovered[0] and[0] awoke[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the same situation occured in 1980 , only sunny never woke , and probably never will . 	the same situation occured in 1980 , only sunny never woke , and probably never will .	2	-1	 the[0] same[0] situation[0] occured[0] in[0] 1980[0] only[0] sunny[1] never[0] woke[0] and[0] probably[0] never[0] will[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when examined , it was found that she had 14 times the normal amount of insulin within her blood . 	when examined , it was found that she had 14 times the normal amount of insulin within her blood .	1	-1	 when[0] examined[0] it[0] was[0] found[0] that[0] she[0] had[0] 14[0] times[0] the[0] normal[0] amount[0] of[0] insulin[0] within[0] her[0] blood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
claus von bulow is then accused of attempted murder by his stepson , convicted , and freed on bail . 	claus von bulow is then accused of attempted murder by his stepson , convicted , and freed on bail .	1	-4	 claus[0] von[0] bulow[0] is[0] then[0] accused[-1] of[0] attempted[0] murder[-3] by[0] his[0] stepson[0] convicted[-1] and[0] freed[0] on[0] bail[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he immediately hires alan dershowitz , the renowed harvard law professor , to acquit him . 	he immediately hires alan dershowitz , the renowed harvard law professor , to acquit him .	1	-1	 he[0] immediately[0] hires[0] alan[0] dershowitz[0] the[0] renowed[0] harvard[0] law[0] professor[0] to[0] acquit[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ron silver is magnificent as a moral lawyer who cannot stand what has happened to him . 	ron silver is magnificent as a moral lawyer who cannot stand what has happened to him .	4	-1	 ron[0] silver[0] is[0] magnificent[3] as[0] a[0] moral[0] lawyer[0] who[0] cannot[0] stand[0] what[0] has[0] happened[0] to[0] him[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
