when i first heard of contact , the hype was building it up as a sci-fi blockbuster . 	Translation	Positive	Negative	EmotionRationale
now , with that in mind , coupled with the knowledge of jodie foster's involvement in the project , i thought " what in the world is foster doing in a sci-fi blockbuster ? ? ? " . 	now , with that in mind , coupled with the knowledge of jodie foster's involvement in the project , i thought " what in the world is foster doing in a sci-fi blockbuster ?<br> ?<br> ?<br> " .	1	-2	 now[0] with[0] that[0] in[0] mind[0] coupled[0] with[0] the[0] knowledge[0] of[0] jodie[0] foster's[0] involvement[0] in[0] the[0] project[0] i[0] thought[0] what[0] in[0] the[0] world[0] is[0] foster[0] doing[0] in[0] a[0] sci[0] fi[0] blockbuster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as it turned out , my expectations were completely nullified and turned topsy-turvy . 	as it turned out , my expectations were completely nullified and turned topsy-turvy .	1	-1	 as[0] it[0] turned[0] out[0] my[0] expectations[0] were[0] completely[0] nullified[0] and[0] turned[0] topsy[0] turvy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robert zemeckis , back from the euphoria created by his last film , forrest gump , once again proves his mastery in fusing tales of adventure with along the endearing lines of human spirit . 	robert zemeckis , back from the euphoria created by his last film , forest gump , once again proves his mastery in fusing tales of adventure with along the endearing lines of human spirit .	1	-1	 robert[0] zemeckis[0] back[0] from[0] the[0] euphoria[0] created[0] by[0] his[0] last[0] film[0] forrest/forest[0] gump[0] once[0] again[0] proves[0] his[0] mastery[0] in[0] fusing[0] tales[0] of[0] adventure[0] with[0] along[0] the[0] endearing[0] lines[0] of[0] human[0] spirit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't get me wrong , contact is sci-fi ? but with a definite difference . 	don't get me wrong , contact is sci-fi ?<br> but with a definite difference .	1	-2	 don't[0] get[0] me[0] wrong[-1] contact[0] is[0] sci[0] fi[0] [[Sentence=-2,1=word max, 1-5]] but[0] with[0] a[0] definite[0] difference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on the late carl sagan novel of the same name , the story delves itself in questions on science and god ; fact and faith . 	based on the late carl sagan novel of the same name , the story delves itself in questions on science and god ; fact and faith .	2	-2	 based[0] on[0] the[0] late[0] carl[0] sagan[-1] novel[0] of[0] the[0] same[0] name[0] the[0] story[0] delves[0] itself[0] in[0] questions[0] on[0] science[0] and[0] god[0] fact[0] and[0] faith[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
allie ( foster ) is a radio astronomer . 	allie ( foster ) is a radio astronomer .	1	-1	 allie[0] foster[0] is[0] a[0] radio[0] astronomer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she spends her time listening to the stars , via ultra-huge communication dishes in search of intelligent life beyond the solar system . 	she spends her time listening to the stars , via ultra-huge communication dishes in search of intelligent life beyond the solar system .	2	-1	 she[0] spends[0] her[0] time[0] listening[0] to[0] the[0] stars[0] via[0] ultra[0] huge[0] communication[0] dishes[0] in[0] search[0] of[0] intelligent[1] life[0] beyond[0] the[0] solar[0] system[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her passion for  long-distance communication' is the result of her younger days being spent avidly in front of a ham-radio system ( a hobbyist radio communication device ) which her late-father bought for her . 	her passion for  long-distance communication' is the result of her younger days being spent avidly in front of a ham-radio system ( a hobbyist radio communication device ) which her late-father bought for her .	3	-1	 her[0] passion[2] for[0] long[0] distance[0] communication'[0] is[0] the[0] result[0] of[0] her[0] younger[0] days[0] being[0] spent[0] avidly[0] in[0] front[0] of[0] a[0] ham[0] radio[0] system[0] a[0] hobbyist[0] radio[0] communication[0] device[0] which[0] her[0] late[0] father[0] bought[0] for[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a scene which particularly strengthens the audiences' view of the passion is when she asked her father whether she could contact her late-mother through the ham-radio system in which her father replied " not even the most powerful radio in the world can do that , now " . 	a scene which particularly strengthens the audiences' view of the passion is when she asked her father whether she could contact her late-mother through the ham-radio system in which her father replied " not even the most powerful radio in the world can do that , now " .	3	-1	 a[0] scene[0] which[0] particularly[0] strengthens[0] the[0] audiences'[0] view[0] of[0] the[0] passion[2] is[0] when[0] she[0] asked[0] her[0] father[0] whether[0] she[0] could[0] contact[0] her[0] late[0] mother[0] through[0] the[0] ham[0] radio[0] system[0] in[0] which[0] her[0] father[0] replied[0] not[0] even[0] the[0] most[0] powerful[0] radio[0] in[0] the[0] world[0] can[0] do[0] that[0] now[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
allie's research is based on the seti project ( search for extra terrestrial intelligence ) , in which she listens to radio emissions from other galaxies in the hope of finding one which would suggest intelligent manipulation . 	allie's research is based on the seti project ( search for extra terrestrial intelligence ) , in which she listens to radio emissions from other galaxies in the hope of finding one which would suggest intelligent manipulation .	3	-2	 allie's[0] research[0] is[0] based[0] on[0] the[0] seti[0] project[0] search[0] for[0] extra[0] terrestrial[0] intelligence[0] in[0] which[0] she[0] listens[0] to[0] radio[0] emissions[0] from[0] other[0] galaxies[0] in[0] the[0] hope[2] of[0] finding[0] one[0] which[0] would[0] suggest[0] intelligent[1] manipulation[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
