i had lost all faith in pg-13 movies that are intended for teenagers and adults . 	Translation	Positive	Negative	EmotionRationale
the last dozen or so that i have seen have all felt incomplete , as if the most crucial scene was deleted in order to obtain a more lucrative rating . 	the last dozen or so that i have seen have all felt incomplete , as if the most crucial scene was deleted in order to obtain a more lucrative rating .	1	-1	 the[0] last[0] dozen[0] or[0] so[0] that[0] i[0] have[0] seen[0] have[0] all[0] felt[0] incomplete[0] as[0] if[0] the[0] most[0] crucial[0] scene[0] was[0] deleted[0] in[0] order[0] to[0] obtain[0] a[0] more[0] lucrative[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , after seeing the creative frequency last week and now the exciting u-571 , my bias is beginning to go away . 	however , after seeing the creative frequency last week and now the exciting you-571 , my bias is beginning to go away .	3	-1	 however[0] after[0] seeing[0] the[0] creative[0] frequency[0] last[0] week[0] and[0] now[0] the[0] exciting[2] u[0] -571[0] my[0] bias[0] is[0] beginning[0] to[0] go[0] away[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both films are as innocuous for younger viewers as they are intellectual for older viewers . 	both films are as innocuous for younger viewers as they are intellectual for older viewers .	1	-1	 both[0] films[0] are[0] as[0] innocuous[0] for[0] younger[0] viewers[0] as[0] they[0] are[0] intellectual[0] for[0] older[0] viewers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even better , i didn't think either one of these films would be any good from first instincts . 	even better , i didn't think either one of these films would be any good from first instincts .	2	-1	 even[0] better[0] i[0] didn't[0] think[0] either[0] one[0] of[0] these[0] films[0] would[0] be[0] any[0] good[1] from[0] first[0] instincts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everyone loves surprises . 	everyone loves surprises .	3	-1	 everyone[0] loves[2] surprises[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
u-571 looked like another action film using an actual war as an excuse to shoot torpedoes and bullets . 	you-571 looked like another action film using an actual war as an excuse to shoot torpedoes and bullets .	2	-3	 u[0] -571[0] looked[0] like[1] another[0] action[0] film[0] using[0] an[0] actual[0] war[-2] as[0] an[0] excuse[0] to[0] shoot[-1] torpedoes[0] and[0] bullets[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this may be true , but the action is so extraordinary that it is clear director/co-writer jonathan mostow completed his ultimate goal ; to blow the audience's socks off . 	this may be true , but the action is so extraordinary that it is clear director/co-writer jonathan mostow completed his ultimate goal ; to blow the audience's socks off .	2	-1	 this[0] may[0] be[0] true[1] but[0] the[0] action[0] is[0] so[0] extraordinary[0] that[0] it[0] is[0] clear[0] director/co[0] writer[0] jonathan[0] mostow[0] completed[0] his[0] ultimate[0] goal[0] to[0] blow[0] the[0] audience's[0] socks[0] off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
set during the early stages of world war 2 when the united states struggled to break the codes of the technologically advanced german u-boats , u-571 follows a small crew of american men who swipe the typewriter necessary to solve the enigma from an enemy ship . 	set during the early stages of world war 2 when the united states struggled to break the codes of the technologically advanced german you-boats , you-571 follows a small crew of american men who swipe the typewriter necessary to solve the enigma from an enemy ship .	1	-3	 set[0] during[0] the[0] early[0] stages[0] of[0] world[0] war[-2] 2[0] when[0] the[0] united[0] states[0] struggled[-1] to[0] break[0] the[0] codes[0] of[0] the[0] technologically[0] advanced[0] german[-1] u[0] boats[0] u[0] -571[0] follows[0] a[0] small[0] crew[0] of[0] american[0] men[0] who[0] swipe[0] the[0] typewriter[0] necessary[0] to[0] solve[0] the[0] enigma[0] from[0] an[0] enemy[-1] ship[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's only one problem : the american ship they came from and hoped to return to has been shot down stranding the men on a german submarine known as ( you guessed it ) u-571 . 	there's only one problem : the american ship they came from and hoped to return to has been shot down stranding the men on a german submarine known as ( you guessed it ) you-571 .	2	-2	 there's[0] only[0] one[0] problem[-1] the[0] american[0] ship[0] they[0] came[0] from[0] and[0] hoped[1] to[0] return[0] to[0] has[0] been[0] shot[-1] down[0] stranding[0] the[0] men[0] on[0] a[0] german[-1] submarine[0] known[0] as[0] you[0] guessed[0] it[0] u[0] -571[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is now up to the mostly young and inexperienced sailors , led by an interim captain named tyler ( matthew mcconaughey ) , to return the typewriter to america without getting sunk by far superior german ships . 	it is now up to the mostly young and inexperienced sailors , led by an interim captain named tyler ( matthew mcconaughey ) , to return the typewriter to america without getting sunk by far superior german ships .	3	-2	 it[0] is[0] now[0] up[0] to[0] the[0] mostly[0] young[0] and[0] inexperienced[0] sailors[0] led[0] by[0] an[0] interim[0] captain[0] named[0] tyler[0] matthew[0] mcconaughey[0] to[0] return[0] the[0] typewriter[0] to[0] america[0] without[0] getting[0] sunk[0] by[0] far[0] superior[2] german[-1] ships[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film starts off very slowly with a somewhat weak opening action sequence and another uneventful half an hour to introduce several of the sailors ( most of whom die when the mission goes awry or just inexplicably disappear ) . 	the film starts off very slowly with a somewhat weak opening action sequence and another uneventful half an hour to introduce several of the sailors ( most of whom die when the mission goes awry or just inexplicably disappear ) .	1	-2	 the[0] film[0] starts[0] off[0] very[0] slowly[0] with[0] a[0] somewhat[0] weak[-1] opening[0] action[0] sequence[0] and[0] another[0] uneventful[0] half[0] an[0] hour[0] to[0] introduce[0] several[0] of[0] the[0] sailors[0] most[0] of[0] whom[0] die[0] when[0] the[0] mission[0] goes[0] awry[0] or[0] just[0] inexplicably[0] disappear[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once the crew gets on the u-boat , the movie shifts to another level and never leaves this high energy level until the ending credits roll down . 	once the crew gets on the you-boat , the movie shifts to another level and never leaves this high energy level until the ending credits roll down .	1	-1	 once[0] the[0] crew[0] gets[0] on[0] the[0] u[0] boat[0] the[0] movie[0] shifts[0] to[0] another[0] level[0] and[0] never[0] leaves[0] this[0] high[0] energy[0] level[0] until[0] the[0] ending[0] credits[0] roll[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as soon as the action starts , it does not stop and luckily , because it is so exciting , i didn't want it to stop . 	as soon as the action starts , it does not stop and luckily , because it is so exciting , i didn't want it to stop .	3	-1	 as[0] soon[0] as[0] the[0] action[0] starts[0] it[0] does[0] not[0] stop[0] and[0] luckily[2] because[0] it[0] is[0] so[0] exciting[2] i[0] didn't[0] want[0] it[0] to[0] stop[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is not a movie for those wanting to avoid loud noises , from the wonderful , heart-pounding score to the constant yelling of panicking men , make sure you see this at a theater with surround-sound ? otherwise , do not see it all . 	this is not a movie for those wanting to avoid loud noises , from the wonderful , heart-pounding score to the constant yelling of panicking men , make sure you see this at a theater with surround-sound ?<br> otherwise , do not see it all .	3	-3	 this[0] is[0] not[0] a[0] movie[0] for[0] those[0] wanting[0] to[0] avoid[-1] loud[0] noises[0] from[0] the[0] wonderful[2] heart[0] pounding[0] score[0] to[0] the[0] constant[0] yelling[0] of[0] panicking[-2] men[0] make[0] sure[0] you[0] see[0] this[0] at[0] a[0] theater[0] with[0] surround[0] sound[0] [[Sentence=-3,3=word max, 1-5]] otherwise[0] do[0] not[0] see[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
the best parts of u-571 are when tyler is forced to make impromptu decisions on how to escape seemingly impossible situations . 	the best parts of you-571 are when tyler is forced to make impromptu decisions on how to escape seemingly impossible situations .	2	-1	 the[0] best[1] parts[0] of[0] u[0] -571[0] are[0] when[0] tyler[0] is[0] forced[0] to[0] make[0] impromptu[0] decisions[0] on[0] how[0] to[0] escape[0] seemingly[0] impossible[0] situations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
throughout the movie , several morals or characters are introduced to make tyler's job as stressful as possible . 	throughout the movie , several morals or characters are introduced to make tyler's job as stressful as possible .	1	-2	 throughout[0] the[0] movie[0] several[0] morals[0] or[0] characters[0] are[0] introduced[0] to[0] make[0] tyler's[0] job[0] as[0] stressful[-1] as[0] possible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
