deep rising is one of " those " movies . 	Translation	Positive	Negative	EmotionRationale
the kind of movie which serves no purpose except to entertain us . 	the kind of movie which serves no purpose except to entertain us .	2	-1	 the[0] kind[1] of[0] movie[0] which[0] serves[0] no[0] purpose[0] except[0] to[0] entertain[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it does not ask us to think about important questions like life on other planets or the possibility that there is no god . . . screw that , it says boldly , let's see some computer generated monsters rip into , decapitate and generally cause irreparable booboos to a bunch of little known actors . 	it does not ask us to think about important questions like life on other planets or the possibility that there is no god .<br> .<br> .<br> screw that , it says boldly , let's see some computer generated monsters rip into , decapitate and generally cause irreparable booboos to a bunch of little known actors .	2	-2	 it[0] does[0] not[0] ask[0] us[0] to[0] think[0] about[0] important[0] questions[0] like[1] life[0] on[0] other[0] planets[0] or[0] the[0] possibility[0] that[0] there[0] is[0] no[0] god[0] [[Sentence=-1,2=word max, 1-5]] screw[0] that[0] it[0] says[0] boldly[0] let's[0] see[0] some[0] computer[0] generated[0] monsters[0] rip[-1] into[0] decapitate[0] and[0] generally[0] cause[0] irreparable[0] booboos[0] to[0] a[0] bunch[0] of[0] little[0] known[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
heh ! 	heh !	1	-1	 heh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
them wacky monsters , gotta love 'em . 	them wacky monsters , gotta love 'em .	3	-1	 them[0] wacky[0] monsters[0] gotta[0] love[2] 'em[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , since we can rent about a thousand b movies with the same kind of story , hollywood must give that little extra " oumph " to get people in theaters . 	of course , since we can rent about a thousand b movies with the same kind of story , hollywood must give that little extra " oumph " to get people in theaters .	2	-1	 of[0] course[0] since[0] we[0] can[0] rent[0] about[0] a[0] thousand[0] b[0] movies[0] with[0] the[0] same[0] kind[1] of[0] story[0] hollywood[0] must[0] give[0] that[0] little[0] extra[0] oumph[0] to[0] get[0] people[0] in[0] theaters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that is where deep rising fails , which is a good thing . 	that is where deep rising fails , which is a good thing .	2	-3	 that[0] is[0] where[0] deep[0] rising[0] fails[-2] which[0] is[0] a[0] good[1] thing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
confused ? 	confused ?	1	-2	 confused[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let me explain : 	let me explain :	1	-1	 let[0] me[0] explain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite all them flashy effects and big explosions , deep rising is still , at heart , a good 'ol b movie . 	despite all them flashy effects and big explosions , deep rising is still , at heart , a good 'ol b movie .	2	-2	 despite[0] all[0] them[0] flashy[0] effects[0] and[0] big[0] explosions[-1] deep[0] rising[0] is[0] still[0] at[0] heart[0] a[0] good[1] 'ol[0] b[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
luckily , it's a very good b movie . 	luckily , it's a very good b movie .	3	-1	 luckily[2] it's[0] a[0] very[0] good[1][1 LastWordBoosterStrength] b[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
