the release of dolores claiborne into wide release this weekend adds another entry into the long list of film adaptations of stephen king's work . 	Translation	Positive	Negative	EmotionRationale
this slow-moving character study provides some outstanding acting performances by the principals , but suffers from a tepid conclusion , inconsistent direction , and may not have wide commercial appeal . 	this slow-moving character study provides some outstanding acting performances by the principals , but suffers from a tepid conclusion , inconsistent direction , and may not have wide commercial appeal .	2	-4	 this[0] slow[0] moving[0] character[0] study[0] provides[0] some[0] outstanding[2][-1 LastWordBoosterStrength] acting[0] performances[0] by[0] the[0] principals[0] but[0] suffers[-3] from[0] a[0] tepid[0] conclusion[0] inconsistent[-1] direction[0] and[0] may[0] not[0] have[0] wide[0] commercial[0] appeal[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when the maid , dolores claiborne , is found brandishing a rolling pin standing over the bloody and dead body of her employer , it seems like an open-and-shut murder case . 	when the maid , dolores claiborne , is found brandishing a rolling pin standing over the bloody and dead body of her employer , it seems like an open-and-shut murder case .	2	-4	 when[0] the[0] maid[0] dolores[0] claiborne[0] is[0] found[0] brandishing[-1] a[0] rolling[0] pin[0] standing[0] over[0] the[0] bloody[-1] and[0] dead[-2] body[0] of[0] her[0] employer[0] it[0] seems[0] like[1] an[0] open[0] and[0] shut[0] murder[-3] case[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
upon hearing of the death via a mysterious fax , dolores' estranged and bitter daughter , esquire magazine writer selena st . george , returns from new york back to her tiny island village childhood home . 	upon hearing of the death via a mysterious fax , dolores' estranged and bitter daughter , esquire magazine writer selena st .<br> george , returns from new york back to her tiny island village childhood home .	1	-3	 upon[0] hearing[0] of[0] the[0] death[-2] via[0] a[0] mysterious[0] fax[0] dolores'[0] estranged[-1] and[0] bitter[-1] daughter[0] esquire[0] magazine[0] writer[0] selena[0] st[0] [[Sentence=-3,1=word max, 1-5]] george[0] returns[0] from[0] new[0] york[0] back[0] to[0] her[0] tiny[0] island[0] village[0] childhood[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the two clash horns , the story behind the mysterious death of dolores' abusive husband two decades ago , ruled an accident despite the protests of detective john mackey , is revealed . 	as the two clash horns , the story behind the mysterious death of dolores' abusive husband two decades ago , ruled an accident despite the protests of detective john mackey , is revealed .	1	-4	 as[0] the[0] two[0] clash[-1] horns[0] the[0] story[0] behind[0] the[0] mysterious[0] death[-2] of[0] dolores'[0] abusive[-3] husband[0] two[0] decades[0] ago[0] ruled[0] an[0] accident[-1] despite[0] the[0] protests[-1] of[0] detective[0] john[0] mackey[0] is[0] revealed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
did dolores kill her husband ? 	did dolores kill her husband ?	1	-2	 did[0] dolores[0] kill[-1] her[0] husband[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and did she kill her employer ? 	and did she kill her employer ?	1	-2	 and[0] did[0] she[0] kill[-1] her[0] employer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dolores claiborne is certainly more of a character study than a suspense thriller . 	dolores claiborne is certainly more of a character study than a suspense thriller .	2	-1	 dolores[0] claiborne[0] is[0] certainly[0] more[0] of[0] a[0] character[0] study[0] than[0] a[0] suspense[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
consequently , it is fortunate that their cast includes some of hollywood's finest character actors , such as bates , leigh and strathairn . 	consequently , it is fortunate that their cast includes some of hollywood's finest character actors , such as bates , leigh and strathairn .	1	-1	 consequently[0] it[0] is[0] fortunate[0] that[0] their[0] cast[0] includes[0] some[0] of[0] hollywood's[0] finest[0] character[0] actors[0] such[0] as[0] bates[0] leigh[0] and[0] strathairn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kathy bates plays the film's title character , and gives a sensational lead performance . 	kathy bates plays the film's title character , and gives a sensational lead performance .	2	-1	 kathy[0] bates[0] plays[1] the[0] film's[0] title[0] character[0] and[0] gives[0] a[0] sensational[0] lead[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dolores claiborne is essentially a showcase for the talent of bates , as her character has a huge amount of screen time . 	dolores claiborne is essentially a showcase for the talent of bates , as her character has a huge amount of screen time .	2	-1	 dolores[0] claiborne[0] is[0] essentially[0] a[0] showcase[0] for[0] the[0] talent[1] of[0] bates[0] as[0] her[0] character[0] has[0] a[0] huge[0] amount[0] of[0] screen[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she dominates the screen , producing a character that is compelling and arresting , as we watch the character go through two decades of history via flashbacks . 	she dominates the screen , producing a character that is compelling and arresting , as we watch the character go through two decades of history via flashbacks .	1	-2	 she[0] dominates[-1] the[0] screen[0] producing[0] a[0] character[0] that[0] is[0] compelling[0] and[0] arresting[0] as[0] we[0] watch[0] the[0] character[0] go[0] through[0] two[0] decades[0] of[0] history[0] via[0] flashbacks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kathy bates' performance is award-calibre stuff . 	kathy bates' performance is award-calibre stuff .	1	-1	 kathy[0] bates'[0] performance[0] is[0] award[0] calibre[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the cast is also very good . 	the rest of the cast is also very good .	3	-1	 the[0] rest[0] of[0] the[0] cast[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jennifer jason leigh plays the perpetually sour , bitter helena st . george well , and christopher plummer seems to be enjoying himself as dolores' ever-present nemesis , the determined detective john mackey . 	jennifer jason leigh plays the perpetually sour , bitter helena st .<br> george well , and christopher plummer seems to be enjoying himself as dolores' ever-present nemesis , the determined detective john mackey .	3	-2	 jennifer[0] jason[0] leigh[0] plays[1] the[0] perpetually[0] sour[-1] bitter[-1] helena[0] st[0] [[Sentence=-2,2=word max, 1-5]] george[0] well[0] and[0] christopher[0] plummer[0] seems[0] to[0] be[0] enjoying[2] himself[0] as[0] dolores'[0] ever[0] present[0] nemesis[0] the[0] determined[0] detective[0] john[0] mackey[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
david strathairn is particularly interesting and suitably smarmy and despicable as dolores' husband , joe st . george . 	david strathairn is particularly interesting and suitably smarmy and despicable as dolores' husband , joe st .<br> george .	2	-4	 david[0] strathairn[0] is[0] particularly[0] interesting[1] and[0] suitably[0] smarmy[0] and[0] despicable[-3] as[0] dolores'[0] husband[0] joe[0] st[0] [[Sentence=-4,2=word max, 1-5]] george[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
judy parfitt is fine as dolores' tyrannic socialite employer , vera donovan--it would have been interesting to see , say , meg foster in this role . 	judy parfitt is fine as dolores' tyrannic socialite employer , vera donovan-it would have been interesting to see , say , meg foster in this role .	3	-1	 judy[0] parfitt[0] is[0] fine[2] as[0] dolores'[0] tyrannic[0] socialite[0] employer[0] vera[0] donovan[0] it[0] would[0] have[0] been[0] interesting[1] to[0] see[0] say[0] meg[0] foster[0] in[0] this[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
child actor ellen muth is also worth noting as the young selena during the flashback sequences ; she is very impressive . 	child actor ellen muth is also worth noting as the young selena during the flashback sequences ; she is very impressive .	3	-1	 child[0] actor[0] ellen[0] muth[0] is[0] also[0] worth[0] noting[0] as[0] the[0] young[0] selena[0] during[0] the[0] flashback[0] sequences[0] she[0] is[0] very[0] impressive[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the direction of dolores claiborne by taylor hackford wildly varies throughout the film , ranging from some parts which are quite clever in their own right , to parts which are embarrassingly hokey . 	the direction of dolores claiborne by taylor hackford wildly varies throughout the film , ranging from some parts which are quite clever in their own right , to parts which are embarrassingly hokey .	1	-3	 the[0] direction[0] of[0] dolores[0] claiborne[0] by[0] taylor[0] hackford[0] wildly[0] varies[0] throughout[0] the[0] film[0] ranging[0] from[0] some[0] parts[0] which[0] are[0] quite[0] clever[0] in[0] their[0] own[0] right[0] to[0] parts[0] which[0] are[0] embarrassingly[-2] hokey[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
