 " a breed apart " casts rutger hauer as a crazy , bird-loving recluse who picks his feathered friends over kathleen turner . 	Translation	Positive	Negative	EmotionRationale
a bit hard to swallow ? 	a bit hard to swallow ?	1	-1	 a[0] bit[0] hard[0] to[0] swallow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's only the first of many improbabilities in this film . 	that's only the first of many improbabilities in this film .	1	-1	 that's[0] only[0] the[0] first[0] of[0] many[0] improbabilities[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hauer stars as a man obsessed with keeping the birds on his island safe , while boothe plays a guy hired to steal a couple of rare eagle eggs by a rich egg collector . 	hauer stars as a man obsessed with keeping the birds on his island safe , while boothe plays a guy hired to steal a couple of rare eagle eggs by a rich egg collector .	2	-3	 hauer[0] stars[0] as[0] a[0] man[0] obsessed[-2] with[0] keeping[0] the[0] birds[0] on[0] his[0] island[0] safe[1] while[0] boothe[0] plays[1] a[0] guy[0] hired[0] to[0] steal[-2] a[0] couple[0] of[0] rare[0] eagle[0] eggs[0] by[0] a[0] rich[0] egg[0] collector[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
turner is the woman caught between the two men . 	turner is the woman caught between the two men .	1	-1	 turner[0] is[0] the[0] woman[0] caught[0] between[0] the[0] two[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " a breed apart " isn't a bad movie , exactly . 	 " a breed apart " isn't a bad movie , exactly .	2	-1	 a[0] breed[0] apart[0] isn't[0] a[0] bad[-1][NegatedDueToPreviousWord] movie[0] exactly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
indeed , i found myself rooting for both the hauer and boothe characters , even though their goals couldn't be more different . 	indeed , i found myself rooting for both the hauer and boothe characters , even though their goals couldn't be more different .	1	-1	 indeed[0] i[0] found[0] myself[0] rooting[0] for[0] both[0] the[0] hauer[0] and[0] boothe[0] characters[0] even[0] though[0] their[0] goals[0] couldn't[0] be[0] more[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem with the film is that there are just too many inconsistencies . 	the problem with the film is that there are just too many inconsistencies .	1	-2	 the[0] problem[-1] with[0] the[0] film[0] is[0] that[0] there[0] are[0] just[0] too[0] many[0] inconsistencies[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , early on in the film , hauer physically assaults two drunken rednecks shooting at " his " birds . 	for example , early on in the film , hauer physically assaults two drunken rednecks shooting at " his " birds .	1	-3	 for[0] example[0] early[0] on[0] in[0] the[0] film[0] hauer[0] physically[0] assaults[-2] two[0] drunken[-1] rednecks[0] shooting[-1] at[0] his[0] birds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
later on , the rednecks come back for revenge with four other people , and hauer kills a few of them . 	later on , the rednecks come back for revenge with four other people , and hauer kills a few of them .	1	-2	 later[0] on[0] the[0] rednecks[0] come[0] back[0] for[0] revenge[-1] with[0] four[0] other[0] people[0] and[0] hauer[0] kills[0] a[0] few[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have a tough time believing that the police wouldn't get involved at that point . 	i have a tough time believing that the police wouldn't get involved at that point .	1	-2	 i[0] have[0] a[0] tough[-1] time[0] believing[0] that[0] the[0] police[0] wouldn't[0] get[0] involved[0] at[0] that[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another problem is the silly love-triangle that develops . 	another problem is the silly love-triangle that develops .	3	-2	 another[0] problem[-1] is[0] the[0] silly[-1] love[2] triangle[0] that[0] develops[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i didn't care one way or the other who ended up with turner . 	i didn't care one way or the other who ended up with turner .	2	-1	 i[0] didn't[0] care[1] one[0] way[0] or[0] the[0] other[0] who[0] ended[0] up[0] with[0] turner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was more interested in finding out which of the two men would be victorious in their respective missions . 	i was more interested in finding out which of the two men would be victorious in their respective missions .	3	-1	 i[0] was[0] more[0] interested[1] in[0] finding[0] out[0] which[0] of[0] the[0] two[0] men[0] would[0] be[0] victorious[0] in[0] their[0] respective[2] missions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , despite this uninteresting sub-plot , turner did manage to give a great performance as the woman who reminds the two men that sometimes there's more to life than money and birds . 	however , despite this uninteresting sub-plot , turner did manage to give a great performance as the woman who reminds the two men that sometimes there's more to life than money and birds .	3	-1	 however[0] despite[0] this[0] uninteresting[0] sub[0] plot[0] turner[0] did[0] manage[0] to[0] give[0] a[0] great[2] performance[0] as[0] the[0] woman[0] who[0] reminds[0] the[0] two[0] men[0] that[0] sometimes[0] there's[0] more[0] to[0] life[0] than[0] money[0] and[0] birds[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for hauer , he's an actor i've always admired . 	as for hauer , he's an actor i've always admired .	3	-1	 as[0] for[0] hauer[0] he's[0] an[0] actor[0] i've[0] always[0] admired[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he has a penchant for picking strange and unusual characters . 	he has a penchant for picking strange and unusual characters .	1	-1	 he[0] has[0] a[0] penchant[0] for[0] picking[0] strange[0] and[0] unusual[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this one is no exception . 	and this one is no exception .	1	-1	 and[0] this[0] one[0] is[0] no[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
