it stands as a moment one will not soon forget : a giant , green ogre flips through the pages of a cliche fairy tale , narrating it with every bit of dull inspiration that the story holds . 	Translation	Positive	Negative	EmotionRationale
this leads one to believe that this serves as the prologue to shrek , dreamworks' second computer animated feature , but in a pricelessly hilarious bit of cinema , a page of this tale serves as that ogre's toilet paper . 	this leads one to believe that this serves as the prologue to shrek , dreamworks' second computer animated feature , but in a pricelessly hilarious bit of cinema , a page of this tale serves as that ogre's toilet paper .	3	-1	 this[0] leads[0] one[0] to[0] believe[0] that[0] this[0] serves[0] as[0] the[0] prologue[0] to[0] shrek[0] dreamworks'[0] second[0] computer[0] animated[0] feature[0] but[0] in[0] a[0] pricelessly[0] hilarious[2] bit[0] of[0] cinema[0] a[0] page[0] of[0] this[0] tale[0] serves[0] as[0] that[0] ogre's[0] toilet[0] paper[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from this opening moment , one can infer shrek's defying of all expectations regarding it as a standard , disney-esque fairy tale . 	from this opening moment , one can infer shrek's defying of all expectations regarding it as a standard , disney-esque fairy tale .	1	-1	 from[0] this[0] opening[0] moment[0] one[0] can[0] infer[0] shrek's[0] defying[0] of[0] all[0] expectations[0] regarding[0] it[0] as[0] a[0] standard[0] disney[0] esque[0] fairy[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although rampant moments of hilarity dot shrek , the true charm of the film lies in the bold elements of friendship , courage , and acceptance , excelled by outstanding direction , stunning actor voice work , and most importantly , a witty screenplay with more going on than meets the eye . 	although rampant moments of hilarity dot shrek , the true charm of the film lies in the bold elements of friendship , courage , and acceptance , excelled by outstanding direction , stunning actor voice work , and most importantly , a witty screenplay with more going on than meets the eye .	3	-3	 although[0] rampant[-1] moments[0] of[0] hilarity[2] dot[0] shrek[0] the[0] true[1] charm[1] of[0] the[0] film[0] lies[-2] in[0] the[0] bold[0] elements[0] of[0] friendship[1] courage[1] and[0] acceptance[0] excelled[2] by[0] outstanding[2] direction[0] stunning[0] actor[0] voice[0] work[0] and[0] most[0] importantly[0] a[0] witty[0] screenplay[0] with[0] more[0] going[0] on[0] than[0] meets[0] the[0] eye[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while shrek features an abundance of humor related directly toward adults , positive friendship values aimed at younger children fulfill the storyline : shrek , the previously mentioned ogre , holds a position of absolute nothingness within his community . 	while shrek features an abundance of humor related directly toward adults , positive friendship values aimed at younger children fulfil the storyline : shrek , the previously mentioned ogre , holds a position of absolute nothingness within his community .	3	-1	 while[0] shrek[0] features[0] an[0] abundance[0] of[0] humor[2] related[0] directly[0] toward[0] adults[0] positive[2] friendship[1] values[1] aimed[0] at[0] younger[0] children[0] fulfill/fulfil[0] the[0] storyline[0] shrek[0] the[0] previously[0] mentioned[0] ogre[0] holds[0] a[0] position[0] of[0] absolute[0] nothingness[0] within[0] his[0] community[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the jolly green giant meets a fellow outsider , known only as the donkey ( his species ) who talks , and although he remains reluctant to warm up to him for a good portion of time , shrek eventually comes to a mutual understanding with him by acknowledging their common state as outcasts of the world . 	the jolly green giant meets a fellow outsider , known only as the donkey ( his species ) who talks , and although he remains reluctant to warm up to him for a good portion of time , shrek eventually comes to a mutual understanding with him by acknowledging their common state as outcasts of the world .	3	-2	 the[0] jolly[2] green[0] giant[0] meets[0] a[0] fellow[0] outsider[-1] known[0] only[0] as[0] the[0] donkey[0] his[0] species[0] who[0] talks[0] and[0] although[0] he[0] remains[0] reluctant[-1] to[0] warm[0] up[0] to[0] him[0] for[0] a[0] good[1] portion[0] of[0] time[0] shrek[0] eventually[0] comes[0] to[0] a[0] mutual[0] understanding[0] with[0] him[0] by[0] acknowledging[0] their[0] common[0] state[0] as[0] outcasts[0] of[0] the[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the pair team up to retrieve princess fiona from a castle guarded by a dragon for the powerful lord farquaad , learning quite a bit about each other and themselves along the way . 	the pair team up to retrieve princess fiona from a castle guarded by a dragon for the powerful lord farquad , learning quite a bit about each other and themselves along the way .	1	-1	 the[0] pair[0] team[0] up[0] to[0] retrieve[0] princess[0] fiona[0] from[0] a[0] castle[0] guarded[0] by[0] a[0] dragon[0] for[0] the[0] powerful[0] lord[0] farquaad/farquad[0] learning[0] quite[0] a[0] bit[0] about[0] each[0] other[0] and[0] themselves[0] along[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their friendship exhibits the core theme of the need for someone to lean on , exemplifying to any child who may witness the film that acting as an honest companion can unquestionably affect someone . 	their friendship exhibits the core theme of the need for someone to lean on , exemplifying to any child who may witness the film that acting as an honest companion can unquestionably affect someone .	2	-1	 their[0] friendship[1] exhibits[0] the[0] core[0] theme[0] of[0] the[0] need[0] for[0] someone[0] to[0] lean[0] on[0] exemplifying[0] to[0] any[0] child[0] who[0] may[0] witness[0] the[0] film[0] that[0] acting[0] as[0] an[0] honest[0] companion[0] can[0] unquestionably[0] affect[0] someone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shrek and donkey endure as supposed freaks of nature due only to their differences from others but cling to each other for support and guidance along their journey . 	shrek and donkey endure as supposed freaks of nature due only to their differences from others but cling to each other for support and guidance along their journey .	2	-2	 shrek[0] and[0] donkey[0] endure[0] as[0] supposed[0] freaks[-1] of[0] nature[0] due[0] only[0] to[0] their[0] differences[0] from[0] others[0] but[0] cling[0] to[0] each[0] other[0] for[0] support[1] and[0] guidance[0] along[0] their[0] journey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
courage demonstrates itself within two major storylines : along the journey to rescue fiona , donkey's immeasurable cowardice reveals itself . 	courage demonstrates itself within two major storylines : along the journey to rescue fiona , donkey's immeasurable cowardice reveals itself .	2	-2	 courage[1] demonstrates[0] itself[0] within[0] two[0] major[0] storylines[0] along[0] the[0] journey[0] to[0] rescue[0] fiona[0] donkey's[0] immeasurable[0] cowardice[-1] reveals[0] itself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whether he encounters walking over a shaky bridge or living alone , donkey withholds fears that he continuously puts aside without self-acknowledgment . 	whether he encounters walking over a shaky bridge or living alone , donkey witholds fears that he continuously puts aside without self-acknowledgment .	1	-3	 whether[0] he[0] encounters[0] walking[0] over[0] a[0] shaky[-1] bridge[0] or[0] living[0] alone[0] donkey[0] withholds/witholds[0] fears[-2] that[0] he[0] continuously[0] puts[0] aside[0] without[0] self[0] acknowledgment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
