after bloody clashes and independence won , lumumba refused to pander to the belgians , who continued a condescending and paternalistic relationship with the congo . 	Translation	Positive	Negative	EmotionRationale
their officers , particularly general janssens ( rudi delhem ) in the force publique , the congo's army , caused rebellions , undermining lumumba , who was outraged at the rape and murder of belgian nationals . 	their officers , particularly general janssens ( rudi delhem ) in the force publique , the congo's army , caused rebellions , undermining lumumba , who was outraged at the rape and murder of belgian nationals .	1	-4	 their[0] officers[0] particularly[0] general[0] janssens[0] rudi[0] delhem[0] in[0] the[0] force[-1] publique[0] the[0] congo's[0] army[0] caused[0] rebellions[-1] undermining[0] lumumba[0] who[0] was[0] outraged[-2] at[0] the[0] rape[-3] and[0] murder[-3] of[0] belgian[0] nationals[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with unrest building , moise tshombe ( pascal nzonzi ) and the province of katanga , which contained 70 percent of the country's resources , proclaimed secession . 	with unrest building , moise tshombe ( pascal nzonzi ) and the province of katanga , which contained 70 percent of the country's resources , proclaimed secession .	1	-2	 with[0] unrest[-1] building[0] moise[0] tshombe[0] pascal[0] nzonzi[0] and[0] the[0] province[0] of[0] katanga[0] which[0] contained[0] 70[0] percent[0] of[0] the[0] country's[0] resources[0] proclaimed[0] secession[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lumumba replaced janssens , making mobutu a colonel , and went on a pacification 	lumumba replaced janssens , making mobutu a colonel , and went on a pacification	1	-1	 lumumba[0] replaced[0] janssens[0] making[0] mobutu[0] a[0] colonel[0] and[0] went[0] on[0] a[0] pacification[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tour with congolese president joseph kasa vubu ( maka kotto ) , but it was too late . 	tour with congolese president joseph kasa vubu ( maka kotto ) , but it was too late .	1	-1	 tour[0] with[0] congolese[0] president[0] joseph[0] kasa[0] vubu[0] maka[0] kotto[0] but[0] it[0] was[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'when you want to drown a dog , you say it has rabies , ' prophesies lumumba of his own fate . 	'when you want to drown a dog , you say it has rabies , ' prophesies lumumba of his own fate .	1	-2	 'when[0] you[0] want[0] to[0] drown[-1] a[0] dog[0] you[0] say[0] it[0] has[0] rabies[0] '[0] prophesies[0] lumumba[0] of[0] his[0] own[0] fate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
peck and bonitzer do an exemplary job telling a complicated tale with a myriad of players , although they frequently succumb to cliche , particularly regarding lumumba's private life . 	peck and bonitzer do an exemplary job telling a complicated tale with a myriad of players , although they frequently succumb to cliche , particularly regarding lumumba's private life .	1	-2	 peck[0] and[0] bonitzer[0] do[0] an[0] exemplary[0] job[0] telling[0] a[0] complicated[-1] tale[0] with[0] a[0] myriad[0] of[0] players[0] although[0] they[0] frequently[0] succumb[-1] to[0] cliche[0] particularly[0] regarding[0] lumumba's[0] private[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
peck's script illuminates bantu sayings like 'the hand that gives , rules' when lumumba uses it with the american ambassador . 	peck's script illuminates bantu sayings like 'the hand that gives , rules' when lumumba uses it with the american ambassador .	2	-1	 peck's[0] script[0] illuminates[0] bantu[0] sayings[0] like[1] 'the[0] hand[0] that[0] gives[0] rules'[0] when[0] lumumba[0] uses[0] it[0] with[0] the[0] american[0] ambassador[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
peck's direction is less assured , with many scenes unfortunately playing like standard television fare . 	peck's direction is less assured , with many scenes unfortunately playing like standard television fare .	2	-2	 peck's[0] direction[0] is[0] less[0] assured[0] with[0] many[0] scenes[0] unfortunately[-1] playing[1] like[1] standard[0] television[0] fare[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's served well , though , by his casting of ebouaney in the title role . 	he's served well , though , by his casting of ebouaney in the title role .	1	-1	 he's[0] served[0] well[0] though[0] by[0] his[0] casting[0] of[0] ebouaney[0] in[0] the[0] title[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ebouaney is dynamic , radiating his character's fierce passion for his people and his country . 	ebouaney is dynamic , radiating his character's fierce passion for his people and his country .	3	-3	 ebouaney[0] is[0] dynamic[1] radiating[0] his[0] character's[0] fierce[-2] passion[2] for[0] his[0] people[0] and[0] his[0] country[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
lumumba's intelligence and ability to strategize , even as he's cornered by insurmountable odds , are given life by ebouaney . 	lumumba's intelligence and ability to strategize , even as he's cornered by insurmountable odds , are given life by ebouaney .	1	-1	 lumumba's[0] intelligence[0] and[0] ability[0] to[0] strategize[0] even[0] as[0] he's[0] cornered[0] by[0] insurmountable[0] odds[0] are[0] given[0] life[0] by[0] ebouaney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peck's subject and lead actor elevate his film above its mediocre production . 	peck's subject and lead actor elevate his film above its mediocre production .	1	-2	 peck's[0] subject[0] and[0] lead[0] actor[0] elevate[0] his[0] film[0] above[0] its[0] mediocre[-1] production[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " lumumba " is a story that deserves to be told and ebouaney's performance makes the tragedy personally felt . 	 " lumumba " is a story that deserves to be told and ebouaney's performance makes the tragedy personally felt .	1	-3	 lumumba[0] is[0] a[0] story[0] that[0] deserves[0] to[0] be[0] told[0] and[0] ebouaney's[0] performance[0] makes[0] the[0] tragedy[-2] personally[0] felt[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
