did you ever wonder if dennis rodman was actually from this planet ? 	Translation	Positive	Negative	EmotionRationale
or if sylvester stallone was some kind of weird extra-terrestrial ? 	or if sylvester stallone was some kind of weird extra-terrestrial ?	1	-2	 or[0] if[0] sylvester[0] stallone[0] was[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] weird[-1] extra[0] terrestrial[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i used to think that about my 7th grade english teacher , ms . carey . 	i used to think that about my 7th grade english teacher , ms .<br> carey .	1	-1	 i[0] used[0] to[0] think[0] that[0] about[0] my[0] 7th[0] grade[0] english[0] teacher[0] ms[0] [[Sentence=-1,1=word max, 1-5]] carey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but after seeing this movie , they may have confirmed my suspicions . 	but after seeing this movie , they may have confirmed my suspicions .	1	-2	 but[0] after[0] seeing[0] this[0] movie[0] they[0] may[0] have[0] confirmed[0] my[0] suspicions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the story goes , at any time , there are over a thousand aliens living among us here on earth . 	as the story goes , at any time , there are over a thousand aliens living among us here on earth .	1	-1	 as[0] the[0] story[0] goes[0] at[0] any[0] time[0] there[0] are[0] over[0] a[0] thousand[0] aliens[0] living[0] among[0] us[0] here[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the men in black ( mib ) are the watchdogs that oversee the cosmic citizens , guardians of our beloved planet from nasty-tempered aliens , and secret service to the stars . 	the men in black ( mib ) are the watchdogs that oversee the cosmic citizens , guardians of our beloved planet from nasty-tempered aliens , and secret service to the stars .	3	-3	 the[0] men[0] in[0] black[0] mib[0] are[0] the[0] watchdogs[0] that[0] oversee[0] the[0] cosmic[0] citizens[0] guardians[0] of[0] our[0] beloved[2] planet[0] from[0] nasty[-2] tempered[0] aliens[0] and[0] secret[0] service[0] to[0] the[0] stars[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
based in new york city ( where weird is the norm ) , the mib organization gives human form to our space-faring emigrants so that they may walk and live among us unnoticed . 	based in new york city ( where weird is the norm ) , the mib organization gives human form to our space-faring emigrants so that they may walk and live among us unnoticed .	1	-2	 based[0] in[0] new[0] york[0] city[0] where[0] weird[-1] is[0] the[0] norm[0] the[0] mib[0] organization[0] gives[0] human[0] form[0] to[0] our[0] space[0] faring[0] emigrants[0] so[0] that[0] they[0] may[0] walk[0] and[0] live[0] among[0] us[0] unnoticed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but to enforce the laws of earth , the mib carry weapons that are powerful enough to meet or exceed destruction quotas in one single blast . 	but to enforce the laws of earth , the mib carry weapons that are powerful enough to meet or exceed destruction quotas in one single blast .	1	-2	 but[0] to[0] enforce[-1] the[0] laws[0] of[0] earth[0] the[0] mib[0] carry[0] weapons[-1] that[0] are[0] powerful[0] enough[0] to[0] meet[0] or[0] exceed[0] destruction[-1] quotas[0] in[0] one[0] single[0] blast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they carry other-worldly technology to erase people's short-term memory when common folk see the mib in action . 	they carry other-worldly technology to erase people's short-term memory when common folk see the mib in action .	1	-2	 they[0] carry[0] other[0] worldly[0] technology[0] to[0] erase[-1] people's[0] short[0] term[0] memory[0] when[0] common[0] folk[0] see[0] the[0] mib[0] in[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and their best leads on cosmic things-gone-awry are the supermarket tabloids . 	and their best leads on cosmic things-gone-awry are the supermarket tabloids .	2	-1	 and[0] their[0] best[1] leads[0] on[0] cosmic[0] things[0] gone[0] awry[0] are[0] the[0] supermarket[0] tabloids[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
little do we know that there are much stronger battles of good v . evil going on in the depths of space . 	little do we know that there are much stronger battles of good v .<br> evil going on in the depths of space .	2	-3	 little[0] do[0] we[0] know[0] that[0] there[0] are[0] much[0] stronger[0] battles[-1] of[0] good[1] v[0] [[Sentence=-2,2=word max, 1-5]] evil[-2] going[0] on[0] in[0] the[0] depths[0] of[0] space[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
one of the aliens-as-human on this planet is an important diplomat that is carrying something very precious . 	one of the aliens-as-human on this planet is an important diplomat that is carrying something very precious .	4	-1	 one[0] of[0] the[0] aliens[0] as[0] human[0] on[0] this[0] planet[0] is[0] an[0] important[0] diplomat[0] that[0] is[0] carrying[0] something[0] very[0] precious[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it holds the 'key' , literally , to universal peace . 	it holds the 'key' , literally , to universal peace .	1	-1	 it[0] holds[0] the[0] 'key'[0] literally[0] to[0] universal[0] peace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a giant cockroach-like alien soon arrives on the planet and steals this 'key' . 	a giant cockroach-like alien soon arrives on the planet and steals this 'key' .	2	-3	 a[0] giant[0] cockroach[0] like[1] alien[-1] soon[0] arrives[0] on[0] the[0] planet[0] and[0] steals[-2] this[0] 'key'[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the wrong alien hands ( flippers ? 	in the wrong alien hands ( flippers ?	1	-2	 in[0] the[0] wrong[-1] alien[-1] hands[0] flippers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mandibles ? 	mandibles ?	1	-1	 mandibles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tentacles ? ) , it can be used as a weapon . 	tentacles ?<br> ) , it can be used as a weapon .	1	-2	 tentacles[0] [[Sentence=-1,1=word max, 1-5]] it[0] can[0] be[0] used[0] as[0] a[0] weapon[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
therefore , it must be recovered and returned to it's rightful owners . 	therefore , it must be recovered and returned to it's rightful owners .	1	-1	 therefore[0] it[0] must[0] be[0] recovered[0] and[0] returned[0] to[0] it's[0] rightful[0] owners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise , to ensure universal safety , earth will be destroyed , along with the 'key' . 	otherwise , to ensure universal safety , earth will be destroyed , along with the 'key' .	2	-3	 otherwise[0] to[0] ensure[0] universal[0] safety[1] earth[0] will[0] be[0] destroyed[-2] along[0] with[0] the[0] 'key'[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now , it's the mib who must prevent this catastrophe . 	now , it's the mib who must prevent this catastrophe .	1	-4	 now[0] it's[0] the[0] mib[0] who[0] must[0] prevent[0] this[0] catastrophe[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the mib agents on the case are " k " , played by tommy lee jones . 	the mib agents on the case are " k " , played by tommy lee jones .	1	-1	 the[0] mib[0] agents[0] on[0] the[0] case[0] are[0] k[0] played[0] by[0] tommy[0] lee[0] jones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is crustier than burnt toast and even more serious than al gore . 	he is crustier than burnt toast and even more serious than al gore .	1	-2	 he[0] is[0] crustier[0] than[0] burnt[-1] toast[0] and[0] even[0] more[0] serious[-1] than[0] al[0] gore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the stars in the sky no longer spark wonder in his eyes . 	the stars in the sky no longer spark wonder in his eyes .	1	-1	 the[0] stars[0] in[0] the[0] sky[0] no[0] longer[0] spark[0] wonder[0] in[0] his[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
