capsule : suprisingly more of a comedy than a straight action flick , which isn't necessarily a bad thing . 	Translation	Positive	Negative	EmotionRationale
not exactly oscar caliber , but one helluva bullet-riddled good time . 	not exactly oscar caliber , but one helluva bullet-riddled good time .	2	-2	 not[0] exactly[0] oscar[0] caliber[0] but[0] one[0] helluva[0] bullet[-1] riddled[0] good[1] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
extended review : you know , i remember when hitmen were evil , murderous scum . 	extended review : you know , i remember when hitmen were evil , murderous scum .	1	-5	 extended[0] review[0] you[0] know[0] i[0] remember[0] when[0] hitmen[0] were[0] evil[-2] murderous[-3][-1 MultiplePositiveWords] scum[-2][-1 MultiplePositiveWords] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
alas , the times are a-changin' . 	alas , the times are a-changin' .	1	-2	 alas[-1] the[0] times[0] are[0] a[0] changin'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a recent string of movies , hitmen are suddenly wise- cracking , fun-loving killers-with-hearts . 	in a recent string of movies , hitmen are suddenly wise- cracking , fun-loving killers-with-hearts .	4	-1	 in[0] a[0] recent[0] string[0] of[0] movies[0] hitmen[0] are[0] suddenly[0] wise[0] cracking[0] fun[1] loving[3] killers[0] with[0] hearts[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this brings us to hong kong director kirk wong's first american feature , the big hit . 	this brings us to hong kong director kirk wong's first american feature , the big hit .	1	-1	 this[0] brings[0] us[0] to[0] hong[0] kong[0] director[0] kirk[0] wong's[0] first[0] american[0] feature[0] the[0] big[0] hit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oddly enough , about the same time last year a similar film , grosse point blank , was released . 	oddly enough , about the same time last year a similar film , grosse point blank , was released .	1	-2	 oddly[0] enough[0] about[0] the[0] same[0] time[0] last[0] year[0] a[0] similar[0] film[0] grosse[-1] point[0] blank[0] was[0] released[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
advertised as a quirky comedy with hints of action , it turned out to have a suprising dosage of it . 	advertised as a quirky comedy with hints of action , it turned out to have a suprising dosage of it .	1	-1	 advertised[0] as[0] a[0] quirky[0] comedy[0] with[0] hints[0] of[0] action[0] it[0] turned[0] out[0] to[0] have[0] a[0] suprising[0] dosage[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the big hit is quite the opposite . 	the big hit is quite the opposite .	1	-1	 the[0] big[0] hit[0] is[0] quite[0] the[0] opposite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was hyped as " the new film from producer john woo " , so one would it expect lots of stylized killing and action . 	it was hyped as " the new film from producer john woo " , so one would it expect lots of stylized killing and action .	1	-2	 it[0] was[0] hyped[0] as[0] the[0] new[0] film[0] from[0] producer[0] john[0] woo[0] so[0] one[0] would[0] it[0] expect[0] lots[0] of[0] stylized[0] killing[-1] and[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , there's a sore lack of it , which is about the only thing wrong with the big hit . 	however , there's a sore lack of it , which is about the only thing wrong with the big hit .	1	-2	 however[0] there's[0] a[0] sore[-1] lack[-1] of[0] it[0] which[0] is[0] about[0] the[0] only[0] thing[0] wrong[-1] with[0] the[0] big[0] hit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
