the " submarine " genre of movies seems to be one of the most intriguing and compelling types of storytelling there is . 	Translation	Positive	Negative	EmotionRationale
think about it . . . 	think about it .<br> .<br> .	1	-1	 think[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these films are completely based in reality , yet only a handful of people have ever been on one , making them fascinating to the general public . 	these films are completely based in reality , yet only a handful of people have ever been on one , making them fascinating to the general public .	1	-1	 these[0] films[0] are[0] completely[0] based[0] in[0] reality[0] yet[0] only[0] a[0] handful[0] of[0] people[0] have[0] ever[0] been[0] on[0] one[0] making[0] them[0] fascinating[0] to[0] the[0] general[0] public[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they aren't like movies that take place on a plane or a train , as anybody can get on one of those . 	they aren't like movies that take place on a plane or a train , as anybody can get on one of those .	1	-2	 they[0] aren't[0] like[1][NegatedDueToPreviousWord] movies[0] that[0] take[0] place[0] on[0] a[0] plane[0] or[0] a[0] train[0] as[0] anybody[0] can[0] get[0] on[0] one[0] of[0] those[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and they aren't like movies that happen in outer space either , because no one's done any of that stuff yet . 	and they aren't like movies that happen in outer space either , because no one's done any of that stuff yet .	1	-2	 and[0] they[0] aren't[0] like[1][NegatedDueToPreviousWord] movies[0] that[0] happen[0] in[0] outer[0] space[0] either[0] because[0] no[0] one's[0] done[0] any[0] of[0] that[0] stuff[0] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when a new one comes out , you don't hear anyone say " ugh , another submarine movie " like people tend to say " ugh , another boxing movie " . 	when a new one comes out , you don't hear anyone say " ugh , another submarine movie " like people tend to say " ugh , another boxing movie " .	2	-3	 when[0] a[0] new[0] one[0] comes[0] out[0] you[0] don't[0] hear[0] anyone[0] say[0] ugh[-2] another[0] submarine[0] movie[0] like[1] people[0] tend[0] to[0] say[0] ugh[-2] another[0] boxing[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
look at modern movies that involve submarines : das boot , the abyss , the hunt for red october , crimson tide . . . 	look at modern movies that involve submarines : das boot , the abyss , the hunt for red october , crimson tide .<br> .<br> .	1	-2	 look[0] at[0] modern[0] movies[0] that[0] involve[0] submarines[0] das[0] boot[0] the[0] abyss[-1] the[0] hunt[0] for[0] red[0] october[0] crimson[0] tide[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all are well regarded as top-notch entertainment . 	all are well regarded as top-notch entertainment .	1	-1	 all[0] are[0] well[0] regarded[0] as[0] top[0] notch[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gladly joining that bunch is u-571 , which stars matthew mcconaughey as the executive officer of a u . s . naval submarine during world war ii . 	gladly joining that bunch is you-571 , which stars matthew mcconaughey as the executive officer of a you .<br> s .<br> naval submarine during world war i .	2	-3	 gladly[1] joining[0] that[0] bunch[0] is[0] u[0] -571[0] which[0] stars[0] matthew[0] mcconaughey[0] as[0] the[0] executive[0] officer[0] of[0] a[0] u[0] [[Sentence=-1,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] naval[0] submarine[0] during[0] world[0] war[-2] ii/i[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
we learn he has been denied a recommendation for his own command by his superior ( bill paxton ) . 	we learn he has been denied a recommendation for his own command by his superior ( bill paxton ) .	3	-2	 we[0] learn[0] he[0] has[0] been[0] denied[-1] a[0] recommendation[0] for[0] his[0] own[0] command[0] by[0] his[0] superior[2] bill[0] paxton[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
mcconaughey's crew then receives orders that they will be boarding a disabled german submarine to steal the enigma , a german communications encoding device that has stumped allied intelligence . 	mcconaughey's crew then receives orders that they will be boarding a disabled german submarine to steal the enigma , a german communications encoding device that has stumped allied intelligence .	1	-3	 mcconaughey's[0] crew[0] then[0] receives[0] orders[0] that[0] they[0] will[0] be[0] boarding[0] a[0] disabled[-1] german[-1] submarine[0] to[0] steal[-2] the[0] enigma[0] a[0] german[-1] communications[0] encoding[0] device[0] that[0] has[0] stumped[0] allied[0] intelligence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
