synopsis : in this movie , steven spielberg , one of today's finest directors , attempts to spice up the 1800s story of a long courtroom battle over the fate of prisoner cinque ( djimon hounsou ) - - a young angry man from sierra leone who was kidnapped into slavery - - and his fellow prisoners . 	Translation	Positive	Negative	EmotionRationale
cinque and friends have landed a ship on the shores of america after escaping spanish slave traders , but since the americans don't speak cinque's language , the black men are hauled into court to determine whether or not they are legally slaves . 	cinque and friends have landed a ship on the shores of america after escaping spanish slave traders , but since the americans don't speak cinque's language , the black men are hauled into court to determine whether or not they are legally slaves .	2	-1	 cinque[0] and[0] friends[1] have[0] landed[0] a[0] ship[0] on[0] the[0] shores[0] of[0] america[0] after[0] escaping[0] spanish[0] slave[0] traders[0] but[0] since[0] the[0] americans[0] don't[0] speak[0] cinque's[0] language[0] the[0] black[0] men[0] are[0] hauled[0] into[0] court[0] to[0] determine[0] whether[0] or[0] not[0] they[0] are[0] legally[0] slaves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
technically , since the international slave trade was outlawed at that time , people like cinque couldn't be kidnapped into slavery ; one had to be born a slave to be legally considered a slave . 	technically , since the international slave trade was outlawed at that time , people like cinque couldn't be kidnapped into slavery ; one had to be born a slave to be legally considered a slave .	2	-2	 technically[0] since[0] the[0] international[0] slave[0] trade[0] was[0] outlawed[-1] at[0] that[0] time[0] people[0] like[1] cinque[0] couldn't[0] be[0] kidnapped[0] into[0] slavery[0] one[0] had[0] to[0] be[0] born[0] a[0] slave[0] to[0] be[0] legally[0] considered[0] a[0] slave[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lawyers baldwin and adams ( matthew mcconaughey and anthony hopkins ) must prove cinque and the others were captured into slavery , rather than born slaves , in order to get them out of prison as free men . 	lawyers baldwin and adams ( matthew mcconaughey and anthony hopkins ) must prove cinque and the others were captured into slavery , rather than born slaves , in order to get them out of prison as free men .	1	-2	 lawyers[0] baldwin[0] and[0] adams[0] matthew[0] mcconaughey[0] and[0] anthony[0] hopkins[0] must[0] prove[0] cinque[0] and[0] the[0] others[0] were[0] captured[-1] into[0] slavery[0] rather[0] than[0] born[0] slaves[0] in[0] order[0] to[0] get[0] them[0] out[0] of[0] prison[-1] as[0] free[0] men[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
three lengthy court cases are portrayed with spielberg's trademark panache - - flashy beginning , lots of facial close-ups , big music , and dramatic imagery . 	three lengthy court cases are portrayed with spielberg's trademark panache - - flashy beginning , lots of facial close-ups , big music , and dramatic imagery .	1	-1	 three[0] lengthy[0] court[0] cases[0] are[0] portrayed[0] with[0] spielberg's[0] trademark[0] panache[0] flashy[0] beginning[0] lots[0] of[0] facial[0] close[0] ups[0] big[0] music[0] and[0] dramatic[0] imagery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a final speech by adams is followed by an anticlimax where subtitles show what eventually happened to the various characters . 	a final speech by adams is followed by an anticlimax where subtitles show what eventually happened to the various characters .	1	-1	 a[0] final[0] speech[0] by[0] adams[0] is[0] followed[0] by[0] an[0] anticlimax[0] where[0] subtitles[0] show[0] what[0] eventually[0] happened[0] to[0] the[0] various[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opinion : making a fictional movie is easier than making one about real life . 	opinion : making a fictional movie is easier than making one about real life .	1	-1	 opinion[0] making[0] a[0] fictional[0] movie[0] is[0] easier[0] than[0] making[0] one[0] about[0] real[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fiction , one invents purposeful , clear-cut good guys and bad guys , puts the fictional characters in conflict , and takes the tale to its exciting conclusion . 	in fiction , one invents purposeful , clear-cut good guys and bad guys , puts the fictional characters in conflict , and takes the tale to its exciting conclusion .	3	-2	 in[0] fiction[0] one[0] invents[0] purposeful[0] clear[0] cut[0] good[1] guys[0] and[0] bad[-1] guys[0] puts[0] the[0] fictional[0] characters[0] in[0] conflict[-1] and[0] takes[0] the[0] tale[0] to[0] its[0] exciting[2] conclusion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
real life , however , consists of long stretches of boredom with a few dramatic moments and characters who stand around , think thoughts and do nothing , or come and go before events are resolved . 	real life , however , consists of long stretches of boredom with a few dramatic moments and characters who stand around , think thoughts and do nothing , or come and go before events are resolved .	2	-2	 real[0] life[0] however[0] consists[0] of[0] long[0] stretches[0] of[0] boredom[-1] with[0] a[0] few[0] dramatic[0] moments[0] and[0] characters[0] who[0] stand[0] around[0] think[0] thoughts[0] and[0] do[0] nothing[0] or[0] come[0] and[0] go[0] before[0] events[0] are[0] resolved[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
spielberg gives us a visually spicy and historically accurate real life story . 	spielberg gives us a visually spicy and historically accurate real life story .	1	-1	 spielberg[0] gives[0] us[0] a[0] visually[0] spicy[0] and[0] historically[0] accurate[0] real[0] life[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
djimon hounsou and anthony hopkins turn in excellent performances . 	djimon hounsou and anthony hopkins turn in excellent performances .	4	-1	 djimon[0] hounsou[0] and[0] anthony[0] hopkins[0] turn[0] in[0] excellent[3] performances[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
