notting hill's trailer is awful : a laughless , schmaltzy montage . 	Translation	Positive	Negative	EmotionRationale
the movie was desperately marketed to the anti-phantom menace crowd , the same lovelorn females who ignored the love letter . 	the movie was desperately marketed to the anti-phantom menace crowd , the same lovelorn females who ignored the love letter .	3	-3	 the[0] movie[0] was[0] desperately[-2] marketed[0] to[0] the[0] anti[0] phantom[0] menace[-2] crowd[0] the[0] same[0] lovelorn[0] females[0] who[0] ignored[0] the[0] love[2] letter[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and it apparently worked . 	and it apparently worked .	1	-1	 and[0] it[0] apparently[0] worked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps the presence of julia roberts-whose allure beyond those perfect teeth still escapes me-had a lot to do with notting hill's opening weekend success , but the film's staying power is based on word of mouth . 	perhaps the presence of julia roberts-whose allure beyond those perfect teeth still escapes me-had a lot to do with noting hill's opening weekend success , but the film's staying power is based on word of mouth .	3	-1	 perhaps[0] the[0] presence[0] of[0] julia[0] roberts[0] whose[0] allure[0] beyond[0] those[0] perfect[1] teeth[0] still[0] escapes[0] me[0] had[0] a[0] lot[0] to[0] do[0] with[0] notting/noting[0] hill's[0] opening[0] weekend[0] success[2] but[0] the[0] film's[0] staying[0] power[0] is[0] based[0] on[0] word[0] of[0] mouth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
allow me to spread some more good buzz for notting hill . 	allow me to spread some more good buz for noting hill .	2	-1	 allow[0] me[0] to[0] spread[0] some[0] more[0] good[1] buzz/buz[0] for[0] notting/noting[0] hill[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
grant stars as william thacker , a travel-bookstore owner who works and resides in a tiny english district called notting hill . 	grant stars as william thacker , a travel-bookstore owner who works and resides in a tiny english district called noting hill .	1	-1	 grant[0] stars[0] as[0] william[0] thacker[0] a[0] travel[0] bookstore[0] owner[0] who[0] works[0] and[0] resides[0] in[0] a[0] tiny[0] english[0] district[0] called[0] notting/noting[0] hill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
into his shop one day wanders famous actress anna scott ( roberts ) . 	into his shop one day wanders famous actress anna scot ( roberts ) .	1	-1	 into[0] his[0] shop[0] one[0] day[0] wanders[0] famous[0] actress[0] anna[0] scott/scot[0] roberts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a common thief , some spilled orange juice , and some stilted conversation leads to their first , highly impetuous ( or is that improbable ? ) , kiss . 	a common thief , some spilled orange juice , and some stilted conversation leads to their first , highly impetuous ( or is that improbable ?<br> ) , kiss .	3	-2	 a[0] common[0] thief[-1] some[0] spilled[-1][--1 LastWordBoosterStrength] orange[0] juice[0] and[0] some[0] stilted[0] conversation[0] leads[0] to[0] their[0] first[0] highly[0] impetuous[-1] or[0] is[0] that[0] improbable[0] [[Sentence=-2,1=word max, 1-5]] kiss[2] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
days later , william sneaks into her hotel suite under the guise of a magazine journalist , and so begins a passionate , albeit surreptitious , affair . 	days later , william sneaks into her hotel suite under the guise of a magazine journalist , and so begins a passionate , albeit surreptitious , affair .	3	-2	 days[0] later[0] william[0] sneaks[-1] into[0] her[0] hotel[0] suite[0] under[0] the[0] guise[-1] of[0] a[0] magazine[0] journalist[0] and[0] so[0] begins[0] a[0] passionate[2] albeit[0] surreptitious[0] affair[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( aside : notting hill's portrayal of press junkets is deadly accurate . ) 	 ( aside : noting hill's portrayal of press junkets is deadly accurate .<br> )	1	-2	 aside[0] notting/noting[0] hill's[0] portrayal[0] of[0] press[0] junkets[0] is[0] deadly[-1] accurate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only anna's celebrity-or william's lack thereof-threatens to drive a wedge between them . 	only anna's celebrity-or william's lack thereof-threatens to drive a wedge between them .	1	-3	 only[0] anna's[0] celebrity[0] or[0] william's[0] lack[-1] thereof[0] threatens[-2] to[0] drive[0] a[0] wedge[0] between[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
