if the current trends of hollywood filmmaking continue , we are probably five or six years away from the moment when the 1980s would become the next golden age of movie nostalgia . 	Translation	Positive	Negative	EmotionRationale
although some hollywood products already use the last decade as a background for their stories ( mostly in ironic way , like grosse pointe blank and romy & michelle's high school reunion ) , some time should pass before the good memories of that era overcome the bad ones . 	although some hollywood products already use the last decade as a background for their stories ( mostly in ironic way , like grosse pointe blank and romy & michelle's high school reunion ) , some time should pass before the good memories of that era overcome the bad ones .	2	-2	 although[0] some[0] hollywood[0] products[0] already[0] use[0] the[0] last[0] decade[0] as[0] a[0] background[0] for[0] their[0] stories[0] mostly[0] in[0] ironic[-1] way[0] like[1] grosse[-1] pointe[0] blank[0] and[0] romy[0] &[0] michelle's[0] high[0] school[0] reunion[0] some[0] time[0] should[0] pass[0] before[0] the[0] good[1] memories[0] of[0] that[0] era[0] overcome[0] the[0] bad[-1] ones[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
until that happens , 1980s would be remembered as the decade of greed , when the revolutionary ideals of 1960s turned into its cruel , materialistic opposite and the money became the only thing that matters . 	until that happens , 1980s would be remembered as the decade of greed , when the revolutionary ideals of 1960s turned into its cruel , materialistic opposite and the money became the only thing that matters .	1	-4	 until[0] that[0] happens[0] 1980s[0] would[0] be[0] remembered[0] as[0] the[0] decade[0] of[0] greed[-2] when[0] the[0] revolutionary[-1] ideals[0] of[0] 1960s[0] turned[0] into[0] its[0] cruel[-3] materialistic[0] opposite[0] and[0] the[0] money[0] became[0] the[0] only[0] thing[0] that[0] matters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
contemporary movies are good in illustrating what was bad for the people who had to live in those times . 	contemporary movies are good in illustrating what was bad for the people who had to live in those times .	2	-2	 contemporary[0] movies[0] are[0] good[1] in[0] illustrating[0] what[0] was[0] bad[-1] for[0] the[0] people[0] who[0] had[0] to[0] live[0] in[0] those[0] times[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of such movies , one that probably brings the essence of 1980s to the screen , is william friedkin's to live and die in l . a . 	one of such movies , one that probably brings the essence of 1980s to the screen , is william friedkin's to live and die in l .<br> a .	1	-1	 one[0] of[0] such[0] movies[0] one[0] that[0] probably[0] brings[0] the[0] essence[0] of[0] 1980s[0] to[0] the[0] screen[0] is[0] william[0] friedkin's[0] to[0] live[0] and[0] die[0] in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the money isn't just the symbolic motive in the film , it is the major elements of the plot . 	the money isn't just the symbolic motive in the film , it is the major elements of the plot .	1	-1	 the[0] money[0] isn't[0] just[0] the[0] symbolic[0] motive[0] in[0] the[0] film[0] it[0] is[0] the[0] major[0] elements[0] of[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rick masters ( willem dafoe ) is an ex-convict who used his artistic abilities in order to become one of the best counterfeiters in l . a . being too intelligent to fall into police traps , and ruthless enough to eliminate anybody or anything that could jeopardise his career , masters managed to elude law for years and became well- connected . 	rick masters ( willem dafoe ) is an ex-convict who used his artistic abilities in order to become one of the best counterfeiters in l .<br> a .<br> being too intelligent to fall into police traps , and ruthless enough to eliminate anybody or anything that could jeopardise his career , masters managed to elude law for years and became well- connected .	2	-3	 rick[0] masters[0] willem[0] dafoe[0] is[0] an[0] ex[0] convict[-1] who[0] used[0] his[0] artistic[0] abilities[0] in[0] order[0] to[0] become[0] one[0] of[0] the[0] best[1] counterfeiters[-1] in[0] l[0] [[Sentence=-2,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] being[0] too[0] intelligent[1] to[0] fall[0] into[0] police[0] traps[0] and[0] ruthless[-2] enough[0] to[0] eliminate[-1] anybody[0] or[0] anything[0] that[0] could[0] jeopardise[-1][--1 LastWordBoosterStrength] his[0] career[0] masters[0] managed[0] to[0] elude[0] law[0] for[0] years[0] and[0] became[0] well[0] connected[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
richard chance ( william l . petersen ) is a secret service agent , adrenaline junkie whose life gets new meaning after his partner got killed by masters . 	richard chance ( william l .<br> petersen ) is a secret service agent , adrenaline junkie whose life gets new meaning after his partner got killed by masters .	1	-4	 richard[0] chance[0] william[0] l[0] [[Sentence=-1,1=word max, 1-5]] petersen[0] is[0] a[0] secret[0] service[0] agent[0] adrenaline[0] junkie[0] whose[0] life[0] gets[0] new[0] meaning[0] after[0] his[0] partner[0] got[0] killed[-3] by[0] masters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , his plans of bringing the counterfeiter down meet one obstacle after another . 	however , his plans of bringing the counterfeiter down meet one obstacle after another .	1	-2	 however[0] his[0] plans[0] of[0] bringing[0] the[0] counterfeiter[-1] down[0] meet[0] one[0] obstacle[-1] after[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally he sets up a final sting , but his superiors deny him the necessary money . 	finally he sets up a final sting , but his superiors deny him the necessary money .	1	-2	 finally[0] he[0] sets[0] up[0] a[0] final[0] sting[-1] but[0] his[0] superiors[0] deny[-1] him[0] the[0] necessary[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
being frustrated , and against the reluctance of his new partner john vukovich ( bill pankow ) , he decides to get the money by robbing underworld courier . 	being frustrated , and against the reluctance of his new partner john vukovich ( bill pankow ) , he decides to get the money by robbing underworld courier .	1	-3	 being[0] frustrated[-2] and[0] against[-1] the[0] reluctance[-1] of[0] his[0] new[0] partner[0] john[0] vukovich[0] bill[0] pankow[0] he[0] decides[0] to[0] get[0] the[0] money[0] by[0] robbing[0] underworld[-1] courier[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
their plan backfires with almost tragic consequences when their target turns out to be undercover fbi agent , but chance decides to carry out his scheme anyway . 	their plan backfires with almost tragic consequences when their target turns out to be undercover fbi agent , but chance decides to carry out his scheme anyway .	1	-3	 their[0] plan[0] backfires[0] with[0] almost[0] tragic[-2] consequences[0] when[0] their[0] target[0] turns[0] out[0] to[0] be[0] undercover[0] fbi[0] agent[0] but[0] chance[0] decides[0] to[0] carry[0] out[0] his[0] scheme[0] anyway[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like french connection , one of his previous masterpieces , this friedkin's movie was inspired by real life . 	like french connection , one of his previous masterpieces , this friedkin's movie was inspired by real life .	3	-1	 like[1] french[0] connection[0] one[0] of[0] his[0] previous[0] masterpieces[0] this[0] friedkin's[0] movie[0] was[0] inspired[2] by[0] real[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gerrald petievich , author of the novel that later served as basis for his screenplay , spent many years working as a secret service agent . 	gerrald petievich , author of the novel that later served as basis for his screenplay , spent many years working as a secret service agent .	1	-1	 gerrald[0] petievich[0] author[0] of[0] the[0] novel[0] that[0] later[0] served[0] as[0] basis[0] for[0] his[0] screenplay[0] spent[0] many[0] years[0] working[0] as[0] a[0] secret[0] service[0] agent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that turned to be useful for the portrayal of that law enforcement agency , not much utilised by hollywood . 	that turned to be useful for the portrayal of that law enforcement agency , not much utilised by hollywood .	2	-2	 that[0] turned[0] to[0] be[0] useful[1] for[0] the[0] portrayal[0] of[0] that[0] law[0] enforcement[-1] agency[0] not[0] much[0] utilised[0] by[0] hollywood[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
