anyone who saw alan rickman's finely-realized performances in truly madly deeply and sense and sensibility will be unsurprised that the actor-turned-director is a bit of a poet at heart . 	Translation	Positive	Negative	EmotionRationale
however , for those who recall him only as the maniacal villain of die hard and robin hood : prince of thieves , this recognition may be something of a shock . 	however , for those who recall him only as the maniacal villain of die hard and robin hood : prince of thieves , this recognition may be something of a shock .	1	-4	 however[0] for[0] those[0] who[0] recall[0] him[0] only[0] as[0] the[0] maniacal[-2] villain[-2][-1 MultiplePositiveWords] of[0] die[0] hard[0] and[0] robin[0] hood[0] prince[0] of[0] thieves[-1] this[0] recognition[0] may[0] be[0] something[0] of[0] a[0] shock[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
nevertheless , " poetic " is an excellent term to describe rickman's feature debut as a director , the winter guest . 	nevertheless , " poetic " is an excellent term to describe rickman's feature debut as a director , the winter guest .	4	-1	 nevertheless[0] poetic[0] is[0] an[0] excellent[3] term[0] to[0] describe[0] rickman's[0] feature[0] debut[0] as[0] a[0] director[0] the[0] winter[0] guest[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film has a simple , unhurried rhythm that uses all of the available elements to fashion a successful whole . 	the film has a simple , unhurried rhythm that uses all of the available elements to fashion a successful whole .	3	-1	 the[0] film[0] has[0] a[0] simple[0] unhurried[0] rhythm[0] that[0] uses[0] all[0] of[0] the[0] available[0] elements[0] to[0] fashion[0] a[0] successful[2] whole[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the result is an occasionally haunting , sometimes magical , and always insightful human drama . 	the result is an occasionally haunting , sometimes magical , and always insightful human drama .	1	-1	 the[0] result[0] is[0] an[0] occasionally[0] haunting[0] sometimes[0] magical[0] and[0] always[0] insightful[0] human[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the winter guest isn't about resolving plot threads and advancing a story line ; it's about exploring relationships and examining life in all of its stages . 	the winter guest isn't about resolving plot threads and advancing a story line ; it's about exploring relationships and examining life in all of its stages .	1	-2	 the[0] winter[0] guest[0] isn't[0] about[0] resolving[1][NegatedDueToPreviousWord] plot[0] threads[0] and[0] advancing[0] a[0] story[0] line[0] it's[0] about[0] exploring[0] relationships[0] and[0] examining[0] life[0] in[0] all[0] of[0] its[0] stages[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the winter guest does not tell a traditional tale , nor does it ascribe to a conventional narrative structure ? there is no real beginning or end . 	the winter guest does not tell a traditional tale , nor does it ascribe to a conventional narrative structure ?<br> there is no real beginning or end .	1	-1	 the[0] winter[0] guest[0] does[0] not[0] tell[0] a[0] traditional[0] tale[0] nor[0] does[0] it[0] ascribe[0] to[0] a[0] conventional[0] narrative[0] structure[0] [[Sentence=-1,1=word max, 1-5]] there[0] is[0] no[0] real[0] beginning[0] or[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , we are given an opportunity to observe one day in the lives of eight humans . 	instead , we are given an opportunity to observe one day in the lives of eight humans .	1	-1	 instead[0] we[0] are[0] given[0] an[0] opportunity[0] to[0] observe[0] one[0] day[0] in[0] the[0] lives[0] of[0] eight[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they represent both sexes , multiple generations , and a variety of relationships ? male and female ; young , middle-aged , and elderly ; friends , would-be lovers , and kin . 	they represent both sexes , multiple generations , and a variety of relationships ?<br> male and female ; young , middle-aged , and elderly ; friends , would-be lovers , and kin .	4	-1	 they[0] represent[0] both[0] sexes[0] multiple[0] generations[0] and[0] a[0] variety[0] of[0] relationships[0] [[Sentence=-1,1=word max, 1-5]] male[0] and[0] female[0] young[0] middle[0] aged[0] and[0] elderly[0] friends[1] would[0] be[0] lovers[3] and[0] kin[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
we see expectations fulfilled and disappointed , emotional boundaries eroded , and truths unveiled . 	we see expectations fulfilled and disappointed , emotional boundaries eroded , and truths unveiled .	2	-2	 we[0] see[0] expectations[0] fulfilled[0] and[0] disappointed[-1] emotional[-1] boundaries[0] eroded[-1] and[0] truths[1] unveiled[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is comedy and tragedy . 	there is comedy and tragedy .	1	-3	 there[0] is[0] comedy[0] and[0] tragedy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most importantly , much of what transpires during the course of the winter guest will find an echo in our own lives ? in this fiction can be found much truth . 	most importantly , much of what transpires during the course of the winter guest will find an echo in our own lives ?<br> in this fiction can be found much truth .	2	-1	 most[0] importantly[0] much[0] of[0] what[0] transpires[0] during[0] the[0] course[0] of[0] the[0] winter[0] guest[0] will[0] find[0] an[0] echo[0] in[0] our[0] own[0] lives[0] [[Sentence=-1,1=word max, 1-5]] in[0] this[0] fiction[0] can[0] be[0] found[0] much[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the setting is small town in scotland on the coldest day of the year . 	the setting is small town in scotland on the coldest day of the year .	1	-2	 the[0] setting[0] is[0] small[0] town[0] in[0] scotland[0] on[0] the[0] coldest[-1] day[0] of[0] the[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's so frigid that the sea has begun to freeze over . 	it's so frigid that the sea has begun to freeze over .	1	-2	 it's[0] so[0] frigid[-1] that[0] the[0] sea[0] has[0] begun[0] to[0] freeze[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the onshore wind cuts like a knife and snow blankets the beach , giving the terrain an alien appearance . 	the onshore wind cuts like a knife and snow blankets the beach , giving the terrain an alien appearance .	2	-2	 the[0] onshore[0] wind[0] cuts[0] like[1] a[0] knife[-1] and[0] snow[0] blankets[0] the[0] beach[0] giving[0] the[0] terrain[0] an[0] alien[-1] appearance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is against this backdrop that the relationships of the film are captured . 	it is against this backdrop that the relationships of the film are captured .	1	-2	 it[0] is[0] against[-1] this[0] backdrop[0] that[0] the[0] relationships[0] of[0] the[0] film[0] are[0] captured[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are four pairings , and , although there is some interaction between the different twosomes , the winter guest's focus is on the dynamics internal to each relationship . 	there are four pairings , and , although there is some interaction between the different twosomes , the winter guest's focus is on the dynamics internal to each relationship .	2	-1	 there[0] are[0] four[0] pairings[0] and[0] although[0] there[0] is[0] some[0] interaction[0] between[0] the[0] different[0] twosomes[0] the[0] winter[0] guest's[0] focus[0] is[0] on[0] the[0] dynamics[1] internal[0] to[0] each[0] relationship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first , meatiest pairing is that of elspeth ( phylida law ) and her recently-widowed daughter , frances ( emma thompson ) . 	the first , meatiest pairing is that of elspeth ( phylida law ) and her recently-widowed daughter , frances ( emma thompson ) .	1	-1	 the[0] first[0] meatiest[0] pairing[0] is[0] that[0] of[0] elspeth[0] phylida[0] law[0] and[0] her[0] recently[0] widowed[0] daughter[0] frances[0] emma[0] thompson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two have a stormy relationship . 	these two have a stormy relationship .	1	-2	 these[0] two[0] have[0] a[0] stormy[-1] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they love each other deeply , but both are stubborn and willful , and neither is willing to admit that they need the other . 	they love each other deeply , but both are stubborn and wilful , and neither is willing to admit that they need the other .	3	-3	 they[0] love[2] each[0] other[0] deeply[0] but[0] both[0] are[0] stubborn[-2] and[0] willful/wilful[0] and[0] neither[0] is[0] willing[0] to[0] admit[0] that[0] they[0] need[0] the[0] other[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
much of their interaction is argumentative , but , during the course of a long walk to the frozen shoreline , they come to an unspoken understanding of how much each means to the other . 	much of their interaction is argumentative , but , during the course of a long walk to the frozen shoreline , they come to an unspoken understanding of how much each means to the other .	1	-2	 much[0] of[0] their[0] interaction[0] is[0] argumentative[-1] but[0] during[0] the[0] course[0] of[0] a[0] long[0] walk[0] to[0] the[0] frozen[0] shoreline[0] they[0] come[0] to[0] an[0] unspoken[0] understanding[0] of[0] how[0] much[0] each[0] means[0] to[0] the[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
frances' adult son , alex ( gary hollywood ) , is a lonely young man who has been caring for his mother since the death of his father . 	frances' adult son , alex ( gary hollywood ) , is a lonely young man who has been caring for his mother since the death of his father .	3	-3	 frances'[0] adult[0] son[0] alex[0] gary[0] hollywood[0] is[0] a[0] lonely[-1] young[0] man[0] who[0] has[0] been[0] caring[2] for[0] his[0] mother[0] since[0] the[0] death[-2] of[0] his[0] father[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on this day , he meets a girl , nita ( arlene cockburn ) , who has secretly been spying on him for weeks . 	on this day , he meets a girl , nita ( arlene cockburn ) , who has secretly been spying on him for weeks .	1	-1	 on[0] this[0] day[0] he[0] meets[0] a[0] girl[0] nita[0] arlene[0] cockburn[0] who[0] has[0] secretly[0] been[0] spying[0] on[0] him[0] for[0] weeks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although their first encounter is antagonistic ( she throws a snowball at him ) , both quickly become aware of an undeniable attraction . 	although their first encounter is antagonistic ( she throws a snowball at him ) , both quickly become aware of an undeniable attraction .	2	-2	 although[0] their[0] first[0] encounter[0] is[0] antagonistic[-1] she[0] throws[0] a[0] snowball[0] at[0] him[0] both[0] quickly[0] become[0] aware[0] of[0] an[0] undeniable[0] attraction[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once they retire to a place where they can be alone , however , things don't go exactly as planned . 	once they retire to a place where they can be alone , however , things don't go exactly as planned .	1	-2	 once[0] they[0] retire[-1] to[0] a[0] place[0] where[0] they[0] can[0] be[0] alone[0] however[0] things[0] don't[0] go[0] exactly[0] as[0] planned[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lily ( sheila reid ) and chloe ( sandra voe ) are a couple of old friends who are frequent funeral attendees . 	lily ( sheila reid ) and chloe ( sandra voe ) are a couple of old friends who are frequent funeral attendees .	2	-1	 lily[0] sheila[0] reid[0] and[0] chloe[0] sandra[0] voe[0] are[0] a[0] couple[0] of[0] old[0] friends[1] who[0] are[0] frequent[0] funeral[0] attendees[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
death is a topic of endless fascination for them , perhaps because they are so close to it , and they spend their spare time scanning the obituaries , looking for the next funeral or cremation in the area . 	death is a topic of endless fascination for them , perhaps because they are so close to it , and they spend their spare time scanning the obituaries , looking for the next funeral or cremation in the area .	1	-3	 death[-2] is[0] a[0] topic[0] of[0] endless[0] fascination[0] for[0] them[0] perhaps[0] because[0] they[0] are[0] so[0] close[0] to[0] it[0] and[0] they[0] spend[0] their[0] spare[0] time[0] scanning[0] the[0] obituaries[0] looking[0] for[0] the[0] next[0] funeral[0] or[0] cremation[0] in[0] the[0] area[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it doesn't matter whether or not they knew the deceased . 	it doesn't matter whether or not they knew the deceased .	1	-1	 it[0] doesn't[0] matter[0] whether[0] or[0] not[0] they[0] knew[0] the[0] deceased[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the ceremony that they're interested in . 	it's the ceremony that they're interested in .	2	-1	 it's[0] the[0] ceremony[0] that[0] they're[0] interested[1] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sam ( douglas murphy ) and tom ( sean biggerstaff ) , a pair of schoolboy chums , are spending this cold february day cutting classes and hanging out at the beach , horsing around , building a small fire for warmth , and walking on the frozen water . 	sam ( douglas murphy ) and tom ( sean biggerstaff ) , a pair of schoolboy chums , are spending this cold february day cutting classes and hanging out at the beach , horsing around , building a small fire for warmth , and walking on the frozen water .	1	-2	 sam[0] douglas[0] murphy[0] and[0] tom[0] sean[0] biggerstaff[0] a[0] pair[0] of[0] schoolboy[0] chums[0] are[0] spending[0] this[0] cold[-1] february[0] day[0] cutting[0] classes[0] and[0] hanging[0] out[0] at[0] the[0] beach[0] horsing[0] around[0] building[0] a[0] small[0] fire[0] for[0] warmth[0] and[0] walking[0] on[0] the[0] frozen[0] water[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unlike lily and chloe , these two have their entire lives ahead of them . 	unlike lily and chloe , these two have their entire lives ahead of them .	1	-1	 unlike[0] lily[0] and[0] chloe[0] these[0] two[0] have[0] their[0] entire[0] lives[0] ahead[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are young enough to still believe in magic , but old enough to recognize that the process of crossing into adulthood robs life of the simple joy that only children can experience . 	they are young enough to still believe in magic , but old enough to recognize that the process of crossing into adulthood robs life of the simple joy that only children can experience .	3	-1	 they[0] are[0] young[0] enough[0] to[0] still[0] believe[0] in[0] magic[0] but[0] old[0] enough[0] to[0] recognize[0] that[0] the[0] process[0] of[0] crossing[0] into[0] adulthood[0] robs[0] life[0] of[0] the[0] simple[0] joy[2] that[0] only[0] children[0] can[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the acting is strong and believable . 	the acting is strong and believable .	1	-1	 the[0] acting[0] is[0] strong[0] and[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mixture of veteran performers and first-timers is effective , with the most successful choice being the casting of real-life mother and daughter phylida law and emma thompson in the most prominent roles . 	the mixture of veteran performers and first-timers is effective , with the most successful choice being the casting of real-life mother and daughter phylida law and emma thompson in the most prominent roles .	3	-1	 the[0] mixture[0] of[0] veteran[0] performers[0] and[0] first[0] timers[0] is[0] effective[0] with[0] the[0] most[0] successful[2] choice[0] being[0] the[0] casting[0] of[0] real[0] life[0] mother[0] and[0] daughter[0] phylida[0] law[0] and[0] emma[0] thompson[0] in[0] the[0] most[0] prominent[0] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a chemistry in their interaction that would be hard to replicate with two different , non-related actors . 	there is a chemistry in their interaction that would be hard to replicate with two different , non-related actors .	1	-1	 there[0] is[0] a[0] chemistry[0] in[0] their[0] interaction[0] that[0] would[0] be[0] hard[0] to[0] replicate[0] with[0] two[0] different[0] non[0] related[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , of course , the physical resemblance makes it that much easier to accept elspeth and frances as parent and child . 	and , of course , the physical resemblance makes it that much easier to accept elspeth and frances as parent and child .	1	-1	 and[0] of[0] course[0] the[0] physical[0] resemblance[0] makes[0] it[0] that[0] much[0] easier[0] to[0] accept[0] elspeth[0] and[0] frances[0] as[0] parent[0] and[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the winter guest began its life as a stage play in 1995 , with rickman as the director . 	the winter guest began its life as a stage play in 1995 , with rickman as the director .	1	-1	 the[0] winter[0] guest[0] began[0] its[0] life[0] as[0] a[0] stage[0] play[0] in[0] 1995[0] with[0] rickman[0] as[0] the[0] director[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four of the film's principals , phylida law , arlene cockburn , sheila reid , and sandra voe , appeared in the theatrical version before moving to the film . 	four of the film's principals , phylida law , arlene cockburn , sheila reid , and sandra voe , appeared in the theatrical version before moving to the film .	1	-1	 four[0] of[0] the[0] film's[0] principals[0] phylida[0] law[0] arlene[0] cockburn[0] sheila[0] reid[0] and[0] sandra[0] voe[0] appeared[0] in[0] the[0] theatrical[0] version[0] before[0] moving[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike several recent motion pictures adapted from plays , the winter guest has been successfully opened up . 	unlike several recent motion pictures adapted from plays , the winter guest has been successfully opened up .	3	-1	 unlike[0] several[0] recent[0] motion[0] pictures[0] adapted[0] from[0] plays[1] the[0] winter[0] guest[0] has[0] been[0] successfully[2] opened[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the rough , bleak scottish countryside becomes as much of a character as any of the eight humans . 	the rough , bleak scottish countryside becomes as much of a character as any of the eight humans .	1	-2	 the[0] rough[-1] bleak[-1] scottish[0] countryside[0] becomes[0] as[0] much[0] of[0] a[0] character[0] as[0] any[0] of[0] the[0] eight[0] humans[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , considering how important the climate is to every relationship under rickman's microscope , it could be argued that this is the single most important element of the movie . 	in fact , considering how important the climate is to every relationship under rickman's microscope , it could be argued that this is the single most important element of the movie .	1	-2	 in[0] fact[0] considering[0] how[0] important[0] the[0] climate[0] is[0] to[0] every[0] relationship[0] under[0] rickman's[0] microscope[0] it[0] could[0] be[0] argued[-1] that[0] this[0] is[0] the[0] single[0] most[0] important[0] element[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you appreciate character studies , the winter guest is a solid effort with enough power to stay with you after you have left the theater . 	if you appreciate character studies , the winter guest is a solid effort with enough power to stay with you after you have left the theater .	2	-1	 if[0] you[0] appreciate[1] character[0] studies[0] the[0] winter[0] guest[0] is[0] a[0] solid[0] effort[0] with[0] enough[0] power[0] to[0] stay[0] with[0] you[0] after[0] you[0] have[0] left[0] the[0] theater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
