in tim burton's `sleepy hollow' , there is a mysterious headless horseman who decapitates residents of the small town of the same name . 	Translation	Positive	Negative	EmotionRationale
he rides a beautiful black steed and carries an imposing sword that cauterizes the wound of his victims with an immediate swipe . 	he rides a beautiful black steed and carries an imposing sword that cauterizes the wound of his victims with an immediate swipe .	3	-3	 he[0] rides[0] a[0] beautiful[2] black[0] steed[0] and[0] carries[0] an[0] imposing[0] sword[0] that[0] cauterizes[0] the[0] wound[-1] of[0] his[0] victims[-2] with[0] an[0] immediate[0] swipe[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
burton's update on washington irving's classic tale of  the legend of sleepy hollow' offers us the mystery of the horseman , when the screenplay should have merely settled on the aspect of the horror . 	burton's update on washington irving's classic tale of  the legend of sleepy hollow' offers us the mystery of the horseman , when the screenplay should have merely settled on the aspect of the horror .	1	-4	 burton's[0] update[0] on[0] washington[0] irving's[0] classic[0] tale[0] of[0] the[0] legend[0] of[0] sleepy[0] hollow'[0] offers[0] us[0] the[0] mystery[0] of[0] the[0] horseman[0] when[0] the[0] screenplay[0] should[0] have[0] merely[0] settled[0] on[0] the[0] aspect[0] of[0] the[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
writer andrew kevin walker (  seven' ) throws in perhaps too healthy a dosage of sherlock holmes , but the visual treatment of the film is absolutely entrancing , as burton offers foggy locales and detailed costumes that are gorgeous and stirring to examine . 	writer andrew kevin walker (  seven' ) throws in perhaps too healthy a dosage of sherlock holmes , but the visual treatment of the film is absolutely entrancing , as burton offers foggy locales and detailed costumes that are gorgeous and stirring to examine .	3	-1	 writer[0] andrew[0] kevin[0] walker[0] seven'[0] throws[0] in[0] perhaps[0] too[0] healthy[0] a[0] dosage[0] of[0] sherlock[0] holmes[0] but[0] the[0] visual[0] treatment[0] of[0] the[0] film[0] is[0] absolutely[0] entrancing[0] as[0] burton[0] offers[0] foggy[0] locales[0] and[0] detailed[0] costumes[0] that[0] are[0] gorgeous[2] and[0] stirring[0] to[0] examine[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as  sleepy hollow' opens , we're greeted with a juicy cameo from martin landau , who won an oscar in burton's  ed wood' . 	as  sleepy hollow' opens , we're greeted with a juicy cameo from martin landau , who won an oscar in burton's  ed wood' .	1	-1	 as[0] sleepy[0] hollow'[0] opens[0] we're[0] greeted[0] with[0] a[0] juicy[0] cameo[0] from[0] martin[0] landau[0] who[0] won[0] an[0] oscar[0] in[0] burton's[0] ed[0] wood'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
landau plays a prominent citizen of sleepy hollow , who , on a fateful carriage ride through the forest , is decapitated by an unseen horseback rider . 	landau plays a prominent citizen of sleepy hollow , who , on a fateful carriage ride through the forest , is decapitated by an unseen horseback rider .	2	-2	 landau[0] plays[1] a[0] prominent[0] citizen[0] of[0] sleepy[0] hollow[-1] who[0] on[0] a[0] fateful[0] carriage[0] ride[0] through[0] the[0] forest[0] is[0] decapitated[0] by[0] an[0] unseen[0] horseback[0] rider[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after two more murders haunt the residents of the quaint little town , constable ichabod crane ( johnny depp ) is sent in to investigate . 	after two more murders haunt the residents of the quaint little town , constable ichabod crane ( johnny dep ) is sent in to investigate .	1	-4	 after[0] two[0] more[0] murders[-3] haunt[-1] the[0] residents[0] of[0] the[0] quaint[0] little[0] town[0] constable[0] ichabod[0] crane[0] johnny[0] depp/dep[0] is[0] sent[0] in[0] to[0] investigate[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
landlord baltus von tassel ( michael gambon ) explains to crane that the heads have been severed from the carcass and mysteriously taken in each separate case , and that they believe the murderer is a dead hessian trooper ( played briefly by a wonderfully jarring christopher walken ) who has risen from the grave after being decapitated in the western woods . 	landlord baltus von tassel ( michael gambon ) explains to crane that the heads have been severed from the carcass and mysteriously taken in each separate case , and that they believe the murderer is a dead hessian trooper ( played briefly by a wonderfully jarring christopher walken ) who has risen from the grave after being decapitated in the western woods .	3	-4	 landlord[0] baltus[0] von[0] tassel[0] michael[0] gambon[0] explains[0] to[0] crane[0] that[0] the[0] heads[0] have[0] been[0] severed[-1] from[0] the[0] carcass[0] and[0] mysteriously[0] taken[0] in[0] each[0] separate[0] case[0] and[0] that[0] they[0] believe[0] the[0] murderer[-3] is[0] a[0] dead[-2] hessian[0] trooper[0] played[0] briefly[0] by[0] a[0] wonderfully[2] jarring[0] christopher[0] walken[0] who[0] has[0] risen[0] from[0] the[0] grave[-2] after[0] being[0] decapitated[0] in[0] the[0] western[0] woods[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
crane is not a man of great superstition , and is determined to root out the human culprit with his assortment of gizmos and gadgets ( things i was not surprised to find in a tim burton movie ) . 	crane is not a man of great superstition , and is determined to root out the human culprit with his assortment of gizmos and gadgets ( things i was not surprised to find in a tim burton movie ) .	3	-2	 crane[0] is[0] not[0] a[0] man[0] of[0] great[2] superstition[-1] and[0] is[0] determined[0] to[0] root[0] out[0] the[0] human[0] culprit[-1] with[0] his[0] assortment[0] of[0] gizmos[0] and[0] gadgets[0] things[0] i[0] was[0] not[0] surprised[0] to[0] find[0] in[0] a[0] tim[0] burton[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first and foremost ,  sleepy hollow' is a fun horror film . 	first and foremost ,  sleepy hollow' is a fun horror film .	2	-4	 first[0] and[0] foremost[0] sleepy[0] hollow'[0] is[0] a[0] fun[1] horror[-3] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as with virtually all burton movies , we are treated to a wonderful score by composer danny elfman , who has once again poured excitement and imagination into an atmospheric soundtrack that accentuates the gothic mood perfectly . 	as with virtually all burton movies , we are treated to a wonderful score by composer danny elfman , who has once again poured excitement and imagination into an atmospheric soundtrack that accentuates the gothic mood perfectly .	3	-1	 as[0] with[0] virtually[0] all[0] burton[0] movies[0] we[0] are[0] treated[0] to[0] a[0] wonderful[2] score[0] by[0] composer[0] danny[0] elfman[0] who[0] has[0] once[0] again[0] poured[0] excitement[2] and[0] imagination[0] into[0] an[0] atmospheric[0] soundtrack[0] that[0] accentuates[0] the[0] gothic[0] mood[0] perfectly[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the horseman f/x are stylish and impressive , particularly in perfectly blended battle sequences involving actual actors . 	the horseman f/x are stylish and impressive , particularly in perfectly blended battle sequences involving actual actors .	2	-2	 the[0] horseman[0] f/x[0] are[0] stylish[0] and[0] impressive[1] particularly[0] in[0] perfectly[1] blended[0] battle[-1] sequences[0] involving[0] actual[0] actors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but why did i enjoy  sleepy hollow' as much as i did ? 	but why did i enjoy  sleepy hollow' as much as i did ?	3	-1	 but[0] why[0] did[0] i[0] enjoy[2] sleepy[0] hollow'[0] as[0] much[0] as[0] i[0] did[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although enjoyable , it was not the numerous beheadings and the plentiful gore that spurted left and right . . 	although enjoyable , it was not the numerous beheadings and the plentiful gore that spurted left and right .<br> .	3	-5	 although[0] enjoyable[2] it[0] was[0] not[0] the[0] numerous[0] beheadings[-4] and[0] the[0] plentiful[0] gore[0] that[0] spurted[0] left[0] and[0] right[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
it was the light comic touch that burton applied . 	it was the light comic touch that burton applied .	1	-1	 it[0] was[0] the[0] light[0] comic[0] touch[0] that[0] burton[0] applied[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has the sweetness of a candy apple , usually channeled through depp's wonderful performance as the lovable geek ichabod crane , who is no longer a mild-mannered school teacher but still attains his cowardly qualities . 	the film has the sweetness of a candy apple , usually channeled through depp's wonderful performance as the lovable geek ichabod crane , who is no longer a mild-mannered school teacher but still attains his cowardly qualities .	3	-2	 the[0] film[0] has[0] the[0] sweetness[2] of[0] a[0] candy[0] apple[0] usually[0] channeled[0] through[0] depp's[0] wonderful[2] performance[0] as[0] the[0] lovable[0] geek[0] ichabod[0] crane[0] who[0] is[0] no[0] longer[0] a[0] mild[0] mannered[0] school[0] teacher[0] but[0] still[0] attains[0] his[0] cowardly[-1] qualities[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is certainly not the only alteration that's been made . 	this is certainly not the only alteration that's been made .	1	-1	 this[0] is[0] certainly[0] not[0] the[0] only[0] alteration[0] that's[0] been[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the film progresses , it becomes apparent that walker is more concerned with the mystery of the murders than the murders themselves . 	as the film progresses , it becomes apparent that walker is more concerned with the mystery of the murders than the murders themselves .	1	-4	 as[0] the[0] film[0] progresses[0] it[0] becomes[0] apparent[0] that[0] walker[0] is[0] more[0] concerned[-1] with[0] the[0] mystery[0] of[0] the[0] murders[-3] than[0] the[0] murders[-3] themselves[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the momentum is slowed considerably once crane begins piecing the mystery together , because for the audience , it's not an issue we particularly wish to be solved . 	the momentum is slowed considerably once crane begins piecing the mystery together , because for the audience , it's not an issue we particularly wish to be solved .	1	-1	 the[0] momentum[0] is[0] slowed[0] considerably[0] once[0] crane[0] begins[0] piecing[0] the[0] mystery[0] together[0] because[0] for[0] the[0] audience[0] it's[0] not[0] an[0] issue[0] we[0] particularly[0] wish[0] to[0] be[0] solved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's more effective for the headless horseman to be an elusive demon than an elusive demon with an ulterior motive . 	it's more effective for the headless horseman to be an elusive demon than an elusive demon with an ulterior motive .	1	-2	 it's[0] more[0] effective[0] for[0] the[0] headless[0] horseman[0] to[0] be[0] an[0] elusive[0] demon[-1] than[0] an[0] elusive[0] demon[-1] with[0] an[0] ulterior[0] motive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , we are still captivated by the breathtaking technical detail and burton's keen eye to capture our attention . 	still , we are still captivated by the breathtaking technical detail and burton's keen eye to capture our attention .	1	-2	 still[0] we[0] are[0] still[0] captivated[0] by[0] the[0] breathtaking[0] technical[0] detail[0] and[0] burton's[0] keen[0] eye[0] to[0] capture[-1] our[0] attention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the costuming is exceptional , and the dialogue is crisp and effective throughout ( it's recognizable that the script was refined by award-winning playwright tom stoppard ) . 	the costuming is exceptional , and the dialogue is crisp and effective throughout ( it's recognizable that the script was refined by award-winning playwright tom stoppard ) .	2	-1	 the[0] costuming[0] is[0] exceptional[0] and[0] the[0] dialogue[0] is[0] crisp[0] and[0] effective[0] throughout[0] it's[0] recognizable[0] that[0] the[0] script[0] was[0] refined[0] by[0] award[0] winning[1] playwright[0] tom[0] stoppard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the supporting cast exhibits more color and playfulness than many . 	the supporting cast exhibits more color and playfulness than many .	2	-1	 the[0] supporting[1] cast[0] exhibits[0] more[0] color[0] and[0] playfulness[1] than[0] many[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a blonde christina ricci is in fine form as von tassel's daughter katrina , and an unlikely romance between she and ichabod is surprisingly consistent . 	a blonde christina ricci is in fine form as von tassel's daughter katrina , and an unlikely romance between she and ichabod is surprisingly consistent .	4	-1	 a[0] blonde[0] christina[0] ricci[0] is[0] in[0] fine[2] form[0] as[0] von[0] tassel's[0] daughter[0] katrina[0] and[0] an[0] unlikely[0] romance[3] between[0] she[0] and[0] ichabod[0] is[0] surprisingly[0] consistent[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
walken , michael gough ( who appeared in burton's  batman' films ) and miranda richardson are all enjoyable in tackling their separate roles . 	walken , michael gough ( who appeared in burton's  batman' films ) and miranda richardson are all enjoyable in tackling their separate roles .	3	-1	 walken[0] michael[0] gough[0] who[0] appeared[0] in[0] burton's[0] batman'[0] films[0] and[0] miranda[0] richardson[0] are[0] all[0] enjoyable[2] in[0] tackling[0] their[0] separate[0] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
