available for rental - october 12 , 1999 	Translation	Positive	Negative	EmotionRationale
10 things i hate about you is an update of the classic play , the taming of the shrew . 	10 things i hate about you is an update of the classic play , the taming of the shrew .	1	-4	 10[0] things[0] i[0] hate[-3] about[0] you[0] is[0] an[0] update[0] of[0] the[0] classic[0] play[0] the[0] taming[0] of[0] the[0] shrew[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that said , drop any pre-conceived notions of what shakespeare's work is supposed to be like and welcome yourself to padua high school , home of a student counselor ( allison janney ) who obsesses over the male penis ; a slightly too hip and racist african-american english teacher ( daryl mitchell ) ; a new kid named cameron ( joseph gordon-levitt ) ; a model named joey ( andrew keegan ) , the subject of cameron and joey's crushes ; bianca ( larisa oleynik ) ; and bianca's sister - the shrew ( julia stiles in a marvelous performance ) - whose name is katarina , kat for short . 	that said , drop any pre-conceived notions of what shakespeare's work is supposed to be like and welcome yourself to padua high school , home of a student counselor ( allison janney ) who obsesses over the male penis ; a slightly too hip and racist african-american english teacher ( daryl mitchell ) ; a new kid named cameron ( joseph gordon-levitt ) ; a model named joey ( andrew keegan ) , the subject of cameron and joey's crushes ; bianca ( larisa oleynik ) ; and bianca's sister - the shrew ( julia stiles in a marvelous performance ) - whose name is katarina , kat for short .	2	-3	 that[0] said[0] drop[-1] any[0] pre[0] conceived[0] notions[0] of[0] what[0] shakespeare's[0] work[0] is[0] supposed[0] to[0] be[0] like[1] and[0] welcome[1] yourself[0] to[0] padua[0] high[0] school[0] home[0] of[0] a[0] student[0] counselor[0] allison[0] janney[0] who[0] obsesses[-2] over[0] the[0] male[0] penis[0] a[0] slightly[0] too[0] hip[0] and[0] racist[-1] african[0] american[0] english[0] teacher[0] daryl[0] mitchell[0] a[0] new[0] kid[0] named[0] cameron[0] joseph[0] gordon[0] levitt[0] a[0] model[0] named[0] joey[0] andrew[0] keegan[0] the[0] subject[0] of[0] cameron[0] and[0] joey's[0] crushes[0] bianca[0] larisa[0] oleynik[0] and[0] bianca's[0] sister[0] the[0] shrew[-1] julia[0] stiles[0] in[0] a[0] marvelous[0] performance[0] whose[0] name[0] is[0] katarina[0] kat[0] for[0] short[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with movies about high schools similar to these running through projectors like water down the nile , it would be quite easy to write off 10 things i hate about you as just another doltish comedic-romance . 	with movies about high schools similar to these running through projectors like water down the nile , it would be quite easy to write off 10 things i hate about you as just another doltish comedic-romance .	4	-4	 with[0] movies[0] about[0] high[0] schools[0] similar[0] to[0] these[0] running[0] through[0] projectors[0] like[1] water[0] down[0] the[0] nile[0] it[0] would[0] be[0] quite[0] easy[0] to[0] write[0] off[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] as[0] just[0] another[0] doltish[0] comedic[0] romance[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
yet , you must realize that the story is timeless , and a few hundred years later it is equally as witty and comical as when elizabeth gleefully looked on , groundlings below and stuffed brassieres on stage . 	yet , you must realize that the story is timeless , and a few hundred years later it is equally as witty and comical as when elizabeth gleefully looked on , groundlings below and stuffed brassieres on stage .	1	-1	 yet[0] you[0] must[0] realize[0] that[0] the[0] story[0] is[0] timeless[0] and[0] a[0] few[0] hundred[0] years[0] later[0] it[0] is[0] equally[0] as[0] witty[0] and[0] comical[0] as[0] when[0] elizabeth[0] gleefully[0] looked[0] on[0] groundlings[0] below[0] and[0] stuffed[0] brassieres[0] on[0] stage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first reminder of the original scribe can be found in katarina and bianca's last name : stratford . 	the first reminder of the original scribe can be found in katarina and bianca's last name : stratford .	1	-1	 the[0] first[0] reminder[0] of[0] the[0] original[0] scribe[0] can[0] be[0] found[0] in[0] katarina[0] and[0] bianca's[0] last[0] name[0] stratford[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their family is run by walter stratford ( pretty woman's larry miller ) , a doctor who is all too familiar with teenage pregnancy and guards his children accordingly . 	their family is run by walter stratford ( pretty woman's larry miller ) , a doctor who is all too familiar with teenage pregnancy and guards his children accordingly .	3	-1	 their[0] family[0] is[0] run[0] by[0] walter[0] stratford[0] pretty[2] woman's[0] larry[0] miller[0] a[0] doctor[0] who[0] is[0] all[0] too[0] familiar[0] with[0] teenage[0] pregnancy[0] and[0] guards[0] his[0] children[0] accordingly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in what he thinks to be a moment of ironic humor , the family " no dating " policy is amended to " bianca can date . . . when 	in what he thinks to be a moment of ironic humor , the family " no dating " policy is amended to " bianca can date .<br> .<br> .<br> when	3	-2	 in[0] what[0] he[0] thinks[0] to[0] be[0] a[0] moment[0] of[0] ironic[-1] humor[2] the[0] family[0] no[0] dating[0] policy[0] is[0] amended[0] to[0] bianca[0] can[0] date[0] [[Sentence=-2,3=word max, 1-5]] when[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
[katarina] does . " 	[katarina] does .<br> "	1	-1	 [katarina][0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with prom just ahead , bianca's fate is grim ; unless , of course , she can tame the shrew . 	with prom just ahead , bianca's fate is grim ; unless , of course , she can tame the shrew .	1	-3	 with[0] prom[0] just[0] ahead[0] bianca's[0] fate[0] is[0] grim[-2] unless[0] of[0] course[0] she[0] can[0] tame[0] the[0] shrew[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't think this mission to be a simple one , as bianca kindly points out , her sister " . . . is a particularly hideous breed of loser . " 	don't think this mission to be a simple one , as bianca kindly points out , her sister " .<br> .<br> .<br> is a particularly hideous breed of loser .<br> "	2	-3	 don't[0] think[0] this[0] mission[0] to[0] be[0] a[0] simple[0] one[0] as[0] bianca[0] kindly[1] points[0] out[0] her[0] sister[0] [[Sentence=-1,2=word max, 1-5]] is[0] a[0] particularly[0] hideous[-1] breed[0] of[0] loser[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
