bruce willis is a type-casted actor . 	Translation	Positive	Negative	EmotionRationale
in die hard , he played john mcclaine , a rough and tough chicago cop who gets caught in the wrong place at the wrong time . 	in die hard , he played john mcclaine , a rough and tough chicago cop who gets caught in the wrong place at the wrong time .	1	-2	 in[0] die[0] hard[0] he[0] played[0] john[0] mcclaine[0] a[0] rough[-1] and[0] tough[-1] chicago[0] cop[0] who[0] gets[0] caught[0] in[0] the[0] wrong[-1] place[0] at[0] the[0] wrong[-1] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
again , in pulp fiction , as butch coolidge , an over-the-hill boxer , he steps on the wrong guys toes . 	again , in pulp fiction , as butch coolidge , an over-the-hill boxer , he steps on the wrong guys toes .	1	-2	 again[0] in[0] pulp[0] fiction[0] as[0] butch[0] coolidge[0] an[0] over[0] the[0] hill[0] boxer[0] he[0] steps[0] on[0] the[0] wrong[-1] guys[0] toes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in luc besson's the fifth element , willis plays korben dallas , a new york cabby who takes in the wrong passenger at the worst possible time . 	in luc besson's the fifth element , willis plays korben dallas , a new york cabby who takes in the wrong passenger at the worst possible time .	2	-3	 in[0] luc[0] besson's[0] the[0] fifth[0] element[0] willis[0] plays[1] korben[0] dallas[0] a[0] new[0] york[0] cabby[0] who[0] takes[0] in[0] the[0] wrong[-1] passenger[0] at[0] the[0] worst[-2] possible[0] time[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a stylish science fiction epic , the fifth element's complex plot begins right away , in the deserts of egypt ( think stargate ) in 1914 . 	a stylish science fiction epic , the fifth element's complex plot begins right away , in the deserts of egypt ( think stargate ) in 1914 .	1	-1	 a[0] stylish[0] science[0] fiction[0] epic[0] the[0] fifth[0] element's[0] complex[0] plot[0] begins[0] right[0] away[0] in[0] the[0] deserts[0] of[0] egypt[0] think[0] stargate[0] in[0] 1914[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an enormous spacecraft lands above a pyramid where the " 5 elements " are stored and takes them away , vowing to return them when the evil comes back . 	an enormous spacecraft lands above a pyramid where the " 5 elements " are stored and takes them away , vowing to return them when the evil comes back .	1	-3	 an[0] enormous[0] spacecraft[0] lands[0] above[0] a[0] pyramid[0] where[0] the[0] 5[0] elements[0] are[0] stored[0] and[0] takes[0] them[0] away[0] vowing[0] to[0] return[0] them[0] when[0] the[0] evil[-2] comes[0] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cut to present day , which is our future . 	cut to present day , which is our future .	1	-1	 cut[0] to[0] present[0] day[0] which[0] is[0] our[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the year is 2023 , and new york is the city . 	the year is 2023 , and new york is the city .	1	-1	 the[0] year[0] is[0] 2023[0] and[0] new[0] york[0] is[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only basic differences between besson's futuristic depiction and the real life new york is that the smog is thicker , the buildings are higher , and the traffic floats ! 	the only basic differences between besson's futuristic depiction and the real life new york is that the smog is thicker , the buildings are higher , and the traffic floats !	1	-1	 the[0] only[0] basic[0] differences[0] between[0] besson's[0] futuristic[0] depiction[0] and[0] the[0] real[0] life[0] new[0] york[0] is[0] that[0] the[0] smog[0] is[0] thicker[0] the[0] buildings[0] are[0] higher[0] and[0] the[0] traffic[0] floats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , the " evil " comes back as a ball of fire to wreak havoc on the fair citizens of the earth , so back come the tortoise-like aliens to return the " 5 elements " to earth , in order to defend themselves against the " evil . " 	anyway , the " evil " comes back as a ball of fire to wreak havoc on the fair citizens of the earth , so back come the tortoise-like aliens to return the " 5 elements " to earth , in order to defend themselves against the " evil .<br> "	2	-3	 anyway[0] the[0] evil[-2] comes[0] back[0] as[0] a[0] ball[0] of[0] fire[0] to[0] wreak[0] havoc[-1] on[0] the[0] fair[0] citizens[0] of[0] the[0] earth[0] so[0] back[0] come[0] the[0] tortoise[0] like[1] aliens[0] to[0] return[0] the[0] 5[0] elements[0] to[0] earth[0] in[0] order[0] to[0] defend[0] themselves[0] against[-1] the[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the process , however , the ship is intercepted by 2 fighter pods and is destroyed before landing . 	in the process , however , the ship is intercepted by 2 fighter pods and is destroyed before landing .	1	-3	 in[0] the[0] process[0] however[0] the[0] ship[0] is[0] intercepted[0] by[0] 2[0] fighter[-2] pods[0] and[0] is[0] destroyed[-2] before[0] landing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when officials arrive at the site , all that remains is a hand . 	when officials arrive at the site , all that remains is a hand .	1	-1	 when[0] officials[0] arrive[0] at[0] the[0] site[0] all[0] that[0] remains[0] is[0] a[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what can you do with a hand ? 	what can you do with a hand ?	1	-1	 what[0] can[0] you[0] do[0] with[0] a[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hey , its the 21st century here-dna reconstruction ! 	hey , its the 21st century here-dna reconstruction !	2	-1	 hey[1] its[0] the[0] 21st[0] century[0] here[0] dna[0] reconstruction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this hand turns out to belong to a beautiful , but mysterious woman named leeloo ( milla jovovich , dazed and confused ) . 	this hand turns out to belong to a beautiful , but mysterious woman named leeloo ( milla jovovich , dazed and confused ) .	3	-2	 this[0] hand[0] turns[0] out[0] to[0] belong[0] to[0] a[0] beautiful[2] but[0] mysterious[0] woman[0] named[0] leeloo[0] milla[0] jovovich[0] dazed[-1] and[0] confused[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
