every year--every year at the festival , i wait for that film to come along , that one that just pulls me out of my seat , sticks its face up next to my nose , and roars " sur-prise ! " 	Translation	Positive	Negative	EmotionRationale
into my bewildered visage . 	into my bewildered visage .	1	-3	 into[0] my[0] bewildered[-2] visage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's almost always a surprise . 	it's almost always a surprise .	1	-1	 it's[0] almost[0] always[0] a[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it sure as niflheim was this time . 	it sure as niflheim was this time .	1	-1	 it[0] sure[0] as[0] niflheim[0] was[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amazing grace and chuck is being advertised as a modern fairy tale , of a boy in montana who quits his little league team for a very unusual reason . 	amazing grace and chuck is being advertised as a modern fairy tale , of a boy in montana who quits his little league team for a very unusual reason .	4	-1	 amazing[2] grace[2][+1 MultiplePositiveWords] and[0] chuck[0] is[0] being[0] advertised[0] as[0] a[0] modern[0] fairy[0] tale[0] of[0] a[0] boy[0] in[0] montana[0] who[0] quits[0] his[0] little[0] league[0] team[0] for[0] a[0] very[0] unusual[0] reason[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and , in the hands of anyone less careful than the creative staff of this film , it might very well be nothing more than a fairy tale , where we roll our eyes occasionally , smirk to ourselves , and maybe get a forced tear out of the eyes and a " boy , i wish that could happen " sigh out of the lips upon exiting the theater and tossing the empty pepsi cup into the trash . 	and , in the hands of anyone less careful than the creative staff of this film , it might very well be nothing more than a fairy tale , where we roll our eyes occasionally , smirk to ourselves , and maybe get a forced tear out of the eyes and a " boy , i wish that could happen " sigh out of the lips upon exiting the theater and tossing the empty pepsi cup into the trash .	1	-2	 and[0] in[0] the[0] hands[0] of[0] anyone[0] less[0] careful[0] than[0] the[0] creative[0] staff[0] of[0] this[0] film[0] it[0] might[0] very[0] well[0] be[0] nothing[0] more[0] than[0] a[0] fairy[0] tale[0] where[0] we[0] roll[0] our[0] eyes[0] occasionally[0] smirk[0] to[0] ourselves[0] and[0] maybe[0] get[0] a[0] forced[0] tear[-1] out[0] of[0] the[0] eyes[0] and[0] a[0] boy[0] i[0] wish[0] that[0] could[0] happen[0] sigh[0] out[0] of[0] the[0] lips[0] upon[0] exiting[0] the[0] theater[0] and[0] tossing[0] the[0] empty[0] pepsi[0] cup[0] into[0] the[0] trash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another e . t . 	another e .<br> t .	1	-1	 another[0] e[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another short circuit . 	another short circuit .	1	-1	 another[0] short[0] circuit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film floored me , for the simple reason that while it has a fairy tale concept , the rest of the film takes itself seriously enough , and presents itself well enough , to make it more of an american folk tale , with characters who are both icons and real people at the same time . 	this film floored me , for the simple reason that while it has a fairy tale concept , the rest of the film takes itself seriously enough , and presents itself well enough , to make it more of an american folk tale , with characters who are both icons and real people at the same time .	1	-1	 this[0] film[0] floored[0] me[0] for[0] the[0] simple[0] reason[0] that[0] while[0] it[0] has[0] a[0] fairy[0] tale[0] concept[0] the[0] rest[0] of[0] the[0] film[0] takes[0] itself[0] seriously[0] enough[0] and[0] presents[0] itself[0] well[0] enough[0] to[0] make[0] it[0] more[0] of[0] an[0] american[0] folk[0] tale[0] with[0] characters[0] who[0] are[0] both[0] icons[0] and[0] real[0] people[0] at[0] the[0] same[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
america has always had its mythical heros , its paul bunyans and john waynes ; this film presents us with more general , but still universal , ideals : the honest , innocent children who have their own inner wisdom ; the athletes who seem to be amalgamations of courage , honor , and love for their respective sport ; the venerable elected official who leads with kindness and understanding , but has the grit to get things done when they need doin' ( does the latter sound familiar ? ) . 	america has always had its mythical heros , its paul bunyans and john waynes ; this film presents us with more general , but still universal , ideals : the honest , innocent children who have their own inner wisdom ; the athletes who seem to be amalgamations of courage , honor , and love for their respective sport ; the venerable elected official who leads with kindness and understanding , but has the grit to get things done when they need doin' ( does the latter sound familiar ?<br> ) .	3	-1	 america[0] has[0] always[0] had[0] its[0] mythical[0] heros[2] its[0] paul[0] bunyans[0] and[0] john[0] waynes[0] this[0] film[0] presents[0] us[0] with[0] more[0] general[0] but[0] still[0] universal[0] ideals[0] the[0] honest[0] innocent[1] children[0] who[0] have[0] their[0] own[0] inner[0] wisdom[0] the[0] athletes[0] who[0] seem[0] to[0] be[0] amalgamations[0] of[0] courage[1] honor[0] and[0] love[2] for[0] their[0] respective[2] sport[0] the[0] venerable[1] elected[0] official[0] who[0] leads[0] with[0] kindness[1] and[0] understanding[0] but[0] has[0] the[0] grit[0] to[0] get[0] things[0] done[0] when[0] they[0] need[0] doin'[0] does[0] the[0] latter[0] sound[0] familiar[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
amazing grace and chuck is a showcase for these characters , but it never leaves you with the feeling that it's artificial , that it stands behind glass , or that any sharp breeze--or , more importantly , sharp thought--will shatter the wax facade of the panorama . 	amazing grace and chuck is a showcase for these characters , but it never leaves you with the feeling that it's artificial , that it stands behind glass , or that any sharp breeze-or , more importantly , sharp thought-will shatter the wax facade of the panorama .	4	-1	 amazing[2] grace[2][+1 MultiplePositiveWords] and[0] chuck[0] is[0] a[0] showcase[0] for[0] these[0] characters[0] but[0] it[0] never[0] leaves[0] you[0] with[0] the[0] feeling[0] that[0] it's[0] artificial[0] that[0] it[0] stands[0] behind[0] glass[0] or[0] that[0] any[0] sharp[0] breeze[0] or[0] more[0] importantly[0] sharp[0] thought[0] will[0] shatter[0] the[0] wax[0] facade[0] of[0] the[0] panorama[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
