what is freedom ? 	Translation	Positive	Negative	EmotionRationale
how does one determine who is free ? 	how does one determine who is free ?	1	-1	 how[0] does[0] one[0] determine[0] who[0] is[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1839 , those questions were more difficult to answer then they are now . 	in 1839 , those questions were more difficult to answer then they are now .	1	-2	 in[0] 1839[0] those[0] questions[0] were[0] more[0] difficult[-1] to[0] answer[0] then[0] they[0] are[0] now[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet , the mistakes of our forefathers must be examined in order to rectify current situations . 	yet , the mistakes of our forefathers must be examined in order to rectify current situations .	1	-2	 yet[0] the[0] mistakes[-1] of[0] our[0] forefathers[0] must[0] be[0] examined[0] in[0] order[0] to[0] rectify[0] current[0] situations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that is , in essence , what steven spielberg's gripping drama " amistad " is about . 	that is , in essence , what steven spielberg's gripping drama " amistad " is about .	1	-1	 that[0] is[0] in[0] essence[0] what[0] steven[0] spielberg's[0] gripping[0] drama[0] amistad[0] is[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
through its various dramas , spielberg presents a case about a group of africans , who , after being seized from their home , were forced onto a ship and sent to the united states aboard " la amistad " . 	through its various dramas , spielberg presents a case about a group of africans , who , after being seized from their home , were forced onto a ship and sent to the united states aboard " la amistad " .	1	-1	 through[0] its[0] various[0] dramas[0] spielberg[0] presents[0] a[0] case[0] about[0] a[0] group[0] of[0] africans[0] who[0] after[0] being[0] seized[0] from[0] their[0] home[0] were[0] forced[0] onto[0] a[0] ship[0] and[0] sent[0] to[0] the[0] united[0] states[0] aboard[0] la[0] amistad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on their way there , the slaves , led by cinque ( djimon hounsou ) , rebelled , killing off part of the crew . 	on their way there , the slaves , led by cinque ( djimon hounsou ) , rebelled , killing off part of the crew .	1	-2	 on[0] their[0] way[0] there[0] the[0] slaves[0] led[0] by[0] cinque[0] djimon[0] hounsou[0] rebelled[-1] killing[-1] off[0] part[0] of[0] the[0] crew[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the ship was still directed towards the united states , where the africans were brought to trial under murder . 	however , the ship was still directed towards the united states , where the africans were brought to trial under murder .	1	-4	 however[0] the[0] ship[0] was[0] still[0] directed[0] towards[0] the[0] united[0] states[0] where[0] the[0] africans[0] were[0] brought[0] to[0] trial[0] under[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the court , various factions claim ownership of the slaves , and therefore try to seize them away . 	in the court , various factions claim ownership of the slaves , and therefore try to seize them away .	1	-2	 in[0] the[0] court[0] various[0] factions[0] claim[0] ownership[0] of[0] the[0] slaves[0] and[0] therefore[0] try[0] to[0] seize[-1] them[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the united states government , led by president martin van buren ( nigel hawthorne ) , and secretary of state secretary forsyth ( david paymer ) , try to ship the africans to spain , where an 11 year old isabella ii ( anna paquin ) wants them back . 	the united states government , led by president martin van buren ( nigel hawthorne ) , and secretary of state secretary forsyth ( david paymer ) , try to ship the africans to spain , where an 11 year old isabella i ( anna paquin ) wants them back .	1	-1	 the[0] united[0] states[0] government[0] led[0] by[0] president[0] martin[0] van[0] buren[0] nigel[0] hawthorne[0] and[0] secretary[0] of[0] state[0] secretary[0] forsyth[0] david[0] paymer[0] try[0] to[0] ship[0] the[0] africans[0] to[0] spain[0] where[0] an[0] 11[0] year[0] old[0] isabella[0] ii/i[0] anna[0] paquin[0] wants[0] them[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two spaniards who own " la amistad " want the slaves for themselves . 	the two spaniards who own " la amistad " want the slaves for themselves .	1	-1	 the[0] two[0] spaniards[0] who[0] own[0] la[0] amistad[0] want[0] the[0] slaves[0] for[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
