in 1994 , an insider's look at a scandal-ridden run for the democratic presidential nomination ( closely based on clinton's 1992 campaign ) was written anonymously ( former newsweek writer joe klein later claimed true authorship ) . 	Translation	Positive	Negative	EmotionRationale
now , the book , primary colors , has been made into a movie , directed by mike nichols , and , in light of recent presidential scandals , seems to be more relevant than ever . 	now , the book , primary colors , has been made into a movie , directed by mike nichols , and , in light of recent presidential scandals , seems to be more relevant than ever .	1	-3	 now[0] the[0] book[0] primary[0] colors[0] has[0] been[0] made[0] into[0] a[0] movie[0] directed[0] by[0] mike[0] nichols[0] and[0] in[0] light[0] of[0] recent[0] presidential[0] scandals[-2] seems[0] to[0] be[0] more[0] relevant[0] than[0] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the film is more than a diatribe against , or a paean in praise of , the president . 	but the film is more than a diatribe against , or a paean in praise of , the president .	3	-2	 but[0] the[0] film[0] is[0] more[0] than[0] a[0] diatribe[0] against[-1] or[0] a[0] paean[0] in[0] praise[2] of[0] the[0] president[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is a fascinating look at the political machinery , and the ethical quagmire , that surround modern politics . 	it is a fascinating look at the political machinery , and the ethical quagmire , that surround modern politics .	1	-1	 it[0] is[0] a[0] fascinating[0] look[0] at[0] the[0] political[0] machinery[0] and[0] the[0] ethical[0] quagmire[0] that[0] surround[0] modern[0] politics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack stanton ( john travolta ) is the governor of a small southern state running for the democratic presidential nomination . 	jack stanton ( john travolta ) is the governor of a small southern state running for the democratic presidential nomination .	1	-1	 jack[0] stanton[0] john[0] travolta[0] is[0] the[0] governor[0] of[0] a[0] small[0] southern[0] state[0] running[0] for[0] the[0] democratic[0] presidential[0] nomination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is charismatic , but has several flaws which threaten to doom his campaign , and strains his relationship with his wife , susan ( emma thompson ) . 	he is charismatic , but has several flaws which threaten to doom his campaign , and strains his relationship with his wife , susan ( emma thompson ) .	1	-3	 he[0] is[0] charismatic[0] but[0] has[0] several[0] flaws[0] which[0] threaten[-2] to[0] doom[-1] his[0] campaign[0] and[0] strains[-1] his[0] relationship[0] with[0] his[0] wife[0] susan[0] emma[0] thompson[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is told from the point of view of henry burton ( adrian lester ) , grandson of a civil rights leader , who is swept away by stanton's ideals and helps to organize the campaign . 	the film is told from the point of view of henry burton ( adrian lester ) , grandson of a civil rights leader , who is swept away by stanton's ideals and helps to organize the campaign .	1	-1	 the[0] film[0] is[0] told[0] from[0] the[0] point[0] of[0] view[0] of[0] henry[0] burton[0] adrian[0] lester[0] grandson[0] of[0] a[0] civil[0] rights[0] leader[0] who[0] is[0] swept[0] away[0] by[0] stanton's[0] ideals[0] and[0] helps[0] to[0] organize[0] the[0] campaign[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he joins political strategist richard jemmons ( billy bob thornton , looking an awful lot like james carville ) , and campaign advisor daisy green ( maura tierney ) . 	he joins political strategist richard jemmons ( billy bob thornton , looking an awful lot like james carville ) , and campaign advisor daisy green ( maura tierney ) .	2	-4	 he[0] joins[0] political[0] strategist[0] richard[0] jemmons[0] billy[0] bob[0] thornton[0] looking[0] an[0] awful[-3] lot[0] like[1] james[0] carville[0] and[0] campaign[0] advisor[0] daisy[0] green[0] maura[0] tierney[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
governor stanton's past repeatedly pops up to haunt him , a fact that his chief rival , lawrence harris ( kevin cooney ) , consistently uses to his advantage . 	governor stanton's past repeatedly pops up to haunt him , a fact that his chief rival , lawrence harris ( kevin cooney ) , consistently uses to his advantage .	1	-2	 governor[0] stanton's[0] past[0] repeatedly[0] pops[0] up[0] to[0] haunt[-1] him[0] a[0] fact[0] that[0] his[0] chief[0] rival[-1] lawrence[0] harris[0] kevin[0] cooney[0] consistently[0] uses[0] to[0] his[0] advantage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to help clean up the stanton campaign , jack and susan bring in an old friend , libby " the dustbuster " holden ( kathy bates ) . 	to help clean up the stanton campaign , jack and susan bring in an old friend , libby " the dustbuster " holden ( kathy bates ) .	2	-1	 to[0] help[0] clean[0] up[0] the[0] stanton[0] campaign[0] jack[0] and[0] susan[0] bring[0] in[0] an[0] old[0] friend[1] libby[0] the[0] dustbuster[0] holden[0] kathy[0] bates[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting throughout primary colors is superb . 	the acting throughout primary colors is superb .	1	-1	 the[0] acting[0] throughout[0] primary[0] colors[0] is[0] superb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it would be worth seeing the movie for bates' wild performance alone . 	it would be worth seeing the movie for bates' wild performance alone .	1	-1	 it[0] would[0] be[0] worth[0] seeing[0] the[0] movie[0] for[0] bates'[0] wild[0] performance[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she enlivens the atmosphere with energy in a truly boisterous performance . 	she enlivens the atmosphere with energy in a truly boisterous performance .	2	-2	 she[0] enlivens[0] the[0] atmosphere[0] with[0] energy[0] in[0] a[0] truly[1] boisterous[-1] performance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
travolta does a fair clinton impersonation as governor stanton , although his accent does stray a little . 	travolta does a fair clinton impersonation as governor stanton , although his accent does stray a little .	1	-2	 travolta[0] does[0] a[0] fair[0] clinton[0] impersonation[0] as[0] governor[0] stanton[0] although[0] his[0] accent[0] does[0] stray[-1] a[0] little[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
emma thompson delivers a strong performance as his suffering wife who can't let anything show that might hurt the presidential run . 	emma thompson delivers a strong performance as his suffering wife who can't let anything show that might hurt the presidential run .	1	-4	 emma[0] thompson[0] delivers[0] a[0] strong[0] performance[0] as[0] his[0] suffering[-3] wife[0] who[0] can't[0] let[0] anything[0] show[0] that[0] might[0] hurt[-2][--1 LastWordBoosterStrength] the[0] presidential[0] run[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the problem with political movies is that they tend to alienate over half of their audience by promoting one side or the other , or else the movie is vague to the point of boredom . 	the problem with political movies is that they tend to alienate over half of their audience by promoting one side or the other , or else the movie is vague to the point of boredom .	1	-2	 the[0] problem[-1] with[0] political[0] movies[0] is[0] that[0] they[0] tend[0] to[0] alienate[-1] over[0] half[0] of[0] their[0] audience[0] by[0] promoting[0] one[0] side[0] or[0] the[0] other[0] or[0] else[0] the[0] movie[0] is[0] vague[-1] to[0] the[0] point[0] of[0] boredom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
primary colors treads lightly on this issue . 	primary colors treads lightly on this issue .	1	-1	 primary[0] colors[0] treads[0] lightly[0] on[0] this[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though stanton is clearly portrayed as a democrat , and there are a few minor barbs thrown in the way of republicans , the movie touches on few actual political issues . 	though stanton is clearly portrayed as a democrat , and there are a few minor barbs thrown in the way of republicans , the movie touches on few actual political issues .	1	-1	 though[0] stanton[0] is[0] clearly[0] portrayed[0] as[0] a[0] democrat[0] and[0] there[0] are[0] a[0] few[0] minor[0] barbs[0] thrown[0] in[0] the[0] way[0] of[0] republicans[0] the[0] movie[0] touches[0] on[0] few[0] actual[0] political[0] issues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , most of the " bad guys " are fellow democrats on the same road to the white house . 	in fact , most of the " bad guys " are fellow democrats on the same road to the white house .	1	-2	 in[0] fact[0] most[0] of[0] the[0] bad[-1] guys[0] are[0] fellow[0] democrats[0] on[0] the[0] same[0] road[0] to[0] the[0] white[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rather than issues , the film is primarily concerned about scandals and spin control . 	rather than issues , the film is primarily concerned about scandals and spin control .	1	-3	 rather[0] than[0] issues[0] the[0] film[0] is[0] primarily[0] concerned[-1] about[0] scandals[-2] and[0] spin[0] control[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although the film strays into some obviously non-clinton territory , it is difficult to completely separate it from reality ( particularly when certain scenes seem to highlight the president's current troubles ) . 	although the film strays into some obviously non-clinton territory , it is difficult to completely separate it from reality ( particularly when certain scenes seem to highlight the president's current troubles ) .	1	-2	 although[0] the[0] film[0] strays[0] into[0] some[0] obviously[0] non[0] clinton[0] territory[0] it[0] is[0] difficult[-1] to[0] completely[0] separate[0] it[0] from[0] reality[0] particularly[0] when[0] certain[0] scenes[0] seem[0] to[0] highlight[0] the[0] president's[0] current[0] troubles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
primary colors' chief problem is its length . 	primary colors' chief problem is its length .	1	-2	 primary[0] colors'[0] chief[0] problem[-1] is[0] its[0] length[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it runs about 15 minutes too long . 	it runs about 15 minutes too long .	1	-1	 it[0] runs[0] about[0] 15[0] minutes[0] too[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some scenes which could have easily been cut . 	there are some scenes which could have easily been cut .	1	-1	 there[0] are[0] some[0] scenes[0] which[0] could[0] have[0] easily[0] been[0] cut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , midway through the film , the candidate gives a speech to an assembly of laid off machinists . 	for example , midway through the film , the candidate gives a speech to an assembly of laid off machinists .	1	-1	 for[0] example[0] midway[0] through[0] the[0] film[0] the[0] candidate[0] gives[0] a[0] speech[0] to[0] an[0] assembly[0] of[0] laid[0] off[0] machinists[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scene's only apparent purpose is to establish stanton's character , which has already been done in similar scenes earlier in the film . 	the scene's only apparent purpose is to establish stanton's character , which has already been done in similar scenes earlier in the film .	1	-1	 the[0] scene's[0] only[0] apparent[0] purpose[0] is[0] to[0] establish[0] stanton's[0] character[0] which[0] has[0] already[0] been[0] done[0] in[0] similar[0] scenes[0] earlier[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the extra length isn't long enough nor tiring enough to be annoying , but it mars an otherwise excellent film . 	the extra length isn't long enough nor tiring enough to be annoying , but it mars an otherwise excellent film .	4	-3	 the[0] extra[0] length[0] isn't[0] long[0] enough[0] nor[0] tiring[0] enough[0] to[0] be[0] annoying[-2] but[0] it[0] mars[0] an[0] otherwise[0] excellent[3] film[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
republicans , democrats , and political agnostics should all be able to find something to like in primary colors . 	republicans , democrats , and political agnostics should all be able to find something to like in primary colors .	2	-1	 republicans[0] democrats[0] and[0] political[0] agnostics[0] should[0] all[0] be[0] able[0] to[0] find[0] something[0] to[0] like[1] in[0] primary[0] colors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a funny , and at some times shocking , look at the modern political process . 	it's a funny , and at some times shocking , look at the modern political process .	2	-3	 it's[0] a[0] funny[1] and[0] at[0] some[0] times[0] shocking[-2] look[0] at[0] the[0] modern[0] political[0] process[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
