look back at all the times in your life when there was a fork in the path to the future . 	Translation	Positive	Negative	EmotionRationale
some sort of decision had to be made , and , for better or worse , it irrevocably altered the course of your existence . 	some sort of decision had to be made , and , for better or worse , it irrevocably altered the course of your existence .	1	-3	 some[0] sort[0] of[0] decision[0] had[0] to[0] be[0] made[0] and[0] for[0] better[0] or[0] worse[-2] it[0] irrevocably[0] altered[0] the[0] course[0] of[0] your[0] existence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 from time-to-time , everyone thinks about the roads not taken , and how things might have turned out if the choice had been different . 	 from time-to-time , everyone thinks about the roads not taken , and how things might have turned out if the choice had been different .	1	-1	 from[0] time[0] to[0] time[0] everyone[0] thinks[0] about[0] the[0] roads[0] not[0] taken[0] and[0] how[0] things[0] might[0] have[0] turned[0] out[0] if[0] the[0] choice[0] had[0] been[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps even more dizzying to contemplate is how a seemingly minor action -- catching the 10 am train , for example -- could have an equally profound , yet less obvious , impact . 	perhaps even more dizying to contemplate is how a seemingly minor action - catching the 10 am train , for example - could have an equally profound , yet less obvious , impact .	1	-1	 perhaps[0] even[0] more[0] dizzying/dizying[0] to[0] contemplate[0] is[0] how[0] a[0] seemingly[0] minor[0] action[0] catching[0] the[0] 10[0] am[0] train[0] for[0] example[0] could[0] have[0] an[0] equally[0] profound[0] yet[0] less[0] obvious[0] impact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe that's where you met your significant other , and , had you reached the platform just a few seconds later ? 	maybe that's where you met your significant other , and , had you reached the platform just a few seconds later ?	1	-1	 maybe[0] that's[0] where[0] you[0] met[0] your[0] significant[0] other[0] and[0] had[0] you[0] reached[0] the[0] platform[0] just[0] a[0] few[0] seconds[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
film makers are no less fascinated by issues of destiny than anyone else , and that's why there's no shortage of movies about this subject . 	film makers are no less fascinated by issues of destiny than anyone else , and that's why there's no shortage of movies about this subject .	1	-2	 film[0] makers[0] are[0] no[0] less[0] fascinated[0] by[0] issues[0] of[0] destiny[0] than[0] anyone[0] else[0] and[0] that's[0] why[0] there's[0] no[0] shortage[-1] of[0] movies[0] about[0] this[0] subject[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the best of the bunch were probably made by the late polish director krzysztof kieslowski , who was obsessed with questions of fate and chance . 	the best of the bunch were probably made by the late polish director krzysztof kieslowski , who was obsessed with questions of fate and chance .	2	-3	 the[0] best[1] of[0] the[0] bunch[0] were[0] probably[0] made[0] by[0] the[0] late[0] polish[0] director[0] krzysztof[0] kieslowski[0] who[0] was[0] obsessed[-2] with[0] questions[0] of[0] fate[0] and[0] chance[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
these themes weave their way through many of his movies , including decalogue , the double life of veronique , and the triptych of blue , white , and red . 	these themes weave their way through many of his movies , including decalogue , the double life of veronique , and the triptych of blue , white , and red .	1	-1	 these[0] themes[0] weave[0] their[0] way[0] through[0] many[0] of[0] his[0] movies[0] including[0] decalogue[0] the[0] double[0] life[0] of[0] veronique[0] and[0] the[0] triptych[0] of[0] blue[0] white[0] and[0] red[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , they are most explicitly examined in a 1981 film called blind chance , where kieslowski presents the three different fates of one man after a minor action ( missing or catching a train ) changes the course of his life . 	however , they are most explicitly examined in a 1981 film called blind chance , where kieslowski presents the three different fates of one man after a minor action ( missing or catching a train ) changes the course of his life .	1	-2	 however[0] they[0] are[0] most[0] explicitly[0] examined[0] in[0] a[0] 1981[0] film[0] called[0] blind[-1] chance[0] where[0] kieslowski[0] presents[0] the[0] three[0] different[0] fates[0] of[0] one[0] man[0] after[0] a[0] minor[0] action[0] missing[0] or[0] catching[0] a[0] train[0] changes[0] the[0] course[0] of[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in his autobiography , kieslowski on kieslowski , the director describes his attraction to the concept this way : " [the idea is] rich and interesting ? that every day we're faced with a choice which could end our entire life yet of which we're completely unaware . " 	in his autobiography , kieslowski on kieslowski , the director describes his attraction to the concept this way : " [the idea is] rich and interesting ?<br> that every day we're faced with a choice which could end our entire life yet of which we're completely unaware .<br> "	2	-1	 in[0] his[0] autobiography[0] kieslowski[0] on[0] kieslowski[0] the[0] director[0] describes[0] his[0] attraction[1] to[0] the[0] concept[0] this[0] way[0] [the[0] idea[0] is][0] rich[0] and[0] interesting[1] [[Sentence=-1,2=word max, 1-5]] that[0] every[0] day[0] we're[0] faced[0] with[0] a[0] choice[0] which[0] could[0] end[0] our[0] entire[0] life[0] yet[0] of[0] which[0] we're[0] completely[0] unaware[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
while this approach has been the fodder for several notable dramatic films ( including , in a way , frank capra's it's a wonderful life ) , sliding doors is the first romantic comedy to plumb its depths . 	while this approach has been the fodder for several notable dramatic films ( including , in a way , frank capra's it's a wonderful life ) , sliding doors is the first romantic comedy to plumb its depths .	4	-1	 while[0] this[0] approach[0] has[0] been[0] the[0] fodder[0] for[0] several[0] notable[0] dramatic[0] films[0] including[0] in[0] a[0] way[0] frank[0] capra's[0] it's[0] a[0] wonderful[2] life[0] sliding[0] doors[0] is[0] the[0] first[0] romantic[3] comedy[0] to[0] plumb[0] its[0] depths[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
