director dominic sena ( who made the highly underrated kalifornia ) and producer jerry bruckheimer ( the rock , armageddon ) bring us a slick and entertaining remake of the 1974 film of the same name that absolutely no one has ever seen . 	Translation	Positive	Negative	EmotionRationale
nicolas cage plays memphis , a retired car thief who's " pulled back in " to the business by an evil car thief overlord ( christopher eccleston ) determined to kill memphis' kid brother ( giovanni ribisi ) . 	nicolas cage plays memphis , a retired car thief who's " pulled back in " to the business by an evil car thief overlord ( christopher eccleston ) determined to kill memphis' kid brother ( giovanni ribisi ) .	2	-3	 nicolas[0] cage[0] plays[1] memphis[0] a[0] retired[-1] car[0] thief[-1] who's[0] pulled[0] back[0] in[0] to[0] the[0] business[0] by[0] an[0] evil[-2] car[0] thief[-1] overlord[0] christopher[0] eccleston[0] determined[0] to[0] kill[-1] memphis'[0] kid[0] brother[0] giovanni[0] ribisi[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
memphis is ordered to steal 50 cars in four days time or his brother will meet an unfortunate demise , all while having to elude the detectives hot on his trail and a rival car thief who feels the job should have been given to him and his gang . 	memphis is ordered to steal 50 cars in four days time or his brother will meet an unfortunate demise , all while having to elude the detectives hot on his trail and a rival car thief who feels the job should have been given to him and his gang .	1	-3	 memphis[0] is[0] ordered[0] to[0] steal[-2] 50[0] cars[0] in[0] four[0] days[0] time[0] or[0] his[0] brother[0] will[0] meet[0] an[0] unfortunate[-1] demise[-1] all[0] while[0] having[0] to[0] elude[0] the[0] detectives[0] hot[0] on[0] his[0] trail[0] and[0] a[0] rival[-1] car[0] thief[-1] who[0] feels[0] the[0] job[0] should[0] have[0] been[0] given[0] to[0] him[0] and[0] his[0] gang[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
memphis sets out to put his old crew back together , but discovers that most of them have retired as well . 	memphis sets out to put his old crew back together , but discovers that most of them have retired as well .	1	-2	 memphis[0] sets[0] out[0] to[0] put[0] his[0] old[0] crew[0] back[0] together[0] but[0] discovers[0] that[0] most[0] of[0] them[0] have[0] retired[-1] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gone in sixty seconds does things right from the opening credits . 	gone in sixty seconds does things right from the opening credits .	1	-1	 gone[0] in[0] sixty[0] seconds[0] does[0] things[0] right[0] from[0] the[0] opening[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in that sequence , we get a rockin' little tune from moby , along with some simple back story told only with photographs and assorted objects . 	in that sequence , we get a rockin' little tune from moby , along with some simple back story told only with photographs and assorted objects .	1	-1	 in[0] that[0] sequence[0] we[0] get[0] a[0] rockin'[0] little[0] tune[0] from[0] moby[0] along[0] with[0] some[0] simple[0] back[0] story[0] told[0] only[0] with[0] photographs[0] and[0] assorted[0] objects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
filmmakers can sometimes make or break a film just from its opening title sequence , and this one easily gets you in the mindset for an entertaining ride . 	filmmakers can sometimes make or break a film just from its opening title sequence , and this one easily gets you in the mindset for an entertaining ride .	1	-1	 filmmakers[0] can[0] sometimes[0] make[0] or[0] break[0] a[0] film[0] just[0] from[0] its[0] opening[0] title[0] sequence[0] and[0] this[0] one[0] easily[0] gets[0] you[0] in[0] the[0] mindset[0] for[0] an[0] entertaining[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what follows doesn't disappoint . . . 	and what follows doesn't disappoint .<br> .<br> .	1	-2	 and[0] what[0] follows[0] doesn't[0] disappoint[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cage turns in one of his good performances here ( he can easily go either way . . . 	cage turns in one of his good performances here ( he can easily go either way .<br> .<br> .	2	-1	 cage[0] turns[0] in[0] one[0] of[0] his[0] good[1] performances[0] here[0] he[0] can[0] easily[0] go[0] either[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
good or bad . . . 	good or bad .<br> .<br> .	2	-2	 good[1] or[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i don't know how he does that ) , and his mannerisms and dialogue delivery carry the film along nicely . 	i don't know how he does that ) , and his mannerisms and dialogue delivery carry the film along nicely .	2	-1	 i[0] don't[0] know[0] how[0] he[0] does[0] that[0] and[0] his[0] mannerisms[0] and[0] dialogue[0] delivery[0] carry[0] the[0] film[0] along[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of the supporting cast members , angelina jolie as memphis' former love is in the film just to provide eye candy ( she's definitely the hottest looking grease monkey i've ever seen ) and robert duvall as memphis' former mentor is just around to lend the film some class . 	of the supporting cast members , angelina jolie as memphis' former love is in the film just to provide eye candy ( she's definitely the hottest looking grease monkey i've ever seen ) and robert duvall as memphis' former mentor is just around to lend the film some class .	3	-1	 of[0] the[0] supporting[1] cast[0] members[0] angelina[0] jolie[0] as[0] memphis'[0] former[0] love[2] is[0] in[0] the[0] film[0] just[0] to[0] provide[0] eye[0] candy[0] she's[0] definitely[0] the[0] hottest[0] looking[0] grease[0] monkey[0] i've[0] ever[0] seen[0] and[0] robert[0] duvall[0] as[0] memphis'[0] former[0] mentor[0] is[0] just[0] around[0] to[0] lend[0] the[0] film[0] some[0] class[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also , i'm a big fan of will patton ( armageddon , the postman ) and would love to see him get a huge role someday . 	also , i'm a big fan of will patton ( armageddon , the postman ) and would love to see him get a huge role someday .	2	-1	 also[0] i'm[0] a[0] big[0] fan[0] of[0] will[0] patton[0] armageddon[0] the[0] postman[0] and[0] would[0] love[2][-1 LastWordBoosterStrength] to[0] see[0] him[0] get[0] a[0] huge[0] role[0] someday[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
none of these three performers are given much to do unfortunately . 	none of these three performers are given much to do unfortunately .	1	-2	 none[0] of[0] these[0] three[0] performers[0] are[0] given[0] much[0] to[0] do[0] unfortunately[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some underrated performers however are given meaty supporting roles . 	some underrated performers however are given meaty supporting roles .	2	-1	 some[0] underrated[0] performers[0] however[0] are[0] given[0] meaty[0] supporting[1] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
delroy lindo ( get shorty ) shines as the exasperated detective in pursuit of memphis , as does timothy olyphant ( go ) as lindo's partner . 	delroy lindo ( get shorty ) shines as the exasperated detective in pursuit of memphis , as does timothy olyphant ( go ) as lindo's partner .	1	-2	 delroy[0] lindo[0] get[0] shorty[0] shines[0] as[0] the[0] exasperated[-1] detective[0] in[0] pursuit[0] of[0] memphis[0] as[0] does[0] timothy[0] olyphant[0] go[0] as[0] lindo's[0] partner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i just wish some of the other characters could have been as important . 	i just wish some of the other characters could have been as important .	1	-1	 i[0] just[0] wish[0] some[0] of[0] the[0] other[0] characters[0] could[0] have[0] been[0] as[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only real gripe i have about the film though is its conclusion . . . 	the only real gripe i have about the film though is its conclusion .<br> .<br> .	1	-1	 the[0] only[0] real[0] gripe[0] i[0] have[0] about[0] the[0] film[0] though[0] is[0] its[0] conclusion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mainly because you know how it will end before the opening credits even roll . 	mainly because you know how it will end before the opening credits even roll .	1	-1	 mainly[0] because[0] you[0] know[0] how[0] it[0] will[0] end[0] before[0] the[0] opening[0] credits[0] even[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no doubt in anyone's mind that the 50 cars will be successfully stolen , and the filmmakers blew a perfectly good opportunity to add some suspense to the picture by using the " rival car thief " plot line . 	there's no doubt in anyone's mind that the 50 cars will be successfully stolen , and the filmmakers blew a perfectly good opportunity to add some suspense to the picture by using the " rival car thief " plot line .	3	-2	 there's[0] no[0] doubt[-1] in[0] anyone's[0] mind[0] that[0] the[0] 50[0] cars[0] will[0] be[0] successfully[2] stolen[-1] and[0] the[0] filmmakers[0] blew[0] a[0] perfectly[1] good[1] opportunity[0] to[0] add[0] some[0] suspense[0] to[0] the[0] picture[0] by[0] using[0] the[0] rival[-1] car[0] thief[-1] plot[0] line[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as it stands , that story line is wrapped up about halfway through the film in a tidy little package . 	as it stands , that story line is wrapped up about halfway through the film in a tidy little package .	1	-1	 as[0] it[0] stands[0] that[0] story[0] line[0] is[0] wrapped[0] up[0] about[0] halfway[0] through[0] the[0] film[0] in[0] a[0] tidy[0] little[0] package[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if i was making this film , i'd have had the rival gang trying to get to the cars before memphis and his crew , thereby making memphis have to improvise . . . 	but if i was making this film , i'd have had the rival gang trying to get to the cars before memphis and his crew , thereby making memphis have to improvise .<br> .<br> .	1	-2	 but[0] if[0] i[0] was[0] making[0] this[0] film[0] i'd[0] have[0] had[0] the[0] rival[-1] gang[0] trying[0] to[0] get[0] to[0] the[0] cars[0] before[0] memphis[0] and[0] his[0] crew[0] thereby[0] making[0] memphis[0] have[0] to[0] improvise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
