it shows that america remains ambivalent over the nature of its political system . 	Translation	Positive	Negative	EmotionRationale
no major surprise , when j . s . mill in his victorian classic on liberty could not make up his mind over liberal democracy either . 	no major surprise , when j .<br> s .<br> mill in his victorian classic on liberty could not make up his mind over liberal democracy either .	1	-1	 no[0] major[0] surprise[0] when[0] j[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] mill[0] in[0] his[0] victorian[0] classic[0] on[0] liberty[0] could[0] not[0] make[0] up[0] his[0] mind[0] over[0] liberal[0] democracy[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the americans are wrought by the archetypal paradox under which they exist , the supreme contradiction between the right of the one and the right of the majority . 	the americans are wrought by the archetypal paradox under which they exist , the supreme contradiction between the right of the one and the right of the majority .	3	-2	 the[0] americans[0] are[0] wrought[0] by[0] the[0] archetypal[0] paradox[0] under[0] which[0] they[0] exist[0] the[0] supreme[2] contradiction[-1] between[0] the[0] right[0] of[0] the[0] one[0] and[0] the[0] right[0] of[0] the[0] majority[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
small wonder that hollywood's most compelling movies have oft been on the struggle of the individual-underdog against some larger collective oppressive - witness braveheart , born on the fourth of july , rocky , first blood , clear and present danger , jfk , the list goes on . 	small wonder that hollywood's most compelling movies have oft been on the struggle of the individual-underdog against some larger collective oppressive - witness braveheart , born on the fourth of july , rocky , first blood , clear and present danger , jfk , the list goes on .	3	-3	 small[0] wonder[0] that[0] hollywood's[0] most[0] compelling[0] movies[0] have[0] oft[0] been[0] on[0] the[0] struggle[-1] of[0] the[0] individual[0] underdog[0] against[-1] some[0] larger[0] collective[0] oppressive[-2] witness[0] braveheart[2] born[0] on[0] the[0] fourth[0] of[0] july[0] rocky[0] first[0] blood[0] clear[0] and[0] present[0] danger[-1] jfk[0] the[0] list[0] goes[0] on[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's little of that in singapore - we are barred access to playboy and penthouse both on and off line , though the government's been long worried about the younger people getting " americanised " and advocating individual rights and parliamentary opposition . 	there's little of that in singapore - we are barred access to playboy and penthouse both on and off line , though the government's been long worried about the younger people getting " americanised " and advocating individual rights and parliamentary opposition .	1	-4	 there's[0] little[0] of[0] that[0] in[0] singapore[0] we[0] are[0] barred[0] access[0] to[0] playboy[0] and[0] penthouse[0] both[0] on[0] and[0] off[0] line[0] though[0] the[0] government's[0] been[0] long[0] worried[-3] about[0] the[0] younger[0] people[0] getting[0] americanised[0] and[0] advocating[0] individual[0] rights[0] and[0] parliamentary[0] opposition[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the people vs . larry flynt locates the political debate within the greatest social taboo in america - sex . 	the people vs .<br> larry flynt locates the political debate within the greatest social taboo in america - sex .	3	-2	 the[0] people[0] vs[0] [[Sentence=-1,1=word max, 1-5]] larry[0] flynt[0] locates[0] the[0] political[0] debate[0] within[0] the[0] greatest[2] social[0] taboo[-1] in[0] america[0] sex[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
does pornography have a right to exist and circulate ? 	does pornography have a right to exist and circulate ?	1	-1	 does[0] pornography[0] have[0] a[0] right[0] to[0] exist[0] and[0] circulate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larry flynt , the publisher of hustler magazine , thinks so , and obviously so too the u . s . congress which last month threw out a bill to curb pornography on the net . 	larry flynt , the publisher of hustler magazine , thinks so , and obviously so too the you .<br> s .<br> congress which last month threw out a bill to curb pornography on the net .	1	-2	 larry[0] flynt[0] the[0] publisher[0] of[0] hustler[-1] magazine[0] thinks[0] so[0] and[0] obviously[0] so[0] too[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] congress[0] which[0] last[0] month[0] threw[0] out[0] a[0] bill[0] to[0] curb[0] pornography[0] on[0] the[0] net[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
but even with such actions , americans remain undecided . 	but even with such actions , americans remain undecided .	1	-1	 but[0] even[0] with[0] such[0] actions[0] americans[0] remain[0] undecided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the oscars apparently shunned the movie because it was an embarrassing and sensitive livewire . 	the oscars apparently shunned the movie because it was an embarrassing and sensitive livewire .	1	-3	 the[0] oscars[0] apparently[0] shunned[-1] the[0] movie[0] because[0] it[0] was[0] an[0] embarrassing[-2] and[0] sensitive[0] livewire[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what they have ignored is actually a great picture . 	what they have ignored is actually a great picture .	3	-1	 what[0] they[0] have[0] ignored[0] is[0] actually[0] a[0] great[2] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
