 " the faculty , " the heavily-hyped and advertised sci-fi/horror film that has teamed up director robert rodriguez ( 1995's " desperado " and 1996's " from dusk till dawn " ) and screenwriter kevin williamson ( 1996's " scream " and 1997's " scream 2 " ) , is being called a cross between " invasion of the body snatchers " and " the breakfast club , " and i don't think i could describe it any better than that . 	Translation	Positive	Negative	EmotionRationale
the film sets up the six central teenage characters who do not seem to have much in common , and then the science-fiction aspect is added , involving the fear that the faculty at herrington high school are actually aliens who are quickly transforming everyone in the town . 	the film sets up the six central teenage characters who do not seem to have much in common , and then the science-fiction aspect is added , involving the fear that the faculty at herrington high school are actually aliens who are quickly transforming everyone in the town .	1	-4	 the[0] film[0] sets[0] up[0] the[0] six[0] central[0] teenage[0] characters[0] who[0] do[0] not[0] seem[0] to[0] have[0] much[0] in[0] common[0] and[0] then[0] the[0] science[0] fiction[0] aspect[0] is[0] added[0] involving[0] the[0] fear[-3] that[0] the[0] faculty[0] at[0] herrington[0] high[0] school[0] are[0] actually[0] aliens[0] who[0] are[0] quickly[0] transforming[0] everyone[0] in[0] the[0] town[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the six characters , as in " the breakfast club , " can be easily labeled as a stereotype , but as they are developed , they become far more complex : casey ( elijah wood ) , the much picked upon nerd ; stokely ( clea duvall ) , a goth outcast who hides behind the false facade of being a lesbian so everyone will avoid her ; zeke ( josh hartnett ) , a drug dealer who turns out to be a science whiz ; stan ( shawn hatosy ) , the star football quarterback who is considering quitting the team to concentrate more on academics ; delilah ( jordanna brewster ) , the popular cheerleader and newspaper journalist ; and marybeth ( laura harris ) , the sweet 'n southern new girl in town . 	the six characters , as in " the breakfast club , " can be easily labeled as a stereotype , but as they are developed , they become far more complex : casey ( elijah wood ) , the much picked upon nerd ; stokely ( clea duvall ) , a goth outcast who hides behind the false facade of being a lesbian so everyone will avoid her ; zeke ( josh hartnett ) , a drug dealer who turns out to be a science whiz ; stan ( shawn hatosy ) , the star football quarterback who is considering quitting the team to concentrate more on academics ; delilah ( jordanna brewster ) , the popular cheerleader and newspaper journalist ; and marybeth ( laura harris ) , the sweet 'n southern new girl in town .	1	-3	 the[0] six[0] characters[0] as[0] in[0] the[0] breakfast[0] club[0] can[0] be[0] easily[0] labeled[0] as[0] a[0] stereotype[0] but[0] as[0] they[0] are[0] developed[0] they[0] become[0] far[0] more[0] complex[0] casey[0] elijah[0] wood[0] the[0] much[0] picked[0] upon[0] nerd[-2] stokely[0] clea[0] duvall[0] a[0] goth[0] outcast[-1] who[0] hides[0] behind[0] the[0] false[0] facade[0] of[0] being[0] a[0] lesbian[0] so[0] everyone[0] will[0] avoid[-1] her[0] zeke[0] josh[0] hartnett[0] a[0] drug[0] dealer[0] who[0] turns[0] out[0] to[0] be[0] a[0] science[0] whiz[0] stan[0] shawn[0] hatosy[0] the[0] star[0] football[0] quarterback[0] who[0] is[0] considering[0] quitting[0] the[0] team[0] to[0] concentrate[0] more[0] on[0] academics[0] delilah[0] jordanna[0] brewster[0] the[0] popular[0] cheerleader[0] and[0] newspaper[0] journalist[0] and[0] marybeth[0] laura[0] harris[0] the[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although the characters are only slightly connected ( i . e . 	although the characters are only slightly connected ( i .<br> e .	1	-1	 although[0] the[0] characters[0] are[0] only[0] slightly[0] connected[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
casey is delilah's photojournalist assistant ; marybeth tries to become buddies with stokely , since they both don't have friends , etc . ) , when they all begin to suspect the teachers due to some grotesque and strange occurrences , the only people they can count on for help is each other , even though they aren't really even sure if they can trust one another . 	casey is delilah's photojournalist assistant ; marybeth tries to become buddies with stokely , since they both don't have friends , etc .<br> ) , when they all begin to suspect the teachers due to some grotesque and strange occurrences , the only people they can count on for help is each other , even though they aren't really even sure if they can trust one another .	2	-2	 casey[0] is[0] delilah's[0] photojournalist[0] assistant[0] marybeth[0] tries[0] to[0] become[0] buddies[0] with[0] stokely[0] since[0] they[0] both[0] don't[0] have[0] friends[1][NegatedDueToPreviousWord] etc[0] [[Sentence=-2,1=word max, 1-5]] when[0] they[0] all[0] begin[0] to[0] suspect[-1] the[0] teachers[0] due[0] to[0] some[0] grotesque[-1][--1 LastWordBoosterStrength] and[0] strange[0] occurrences[0] the[0] only[0] people[0] they[0] can[0] count[0] on[0] for[0] help[0] is[0] each[0] other[0] even[0] though[0] they[0] aren't[0] really[0] even[0] sure[0] if[0] they[0] can[0] trust[1] one[0] another[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the faculty " is another smart and pop-culturally hip film from williamson , although it does not equal up to his best film , the original " scream , " and rodriguez , whose " from dusk till dawn " is still one of the more original genre films of the 90's . 	 " the faculty " is another smart and pop-culturally hip film from williamson , although it does not equal up to his best film , the original " scream , " and rodriguez , whose " from dusk till dawn " is still one of the more original genre films of the 90's .	2	-4	 the[0] faculty[0] is[0] another[0] smart[1] and[0] pop[0] culturally[0] hip[0] film[0] from[0] williamson[0] although[0] it[0] does[0] not[0] equal[0] up[0] to[0] his[0] best[1] film[0] the[0] original[0] scream[-3] and[0] rodriguez[0] whose[0] from[0] dusk[0] till[0] dawn[0] is[0] still[0] one[0] of[0] the[0] more[0] original[0] genre[0] films[0] of[0] the[0] 90's[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
williamson and rodriguez are so assured at their professions , respectively , that the idea of teaming up together is pretty much a no-brainer . 	williamson and rodriguez are so assured at their professions , respectively , that the idea of teaming up together is pretty much a no-brainer .	3	-1	 williamson[0] and[0] rodriguez[0] are[0] so[0] assured[0] at[0] their[0] professions[0] respectively[2] that[0] the[0] idea[0] of[0] teaming[0] up[0] together[0] is[0] pretty[2] much[0] a[0] no[0] brainer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plotline of " the faculty , " involving aliens taking over other people's bodies , has been done quite a lot before , from " invasion of the body snatchers , " to " the puppet masters , " to " invaders from mars , " so one of the obstacles that williamson and rodriguez had to overcome was to somehow make the idea seem fresh , and by setting the goings-on at a high school and having the protagonists be a group of teens , they were mostly successful . 	the plotline of " the faculty , " involving aliens taking over other people's bodies , has been done quite a lot before , from " invasion of the body snatchers , " to " the puppet masters , " to " invaders from mars , " so one of the obstacles that williamson and rodriguez had to overcome was to somehow make the idea seem fresh , and by setting the goings-on at a high school and having the protagonists be a group of teens , they were mostly successful .	3	-2	 the[0] plotline[0] of[0] the[0] faculty[0] involving[0] aliens[0] taking[0] over[0] other[0] people's[0] bodies[0] has[0] been[0] done[0] quite[0] a[0] lot[0] before[0] from[0] invasion[0] of[0] the[0] body[0] snatchers[-1] to[0] the[0] puppet[0] masters[0] to[0] invaders[-1] from[0] mars[0] so[0] one[0] of[0] the[0] obstacles[-1] that[0] williamson[0] and[0] rodriguez[0] had[0] to[0] overcome[0] was[0] to[0] somehow[0] make[0] the[0] idea[0] seem[0] fresh[0] and[0] by[0] setting[0] the[0] goings[0] on[0] at[0] a[0] high[0] school[0] and[0] having[0] the[0] protagonists[0] be[0] a[0] group[0] of[0] teens[0] they[0] were[0] mostly[0] successful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
surely , the conventions of the story are still the same , and the climax was inevitable , but there were a few surprises along the way , including the question of who were the aliens , and who weren't . 	surely , the conventions of the story are still the same , and the climax was inevitable , but there were a few surprises along the way , including the question of who were the aliens , and who weren't .	1	-1	 surely[0] the[0] conventions[0] of[0] the[0] story[0] are[0] still[0] the[0] same[0] and[0] the[0] climax[0] was[0] inevitable[0] but[0] there[0] were[0] a[0] few[0] surprises[0] along[0] the[0] way[0] including[0] the[0] question[0] of[0] who[0] were[0] the[0] aliens[0] and[0] who[0] weren't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the epilogue was also a refreshing change-of-pace as it did not set up a sequel but ended on a note that probably could not have been any better . 	the epilogue was also a refreshing change-of-pace as it did not set up a sequel but ended on a note that probably could not have been any better .	1	-1	 the[0] epilogue[0] was[0] also[0] a[0] refreshing[0] change[0] of[0] pace[0] as[0] it[0] did[0] not[0] set[0] up[0] a[0] sequel[0] but[0] ended[0] on[0] a[0] note[0] that[0] probably[0] could[0] not[0] have[0] been[0] any[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances in " the faculty " were a treat throughout , since there were so many recognizable actors in roles that were the polar opposite of what they usually do . 	the performances in " the faculty " were a treat throughout , since there were so many recognizable actors in roles that were the polar opposite of what they usually do .	2	-1	 the[0] performances[0] in[0] the[0] faculty[0] were[0] a[0] treat[1] throughout[0] since[0] there[0] were[0] so[0] many[0] recognizable[0] actors[0] in[0] roles[0] that[0] were[0] the[0] polar[0] opposite[0] of[0] what[0] they[0] usually[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
