ingredients : man with amnesia who wakes up wanted for murder , dark science fiction city controlled by alien beings with mental powers . 	Translation	Positive	Negative	EmotionRationale
synopsis : what if you woke up one day , and suspected you were not on earth , and instead were part of an experiment in a giant space terrarium manipulated by intergalactic alien zookeepers ? 	synopsis : what if you woke up one day , and suspected you were not on earth , and instead were part of an experiment in a giant space terrarium manipulated by intergalactic alien zookeepers ?	1	-2	 synopsis[0] what[0] if[0] you[0] woke[0] up[0] one[0] day[0] and[0] suspected[0] you[0] were[0] not[0] on[0] earth[0] and[0] instead[0] were[0] part[0] of[0] an[0] experiment[0] in[0] a[0] giant[0] space[0] terrarium[0] manipulated[-1] by[0] intergalactic[0] alien[-1] zookeepers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in dark city john murdoch ( rufus sewell ) has this problem . 	in dark city john murdoch ( rufus sewell ) has this problem .	1	-2	 in[0] dark[0] city[0] john[0] murdoch[0] rufus[0] sewell[0] has[0] this[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dark city starts out like a 1940s noir amnesia detective mystery . 	dark city starts out like a 1940s noir amnesia detective mystery .	2	-1	 dark[0] city[0] starts[0] out[0] like[1] a[0] 1940s[0] noir[0] amnesia[0] detective[0] mystery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
poor john wakes up with amnesia in a hotel room with a dead dame in one corner . 	poor john wakes up with amnesia in a hotel room with a dead dame in one corner .	1	-3	 poor[-1] john[0] wakes[0] up[0] with[0] amnesia[0] in[0] a[0] hotel[0] room[0] with[0] a[0] dead[-2] dame[0] in[0] one[0] corner[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a mysterious phone call tells him to get the heck out of there , and soon enough john is chased all over town by a murderous army of pale people in black trench-coats , as well as by the police , and the dogged inspector bumstead ( william hurt ) . 	a mysterious phone call tells him to get the heck out of there , and soon enough john is chased all over town by a murderous army of pale people in black trench-coats , as well as by the police , and the dogged inspector bumstead ( william hurt ) .	1	-4	 a[0] mysterious[0] phone[0] call[0] tells[0] him[0] to[0] get[0] the[0] heck[0] out[0] of[0] there[0] and[0] soon[0] enough[0] john[0] is[0] chased[-1] all[0] over[0] town[0] by[0] a[0] murderous[-3] army[0] of[0] pale[0] people[0] in[0] black[0] trench[0] coats[0] as[0] well[0] as[0] by[0] the[0] police[0] and[0] the[0] dogged[0] inspector[0] bumstead[0] william[0] hurt[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
is john a murderer , and what can his missing memories tell him ? 	is john a murderer , and what can his missing memories tell him ?	1	-4	 is[0] john[0] a[0] murderer[-3] and[0] what[0] can[0] his[0] missing[0] memories[0] tell[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he searches through his own wallet for possible contacts and clues . 	he searches through his own wallet for possible contacts and clues .	1	-1	 he[0] searches[0] through[0] his[0] own[0] wallet[0] for[0] possible[0] contacts[0] and[0] clues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but when the clues don't fit , it doesn't just confuse him ; it causes john to go so far as to question the whole nature of reality in the dark city . 	but when the clues don't fit , it doesn't just confuse him ; it causes john to go so far as to question the whole nature of reality in the dark city .	1	-1	 but[0] when[0] the[0] clues[0] don't[0] fit[0] it[0] doesn't[0] just[0] confuse[-1][--1 LastWordBoosterStrength] him[0] it[0] causes[0] john[0] to[0] go[0] so[0] far[0] as[0] to[0] question[0] the[0] whole[0] nature[0] of[0] reality[0] in[0] the[0] dark[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to john , something is fishy , and very unreal about this city . 	to john , something is fishy , and very unreal about this city .	1	-1	 to[0] john[0] something[0] is[0] fishy[0] and[0] very[0] unreal[0] about[0] this[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how come it's always dark , and nobody seems to remember what they did this morning ? 	how come it's always dark , and nobody seems to remember what they did this morning ?	1	-1	 how[0] come[0] it's[0] always[0] dark[0] and[0] nobody[0] seems[0] to[0] remember[0] what[0] they[0] did[0] this[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
