do you want to know the truth about cats and dogs ? 	Translation	Positive	Negative	EmotionRationale
do you ? 	do you ?	1	-1	 do[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , as this movie shows us , they make good companions but pale in comparison to the joy and fulfillment romantic relationships can bring . 	well , as this movie shows us , they make good companions but pale in comparison to the joy and fulfilment romantic relationships can bring .	4	-1	 well[0] as[0] this[0] movie[0] shows[0] us[0] they[0] make[0] good[1] companions[0] but[0] pale[0] in[0] comparison[0] to[0] the[0] joy[2] and[0] fulfillment/fulfilment[0] romantic[3] relationships[0] can[0] bring[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
unfortunately , there's a giant roadblock set up in our culture that only certain people can get through while the rest of us mill around outside , feeling sorry for ourselves . 	unfortunately , there's a giant roadblock set up in our culture that only certain people can get through while the rest of us mill around outside , feeling sorry for ourselves .	1	-2	 unfortunately[-1] there's[0] a[0] giant[0] roadblock[0] set[0] up[0] in[0] our[0] culture[0] that[0] only[0] certain[0] people[0] can[0] get[0] through[0] while[0] the[0] rest[0] of[0] us[0] mill[0] around[0] outside[0] feeling[0] sorry[-1] for[0] ourselves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a checkpoint beautiful kind of thing , and janeane garafolo's character abby relates to it well . 	a checkpoint beautiful kind of thing , and janeane garafolo's character aby relates to it well .	3	-1	 a[0] checkpoint[0] beautiful[2] kind[1] of[0] thing[0] and[0] janeane[0] garafolo's[0] character[0] abby/aby[0] relates[0] to[0] it[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like a certain oversized teenage movie critic , she is intelligent and has a great sense of humor but strikes out with the opposite sex because she sees herself as physically unattractive , and the men seem to be backing her up on that . 	like a certain oversized teenage movie critic , she is intelligent and has a great sense of humor but strikes out with the opposite sex because she sees herself as physically unattractive , and the men seem to be backing her up on that .	3	-3	 like[1] a[0] certain[0] oversized[0] teenage[0] movie[0] critic[-1] she[0] is[0] intelligent[1] and[0] has[0] a[0] great[2] sense[0] of[0] humor[2] but[0] strikes[0] out[0] with[0] the[0] opposite[0] sex[0] because[0] she[0] sees[0] herself[0] as[0] physically[0] unattractive[-2] and[0] the[0] men[0] seem[0] to[0] be[0] backing[0] her[0] up[0] on[0] that[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
meanwhile , her gorgeous neighbor nora ( uma thurman . . . 	meanwhile , her gorgeous neighbor nora ( uma thurman .<br> .<br> .	3	-1	 meanwhile[0] her[0] gorgeous[2] neighbor[0] nora[0] uma[0] thurman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
uma being the only woman's name worse than nora ) attracts men like flies . 	uma being the only woman's name worse than nora ) attracts men like flies .	2	-3	 uma[0] being[0] the[0] only[0] woman's[0] name[0] worse[-2] than[0] nora[0] attracts[1] men[0] like[1] flies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as abby tells her , " you burp and they think it's cute . 	as aby tells her , " you burp and they think it's cute .	2	-1	 as[0] abby/aby[0] tells[0] her[0] you[0] burp[0] and[0] they[0] think[0] it's[0] cute[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you barf and they line up to hold your hair back . " 	you barf and they line up to hold your hair back .<br> "	1	-2	 you[0] barf[-1] and[0] they[0] line[0] up[0] to[0] hold[0] your[0] hair[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but nora's down on herself for being too shallow and superficial . 	but nora's down on herself for being too shallow and superficial .	1	-2	 but[0] nora's[0] down[0] on[0] herself[0] for[0] being[0] too[0] shallow[-1] and[0] superficial[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we all have our prwhen a man calls in to veterinarian abby's talk radio show wanting to know how to get the roller skates off his basset hound . 	we all have our prwhen a man calls in to veterinarian abby's talk radio show wanting to know how to get the roller skates off his basset hound .	1	-1	 we[0] all[0] have[0] our[0] prwhen[0] a[0] man[0] calls[0] in[0] to[0] veterinarian[0] abby's[0] talk[0] radio[0] show[0] wanting[0] to[0] know[0] how[0] to[0] get[0] the[0] roller[0] skates[0] off[0] his[0] basset[0] hound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( oh come on , any idiot knows how to handle that problem ! ) 	 ( oh come on , any idiot knows how to handle that problem !<br> )	1	-3	 oh[0] come[0] on[0] any[0] idiot[-2] knows[0] how[0] to[0] handle[0] that[0] problem[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he likes her personality and professional demeanor and asks to meet her in person . 	he likes her personality and professional demeanor and asks to meet her in person .	3	-1	 he[0] likes[2] her[0] personality[0] and[0] professional[0] demeanor[0] and[0] asks[0] to[0] meet[0] her[0] in[0] person[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
abby , though , knows her body doesn't match her personality and that she probably won't have a chance with him once he sees her . 	aby , though , knows her body doesn't match her personality and that she probably won't have a chance with him once he sees her .	1	-1	 abby/aby[0] though[0] knows[0] her[0] body[0] doesn't[0] match[0] her[0] personality[0] and[0] that[0] she[0] probably[0] won't[0] have[0] a[0] chance[0] with[0] him[0] once[0] he[0] sees[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
