steven spielberg is now considered as one of the hollywood deities , because of the rare capability to deliver both huge commercial hits , like jurassic park , and " oscar " -awarded critical triumphs like schindler's list . 	Translation	Positive	Negative	EmotionRationale
however , in the 1970s spielberg built his reputation by creating works of art that could slip in both categories . 	however , in the 1970s spielberg built his reputation by creating works of art that could slip in both categories .	1	-1	 however[0] in[0] the[0] 1970s[0] spielberg[0] built[0] his[0] reputation[0] by[0] creating[0] works[0] of[0] art[0] that[0] could[0] slip[0] in[0] both[0] categories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of them is close encounters of the third kind , extremely popular and influential science-fiction spectacle . 	one of them is close encounters of the third kind , extremely popular and influential science-fiction spectacle .	2	-1	 one[0] of[0] them[0] is[0] close[0] encounters[0] of[0] the[0] third[0] kind[1] extremely[0] popular[0] and[0] influential[0] science[0] fiction[0] spectacle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , it had a bad luck to be released in the same year as star wars . 	unfortunately , it had a bad luck to be released in the same year as star wars .	3	-3	 unfortunately[-1] it[0] had[0] a[0] bad[-1] luck[2] to[0] be[0] released[0] in[0] the[0] same[0] year[0] as[0] star[0] wars[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
although both films have a lot in common ( ground-breaking special effects , brilliant score by john williams ) their future was different ; one became an unstoppable cult phenomenon , and another almost forgotten and stuck forever in its shadow . 	although both films have a lot in common ( ground-breaking special effects , brilliant score by john williams ) their future was different ; one became an unstoppable cult phenomenon , and another almost forgotten and stuck forever in its shadow .	2	-1	 although[0] both[0] films[0] have[0] a[0] lot[0] in[0] common[0] ground[0] breaking[0] special[1] effects[0] brilliant[1] score[0] by[0] john[0] williams[0] their[0] future[0] was[0] different[0] one[0] became[0] an[0] unstoppable[0] cult[0] phenomenon[0] and[0] another[0] almost[0] forgotten[0] and[0] stuck[0] forever[0] in[0] its[0] shadow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when spielberg began work on that project , he was already established as a bright new hollywood star due to his previous commercial hit , jaws . 	when spielberg began work on that project , he was already established as a bright new hollywood star due to his previous commercial hit , jaws .	1	-1	 when[0] spielberg[0] began[0] work[0] on[0] that[0] project[0] he[0] was[0] already[0] established[0] as[0] a[0] bright[0] new[0] hollywood[0] star[0] due[0] to[0] his[0] previous[0] commercial[0] hit[0] jaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
together with other young directors of his " new hollywood " generation , like kauffman , carpenter , hill and millius , he exploited the great creative freedom of 1970s , when even the mainstream producers dared to experiment . 	together with other young directors of his " new hollywood " generation , like kauffman , carpenter , hill and millius , he exploited the great creative freedom of 1970s , when even the mainstream producers dared to experiment .	3	-1	 together[0] with[0] other[0] young[0] directors[0] of[0] his[0] new[0] hollywood[0] generation[0] like[1] kauffman[0] carpenter[0] hill[0] and[0] millius[0] he[0] exploited[0] the[0] great[2] creative[0] freedom[0] of[0] 1970s[0] when[0] even[0] the[0] mainstream[0] producers[0] dared[0] to[0] experiment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ironically , it was spielberg himself whose later commercial success would established new unwritten rules of " blockubuster " philosophy . 	ironically , it was spielberg himself whose later commercial success would established new unwritten rules of " blockubuster " philosophy .	3	-2	 ironically[-1] it[0] was[0] spielberg[0] himself[0] whose[0] later[0] commercial[0] success[2] would[0] established[0] new[0] unwritten[0] rules[0] of[0] blockubuster[-1] philosophy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but in the mid 1970s , many things were different ; spielberg was young and eager to use hollywood resources for his very personal and artistic movie . 	but in the mid 1970s , many things were different ; spielberg was young and eager to use hollywood resources for his very personal and artistic movie .	1	-1	 but[0] in[0] the[0] mid[0] 1970s[0] many[0] things[0] were[0] different[0] spielberg[0] was[0] young[0] and[0] eager[0] to[0] use[0] hollywood[0] resources[0] for[0] his[0] very[0] personal[0] and[0] artistic[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although very personal , spielberg's screenplay was partly based on the book " ufo experience " by dr . j . allen hynek and in many ways inspired by the popular urban mythology of extraterrestrial visitors to earth that began to grow in the world after ww2 . 	although very personal , spielberg's screenplay was partly based on the book " ufo experience " by dr .<br> j .<br> allen hynek and in many ways inspired by the popular urban mythology of extraterrestrial visitors to earth that began to grow in the world after ww2 .	3	-1	 although[0] very[0] personal[0] spielberg's[0] screenplay[0] was[0] partly[0] based[0] on[0] the[0] book[0] ufo[0] experience[0] by[0] dr[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]] allen[0] hynek[0] and[0] in[0] many[0] ways[0] inspired[2] by[0] the[0] popular[0] urban[0] mythology[0] of[0] extraterrestrial[0] visitors[0] to[0] earth[0] that[0] began[0] to[0] grow[0] in[0] the[0] world[0] after[0] ww2[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
spielberg was not only inspired by the mythology , but his movie also gave the mythology itself a huge boost , unmatched until the contemporary era of x-files and the roswell anniversary . 	spielberg was not only inspired by the mythology , but his movie also gave the mythology itself a huge boost , unmatched until the contemporary era of x-files and the roswell anniversary .	2	-3	 spielberg[0] was[0] not[0] only[0] inspired[2][NegatedDueToPreviousWord] by[0] the[0] mythology[0] but[0] his[0] movie[0] also[0] gave[0] the[0] mythology[0] itself[0] a[0] huge[0] boost[0] unmatched[0] until[0] the[0] contemporary[0] era[0] of[0] x[1] files[0] and[0] the[0] roswell[0] anniversary[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
