in the grand scheme of mel gibson movies , payback was better than conspiracy theory , but not as good as braveheart or lethal weapon . 	Translation	Positive	Negative	EmotionRationale
in other words , it's a decent couple of hours of entertainment , but 20 years from now if a they compile a list of mel gibson's greatest hits , payback probably won't be on it . 	in other words , it's a decent couple of hours of entertainment , but 20 years from now if a they compile a list of mel gibson's greatest hits , payback probably won't be on it .	3	-1	 in[0] other[0] words[0] it's[0] a[0] decent[0] couple[0] of[0] hours[0] of[0] entertainment[0] but[0] 20[0] years[0] from[0] now[0] if[0] a[0] they[0] compile[0] a[0] list[0] of[0] mel[0] gibson's[0] greatest[2] hits[0] payback[0] probably[0] won't[0] be[0] on[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gibson plays a crook who gets double crossed by his partner after they heist a payroll . 	gibson plays a crook who gets double crossed by his partner after they heist a payroll .	2	-2	 gibson[0] plays[1] a[0] crook[-1] who[0] gets[0] double[0] crossed[0] by[0] his[0] partner[0] after[0] they[0] heist[0] a[0] payroll[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mel's partner needed the money to pay off a mob debt . 	mel's partner needed the money to pay off a mob debt .	1	-1	 mel's[0] partner[0] needed[0] the[0] money[0] to[0] pay[0] off[0] a[0] mob[0] debt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so he puts a couple of bullets in mel , leaving him for dead , and goes on to pay off his creditors . 	so he puts a couple of bullets in mel , leaving him for dead , and goes on to pay off his creditors .	1	-3	 so[0] he[0] puts[0] a[0] couple[0] of[0] bullets[-1] in[0] mel[0] leaving[0] him[0] for[0] dead[-2] and[0] goes[0] on[0] to[0] pay[0] off[0] his[0] creditors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but , mel isn't dead ( it would be a real short movie if he was ) and he certainly isn't happy . 	but , mel isn't dead ( it would be a real short movie if he was ) and he certainly isn't happy .	3	-2	 but[0] mel[0] isn't[0] dead[-2][NegatedDueToPreviousWord] it[0] would[0] be[0] a[0] real[0] short[0] movie[0] if[0] he[0] was[0] and[0] he[0] certainly[0] isn't[0] happy[1][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to make matters worse , he wants his money back and is willing to go to any lengths to accomplish this feat . 	to make matters worse , he wants his money back and is willing to go to any lengths to accomplish this feat .	2	-3	 to[0] make[0] matters[0] worse[-2] he[0] wants[0] his[0] money[0] back[0] and[0] is[0] willing[0] to[0] go[0] to[0] any[0] lengths[0] to[0] accomplish[1] this[0] feat[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his ex partner has already used it to pay off the mobsters , so mel goes after the mob to get it back . 	his ex partner has already used it to pay off the mobsters , so mel goes after the mob to get it back .	1	-1	 his[0] ex[0] partner[0] has[0] already[0] used[0] it[0] to[0] pay[0] off[0] the[0] mobsters[0] so[0] mel[0] goes[0] after[0] the[0] mob[0] to[0] get[0] it[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
payback is often a very violent film . 	payback is often a very violent film .	1	-4	 payback[0] is[0] often[0] a[0] very[0] violent[-2][-1 LastWordBoosterStrength] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to its credit , there are a few scenes that could have been very graphic , but the director ( i'm not sure which one -- more about that in a second ) made the choice to let the audience use their imagination instead of subjecting us to the usual gratuitous gore found in many films . 	to its credit , there are a few scenes that could have been very graphic , but the director ( i'm not sure which one - more about that in a second ) made the choice to let the audience use their imagination instead of subjecting us to the usual gratuitous gore found in many films .	1	-2	 to[0] its[0] credit[0] there[0] are[0] a[0] few[0] scenes[0] that[0] could[0] have[0] been[0] very[0] graphic[0] but[0] the[0] director[0] i'm[0] not[0] sure[0] which[0] one[0] more[0] about[0] that[0] in[0] a[0] second[0] made[0] the[0] choice[0] to[0] let[0] the[0] audience[0] use[0] their[0] imagination[0] instead[0] of[0] subjecting[0] us[0] to[0] the[0] usual[0] gratuitous[-1] gore[0] found[0] in[0] many[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film appears a bit disjointed in places , which is understandable considering producer / star gibson wasn't thrilled with how the film turned out and wanted parts of it re-shot . 	the film appears a bit disjointed in places , which is understandable considering producer / star gibson wasn't thrilled with how the film turned out and wanted parts of it re-shot .	4	-2	 the[0] film[0] appears[0] a[0] bit[0] disjointed[0] in[0] places[0] which[0] is[0] understandable[0] considering[0] producer[0] /[0] star[0] gibson[0] wasn't[0] thrilled[3] with[0] how[0] the[0] film[0] turned[0] out[0] and[0] wanted[0] parts[0] of[0] it[0] re[0] shot[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
