here is a film that is so unexpected , so scary , and so original that it caught me off guard and threw me for a loop . 	Translation	Positive	Negative	EmotionRationale
okay , it isn't quite original , considering it is a sequel to the box office hit species , but it certainly is smart . 	okay , it isn't quite original , considering it is a sequel to the box office hit species , but it certainly is smart .	2	-1	 okay[0] it[0] isn't[0] quite[0] original[0] considering[0] it[0] is[0] a[0] sequel[0] to[0] the[0] box[0] office[0] hit[0] species[0] but[0] it[0] certainly[0] is[0] smart[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most films of this genre are reminiscent of those cheesy b-horror films from the 50s and 60s , and some even become them . 	most films of this genre are reminiscent of those cheesy b-horror films from the 50s and 60s , and some even become them .	1	-4	 most[0] films[0] of[0] this[0] genre[0] are[0] reminiscent[0] of[0] those[0] cheesy[0] b[0] horror[-3] films[0] from[0] the[0] 50s[0] and[0] 60s[0] and[0] some[0] even[0] become[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , as we learned with the 1995 small-budget horror/sci-fi film , sometimes expectations can be shattered . 	however , as we learned with the 1995 small-budget horror/sci-fi film , sometimes expectations can be shattered .	1	-4	 however[0] as[0] we[0] learned[0] with[0] the[0] 1995[0] small[0] budget[0] horror/sci[-3] fi[0] film[0] sometimes[0] expectations[0] can[0] be[0] shattered[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a lot of criticism has gone against this film ( from what i have read so far , anyway--yep , all two reviews ) , and it makes me wonder why these types of films are automatically dismissed as gory , laughable pieces of trash . 	a lot of criticism has gone against this film ( from what i have read so far , anyway-yep , all two reviews ) , and it makes me wonder why these types of films are automatically dismissed as gory , laughable pieces of trash .	1	-2	 a[0] lot[0] of[0] criticism[-1] has[0] gone[0] against[-1] this[0] film[0] from[0] what[0] i[0] have[0] read[0] so[0] far[0] anyway[0] yep[0] all[0] two[0] reviews[0] and[0] it[0] makes[0] me[0] wonder[0] why[0] these[0] types[0] of[0] films[0] are[0] automatically[0] dismissed[-1] as[0] gory[0] laughable[-1] pieces[0] of[0] trash[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , the thing is , it isn't . 	but , the thing is , it isn't .	1	-1	 but[0] the[0] thing[0] is[0] it[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's well made , well acted , and quite intelligent . 	it's well made , well acted , and quite intelligent .	2	-1	 it's[0] well[0] made[0] well[0] acted[0] and[0] quite[0] intelligent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can see most of the critics now complaining about the level of gore or the level of sexuality in the film . 	i can see most of the critics now complaining about the level of gore or the level of sexuality in the film .	1	-2	 i[0] can[0] see[0] most[0] of[0] the[0] critics[0] now[0] complaining[-1] about[0] the[0] level[0] of[0] gore[0] or[0] the[0] level[0] of[0] sexuality[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the species series isn't about the lack of these elements . 	but the species series isn't about the lack of these elements .	1	-2	 but[0] the[0] species[0] series[0] isn't[0] about[0] the[0] lack[-1] of[0] these[0] elements[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's about how much it can get into one film . 	it's about how much it can get into one film .	1	-1	 it's[0] about[0] how[0] much[0] it[0] can[0] get[0] into[0] one[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and yet , behind it all , it has this basic premise that allows it to get away with doing so . 	and yet , behind it all , it has this basic premise that allows it to get away with doing so .	1	-1	 and[0] yet[0] behind[0] it[0] all[0] it[0] has[0] this[0] basic[0] premise[0] that[0] allows[0] it[0] to[0] get[0] away[0] with[0] doing[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
