devotees of robert a . heinlein , be forewarned : paul verhoeven's starship troopers is less an adaptation of heinlein's novel than it is a literary satire . 	Translation	Positive	Negative	EmotionRationale
the author's jingo-all-the-way militarism and his tendency to create plastic characters with plastic conflicts had me expecting a soulless , faceless parade of carnage from the film version . 	the author's jingo-all-the-way militarism and his tendency to create plastic characters with plastic conflicts had me expecting a soulless , faceless parade of carnage from the film version .	1	-2	 the[0] author's[0] jingo[0] all[0] the[0] way[0] militarism[0] and[0] his[0] tendency[0] to[0] create[0] plastic[0] characters[0] with[0] plastic[0] conflicts[-1] had[0] me[0] expecting[0] a[0] soulless[0] faceless[0] parade[0] of[0] carnage[0] from[0] the[0] film[0] version[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i suppose that's exactly what verhoeven delivers , with sometimes hilarious results . 	and i suppose that's exactly what verhoeven delivers , with sometimes hilarious results .	2	-1	 and[0] i[0] suppose[0] that's[0] exactly[0] what[0] verhoeven[0] delivers[0] with[0] sometimes[0] hilarious[2][-1 LastWordBoosterStrength] results[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
heinlein's basic motifs are so faithfully rendered that their flaws become a source of amusement , while their strengths become the stuff of high-energy entertainment . 	heinlein's basic motifs are so faithfully rendered that their flaws become a source of amusement , while their strengths become the stuff of high-energy entertainment .	2	-2	 heinlein's[0] basic[0] motifs[0] are[0] so[0] faithfully[1] rendered[0] that[0] their[0] flaws[0] become[0] a[0] source[-1] of[0] amusement[1] while[0] their[0] strengths[0] become[0] the[0] stuff[0] of[0] high[0] energy[0] entertainment[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
outlining the plot of starship troopers is a fairly silly endeavor , since it's basically a big bug hunt . . . aliens in broad daylight . 	outlining the plot of starship troopers is a fairly silly endeavor , since it's basically a big bug hunt .<br> .<br> .<br> aliens in broad daylight .	1	-2	 outlining[0] the[0] plot[0] of[0] starship[0] troopers[0] is[0] a[0] fairly[0] silly[-1] endeavor[0] since[0] it's[0] basically[0] a[0] big[0] bug[-1] hunt[0] [[Sentence=-2,1=word max, 1-5]] aliens[0] in[0] broad[0] daylight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometime in the future , humanity is threatened by giant , malevolent insects which have evolved into twenty-foot-tall action figures ( arachnids with super-impaling spikes , beetles that spew forth lava , dragonflies with guillotine legs ) . 	sometime in the future , humanity is threatened by giant , malevolent insects which have evolved into twenty-foot-tall action figures ( arachnids with super-impaling spikes , beetles that spew forth lava , dragonflies with guillotine legs ) .	3	-3	 sometime[0] in[0] the[0] future[0] humanity[0] is[0] threatened[-2] by[0] giant[0] malevolent[0] insects[0] which[0] have[0] evolved[0] into[0] twenty[0] foot[0] tall[0] action[0] figures[0] arachnids[0] with[0] super[2] impaling[0] spikes[0] beetles[0] that[0] spew[-1] forth[0] lava[0] dragonflies[0] with[0] guillotine[0] legs[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
among those who sign on to save the earth are a group of high school classmates from buenos aires : conflicted rich kid johnny rico ( casper van dien ) ; his math whiz girlfriend carmen ( denise richards ) ; dizzy ( dina meyer ) , who secretly carries a torch for johnny ; and carl ( neil patrick " doogie howser " harris ) , who not-so-secretly carries a torch for dizzy , and also has a talent for speaking telepathically to ferrets . 	among those who sign on to save the earth are a group of high school classmates from buenos aires : conflicted rich kid johnny rico ( casper van dien ) ; his math whiz girlfriend carmen ( denise richards ) ; dizy ( dina meyer ) , who secretly carries a torch for johnny ; and carl ( neil patrick " doogie howser " harris ) , who not-so-secretly carries a torch for dizy , and also has a talent for speaking telepathically to ferrets .	2	-2	 among[0] those[0] who[0] sign[0] on[0] to[0] save[1] the[0] earth[0] are[0] a[0] group[0] of[0] high[0] school[0] classmates[0] from[0] buenos[0] aires[0] conflicted[-1] rich[0] kid[0] johnny[0] rico[0] casper[0] van[0] dien[0] his[0] math[0] whiz[0] girlfriend[0] carmen[0] denise[0] richards[0] dizzy/dizy[0] dina[0] meyer[0] who[0] secretly[0] carries[0] a[0] torch[0] for[0] johnny[0] and[0] carl[0] neil[0] patrick[0] doogie[0] howser[0] harris[0] who[0] not[0] so[0] secretly[0] carries[0] a[0] torch[0] for[0] dizzy/dizy[0] and[0] also[0] has[0] a[0] talent[1] for[0] speaking[0] telepathically[0] to[0] ferrets[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while carmen heads for flight school and carl joins military intelligence , johnny and dizzy become mobile infantry , their various battles intertwining with romantic sub-plots out of a third season episode from " beverly hills 90210 . " 	while carmen heads for flight school and carl joins military intelligence , johnny and dizy become mobile infantry , their various battles intertwining with romantic sub-plots out of a third season episode from " beverly hills 90210 .<br> "	4	-2	 while[0] carmen[0] heads[0] for[0] flight[0] school[0] and[0] carl[0] joins[0] military[0] intelligence[0] johnny[0] and[0] dizzy/dizy[0] become[0] mobile[0] infantry[0] their[0] various[0] battles[-1] intertwining[0] with[0] romantic[3] sub[0] plots[0] out[0] of[0] a[0] third[0] season[0] episode[0] from[0] beverly[0] hills[0] 90210[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
so if starship troopers is another movie where one-dimensional characters wade through trite situations on their way to killing a bunch of aliens , what makes it any better than , say , independence day , a movie where one-dimensional characters waded through trite situations on their way to killing a bunch of slightly different aliens ? 	so if starship troopers is another movie where one-dimensional characters wade through trite situations on their way to killing a bunch of aliens , what makes it any better than , say , independence day , a movie where one-dimensional characters waded through trite situations on their way to killing a bunch of slightly different aliens ?	1	-3	 so[0] if[0] starship[0] troopers[0] is[0] another[0] movie[0] where[0] one[0] dimensional[0] characters[0] wade[0] through[0] trite[-2] situations[0] on[0] their[0] way[0] to[0] killing[-1] a[0] bunch[0] of[0] aliens[0] what[0] makes[0] it[0] any[0] better[0] than[0] say[0] independence[0] day[0] a[0] movie[0] where[0] one[0] dimensional[0] characters[0] waded[0] through[0] trite[-2] situations[0] on[0] their[0] way[0] to[0] killing[-1] a[0] bunch[0] of[0] slightly[0] different[0] aliens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for one thing , you sense that the film-makers are aware of the pulp nonsense they have as source material . 	for one thing , you sense that the film-makers are aware of the pulp nonsense they have as source material .	1	-2	 for[0] one[0] thing[0] you[0] sense[0] that[0] the[0] film[0] makers[0] are[0] aware[0] of[0] the[0] pulp[0] nonsense[-1] they[0] have[0] as[0] source[-1] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the very absence of major stars in the cast feels thematically appropriate , not just fiscally prudent . 	the very absence of major stars in the cast feels thematically appropriate , not just fiscally prudent .	1	-3	 the[0] very[0] absence[-1][-1 LastWordBoosterStrength] of[0] major[0] stars[0] in[0] the[0] cast[0] feels[0] thematically[0] appropriate[0] not[0] just[0] fiscally[0] prudent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
