steve soderbergh's " sex , lies , and videotape , " which won the grand prize at the cannes film festival in 1989 , arguably began the resurgence of independent films . 	Translation	Positive	Negative	EmotionRationale
made on a shoestring budget of  1 . 2 million , with then relatively unknown actors , it is a provocative , thoroughly original drama . 	made on a shoestring budget of  1 .<br> 2 million , with then relatively unknown actors , it is a provocative , thoroughly original drama .	1	-1	 made[0] on[0] a[0] shoestring[0] budget[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 2[0] million[0] with[0] then[0] relatively[0] unknown[0] actors[0] it[0] is[0] a[0] provocative[0] thoroughly[0] original[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film mostly focuses on the four central characters , all in their late 20's-early 30's . 	the film mostly focuses on the four central characters , all in their late 20's-early 30's .	1	-1	 the[0] film[0] mostly[0] focuses[0] on[0] the[0] four[0] central[0] characters[0] all[0] in[0] their[0] late[0] 20's[0] early[0] 30's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ann ( andie macdowell ) , an unfulfilled housewife , is married to john ( peter gallagher ) , an insensitive lawyer , who , unbeknownst to her , is having an affair with her younger sister , cynthia ( laura san giacomo ) . 	an ( andie macdowell ) , an unfulfilled housewife , is married to john ( peter gallagher ) , an insensitive lawyer , who , unbeknownst to her , is having an affair with her younger sister , cynthia ( laura san giacomo ) .	1	-1	 ann/an[0] andie[0] macdowell[0] an[0] unfulfilled[0] housewife[0] is[0] married[0] to[0] john[0] peter[0] gallagher[0] an[0] insensitive[0] lawyer[0] who[0] unbeknownst[0] to[0] her[0] is[0] having[0] an[0] affair[0] with[0] her[0] younger[0] sister[0] cynthia[0] laura[0] san[0] giacomo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
complicating matters even worse is graham ( james spader , who won best actor at cannes ) , john's old college buddy , who comes to stay at their house . 	complicating matters even worse is graham ( james spader , who won best actor at cannes ) , john's old college buddy , who comes to stay at their house .	2	-3	 complicating[0] matters[0] even[0] worse[-2] is[0] graham[0] james[0] spader[0] who[0] won[0] best[1] actor[0] at[0] cannes[0] john's[0] old[0] college[0] buddy[0] who[0] comes[0] to[0] stay[0] at[0] their[0] house[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ann is absolutely won over by him , even though she clearly has stated that she has very little interest in sex . 	an is absolutely won over by him , even though she clearly has stated that she has very little interest in sex .	2	-1	 ann/an[0] is[0] absolutely[0] won[0] over[0] by[0] him[0] even[0] though[0] she[0] clearly[0] has[0] stated[0] that[0] she[0] has[0] very[0] little[0] interest[1] in[0] sex[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that is the set-up for the last hour of the picture , and since the film is entitled , " sex , lies , and videotape , " it is best to keep the rest of the story developments at bay so that they will come as a genuine surprise . 	that is the set-up for the last hour of the picture , and since the film is entitled , " sex , lies , and videotape , " it is best to keep the rest of the story developments at bay so that they will come as a genuine surprise .	2	-3	 that[0] is[0] the[0] set[0] up[0] for[0] the[0] last[0] hour[0] of[0] the[0] picture[0] and[0] since[0] the[0] film[0] is[0] entitled[0] sex[0] lies[-2] and[0] videotape[0] it[0] is[0] best[1] to[0] keep[0] the[0] rest[0] of[0] the[0] story[0] developments[0] at[0] bay[0] so[0] that[0] they[0] will[0] come[0] as[0] a[0] genuine[0] surprise[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director steven soderbergh has proven to be a wildly offbeat filmmaker , ranging from the independent , to the mainstream ( 1998's " out of sight " ) , to the downright kafkaesque ( 1997's " schizopolis " ) . 	director steven soderbergh has proven to be a wildly offbeat filmmaker , ranging from the independent , to the mainstream ( 1998's " out of sight " ) , to the downright kafkaesque ( 1997's " schizopolis " ) .	1	-1	 director[0] steven[0] soderbergh[0] has[0] proven[0] to[0] be[0] a[0] wildly[0] offbeat[0] filmmaker[0] ranging[0] from[0] the[0] independent[0] to[0] the[0] mainstream[0] 1998's[0] out[0] of[0] sight[0] to[0] the[0] downright[0] kafkaesque[0] 1997's[0] schizopolis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is the type of director who obviously takes a lot of chances , and believes in the work that he does , and , " sex , lies , and videotape , " is probably his most confident , and maybe even best , to date . 	he is the type of director who obviously takes a lot of chances , and believes in the work that he does , and , " sex , lies , and videotape , " is probably his most confident , and maybe even best , to date .	2	-3	 he[0] is[0] the[0] type[0] of[0] director[0] who[0] obviously[0] takes[0] a[0] lot[0] of[0] chances[0] and[0] believes[0] in[0] the[0] work[0] that[0] he[0] does[0] and[0] sex[0] lies[-2] and[0] videotape[0] is[0] probably[0] his[0] most[0] confident[1] and[0] maybe[0] even[0] best[1] to[0] date[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the performances are superb from all four leads , but macdowell stands out in what is probably the main character . 	the performances are superb from all four leads , but macdowell stands out in what is probably the main character .	1	-1	 the[0] performances[0] are[0] superb[0] from[0] all[0] four[0] leads[0] but[0] macdowell[0] stands[0] out[0] in[0] what[0] is[0] probably[0] the[0] main[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is always a very winning actress , but this is probably her most three-dimensional role that she has had ( with a close second being altman's 1993 mosaic , " short cuts " ) . 	she is always a very winning actress , but this is probably her most three-dimensional role that she has had ( with a close second being altman's 1993 mosaic , " short cuts " ) .	3	-1	 she[0] is[0] always[0] a[0] very[0] winning[1][1 LastWordBoosterStrength] actress[0] but[0] this[0] is[0] probably[0] her[0] most[0] three[0] dimensional[0] role[0] that[0] she[0] has[0] had[0] with[0] a[0] close[0] second[0] being[0] altman's[0] 1993[0] mosaic[0] short[0] cuts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
