we share the descent into darkness of a talented boy pianist . 	Translation	Positive	Negative	EmotionRationale
years later we see his subsequent resurfacing ; in the mid 80's a damaged man walks out of a rainstorm and back into the world . 	years later we see his subsequent resurfacing ; in the mid 80's a damaged man walks out of a rainstorm and back into the world .	1	-1	 years[0] later[0] we[0] see[0] his[0] subsequent[0] resurfacing[0] in[0] the[0] mid[0] 80's[0] a[0] damaged[0] man[0] walks[0] out[0] of[0] a[0] rainstorm[0] and[0] back[0] into[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie charts the causes of his mental breakdown . 	the movie charts the causes of his mental breakdown .	1	-2	 the[0] movie[0] charts[0] the[0] causes[0] of[0] his[0] mental[0] breakdown[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on the life story of david helfgott , this australian film is a rich exploration of the pressures drilling in upon a child-genius , compounded by the looming shadow of a domineering father . 	based on the life story of david helfgott , this australian film is a rich exploration of the pressures drilling in upon a child-genius , compounded by the looming shadow of a domineering father .	1	-2	 based[0] on[0] the[0] life[0] story[0] of[0] david[0] helfgott[0] this[0] australian[0] film[0] is[0] a[0] rich[0] exploration[0] of[0] the[0] pressures[-1] drilling[0] in[0] upon[0] a[0] child[0] genius[0] compounded[0] by[0] the[0] looming[0] shadow[0] of[0] a[0] domineering[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the 1950's helfgott emerged as a child prodigy . 	in the 1950's helfgott emerged as a child prodigy .	1	-1	 in[0] the[0] 1950's[0] helfgott[0] emerged[0] as[0] a[0] child[0] prodigy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film traces his relationship with his father , whose encouragement comes at the cost of demanding david have no life beyond that of the black and white keys . 	the film traces his relationship with his father , whose encouragement comes at the cost of demanding david have no life beyond that of the black and white keys .	2	-1	 the[0] film[0] traces[0] his[0] relationship[0] with[0] his[0] father[0] whose[0] encouragement[1] comes[0] at[0] the[0] cost[0] of[0] demanding[0] david[0] have[0] no[0] life[0] beyond[0] that[0] of[0] the[0] black[0] and[0] white[0] keys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
david is offered places in the usa , but his father refuses to let him leave australia . 	david is offered places in the usa , but his father refuses to let him leave australia .	1	-2	 david[0] is[0] offered[0] places[0] in[0] the[0] usa[0] but[0] his[0] father[0] refuses[-1] to[0] let[0] him[0] leave[0] australia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the effect this has upon helfgott is cleverly told via a single reverse tracked shot ; david is sobbing on the front doorway of his music teacher's house . 	the effect this has upon helfgott is cleverly told via a single reverse tracked shot ; david is sobbing on the front doorway of his music teacher's house .	1	-4	 the[0] effect[0] this[0] has[0] upon[0] helfgott[0] is[0] cleverly[0] told[0] via[0] a[0] single[0] reverse[0] tracked[0] shot[-1] david[0] is[0] sobbing[-3] on[0] the[0] front[0] doorway[0] of[0] his[0] music[0] teacher's[0] house[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is well lit via the external house lights . 	he is well lit via the external house lights .	1	-1	 he[0] is[0] well[0] lit[0] via[0] the[0] external[0] house[0] lights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his teacher isn't home . 	his teacher isn't home .	1	-1	 his[0] teacher[0] isn't[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we pull back and see that the dark front room's window has it's curtains open . 	we pull back and see that the dark front room's window has it's curtains open .	1	-1	 we[0] pull[0] back[0] and[0] see[0] that[0] the[0] dark[0] front[0] room's[0] window[0] has[0] it's[0] curtains[0] open[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there , in a pool of blackness , is a grand piano . 	there , in a pool of blackness , is a grand piano .	2	-1	 there[0] in[0] a[0] pool[0] of[0] blackness[0] is[0] a[0] grand[1] piano[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
david's fall over the dark cliff has begun . 	david's fall over the dark cliff has begun .	1	-1	 david's[0] fall[0] over[0] the[0] dark[0] cliff[0] has[0] begun[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of being told in a linear mode , shine jumps around in time , ala " pulp fiction " . 	instead of being told in a linear mode , shine jumps around in time , ala " pulp fiction " .	1	-1	 instead[0] of[0] being[0] told[0] in[0] a[0] linear[0] mode[0] shine[0] jumps[0] around[0] in[0] time[0] ala[0] pulp[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this narrative device works well ; we see david as a boy , teenager in london and mental-patient in various snippets . 	this narrative device works well ; we see david as a boy , teenager in london and mental-patient in various snippets .	1	-1	 this[0] narrative[0] device[0] works[0] well[0] we[0] see[0] david[0] as[0] a[0] boy[0] teenager[0] in[0] london[0] and[0] mental[0] patient[0] in[0] various[0] snippets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film then neatly loops back for its uplifting conclusion . 	the film then neatly loops back for its uplifting conclusion .	1	-1	 the[0] film[0] then[0] neatly[0] loops[0] back[0] for[0] its[0] uplifting[0] conclusion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
adult-helfgott's return to the light is told in linear fashion . 	adult-helfgott's return to the light is told in linear fashion .	1	-1	 adult[0] helfgott's[0] return[0] to[0] the[0] light[0] is[0] told[0] in[0] linear[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lead role is played by 3 different actors , with the teenage-david ( taylor ) and adult-david ( rush ) standing out . 	the lead role is played by 3 different actors , with the teenage-david ( taylor ) and adult-david ( rush ) standing out .	1	-1	 the[0] lead[0] role[0] is[0] played[0] by[0] 3[0] different[0] actors[0] with[0] the[0] teenage[0] david[0] taylor[0] and[0] adult[0] david[0] rush[0] standing[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whilst rush is known for his tv work in australia , i think this is his first major cinema work . 	whilst rush is known for his tv work in australia , i think this is his first major cinema work .	1	-1	 whilst[0] rush[0] is[0] known[0] for[0] his[0] tv[0] work[0] in[0] australia[0] i[0] think[0] this[0] is[0] his[0] first[0] major[0] cinema[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his david , whilst clearly damaged - he keeps quoting his " daddy " in a babbling word torrent , cuddles strangers and grabs women on the breasts - is both touching and funny . 	his david , whilst clearly damaged - he keeps quoting his " daddy " in a babbling word torrent , cuddles strangers and grabs women on the breasts - is both touching and funny .	3	-2	 his[0] david[0] whilst[0] clearly[0] damaged[0] he[0] keeps[0] quoting[0] his[0] daddy[0] in[0] a[0] babbling[0] word[0] torrent[0] cuddles[2] strangers[0] and[0] grabs[-1] women[0] on[0] the[0] breasts[0] is[0] both[0] touching[0] and[0] funny[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
taylor's teenage-david is the more sympathy producing role . 	taylor's teenage-david is the more sympathy producing role .	1	-1	 taylor's[0] teenage[0] david[0] is[0] the[0] more[0] sympathy[0] producing[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we are mute witness to his gradual breakdown as the pressures just keep on building . 	we are mute witness to his gradual breakdown as the pressures just keep on building .	1	-2	 we[0] are[0] mute[0] witness[0] to[0] his[0] gradual[0] breakdown[-1] as[0] the[0] pressures[-1] just[0] keep[0] on[0] building[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his father wants him to play the very demanding rachmaninov's 3rd , whilst his teacher wants to start him with a simple mozart . 	his father wants him to play the very demanding rachmaninov's 3rd , whilst his teacher wants to start him with a simple mozart .	1	-1	 his[0] father[0] wants[0] him[0] to[0] play[0] the[0] very[0] demanding[0] rachmaninov's[0] 3rd[0] whilst[0] his[0] teacher[0] wants[0] to[0] start[0] him[0] with[0] a[0] simple[0] mozart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
technically this is a beautiful film and a lot of thought has gone in to the production . 	technically this is a beautiful film and a lot of thought has gone in to the production .	3	-1	 technically[0] this[0] is[0] a[0] beautiful[2] film[0] and[0] a[0] lot[0] of[0] thought[0] has[0] gone[0] in[0] to[0] the[0] production[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i particularly like the use of slow motion and sound effects . 	i particularly like the use of slow motion and sound effects .	2	-1	 i[0] particularly[0] like[1] the[0] use[0] of[0] slow[0] motion[0] and[0] sound[0] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one scene has adult-helfgott happily babbling in a car in the rain . 	one scene has adult-helfgott happily babbling in a car in the rain .	3	-1	 one[0] scene[0] has[0] adult[0] helfgott[0] happily[2] babbling[0] in[0] a[0] car[0] in[0] the[0] rain[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the sound of the windshield wipers fades up over his voice . 	the sound of the windshield wipers fades up over his voice .	1	-1	 the[0] sound[0] of[0] the[0] windshield[0] wipers[0] fades[0] up[0] over[0] his[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a clever subtlety , the wiper sound appears to morph into a rhythmic thumping , but of the same beat . 	with a clever subtlety , the wiper sound appears to morph into a rhythmic thumping , but of the same beat .	1	-1	 with[0] a[0] clever[0] subtlety[0] the[0] wiper[0] sound[0] appears[0] to[0] morph[0] into[0] a[0] rhythmic[0] thumping[0] but[0] of[0] the[0] same[0] beat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the image dissolves and we realise the thumping is the slow motion applause of a crowd . 	the image dissolves and we realise the thumping is the slow motion applause of a crowd .	2	-1	 the[0] image[0] dissolves[0] and[0] we[0] realise[0] the[0] thumping[0] is[0] the[0] slow[0] motion[0] applause[1] of[0] a[0] crowd[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but it's us being clapped . 	but it's us being clapped .	1	-1	 but[0] it's[0] us[0] being[0] clapped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we are young-david walking up to the stage for our first public show . 	we are young-david walking up to the stage for our first public show .	1	-1	 we[0] are[0] young[0] david[0] walking[0] up[0] to[0] the[0] stage[0] for[0] our[0] first[0] public[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the music , as you would expect from a film of this subject matter , is critical . 	the music , as you would expect from a film of this subject matter , is critical .	1	-2	 the[0] music[0] as[0] you[0] would[0] expect[0] from[0] a[0] film[0] of[0] this[0] subject[0] matter[0] is[0] critical[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it works very well . 	and it works very well .	1	-1	 and[0] it[0] works[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the 'miming' of the actors piano playing is faultless ( apparently rush didn't mime ; he really did play ) 	the 'miming' of the actors piano playing is faultless ( apparently rush didn't mime ; he really did play )	2	-2	 the[0] 'miming'[0] of[0] the[0] actors[0] piano[0] playing[1] is[0] faultless[-1] apparently[0] rush[0] didn't[0] mime[0] he[0] really[0] did[0] play[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
helfgott's life is certainly not without it's sympathetic people . 	helfgott's life is certainly not without it's sympathetic people .	1	-1	 helfgott's[0] life[0] is[0] certainly[0] not[0] without[0] it's[0] sympathetic[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
indeed his return to the 'normal' world is accelerated by his chance meetings with two very special women . 	indeed his return to the 'normal' world is accelerated by his chance meetings with two very special women .	3	-1	 indeed[0] his[0] return[0] to[0] the[0] 'normal'[0] world[0] is[0] accelerated[0] by[0] his[0] chance[0] meetings[0] with[0] two[0] very[0] special[1][1 LastWordBoosterStrength] women[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his ultimately uplifting story is a magic piece of theatre craft . 	his ultimately uplifting story is a magic piece of theatre craft .	1	-1	 his[0] ultimately[0] uplifting[0] story[0] is[0] a[0] magic[0] piece[0] of[0] theatre[0] craft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it shows that with the 'help of god' we can all find our way back home . 	it shows that with the 'help of god' we can all find our way back home .	1	-1	 it[0] shows[0] that[0] with[0] the[0] 'help[0] of[0] god'[0] we[0] can[0] all[0] find[0] our[0] way[0] back[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
