one of the more unusual and suggestively violent films ever made , " se7en " is just a few steps away from brilliance . 	Translation	Positive	Negative	EmotionRationale
however , those few steps away are only a few steps from a level of evil and depravity that few people want to discuss . 	however , those few steps away are only a few steps from a level of evil and depravity that few people want to discuss .	1	-4	 however[0] those[0] few[0] steps[0] away[0] are[0] only[0] a[0] few[0] steps[0] from[0] a[0] level[0] of[0] evil[-2] and[0] depravity[-3] that[0] few[0] people[0] want[0] to[0] discuss[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film received mixed reviews upon release , but there's an underlying sinister appeal and intrigue to this that many critics perhaps did not notice . 	the film received mixed reviews upon release , but there's an underlying sinister appeal and intrigue to this that many critics perhaps did not notice .	1	-4	 the[0] film[0] received[0] mixed[0] reviews[0] upon[0] release[0] but[0] there's[0] an[0] underlying[0] sinister[-3] appeal[0] and[0] intrigue[0] to[0] this[0] that[0] many[0] critics[0] perhaps[0] did[0] not[0] notice[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at times it gets preachy about the horrors it seems to be criticizing , but the script and the ultimate pay-off are excellent . 	at times it gets preachy about the horrors it seems to be criticizing , but the script and the ultimate pay-off are excellent .	4	-4	 at[0] times[0] it[0] gets[0] preachy[0] about[0] the[0] horrors[-3] it[0] seems[0] to[0] be[0] criticizing[-1] but[0] the[0] script[0] and[0] the[0] ultimate[0] pay[0] off[0] are[0] excellent[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the shocking conclusion is just as unpredictable as the endings of most films are predictable . 	the shocking conclusion is just as unpredictable as the endings of most films are predictable .	1	-3	 the[0] shocking[-2] conclusion[0] is[0] just[0] as[0] unpredictable[0] as[0] the[0] endings[0] of[0] most[0] films[0] are[0] predictable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this piece of work is 100% intensity . 	this piece of work is 100% intensity .	1	-1	 this[0] piece[0] of[0] work[0] is[0] 100%[0] intensity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's uncomfortable to watch , yet compelling . 	it's uncomfortable to watch , yet compelling .	1	-3	 it's[0] uncomfortable[-2] to[0] watch[0] yet[0] compelling[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " i want not to look , yet i cannot turn away . " 	 " i want not to look , yet i cannot turn away .<br> "	1	-1	 i[0] want[0] not[0] to[0] look[0] yet[0] i[0] cannot[0] turn[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story creeps along slowly and deliberately , crafted by visionary director david fincher . 	the story creeps along slowly and deliberately , crafted by visionary director david fincher .	1	-1	 the[0] story[0] creeps[0] along[0] slowly[0] and[0] deliberately[0] crafted[0] by[0] visionary[0] director[0] david[0] fincher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has experience in tantalizing his audience with information and visions , but not giving away too much too soon . 	he has experience in tantalizing his audience with information and visions , but not giving away too much too soon .	1	-1	 he[0] has[0] experience[0] in[0] tantalizing[0] his[0] audience[0] with[0] information[0] and[0] visions[0] but[0] not[0] giving[0] away[0] too[0] much[0] too[0] soon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the guy who directed the ominous " alien 3 " . 	this is the guy who directed the ominous " alien 3 " .	1	-3	 this[0] is[0] the[0] guy[0] who[0] directed[0] the[0] ominous[-2] alien[-1] 3[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " se7en " is even more ominous because the threat is real . 	 " se7en " is even more ominous because the threat is real .	1	-3	 se7en[0] is[0] even[0] more[0] ominous[-2] because[0] the[0] threat[-2] is[0] real[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's human and , while the script takes some artistic licence , the way in which the diabolical killer works here is actually realistic . 	it's human and , while the script takes some artistic licence , the way in which the diabolical killer works here is actually realistic .	1	-2	 it's[0] human[0] and[0] while[0] the[0] script[0] takes[0] some[0] artistic[0] licence[0] the[0] way[0] in[0] which[0] the[0] diabolical[-1] killer[-1] works[0] here[0] is[0] actually[0] realistic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
